gen HV HVnoDiscount fitness_notKilledMutants notKilledNonEqMutants fitness_testSuiteSize
1 2.7734375 0.0 9.58984375 7.0 5.0
2 3.349609375 0.0 9.521484375 7.0 3.0
3 3.349609375 0.0 9.521484375 7.0 3.0
4 4.130859375 0.0 9.482421875 7.0 3.0
5 17.470703125 14.0 7.578125 5.0 3.0
6 17.470703125 14.0 7.578125 5.0 3.0
7 17.470703125 14.0 7.578125 5.0 3.0
8 17.470703125 14.0 7.578125 5.0 3.0
9 17.470703125 14.0 7.578125 5.0 3.0
10 17.470703125 14.0 7.578125 5.0 3.0
11 17.470703125 14.0 7.578125 5.0 3.0
12 17.470703125 14.0 7.578125 5.0 3.0
13 17.470703125 14.0 7.578125 5.0 3.0
14 17.470703125 14.0 7.578125 5.0 3.0
15 23.41015625 20.0 6.521484375 4.0 4.0
16 23.41015625 20.0 6.521484375 4.0 4.0
17 23.41015625 20.0 6.521484375 4.0 4.0
18 23.41015625 20.0 6.521484375 4.0 4.0
19 23.41015625 20.0 6.521484375 4.0 4.0
20 23.41015625 20.0 6.51953125 4.0 4.0
21 23.41015625 20.0 6.51953125 4.0 4.0
22 23.41015625 20.0 6.51953125 4.0 4.0
23 23.41015625 20.0 6.51953125 4.0 4.0
24 23.41015625 20.0 6.51953125 4.0 4.0
25 23.41015625 20.0 6.51953125 4.0 4.0
26 23.41015625 20.0 6.51953125 4.0 4.0
27 23.41015625 20.0 6.408203125 4.0 4.0
28 23.41015625 20.0 6.408203125 4.0 4.0
29 23.41015625 20.0 6.3671875 4.0 4.0
30 23.41015625 20.0 6.3671875 4.0 4.0
31 23.41015625 20.0 6.3671875 4.0 4.0
32 23.41015625 20.0 6.337890625 4.0 4.0
33 23.41015625 20.0 6.337890625 4.0 4.0
34 30.248046875 26.0 5.4091796875 3.0 4.0
35 30.248046875 26.0 5.4091796875 3.0 4.0
36 30.248046875 26.0 5.4091796875 3.0 4.0
37 30.248046875 26.0 5.4091796875 3.0 4.0
38 30.248046875 26.0 5.4091796875 3.0 4.0
39 30.248046875 26.0 5.4091796875 3.0 4.0
40 30.248046875 26.0 5.4091796875 3.0 4.0
41 30.248046875 26.0 5.4091796875 3.0 4.0
42 30.248046875 26.0 5.4091796875 3.0 4.0
43 30.248046875 26.0 5.4091796875 3.0 4.0
44 32.0537109375 27.0 5.27734375 3.0 4.0
45 32.0537109375 27.0 5.27734375 3.0 4.0
46 32.0537109375 27.0 5.27734375 3.0 4.0
47 33.083984375 28.0 5.2529296875 3.0 4.0
48 33.083984375 28.0 5.2529296875 3.0 4.0
49 33.083984375 28.0 5.2529296875 3.0 4.0
50 33.083984375 28.0 5.2529296875 3.0 4.0
51 33.083984375 28.0 5.2529296875 3.0 4.0
52 33.083984375 28.0 5.2529296875 3.0 4.0
53 33.083984375 28.0 5.2529296875 3.0 4.0
54 33.083984375 28.0 5.2529296875 3.0 4.0
55 33.083984375 28.0 5.2529296875 3.0 4.0
56 33.083984375 28.0 5.2529296875 3.0 4.0
57 33.083984375 28.0 5.2529296875 3.0 4.0
58 33.083984375 28.0 5.2529296875 3.0 4.0
59 33.083984375 28.0 5.2529296875 3.0 4.0
60 33.083984375 28.0 5.2529296875 3.0 4.0
61 33.083984375 28.0 5.2529296875 3.0 4.0
62 33.083984375 28.0 5.2529296875 3.0 4.0
63 33.083984375 28.0 5.2529296875 3.0 4.0
64 33.083984375 28.0 5.2529296875 3.0 4.0
65 33.083984375 28.0 5.2529296875 3.0 4.0
66 33.083984375 28.0 5.2529296875 3.0 4.0
67 33.083984375 28.0 5.2529296875 3.0 4.0
68 33.083984375 28.0 5.2529296875 3.0 4.0
69 33.083984375 28.0 5.2529296875 3.0 4.0
70 33.083984375 28.0 5.2529296875 3.0 4.0
71 33.083984375 28.0 5.2529296875 3.0 4.0
72 33.083984375 28.0 5.2529296875 3.0 4.0
73 33.083984375 28.0 5.2529296875 3.0 4.0
74 33.083984375 28.0 5.2529296875 3.0 4.0
75 33.083984375 28.0 5.2529296875 3.0 4.0
76 33.083984375 28.0 5.2529296875 3.0 4.0
77 33.083984375 28.0 5.2529296875 3.0 4.0
78 33.083984375 28.0 5.2529296875 3.0 4.0
79 33.083984375 28.0 5.2529296875 3.0 4.0
80 33.083984375 28.0 5.2529296875 3.0 4.0
81 33.083984375 28.0 5.2529296875 3.0 4.0
82 33.083984375 28.0 5.2529296875 3.0 4.0
83 33.083984375 28.0 5.2529296875 3.0 4.0
84 33.083984375 28.0 5.2529296875 3.0 4.0
85 33.083984375 28.0 5.244140625 3.0 4.0
86 51.3349609375 46.0 2.23828125 0.0 4.0
87 51.3349609375 46.0 2.23828125 0.0 4.0
88 51.3349609375 46.0 2.2236328125 0.0 4.0
89 51.3349609375 46.0 2.2236328125 0.0 4.0
90 51.3349609375 46.0 2.208984375 0.0 4.0
91 51.3349609375 46.0 2.208984375 0.0 4.0
92 51.3349609375 46.0 2.1943359375 0.0 4.0
93 51.3349609375 46.0 2.1943359375 0.0 4.0
94 55.486328125 49.0 2.1884765625 0.0 4.0
95 55.486328125 49.0 2.1884765625 0.0 4.0
96 55.486328125 49.0 2.185546875 0.0 3.0
97 55.486328125 49.0 2.185546875 0.0 3.0
98 55.580078125 49.0 2.1767578125 0.0 3.0
99 55.580078125 49.0 2.1767578125 0.0 3.0
100 55.580078125 49.0 2.15625 0.0 3.0
101 55.580078125 49.0 2.15625 0.0 3.0
102 55.84375 49.0 2.14453125 0.0 3.0
103 55.84375 49.0 2.14453125 0.0 3.0
104 55.9140625 49.0 2.1357421875 0.0 3.0
105 55.9140625 49.0 2.1357421875 0.0 3.0
106 63.0078125 56.0 2.1240234375 0.0 2.0
107 63.0078125 56.0 2.1240234375 0.0 2.0
108 63.0546875 56.0 2.1181640625 0.0 2.0
109 63.0546875 56.0 2.1181640625 0.0 2.0
110 63.1484375 56.0 2.1064453125 0.0 2.0
111 63.1484375 56.0 2.1064453125 0.0 2.0
112 63.21875 56.0 2.09765625 0.0 2.0
113 63.21875 56.0 2.09765625 0.0 2.0
114 64.2236328125 56.0 2.0859375 0.0 2.0
115 64.2236328125 56.0 2.0859375 0.0 2.0
116 64.3056640625 56.0 2.0771484375 0.0 2.0
117 64.3056640625 56.0 2.0771484375 0.0 2.0
118 64.3583984375 56.0 2.0712890625 0.0 2.0
119 64.3583984375 56.0 2.0712890625 0.0 2.0
120 64.3583984375 56.0 2.0625 0.0 2.0
121 64.3583984375 56.0 2.0625 0.0 2.0
122 64.490234375 56.0 2.056640625 0.0 2.0
123 64.490234375 56.0 2.056640625 0.0 2.0
124 64.490234375 56.0 2.056640625 0.0 2.0
125 64.490234375 56.0 2.0478515625 0.0 3.0
126 64.490234375 56.0 2.0478515625 0.0 3.0
127 64.75390625 56.0 2.02734375 0.0 2.0
128 64.75390625 56.0 2.015625 0.0 2.0
129 64.75390625 56.0 2.015625 0.0 2.0
130 64.75390625 56.0 2.0068359375 0.0 2.0
131 64.75390625 56.0 2.0068359375 0.0 2.0
132 64.9912109375 56.0 2.0009765625 0.0 2.0
133 64.9912109375 56.0 2.0009765625 0.0 2.0
134 64.9912109375 56.0 2.0009765625 0.0 2.0
135 64.9912109375 56.0 2.0009765625 0.0 2.0
136 65.0673828125 56.0 1.9921875 0.0 2.0
137 65.0673828125 56.0 1.9921875 0.0 2.0
138 65.0673828125 56.0 1.9833984375 0.0 2.0
139 65.0673828125 56.0 1.9833984375 0.0 2.0
140 65.0673828125 56.0 1.9833984375 0.0 2.0
141 65.1494140625 56.0 1.9833984375 0.0 2.0
142 65.1494140625 56.0 1.9833984375 0.0 2.0
143 65.1494140625 56.0 1.9716796875 0.0 2.0
144 65.1494140625 56.0 1.9716796875 0.0 2.0
145 65.3046875 56.0 1.9658203125 0.0 2.0
146 65.3046875 56.0 1.9658203125 0.0 2.0
147 65.3310546875 56.0 1.962890625 0.0 2.0
148 65.3310546875 56.0 1.962890625 0.0 2.0
149 65.41015625 56.0 1.9541015625 0.0 2.0
150 65.4658203125 56.0 1.9482421875 0.0 2.0
151 65.4658203125 56.0 1.9482421875 0.0 2.0
152 65.6240234375 56.0 1.9306640625 0.0 2.0
153 65.6240234375 56.0 1.9306640625 0.0 2.0
154 65.6240234375 56.0 1.921875 0.0 2.0
155 65.6240234375 56.0 1.921875 0.0 2.0
156 65.6240234375 56.0 1.9130859375 0.0 2.0
157 65.6240234375 56.0 1.9130859375 0.0 2.0
158 65.6240234375 56.0 1.9013671875 0.0 2.0
159 65.6240234375 56.0 1.9013671875 0.0 2.0
160 65.6240234375 56.0 1.8984375 0.0 2.0
161 65.6240234375 56.0 1.8984375 0.0 2.0
162 65.6240234375 56.0 1.8984375 0.0 2.0
163 65.6240234375 56.0 1.8984375 0.0 2.0
164 65.6240234375 56.0 1.8896484375 0.0 2.0
165 65.6240234375 56.0 1.8896484375 0.0 2.0
166 65.6240234375 56.0 1.8837890625 0.0 2.0
167 65.6240234375 56.0 1.8837890625 0.0 2.0
168 66.0693359375 56.0 1.880859375 0.0 2.0
169 66.0693359375 56.0 1.880859375 0.0 2.0
170 66.1513671875 56.0 1.8720703125 0.0 2.0
171 66.1513671875 56.0 1.8720703125 0.0 2.0
172 66.248046875 56.0 1.8603515625 0.0 2.0
173 66.248046875 56.0 1.8603515625 0.0 2.0
174 66.248046875 56.0 1.845703125 0.0 2.0
175 66.248046875 56.0 1.845703125 0.0 2.0
176 66.4677734375 56.0 1.8369140625 0.0 2.0
177 66.4677734375 56.0 1.833984375 0.0 2.0
178 66.4677734375 56.0 1.833984375 0.0 2.0
179 66.4677734375 56.0 1.828125 0.0 2.0
180 66.4677734375 56.0 1.828125 0.0 2.0
181 66.4677734375 56.0 1.8193359375 0.0 2.0
182 66.4677734375 56.0 1.8193359375 0.0 2.0
183 66.4677734375 56.0 1.8193359375 0.0 2.0
184 66.4677734375 56.0 1.8193359375 0.0 2.0
185 66.67578125 56.0 1.8134765625 0.0 2.0
186 66.67578125 56.0 1.8134765625 0.0 2.0
187 66.7314453125 56.0 1.8076171875 0.0 2.0
188 66.7578125 56.0 1.8046875 0.0 2.0
189 66.7578125 56.0 1.8017578125 0.0 2.0
190 66.7578125 56.0 1.8017578125 0.0 2.0
191 66.86328125 56.0 1.79296875 0.0 2.0
192 66.8896484375 56.0 1.7900390625 0.0 2.0
193 66.8896484375 56.0 1.7900390625 0.0 2.0
194 66.8896484375 56.0 1.7841796875 0.0 2.0
195 66.8896484375 56.0 1.7841796875 0.0 2.0
196 66.8896484375 56.0 1.7783203125 0.0 2.0
197 66.8896484375 56.0 1.7783203125 0.0 2.0
198 66.8896484375 56.0 1.76953125 0.0 2.0
199 66.8896484375 56.0 1.76953125 0.0 2.0
200 66.8896484375 56.0 1.763671875 0.0 2.0
201 66.8896484375 56.0 1.763671875 0.0 2.0
202 67.1796875 56.0 1.7578125 0.0 2.0
203 67.1796875 56.0 1.7578125 0.0 2.0
204 67.1796875 56.0 1.7578125 0.0 2.0
205 67.1796875 56.0 1.751953125 0.0 2.0
206 67.1796875 56.0 1.751953125 0.0 2.0
207 67.1796875 56.0 1.7490234375 0.0 2.0
208 67.1796875 56.0 1.7490234375 0.0 2.0
209 67.1796875 56.0 1.7431640625 0.0 2.0
210 67.1796875 56.0 1.7431640625 0.0 2.0
211 67.1796875 56.0 1.7431640625 0.0 2.0
212 67.1796875 56.0 1.740234375 0.0 2.0
213 67.1796875 56.0 1.740234375 0.0 2.0
214 67.4169921875 56.0 1.7314453125 0.0 2.0
215 67.4169921875 56.0 1.7314453125 0.0 2.0
216 67.4169921875 56.0 1.72265625 0.0 2.0
217 67.4169921875 56.0 1.72265625 0.0 2.0
218 67.49609375 56.0 1.72265625 0.0 2.0
219 67.49609375 56.0 1.72265625 0.0 2.0
220 67.51953125 56.0 1.7197265625 0.0 2.0
221 67.51953125 56.0 1.7197265625 0.0 2.0
222 67.51953125 56.0 1.716796875 0.0 2.0
223 67.51953125 56.0 1.716796875 0.0 2.0
224 67.5751953125 56.0 1.7138671875 0.0 2.0
225 67.5751953125 56.0 1.7138671875 0.0 2.0
226 67.5751953125 56.0 1.705078125 0.0 2.0
227 67.5751953125 56.0 1.705078125 0.0 2.0
228 67.654296875 56.0 1.705078125 0.0 2.0
229 67.654296875 56.0 1.705078125 0.0 2.0
230 67.654296875 56.0 1.6962890625 0.0 3.0
231 67.654296875 56.0 1.6962890625 0.0 3.0
232 67.654296875 56.0 1.6962890625 0.0 3.0
233 67.654296875 56.0 1.693359375 0.0 3.0
234 67.654296875 56.0 1.693359375 0.0 3.0
235 67.654296875 56.0 1.693359375 0.0 2.0
236 67.654296875 56.0 1.693359375 0.0 2.0
237 67.654296875 56.0 1.6904296875 0.0 2.0
238 67.654296875 56.0 1.6904296875 0.0 2.0
239 67.654296875 56.0 1.6875 0.0 2.0
240 67.654296875 56.0 1.6875 0.0 2.0
241 67.654296875 56.0 1.67578125 0.0 2.0
242 67.654296875 56.0 1.67578125 0.0 2.0
243 67.654296875 56.0 1.67578125 0.0 2.0
244 67.91796875 56.0 1.67578125 0.0 2.0
245 67.91796875 56.0 1.6728515625 0.0 2.0
246 67.91796875 56.0 1.6728515625 0.0 2.0
247 67.91796875 56.0 1.669921875 0.0 2.0
248 67.91796875 56.0 1.669921875 0.0 2.0
249 68.046875 56.0 1.6611328125 0.0 2.0
250 68.046875 56.0 1.6611328125 0.0 2.0
251 68.046875 56.0 1.6552734375 0.0 2.0
252 68.046875 56.0 1.6552734375 0.0 2.0
253 68.1259765625 56.0 1.65234375 0.0 2.0
254 68.1259765625 56.0 1.65234375 0.0 2.0
255 68.1552734375 56.0 1.6494140625 0.0 2.0
256 68.1552734375 56.0 1.6494140625 0.0 2.0
257 68.1552734375 56.0 1.646484375 0.0 2.0
258 68.1552734375 56.0 1.646484375 0.0 2.0
259 68.1552734375 56.0 1.640625 0.0 2.0
260 68.1552734375 56.0 1.640625 0.0 2.0
261 68.1552734375 56.0 1.634765625 0.0 2.0
262 68.1552734375 56.0 1.634765625 0.0 2.0
263 68.3134765625 56.0 1.6318359375 0.0 2.0
264 68.3134765625 56.0 1.6318359375 0.0 2.0
265 68.3134765625 56.0 1.6318359375 0.0 2.0
266 68.3662109375 56.0 1.6259765625 0.0 2.0
267 68.3662109375 56.0 1.6259765625 0.0 2.0
268 68.392578125 56.0 1.623046875 0.0 2.0
269 68.392578125 56.0 1.623046875 0.0 2.0
270 68.392578125 56.0 1.623046875 0.0 2.0
271 68.392578125 56.0 1.623046875 0.0 2.0
272 68.392578125 56.0 1.623046875 0.0 2.0
273 68.392578125 56.0 1.6201171875 0.0 2.0
274 68.392578125 56.0 1.6201171875 0.0 2.0
275 68.392578125 56.0 1.6201171875 0.0 2.0
276 68.5244140625 56.0 1.6083984375 0.0 2.0
277 68.5244140625 56.0 1.6083984375 0.0 2.0
278 68.5771484375 56.0 1.6025390625 0.0 2.0
279 68.5771484375 56.0 1.6025390625 0.0 2.0
280 68.5771484375 56.0 1.6025390625 0.0 2.0
281 68.5771484375 56.0 1.6025390625 0.0 2.0
282 68.5771484375 56.0 1.59375 0.0 2.0
283 68.5771484375 56.0 1.59375 0.0 2.0
284 68.5771484375 56.0 1.59375 0.0 2.0
285 68.5771484375 56.0 1.5908203125 0.0 2.0
286 68.5771484375 56.0 1.5908203125 0.0 2.0
287 68.708984375 56.0 1.587890625 0.0 2.0
288 68.708984375 56.0 1.587890625 0.0 2.0
289 68.708984375 56.0 1.5849609375 0.0 2.0
290 68.708984375 56.0 1.5849609375 0.0 2.0
291 68.708984375 56.0 1.5849609375 0.0 2.0
292 68.708984375 56.0 1.5849609375 0.0 2.0
293 68.708984375 56.0 1.5849609375 0.0 2.0
294 68.708984375 56.0 1.5849609375 0.0 2.0
295 68.708984375 56.0 1.5849609375 0.0 2.0
296 68.708984375 56.0 1.5849609375 0.0 2.0
297 68.708984375 56.0 1.5849609375 0.0 2.0
298 68.708984375 56.0 1.5849609375 0.0 2.0
299 68.708984375 56.0 1.5849609375 0.0 2.0
300 68.708984375 56.0 1.5849609375 0.0 2.0
301 68.708984375 56.0 1.5849609375 0.0 2.0
