gen HV HVnoDiscount fitness_notKilledMutants notKilledNonEqMutants fitness_testSuiteSize
1 26.041015625 25.0 5.8515625 6.0 5.0
2 26.041015625 25.0 5.8515625 6.0 5.0
3 28.3349609375 28.0 5.8515625 6.0 5.0
4 28.3349609375 28.0 4.947265625 5.0 5.0
5 28.3349609375 28.0 4.947265625 5.0 5.0
6 28.3349609375 28.0 4.947265625 5.0 5.0
7 28.3349609375 28.0 4.947265625 5.0 5.0
8 28.3349609375 28.0 4.947265625 5.0 5.0
9 28.3349609375 28.0 4.947265625 5.0 5.0
10 28.3349609375 28.0 4.947265625 5.0 5.0
11 30.509765625 30.0 4.927734375 5.0 4.0
12 30.509765625 30.0 4.927734375 5.0 4.0
13 30.509765625 30.0 4.9169921875 5.0 4.0
14 30.509765625 30.0 4.9169921875 5.0 4.0
15 30.52734375 30.0 4.912109375 5.0 4.0
16 52.6337890625 52.0 1.91015625 2.0 4.0
17 52.6337890625 52.0 1.90234375 2.0 4.0
18 52.6337890625 52.0 1.90234375 2.0 4.0
19 54.0 54.0 1.0 1.0 4.0
20 54.0 54.0 1.0 1.0 4.0
21 54.0 54.0 1.0 1.0 4.0
22 54.0 54.0 1.0 1.0 4.0
23 62.0 62.0 1.0 1.0 4.0
24 62.0 62.0 1.0 1.0 4.0
25 62.0 62.0 1.0 1.0 4.0
26 62.0 62.0 1.0 1.0 4.0
27 62.0 62.0 1.0 1.0 4.0
28 62.0 62.0 1.0 1.0 4.0
29 62.0 62.0 1.0 1.0 4.0
30 62.0 62.0 1.0 1.0 4.0
31 62.0 62.0 1.0 1.0 4.0
32 62.0 62.0 1.0 1.0 4.0
33 62.0 62.0 1.0 1.0 4.0
34 62.0 62.0 1.0 1.0 4.0
35 62.0 62.0 1.0 1.0 4.0
36 62.0 62.0 1.0 1.0 4.0
37 62.0 62.0 1.0 1.0 4.0
38 62.0 62.0 1.0 1.0 4.0
39 62.0 62.0 1.0 1.0 4.0
40 62.0 62.0 1.0 1.0 4.0
41 62.0 62.0 1.0 1.0 4.0
42 62.0 62.0 1.0 1.0 4.0
43 62.0 62.0 1.0 1.0 4.0
44 62.0 62.0 1.0 1.0 4.0
45 62.0 62.0 1.0 1.0 4.0
46 62.0 62.0 1.0 1.0 4.0
47 62.0 62.0 1.0 1.0 4.0
48 62.0 62.0 1.0 1.0 4.0
49 62.0 62.0 0.0 0.0 5.0
50 62.0 62.0 0.0 0.0 5.0
51 62.0 62.0 0.0 0.0 5.0
52 62.0 62.0 0.0 0.0 5.0
53 62.0 62.0 0.0 0.0 5.0
54 62.0 62.0 0.0 0.0 5.0
55 62.0 62.0 0.0 0.0 5.0
56 62.0 62.0 0.0 0.0 5.0
57 62.0 62.0 0.0 0.0 5.0
58 62.0 62.0 0.0 0.0 5.0
59 62.0 62.0 0.0 0.0 5.0
60 62.0 62.0 0.0 0.0 5.0
61 62.0 62.0 0.0 0.0 5.0
62 62.0 62.0 0.0 0.0 5.0
63 62.0 62.0 0.0 0.0 5.0
64 62.0 62.0 0.0 0.0 5.0
65 62.0 62.0 0.0 0.0 5.0
66 62.0 62.0 0.0 0.0 5.0
67 62.0 62.0 0.0 0.0 5.0
68 62.0 62.0 0.0 0.0 5.0
69 62.0 62.0 0.0 0.0 5.0
70 62.0 62.0 0.0 0.0 5.0
71 62.0 62.0 0.0 0.0 5.0
72 62.0 62.0 0.0 0.0 5.0
73 62.0 62.0 0.0 0.0 5.0
74 62.0 62.0 0.0 0.0 5.0
75 62.0 62.0 0.0 0.0 5.0
76 62.0 62.0 0.0 0.0 5.0
77 62.0 62.0 0.0 0.0 5.0
78 62.0 62.0 0.0 0.0 5.0
79 62.0 62.0 0.0 0.0 5.0
80 62.0 62.0 0.0 0.0 5.0
81 62.0 62.0 0.0 0.0 5.0
82 63.0 63.0 0.0 0.0 5.0
83 63.0 63.0 0.0 0.0 5.0
84 63.0 63.0 0.0 0.0 5.0
85 63.0 63.0 0.0 0.0 5.0
86 63.0 63.0 0.0 0.0 5.0
87 63.0 63.0 0.0 0.0 5.0
88 63.0 63.0 0.0 0.0 5.0
89 63.0 63.0 0.0 0.0 5.0
90 63.0 63.0 0.0 0.0 5.0
91 63.0 63.0 0.0 0.0 4.0
92 63.0 63.0 0.0 0.0 4.0
93 63.0 63.0 0.0 0.0 4.0
94 63.0 63.0 0.0 0.0 4.0
95 63.0 63.0 0.0 0.0 4.0
96 63.0 63.0 0.0 0.0 4.0
97 63.0 63.0 0.0 0.0 4.0
98 63.0 63.0 0.0 0.0 4.0
99 63.0 63.0 0.0 0.0 4.0
100 63.0 63.0 0.0 0.0 4.0
101 63.0 63.0 0.0 0.0 4.0
102 63.0 63.0 0.0 0.0 4.0
103 67.0 67.0 0.0 0.0 4.0
104 67.0 67.0 0.0 0.0 4.0
105 67.0 67.0 0.0 0.0 4.0
106 67.0 67.0 0.0 0.0 4.0
107 67.0 67.0 0.0 0.0 4.0
108 67.0 67.0 0.0 0.0 4.0
109 67.0 67.0 0.0 0.0 4.0
110 67.0 67.0 0.0 0.0 4.0
111 67.0 67.0 0.0 0.0 4.0
112 67.0 67.0 0.0 0.0 4.0
113 67.0 67.0 0.0 0.0 4.0
114 67.0 67.0 0.0 0.0 4.0
115 67.0 67.0 0.0 0.0 4.0
116 67.0 67.0 0.0 0.0 4.0
117 67.0 67.0 0.0 0.0 4.0
118 67.0 67.0 0.0 0.0 4.0
119 67.0 67.0 0.0 0.0 4.0
120 67.0 67.0 0.0 0.0 4.0
121 67.0 67.0 0.0 0.0 4.0
122 67.0 67.0 0.0 0.0 4.0
123 67.0 67.0 0.0 0.0 4.0
