gen HV HVnoDiscount fitness_notKilledMutants notKilledNonEqMutants fitness_testSuiteSize
1 15.63671875 4.0 8.19140625 6.0 6.0
2 16.171875 4.0 8.19140625 6.0 6.0
3 16.171875 4.0 7.2421875 6.0 6.0
4 25.1015625 9.0 7.2421875 6.0 6.0
5 25.1015625 9.0 7.2421875 6.0 6.0
6 25.1015625 9.0 7.2421875 6.0 6.0
7 25.1015625 9.0 7.21875 6.0 6.0
8 25.1015625 9.0 7.21875 6.0 6.0
9 32.21875 28.0 2.296875 0.0 6.0
10 32.21875 28.0 2.296875 0.0 6.0
11 70.6171875 63.0 2.23828125 0.0 1.0
12 70.6171875 63.0 2.23828125 0.0 1.0
13 71.203125 63.0 2.1796875 0.0 1.0
14 71.203125 63.0 2.1796875 0.0 1.0
15 71.203125 63.0 2.1796875 0.0 1.0
16 71.203125 63.0 2.1796875 0.0 1.0
17 71.203125 63.0 2.1796875 0.0 1.0
18 71.203125 63.0 2.1796875 0.0 1.0
19 71.203125 63.0 2.1796875 0.0 1.0
20 71.203125 63.0 2.1796875 0.0 1.0
21 71.203125 63.0 2.1796875 0.0 1.0
22 71.203125 63.0 2.1796875 0.0 1.0
23 71.203125 63.0 2.1796875 0.0 1.0
24 71.203125 63.0 2.1796875 0.0 1.0
25 71.203125 63.0 2.1796875 0.0 1.0
26 71.203125 63.0 2.1796875 0.0 1.0
27 71.203125 63.0 2.1796875 0.0 1.0
28 71.203125 63.0 2.1796875 0.0 1.0
29 71.203125 63.0 2.1796875 0.0 1.0
30 71.203125 63.0 2.1796875 0.0 1.0
31 71.203125 63.0 2.1796875 0.0 1.0
32 71.203125 63.0 2.1796875 0.0 1.0
33 71.203125 63.0 2.1796875 0.0 1.0
34 71.203125 63.0 2.1796875 0.0 1.0
35 71.203125 63.0 2.1796875 0.0 1.0
36 71.203125 63.0 2.1796875 0.0 1.0
37 71.203125 63.0 2.1796875 0.0 1.0
38 71.203125 63.0 2.1796875 0.0 1.0
39 71.203125 63.0 2.1796875 0.0 1.0
40 71.203125 63.0 2.1796875 0.0 1.0
41 71.203125 63.0 2.1796875 0.0 1.0
42 71.203125 63.0 2.1796875 0.0 1.0
43 71.203125 63.0 2.1796875 0.0 1.0
44 71.203125 63.0 2.1796875 0.0 1.0
45 72.609375 63.0 2.0390625 0.0 1.0
46 72.609375 63.0 2.0390625 0.0 1.0
47 72.609375 63.0 2.0390625 0.0 1.0
48 72.609375 63.0 2.0390625 0.0 1.0
49 72.609375 63.0 2.0390625 0.0 1.0
50 72.609375 63.0 2.0390625 0.0 1.0
51 72.609375 63.0 2.0390625 0.0 1.0
52 72.609375 63.0 2.0390625 0.0 1.0
53 72.609375 63.0 2.0390625 0.0 1.0
54 72.609375 63.0 2.0390625 0.0 1.0
55 72.609375 63.0 2.0390625 0.0 1.0
56 72.609375 63.0 2.0390625 0.0 1.0
57 72.609375 63.0 2.0390625 0.0 1.0
58 72.609375 63.0 2.0390625 0.0 1.0
59 72.609375 63.0 2.0390625 0.0 1.0
60 72.609375 63.0 2.0390625 0.0 1.0
61 72.609375 63.0 2.0390625 0.0 1.0
62 72.609375 63.0 2.0390625 0.0 1.0
63 72.609375 63.0 2.0390625 0.0 1.0
64 72.609375 63.0 2.0390625 0.0 1.0
65 72.609375 63.0 2.0390625 0.0 1.0
66 72.609375 63.0 2.0390625 0.0 1.0
67 72.609375 63.0 2.0390625 0.0 1.0
68 72.609375 63.0 2.0390625 0.0 1.0
69 72.609375 63.0 2.0390625 0.0 1.0
70 73.546875 63.0 1.9453125 0.0 1.0
71 73.546875 63.0 1.9453125 0.0 1.0
72 73.546875 63.0 1.9453125 0.0 1.0
73 73.546875 63.0 1.9453125 0.0 1.0
74 73.546875 63.0 1.9453125 0.0 1.0
75 73.546875 63.0 1.9453125 0.0 1.0
76 73.546875 63.0 1.9453125 0.0 1.0
77 73.546875 63.0 1.9453125 0.0 1.0
78 73.546875 63.0 1.9453125 0.0 1.0
79 73.78125 63.0 1.921875 0.0 1.0
80 73.78125 63.0 1.921875 0.0 1.0
81 73.78125 63.0 1.921875 0.0 1.0
82 73.78125 63.0 1.921875 0.0 1.0
83 73.78125 63.0 1.921875 0.0 1.0
84 73.78125 63.0 1.921875 0.0 1.0
85 73.78125 63.0 1.921875 0.0 1.0
86 73.78125 63.0 1.921875 0.0 1.0
87 73.78125 63.0 1.921875 0.0 1.0
88 73.78125 63.0 1.921875 0.0 1.0
89 73.78125 63.0 1.921875 0.0 1.0
90 73.78125 63.0 1.921875 0.0 1.0
91 73.78125 63.0 1.921875 0.0 1.0
92 73.78125 63.0 1.921875 0.0 1.0
93 73.78125 63.0 1.921875 0.0 1.0
94 73.78125 63.0 1.921875 0.0 1.0
95 73.78125 63.0 1.921875 0.0 1.0
96 73.78125 63.0 1.921875 0.0 1.0
97 73.78125 63.0 1.921875 0.0 1.0
98 73.78125 63.0 1.921875 0.0 1.0
99 73.78125 63.0 1.921875 0.0 1.0
100 73.78125 63.0 1.921875 0.0 1.0
101 73.78125 63.0 1.921875 0.0 1.0
102 73.78125 63.0 1.921875 0.0 1.0
103 74.25 63.0 1.875 0.0 1.0
104 74.25 63.0 1.875 0.0 1.0
