gen HV HVnoDiscount fitness_notKilledMutants notKilledNonEqMutants fitness_testSuiteSize
1 71.03515625 71.0 0.0 0.0 4.0
2 71.03515625 71.0 0.0 0.0 4.0
3 71.03515625 71.0 0.0 0.0 4.0
4 71.03515625 71.0 0.0 0.0 3.0
5 80.0 80.0 0.0 0.0 2.0
6 80.0 80.0 0.0 0.0 2.0
7 80.0 80.0 0.0 0.0 2.0
8 80.0 80.0 0.0 0.0 2.0
9 85.0 85.0 0.0 0.0 2.0
10 85.0 85.0 0.0 0.0 2.0
11 85.0 85.0 0.0 0.0 2.0
12 85.0 85.0 0.0 0.0 2.0
13 85.0 85.0 0.0 0.0 2.0
14 85.0 85.0 0.0 0.0 2.0
15 85.0 85.0 0.0 0.0 2.0
16 85.0 85.0 0.0 0.0 2.0
17 85.0 85.0 0.0 0.0 2.0
18 85.0 85.0 0.0 0.0 2.0
19 85.0 85.0 0.0 0.0 2.0
20 85.0 85.0 0.0 0.0 2.0
21 85.0 85.0 0.0 0.0 2.0
22 85.0 85.0 0.0 0.0 2.0
23 85.0 85.0 0.0 0.0 2.0
24 85.0 85.0 0.0 0.0 2.0
25 85.0 85.0 0.0 0.0 2.0
26 85.0 85.0 0.0 0.0 2.0
27 85.0 85.0 0.0 0.0 2.0
28 85.0 85.0 0.0 0.0 2.0
29 85.0 85.0 0.0 0.0 2.0
30 85.0 85.0 0.0 0.0 2.0
31 85.0 85.0 0.0 0.0 2.0
32 85.0 85.0 0.0 0.0 2.0
33 85.0 85.0 0.0 0.0 2.0
34 85.0 85.0 0.0 0.0 2.0
35 85.0 85.0 0.0 0.0 2.0
36 85.0 85.0 0.0 0.0 2.0
37 85.0 85.0 0.0 0.0 2.0
38 85.0 85.0 0.0 0.0 2.0
39 85.0 85.0 0.0 0.0 2.0
40 85.0 85.0 0.0 0.0 2.0
41 85.0 85.0 0.0 0.0 2.0
42 85.0 85.0 0.0 0.0 2.0
43 85.0 85.0 0.0 0.0 2.0
44 85.0 85.0 0.0 0.0 2.0
45 85.0 85.0 0.0 0.0 2.0
46 85.0 85.0 0.0 0.0 2.0
47 85.0 85.0 0.0 0.0 2.0
48 85.0 85.0 0.0 0.0 2.0
49 85.0 85.0 0.0 0.0 2.0
50 85.0 85.0 0.0 0.0 2.0
51 85.0 85.0 0.0 0.0 2.0
52 85.0 85.0 0.0 0.0 2.0
53 85.0 85.0 0.0 0.0 2.0
54 85.0 85.0 0.0 0.0 2.0
55 85.0 85.0 0.0 0.0 2.0
56 85.0 85.0 0.0 0.0 2.0
57 85.0 85.0 0.0 0.0 2.0
58 85.0 85.0 0.0 0.0 2.0
59 85.0 85.0 0.0 0.0 2.0
60 85.0 85.0 0.0 0.0 2.0
61 85.0 85.0 0.0 0.0 2.0
62 85.0 85.0 0.0 0.0 2.0
63 85.0 85.0 0.0 0.0 2.0
64 85.0 85.0 0.0 0.0 2.0
65 85.0 85.0 0.0 0.0 2.0
66 85.0 85.0 0.0 0.0 2.0
67 85.0 85.0 0.0 0.0 2.0
68 85.0 85.0 0.0 0.0 2.0
69 85.0 85.0 0.0 0.0 2.0
70 85.0 85.0 0.0 0.0 2.0
71 85.0 85.0 0.0 0.0 2.0
72 85.0 85.0 0.0 0.0 2.0
73 85.0 85.0 0.0 0.0 2.0
74 85.0 85.0 0.0 0.0 2.0
75 85.0 85.0 0.0 0.0 2.0
76 85.0 85.0 0.0 0.0 2.0
77 85.0 85.0 0.0 0.0 2.0
78 85.0 85.0 0.0 0.0 2.0
79 85.0 85.0 0.0 0.0 2.0
80 85.0 85.0 0.0 0.0 2.0
81 85.0 85.0 0.0 0.0 2.0
82 85.0 85.0 0.0 0.0 2.0
83 85.0 85.0 0.0 0.0 2.0
84 85.0 85.0 0.0 0.0 2.0
85 85.0 85.0 0.0 0.0 2.0
86 85.0 85.0 0.0 0.0 2.0
87 85.0 85.0 0.0 0.0 2.0
88 85.0 85.0 0.0 0.0 2.0
89 85.0 85.0 0.0 0.0 2.0
90 85.0 85.0 0.0 0.0 2.0
91 85.0 85.0 0.0 0.0 2.0
92 85.0 85.0 0.0 0.0 2.0
93 85.0 85.0 0.0 0.0 2.0
94 85.0 85.0 0.0 0.0 2.0
95 85.0 85.0 0.0 0.0 2.0
96 85.0 85.0 0.0 0.0 2.0
97 85.0 85.0 0.0 0.0 2.0
98 85.0 85.0 0.0 0.0 2.0
99 85.0 85.0 0.0 0.0 2.0
100 85.0 85.0 0.0 0.0 2.0
101 85.0 85.0 0.0 0.0 2.0
102 85.0 85.0 0.0 0.0 2.0
103 85.0 85.0 0.0 0.0 2.0
104 85.0 85.0 0.0 0.0 2.0
105 85.0 85.0 0.0 0.0 2.0
106 85.0 85.0 0.0 0.0 2.0
107 85.0 85.0 0.0 0.0 2.0
108 85.0 85.0 0.0 0.0 2.0
109 85.0 85.0 0.0 0.0 2.0
110 85.0 85.0 0.0 0.0 2.0
111 85.0 85.0 0.0 0.0 2.0
112 85.0 85.0 0.0 0.0 2.0
113 85.0 85.0 0.0 0.0 2.0
114 85.0 85.0 0.0 0.0 2.0
115 85.0 85.0 0.0 0.0 2.0
116 85.0 85.0 0.0 0.0 2.0
117 85.0 85.0 0.0 0.0 2.0
118 85.0 85.0 0.0 0.0 2.0
119 85.0 85.0 0.0 0.0 2.0
120 85.0 85.0 0.0 0.0 2.0
121 85.0 85.0 0.0 0.0 2.0
122 85.0 85.0 0.0 0.0 2.0
123 85.0 85.0 0.0 0.0 2.0
124 85.0 85.0 0.0 0.0 2.0
125 85.0 85.0 0.0 0.0 2.0
126 85.0 85.0 0.0 0.0 2.0
127 85.0 85.0 0.0 0.0 2.0
128 85.0 85.0 0.0 0.0 2.0
129 85.0 85.0 0.0 0.0 2.0
130 85.0 85.0 0.0 0.0 2.0
131 85.0 85.0 0.0 0.0 2.0
132 86.0 86.0 0.0 0.0 2.0
133 86.0 86.0 0.0 0.0 2.0
134 86.0 86.0 0.0 0.0 2.0
135 86.0 86.0 0.0 0.0 2.0
136 86.0 86.0 0.0 0.0 2.0
137 86.0 86.0 0.0 0.0 2.0
138 86.0 86.0 0.0 0.0 2.0
139 86.0 86.0 0.0 0.0 2.0
140 86.0 86.0 0.0 0.0 2.0
141 86.0 86.0 0.0 0.0 2.0
142 86.0 86.0 0.0 0.0 2.0
143 86.0 86.0 0.0 0.0 2.0
144 86.0 86.0 0.0 0.0 2.0
145 86.0 86.0 0.0 0.0 2.0
146 86.0 86.0 0.0 0.0 2.0
147 86.0 86.0 0.0 0.0 2.0
148 86.0 86.0 0.0 0.0 2.0
149 86.0 86.0 0.0 0.0 2.0
150 86.0 86.0 0.0 0.0 2.0
151 86.0 86.0 0.0 0.0 2.0
152 86.0 86.0 0.0 0.0 2.0
153 86.0 86.0 0.0 0.0 2.0
154 86.0 86.0 0.0 0.0 2.0
155 86.0 86.0 0.0 0.0 2.0
156 86.0 86.0 0.0 0.0 2.0
157 86.0 86.0 0.0 0.0 2.0
158 86.0 86.0 0.0 0.0 2.0
159 86.0 86.0 0.0 0.0 2.0
160 86.0 86.0 0.0 0.0 2.0
161 86.0 86.0 0.0 0.0 2.0
162 86.0 86.0 0.0 0.0 2.0
163 86.0 86.0 0.0 0.0 2.0
164 86.0 86.0 0.0 0.0 2.0
165 86.0 86.0 0.0 0.0 2.0
166 86.0 86.0 0.0 0.0 2.0
167 86.0 86.0 0.0 0.0 2.0
168 86.0 86.0 0.0 0.0 2.0
169 86.0 86.0 0.0 0.0 2.0
170 86.0 86.0 0.0 0.0 2.0
171 86.0 86.0 0.0 0.0 2.0
172 86.0 86.0 0.0 0.0 2.0
173 86.0 86.0 0.0 0.0 2.0
174 86.0 86.0 0.0 0.0 2.0
175 86.0 86.0 0.0 0.0 2.0
176 86.0 86.0 0.0 0.0 2.0
177 86.0 86.0 0.0 0.0 2.0
178 86.0 86.0 0.0 0.0 2.0
179 86.0 86.0 0.0 0.0 2.0
180 86.0 86.0 0.0 0.0 2.0
181 86.0 86.0 0.0 0.0 2.0
182 86.0 86.0 0.0 0.0 2.0
183 86.0 86.0 0.0 0.0 2.0
184 86.0 86.0 0.0 0.0 2.0
185 86.0 86.0 0.0 0.0 2.0
186 86.0 86.0 0.0 0.0 2.0
187 86.0 86.0 0.0 0.0 2.0
188 86.0 86.0 0.0 0.0 2.0
189 86.0 86.0 0.0 0.0 2.0
190 86.0 86.0 0.0 0.0 2.0
191 86.0 86.0 0.0 0.0 2.0
192 86.0 86.0 0.0 0.0 2.0
193 86.0 86.0 0.0 0.0 2.0
194 86.0 86.0 0.0 0.0 2.0
195 86.0 86.0 0.0 0.0 2.0
196 86.0 86.0 0.0 0.0 2.0
197 86.0 86.0 0.0 0.0 2.0
198 86.0 86.0 0.0 0.0 2.0
199 86.0 86.0 0.0 0.0 2.0
200 86.0 86.0 0.0 0.0 2.0
201 86.0 86.0 0.0 0.0 2.0
202 86.0 86.0 0.0 0.0 2.0
203 86.0 86.0 0.0 0.0 2.0
204 86.0 86.0 0.0 0.0 2.0
205 86.0 86.0 0.0 0.0 2.0
206 86.0 86.0 0.0 0.0 2.0
207 86.0 86.0 0.0 0.0 2.0
208 86.0 86.0 0.0 0.0 2.0
209 86.0 86.0 0.0 0.0 2.0
210 86.0 86.0 0.0 0.0 2.0
211 86.0 86.0 0.0 0.0 2.0
212 86.0 86.0 0.0 0.0 2.0
213 86.0 86.0 0.0 0.0 2.0
214 86.0 86.0 0.0 0.0 2.0
215 86.0 86.0 0.0 0.0 2.0
216 86.0 86.0 0.0 0.0 2.0
217 86.0 86.0 0.0 0.0 2.0
218 86.0 86.0 0.0 0.0 2.0
219 86.0 86.0 0.0 0.0 2.0
220 86.0 86.0 0.0 0.0 2.0
221 86.0 86.0 0.0 0.0 2.0
222 86.0 86.0 0.0 0.0 2.0
223 86.0 86.0 0.0 0.0 2.0
224 86.0 86.0 0.0 0.0 2.0
225 86.0 86.0 0.0 0.0 2.0
226 86.0 86.0 0.0 0.0 2.0
227 86.0 86.0 0.0 0.0 2.0
228 86.0 86.0 0.0 0.0 2.0
229 86.0 86.0 0.0 0.0 2.0
230 87.0 87.0 0.0 0.0 2.0
231 87.0 87.0 0.0 0.0 2.0
232 87.0 87.0 0.0 0.0 2.0
233 87.0 87.0 0.0 0.0 2.0
234 87.0 87.0 0.0 0.0 2.0
235 87.0 87.0 0.0 0.0 2.0
236 87.0 87.0 0.0 0.0 2.0
237 87.0 87.0 0.0 0.0 2.0
238 87.0 87.0 0.0 0.0 2.0
239 87.0 87.0 0.0 0.0 2.0
240 87.0 87.0 0.0 0.0 2.0
241 87.0 87.0 0.0 0.0 2.0
242 87.0 87.0 0.0 0.0 2.0
243 87.0 87.0 0.0 0.0 2.0
244 87.0 87.0 0.0 0.0 2.0
245 87.0 87.0 0.0 0.0 2.0
246 87.0 87.0 0.0 0.0 2.0
247 87.0 87.0 0.0 0.0 2.0
248 87.0 87.0 0.0 0.0 2.0
