gen HV HVnoDiscount fitness_notKilledMutants notKilledNonEqMutants fitness_testSuiteSize
1 23.69140625 20.0 5.62890625 6.0 5.0
2 29.0625 25.0 4.1875 5.0 5.0
3 29.0625 25.0 4.1875 5.0 5.0
4 29.0625 25.0 4.1875 5.0 5.0
5 29.0625 25.0 4.1875 5.0 5.0
6 33.6328125 30.0 3.2734375 4.0 5.0
7 33.6328125 30.0 3.2734375 4.0 5.0
8 33.6328125 30.0 3.2734375 4.0 5.0
9 33.6328125 30.0 3.2734375 4.0 5.0
10 36.42578125 35.0 2.71484375 3.0 5.0
11 36.42578125 35.0 2.71484375 3.0 5.0
12 36.42578125 35.0 2.71484375 3.0 5.0
13 36.42578125 35.0 2.71484375 3.0 5.0
14 54.26953125 52.0 1.67578125 2.0 4.0
15 54.26953125 52.0 1.67578125 2.0 4.0
16 54.26953125 52.0 1.66015625 2.0 4.0
17 54.26953125 52.0 1.66015625 2.0 4.0
18 54.26953125 52.0 1.6484375 2.0 4.0
19 54.26953125 52.0 1.6484375 2.0 4.0
20 54.26953125 52.0 1.640625 2.0 4.0
21 54.26953125 52.0 1.640625 2.0 4.0
22 54.26953125 54.0 1.0 1.0 4.0
23 54.26953125 54.0 1.0 1.0 4.0
24 54.26953125 54.0 1.0 1.0 4.0
25 54.26953125 54.0 1.0 1.0 4.0
26 54.26953125 54.0 1.0 1.0 4.0
27 54.26953125 54.0 1.0 1.0 4.0
28 54.26953125 54.0 1.0 1.0 4.0
29 54.26953125 54.0 1.0 1.0 4.0
30 54.26953125 54.0 1.0 1.0 4.0
31 54.26953125 54.0 1.0 1.0 4.0
32 54.26953125 54.0 1.0 1.0 4.0
33 54.26953125 54.0 1.0 1.0 4.0
34 54.26953125 54.0 1.0 1.0 4.0
35 54.26953125 54.0 1.0 1.0 4.0
36 54.26953125 54.0 1.0 1.0 4.0
37 54.26953125 54.0 1.0 1.0 4.0
38 54.26953125 54.0 1.0 1.0 4.0
39 54.26953125 54.0 1.0 1.0 4.0
40 54.26953125 54.0 1.0 1.0 4.0
41 54.26953125 54.0 1.0 1.0 4.0
42 54.26953125 54.0 1.0 1.0 4.0
43 54.26953125 54.0 1.0 1.0 4.0
44 54.26953125 54.0 1.0 1.0 4.0
45 61.0 61.0 1.0 1.0 4.0
46 61.0 61.0 1.0 1.0 4.0
47 61.0 61.0 1.0 1.0 4.0
48 61.0 61.0 1.0 1.0 4.0
49 61.0 61.0 1.0 1.0 4.0
50 61.0 61.0 1.0 1.0 4.0
51 61.0 61.0 1.0 1.0 4.0
52 61.0 61.0 1.0 1.0 4.0
53 61.0 61.0 0.0 0.0 4.0
54 61.0 61.0 0.0 0.0 4.0
55 61.0 61.0 0.0 0.0 4.0
56 61.0 61.0 0.0 0.0 4.0
57 61.0 61.0 0.0 0.0 4.0
58 61.0 61.0 0.0 0.0 4.0
59 61.0 61.0 0.0 0.0 4.0
60 61.0 61.0 0.0 0.0 4.0
61 61.0 61.0 0.0 0.0 4.0
62 61.0 61.0 0.0 0.0 4.0
63 61.0 61.0 0.0 0.0 4.0
64 61.0 61.0 0.0 0.0 4.0
65 61.0 61.0 0.0 0.0 4.0
66 61.0 61.0 0.0 0.0 4.0
67 61.0 61.0 0.0 0.0 4.0
68 61.0 61.0 0.0 0.0 4.0
69 61.0 61.0 0.0 0.0 4.0
70 61.0 61.0 0.0 0.0 4.0
71 67.0 67.0 0.0 0.0 4.0
72 67.0 67.0 0.0 0.0 4.0
73 67.0 67.0 0.0 0.0 4.0
74 67.0 67.0 0.0 0.0 4.0
75 67.0 67.0 0.0 0.0 4.0
76 67.0 67.0 0.0 0.0 4.0
77 67.0 67.0 0.0 0.0 4.0
78 67.0 67.0 0.0 0.0 4.0
79 67.0 67.0 0.0 0.0 4.0
80 67.0 67.0 0.0 0.0 4.0
81 67.0 67.0 0.0 0.0 4.0
82 67.0 67.0 0.0 0.0 4.0
83 67.0 67.0 0.0 0.0 4.0
