gen HV HVnoDiscount fitness_notKilledMutants notKilledNonEqMutants fitness_testSuiteSize
1 12.2607421875 10.0 7.6650390625 5.0 5.0
2 12.2607421875 10.0 7.6650390625 5.0 5.0
3 12.2607421875 10.0 7.6240234375 5.0 5.0
4 12.2607421875 10.0 7.6240234375 5.0 5.0
5 12.7001953125 10.0 7.548828125 5.0 5.0
6 12.7001953125 10.0 7.548828125 5.0 5.0
7 12.7001953125 10.0 7.5078125 5.0 5.0
8 12.7001953125 10.0 7.5078125 5.0 5.0
9 12.7001953125 10.0 7.5078125 5.0 5.0
10 14.744140625 12.0 7.5078125 5.0 5.0
11 14.744140625 12.0 7.5068359375 5.0 5.0
12 27.9072265625 25.0 5.59765625 3.0 4.0
13 27.9072265625 25.0 5.59765625 3.0 4.0
14 27.9072265625 25.0 5.59765625 3.0 4.0
15 27.9072265625 25.0 5.59765625 3.0 4.0
16 27.9072265625 25.0 5.59765625 3.0 4.0
17 27.9072265625 25.0 5.59765625 3.0 4.0
18 27.9072265625 25.0 5.59765625 3.0 4.0
19 27.9072265625 25.0 5.48828125 3.0 4.0
20 27.9072265625 25.0 5.48828125 3.0 4.0
21 27.9072265625 25.0 5.46484375 3.0 4.0
22 27.9072265625 25.0 5.46484375 3.0 4.0
23 27.9072265625 25.0 5.4453125 3.0 4.0
24 27.9072265625 25.0 5.4453125 3.0 4.0
25 27.9072265625 25.0 5.4453125 3.0 4.0
26 27.9072265625 25.0 5.4453125 3.0 4.0
27 27.9072265625 25.0 5.4453125 3.0 4.0
28 27.9072265625 25.0 5.4453125 3.0 4.0
29 27.9072265625 25.0 5.4453125 3.0 4.0
30 27.9072265625 25.0 5.4453125 3.0 4.0
31 27.9072265625 25.0 5.4453125 3.0 4.0
32 27.9072265625 25.0 5.4453125 3.0 4.0
33 27.9072265625 25.0 5.443359375 3.0 4.0
34 27.9072265625 25.0 5.443359375 3.0 4.0
35 27.9072265625 25.0 5.443359375 3.0 4.0
36 27.9072265625 25.0 5.4052734375 3.0 4.0
37 27.9072265625 25.0 5.4052734375 3.0 4.0
38 27.9072265625 25.0 5.3759765625 3.0 4.0
39 27.9072265625 25.0 5.3759765625 3.0 4.0
40 27.9072265625 25.0 5.3642578125 3.0 4.0
41 27.9072265625 25.0 5.3642578125 3.0 4.0
42 27.9072265625 25.0 5.3525390625 3.0 4.0
43 27.9072265625 25.0 5.3525390625 3.0 4.0
44 27.97265625 25.0 5.337890625 3.0 4.0
45 27.97265625 25.0 5.337890625 3.0 4.0
46 28.095703125 25.0 5.3173828125 3.0 4.0
47 28.095703125 25.0 5.3173828125 3.0 4.0
48 33.833984375 29.0 4.3115234375 2.0 5.0
49 33.833984375 29.0 4.3115234375 2.0 5.0
50 33.833984375 29.0 4.28515625 2.0 5.0
51 33.833984375 29.0 4.28515625 2.0 5.0
52 33.833984375 29.0 4.28515625 2.0 5.0
53 33.833984375 29.0 4.26171875 2.0 5.0
54 33.833984375 29.0 4.26171875 2.0 5.0
55 33.833984375 29.0 4.25 2.0 5.0
56 33.833984375 29.0 4.25 2.0 5.0
57 33.833984375 29.0 4.25 2.0 5.0
58 33.833984375 29.0 4.2265625 2.0 5.0
59 33.833984375 29.0 4.2265625 2.0 5.0
60 33.833984375 29.0 4.2119140625 2.0 5.0
61 33.833984375 29.0 4.2119140625 2.0 5.0
62 33.833984375 29.0 4.2119140625 2.0 5.0
63 33.833984375 29.0 4.1767578125 2.0 5.0
64 33.833984375 29.0 4.1767578125 2.0 5.0
65 33.833984375 29.0 4.1767578125 2.0 5.0
66 33.833984375 29.0 4.1708984375 2.0 5.0
67 33.833984375 29.0 4.1708984375 2.0 5.0
68 42.02734375 37.0 2.162109375 0.0 6.0
69 42.02734375 37.0 2.162109375 0.0 6.0
70 42.02734375 37.0 2.1474609375 0.0 5.0
71 42.02734375 37.0 2.1474609375 0.0 5.0
72 42.02734375 37.0 2.1474609375 0.0 5.0
73 44.2734375 39.0 2.12109375 0.0 5.0
74 44.2734375 39.0 2.12109375 0.0 5.0
75 44.2734375 39.0 2.109375 0.0 5.0
76 44.2734375 39.0 2.109375 0.0 5.0
77 44.408203125 39.0 2.09765625 0.0 5.0
78 44.408203125 39.0 2.09765625 0.0 5.0
79 44.408203125 39.0 2.09765625 0.0 5.0
80 44.5517578125 39.0 2.07421875 0.0 5.0
81 44.5517578125 39.0 2.07421875 0.0 5.0
82 44.5517578125 39.0 2.07421875 0.0 5.0
83 44.712890625 39.0 2.0478515625 0.0 5.0
84 44.712890625 39.0 2.0478515625 0.0 5.0
85 44.712890625 39.0 2.0302734375 0.0 5.0
86 44.712890625 39.0 2.0302734375 0.0 5.0
87 44.712890625 39.0 2.0302734375 0.0 5.0
88 44.935546875 39.0 2.009765625 0.0 5.0
89 44.935546875 39.0 2.009765625 0.0 5.0
90 44.935546875 39.0 2.009765625 0.0 5.0
91 44.935546875 39.0 1.9775390625 0.0 5.0
92 44.935546875 39.0 1.9775390625 0.0 5.0
93 45.1875 39.0 1.96875 0.0 5.0
94 45.1875 39.0 1.96875 0.0 5.0
95 45.1875 39.0 1.9482421875 0.0 5.0
96 45.1875 39.0 1.9482421875 0.0 5.0
97 45.1875 39.0 1.9482421875 0.0 5.0
98 45.3984375 39.0 1.93359375 0.0 5.0
99 45.3984375 39.0 1.93359375 0.0 5.0
100 45.3984375 39.0 1.904296875 0.0 5.0
101 45.3984375 39.0 1.904296875 0.0 5.0
102 45.3984375 39.0 1.904296875 0.0 5.0
103 45.626953125 39.0 1.8955078125 0.0 5.0
104 45.626953125 39.0 1.8955078125 0.0 5.0
105 45.626953125 39.0 1.880859375 0.0 5.0
106 45.626953125 39.0 1.880859375 0.0 5.0
107 45.626953125 39.0 1.880859375 0.0 5.0
108 45.7646484375 39.0 1.8720703125 0.0 5.0
109 45.7646484375 39.0 1.8720703125 0.0 5.0
110 46.85546875 40.0 1.857421875 0.0 5.0
111 46.85546875 40.0 1.857421875 0.0 5.0
112 46.85546875 40.0 1.8486328125 0.0 5.0
113 46.85546875 40.0 1.8486328125 0.0 5.0
114 46.85546875 40.0 1.8486328125 0.0 5.0
115 46.85546875 40.0 1.8310546875 0.0 5.0
116 46.85546875 40.0 1.8310546875 0.0 5.0
117 46.85546875 40.0 1.8251953125 0.0 5.0
118 46.85546875 40.0 1.8251953125 0.0 5.0
119 46.85546875 40.0 1.810546875 0.0 5.0
120 46.85546875 40.0 1.810546875 0.0 5.0
121 46.85546875 40.0 1.810546875 0.0 5.0
122 46.85546875 40.0 1.8017578125 0.0 5.0
123 46.85546875 40.0 1.8017578125 0.0 5.0
124 46.85546875 40.0 1.79296875 0.0 5.0
125 46.85546875 40.0 1.79296875 0.0 5.0
126 46.85546875 40.0 1.775390625 0.0 6.0
127 46.85546875 40.0 1.775390625 0.0 6.0
128 46.85546875 40.0 1.775390625 0.0 6.0
129 47.70703125 40.0 1.7548828125 0.0 5.0
130 47.70703125 40.0 1.7548828125 0.0 5.0
131 47.70703125 40.0 1.7548828125 0.0 5.0
132 47.70703125 40.0 1.7138671875 0.0 5.0
133 47.70703125 40.0 1.7138671875 0.0 5.0
134 47.70703125 40.0 1.7138671875 0.0 5.0
135 47.70703125 40.0 1.6875 0.0 5.0
136 47.70703125 40.0 1.6875 0.0 5.0
137 47.70703125 40.0 1.6875 0.0 5.0
138 47.70703125 40.0 1.6611328125 0.0 5.0
139 47.70703125 40.0 1.6611328125 0.0 5.0
140 47.70703125 40.0 1.6611328125 0.0 5.0
141 47.70703125 40.0 1.646484375 0.0 5.0
142 47.70703125 40.0 1.646484375 0.0 5.0
143 47.70703125 40.0 1.640625 0.0 5.0
144 47.70703125 40.0 1.640625 0.0 5.0
145 47.70703125 40.0 1.62890625 0.0 5.0
146 47.70703125 40.0 1.62890625 0.0 5.0
147 47.70703125 40.0 1.6083984375 0.0 5.0
148 47.70703125 40.0 1.6083984375 0.0 5.0
149 47.70703125 40.0 1.59375 0.0 5.0
150 48.861328125 40.0 1.59375 0.0 5.0
151 48.861328125 40.0 1.5849609375 0.0 5.0
152 48.861328125 40.0 1.5849609375 0.0 5.0
153 48.861328125 40.0 1.5791015625 0.0 5.0
154 48.861328125 40.0 1.5791015625 0.0 5.0
155 48.861328125 40.0 1.5673828125 0.0 5.0
156 48.861328125 40.0 1.5673828125 0.0 5.0
157 48.861328125 40.0 1.5673828125 0.0 5.0
158 48.861328125 40.0 1.53515625 0.0 5.0
159 48.861328125 40.0 1.53515625 0.0 5.0
160 48.861328125 40.0 1.51171875 0.0 5.0
161 49.4384765625 40.0 1.51171875 0.0 5.0
162 49.4384765625 40.0 1.4970703125 0.0 5.0
163 49.4384765625 40.0 1.4970703125 0.0 5.0
164 49.4384765625 40.0 1.4970703125 0.0 5.0
165 49.4384765625 40.0 1.4853515625 0.0 5.0
166 49.4384765625 40.0 1.4853515625 0.0 5.0
167 49.4384765625 40.0 1.4853515625 0.0 5.0
168 49.4384765625 40.0 1.470703125 0.0 5.0
169 49.4384765625 40.0 1.470703125 0.0 5.0
170 49.4384765625 40.0 1.470703125 0.0 5.0
171 49.4384765625 40.0 1.458984375 0.0 5.0
172 49.4384765625 40.0 1.458984375 0.0 5.0
173 49.4384765625 40.0 1.447265625 0.0 5.0
174 49.4384765625 40.0 1.447265625 0.0 5.0
175 49.4384765625 40.0 1.44140625 0.0 5.0
176 49.4384765625 40.0 1.44140625 0.0 5.0
177 49.4384765625 40.0 1.4326171875 0.0 5.0
178 49.4384765625 40.0 1.4326171875 0.0 5.0
179 49.4384765625 40.0 1.41796875 0.0 5.0
180 49.4384765625 40.0 1.41796875 0.0 5.0
181 49.4384765625 40.0 1.41796875 0.0 5.0
182 49.4384765625 40.0 1.4033203125 0.0 5.0
183 49.4384765625 40.0 1.4033203125 0.0 5.0
184 49.4384765625 40.0 1.39453125 0.0 5.0
185 49.4384765625 40.0 1.39453125 0.0 5.0
186 49.4384765625 40.0 1.3798828125 0.0 5.0
187 49.4384765625 40.0 1.3798828125 0.0 5.0
188 49.4384765625 40.0 1.3798828125 0.0 5.0
189 49.4384765625 40.0 1.37109375 0.0 5.0
190 49.4384765625 40.0 1.37109375 0.0 5.0
191 49.4384765625 40.0 1.3623046875 0.0 5.0
192 49.4384765625 40.0 1.3623046875 0.0 5.0
193 49.4384765625 40.0 1.3447265625 0.0 5.0
194 50.6279296875 40.0 1.3447265625 0.0 5.0
195 50.6279296875 40.0 1.3330078125 0.0 5.0
196 50.6279296875 40.0 1.3330078125 0.0 5.0
197 50.6279296875 40.0 1.3271484375 0.0 5.0
198 50.6279296875 40.0 1.3271484375 0.0 5.0
199 50.6279296875 40.0 1.3212890625 0.0 5.0
200 50.6279296875 40.0 1.3212890625 0.0 5.0
201 50.6279296875 40.0 1.3212890625 0.0 5.0
202 50.6279296875 40.0 1.318359375 0.0 5.0
203 50.6279296875 40.0 1.318359375 0.0 5.0
204 50.6279296875 40.0 1.306640625 0.0 5.0
205 50.6279296875 40.0 1.306640625 0.0 5.0
206 50.6279296875 40.0 1.3037109375 0.0 5.0
207 50.6279296875 40.0 1.3037109375 0.0 5.0
208 50.6279296875 40.0 1.2890625 0.0 5.0
209 50.6279296875 40.0 1.2890625 0.0 5.0
210 50.6279296875 40.0 1.2890625 0.0 5.0
211 50.6279296875 40.0 1.265625 0.0 5.0
212 50.6279296875 40.0 1.265625 0.0 5.0
213 51.1962890625 40.0 1.265625 0.0 5.0
214 51.1962890625 40.0 1.2509765625 0.0 5.0
215 51.1962890625 40.0 1.2509765625 0.0 5.0
216 51.1962890625 40.0 1.2392578125 0.0 5.0
217 51.1962890625 40.0 1.2392578125 0.0 5.0
218 51.1962890625 40.0 1.224609375 0.0 5.0
219 51.1962890625 40.0 1.224609375 0.0 5.0
220 51.1962890625 40.0 1.224609375 0.0 5.0
221 51.1962890625 40.0 1.212890625 0.0 5.0
222 51.1962890625 40.0 1.212890625 0.0 5.0
223 51.1962890625 40.0 1.1953125 0.0 5.0
224 51.1962890625 40.0 1.1953125 0.0 5.0
225 51.1962890625 40.0 1.1953125 0.0 5.0
226 51.1962890625 40.0 1.18359375 0.0 5.0
227 51.1962890625 40.0 1.18359375 0.0 5.0
228 51.1962890625 40.0 1.166015625 0.0 5.0
229 51.1962890625 40.0 1.166015625 0.0 5.0
230 51.1962890625 40.0 1.16015625 0.0 5.0
231 51.1962890625 40.0 1.16015625 0.0 5.0
232 51.1962890625 40.0 1.154296875 0.0 5.0
233 51.1962890625 40.0 1.154296875 0.0 5.0
234 51.1962890625 40.0 1.1484375 0.0 5.0
235 51.1962890625 40.0 1.1484375 0.0 5.0
236 51.1962890625 40.0 1.1279296875 0.0 5.0
237 51.1962890625 40.0 1.1279296875 0.0 5.0
238 51.1962890625 40.0 1.119140625 0.0 5.0
239 51.1962890625 40.0 1.119140625 0.0 5.0
240 51.1962890625 40.0 1.119140625 0.0 5.0
241 51.1962890625 40.0 1.1044921875 0.0 5.0
242 51.1962890625 40.0 1.1044921875 0.0 5.0
243 51.1962890625 40.0 1.0986328125 0.0 5.0
244 51.1962890625 40.0 1.0986328125 0.0 5.0
245 51.1962890625 40.0 1.0986328125 0.0 5.0
246 51.1962890625 40.0 1.0810546875 0.0 5.0
247 51.1962890625 40.0 1.0810546875 0.0 5.0
248 51.1962890625 40.0 1.0751953125 0.0 5.0
249 51.1962890625 40.0 1.0751953125 0.0 5.0
250 51.1962890625 40.0 1.0693359375 0.0 5.0
251 51.1962890625 40.0 1.0693359375 0.0 5.0
252 51.1962890625 40.0 1.060546875 0.0 5.0
253 51.1962890625 40.0 1.060546875 0.0 5.0
254 51.1962890625 40.0 1.060546875 0.0 5.0
255 51.1962890625 40.0 1.0517578125 0.0 5.0
256 51.1962890625 40.0 1.0517578125 0.0 5.0
257 52.740234375 40.0 1.0517578125 0.0 5.0
258 52.740234375 40.0 1.025390625 0.0 5.0
259 52.740234375 40.0 1.025390625 0.0 5.0
260 52.740234375 40.0 1.013671875 0.0 5.0
261 52.740234375 40.0 1.013671875 0.0 5.0
262 52.740234375 40.0 0.9990234375 0.0 5.0
263 52.740234375 40.0 0.9990234375 0.0 5.0
264 52.740234375 40.0 0.9931640625 0.0 5.0
265 52.740234375 40.0 0.9931640625 0.0 5.0
266 52.740234375 40.0 0.9873046875 0.0 5.0
267 52.740234375 40.0 0.9873046875 0.0 5.0
268 53.1474609375 40.0 0.9873046875 0.0 5.0
269 53.1474609375 40.0 0.978515625 0.0 5.0
270 53.1474609375 40.0 0.978515625 0.0 5.0
271 53.1474609375 40.0 0.9638671875 0.0 5.0
272 53.1474609375 40.0 0.9638671875 0.0 5.0
273 53.1474609375 40.0 0.9580078125 0.0 5.0
274 53.1474609375 40.0 0.9580078125 0.0 5.0
275 53.1474609375 40.0 0.955078125 0.0 5.0
276 53.1474609375 40.0 0.955078125 0.0 5.0
277 53.1474609375 40.0 0.94921875 0.0 5.0
278 53.1474609375 40.0 0.94921875 0.0 5.0
279 53.1474609375 40.0 0.9404296875 0.0 7.0
280 53.1474609375 40.0 0.9404296875 0.0 7.0
281 53.1474609375 40.0 0.919921875 0.0 7.0
282 53.1474609375 40.0 0.919921875 0.0 7.0
283 53.1474609375 40.0 0.9140625 0.0 7.0
284 53.1474609375 40.0 0.9140625 0.0 7.0
285 53.1474609375 40.0 0.9111328125 0.0 7.0
286 53.1474609375 40.0 0.9111328125 0.0 7.0
287 53.1474609375 40.0 0.9111328125 0.0 7.0
288 53.1474609375 40.0 0.9111328125 0.0 7.0
289 53.1474609375 40.0 0.884765625 0.0 7.0
290 53.1474609375 40.0 0.884765625 0.0 7.0
291 53.1474609375 40.0 0.884765625 0.0 7.0
292 53.1474609375 40.0 0.884765625 0.0 7.0
293 53.1474609375 40.0 0.87890625 0.0 7.0
294 53.1474609375 40.0 0.87890625 0.0 7.0
295 53.1474609375 40.0 0.8701171875 0.0 7.0
296 53.1474609375 40.0 0.8701171875 0.0 7.0
297 53.1474609375 40.0 0.8642578125 0.0 7.0
298 53.1474609375 40.0 0.8642578125 0.0 7.0
299 53.1474609375 40.0 0.8525390625 0.0 6.0
300 53.1474609375 40.0 0.8525390625 0.0 6.0
301 53.1474609375 40.0 0.849609375 0.0 6.0
302 53.1474609375 40.0 0.849609375 0.0 6.0
303 53.1474609375 40.0 0.84375 0.0 6.0
304 53.1474609375 40.0 0.84375 0.0 6.0
305 53.1474609375 40.0 0.84375 0.0 6.0
306 53.1474609375 40.0 0.8408203125 0.0 6.0
307 53.1474609375 40.0 0.8408203125 0.0 6.0
308 53.1474609375 40.0 0.837890625 0.0 5.0
309 53.1474609375 40.0 0.837890625 0.0 5.0
310 53.1474609375 40.0 0.837890625 0.0 5.0
311 53.1474609375 40.0 0.83203125 0.0 5.0
312 53.1474609375 40.0 0.83203125 0.0 5.0
313 53.1474609375 40.0 0.8173828125 0.0 5.0
314 53.1474609375 40.0 0.8173828125 0.0 5.0
315 53.1474609375 40.0 0.8173828125 0.0 5.0
316 53.1474609375 40.0 0.8173828125 0.0 5.0
317 55.11328125 42.0 0.814453125 0.0 4.0
318 55.11328125 42.0 0.814453125 0.0 4.0
319 55.11328125 42.0 0.814453125 0.0 4.0
320 60.3779296875 45.0 0.802734375 0.0 5.0
321 60.3779296875 45.0 0.802734375 0.0 5.0
322 60.3779296875 45.0 0.802734375 0.0 5.0
323 60.3779296875 45.0 0.7998046875 0.0 4.0
324 60.3779296875 45.0 0.7998046875 0.0 4.0
325 60.3779296875 45.0 0.7998046875 0.0 4.0
326 60.3779296875 45.0 0.791015625 0.0 4.0
327 60.3779296875 45.0 0.791015625 0.0 4.0
328 60.3779296875 45.0 0.7880859375 0.0 4.0
329 60.3779296875 45.0 0.7880859375 0.0 4.0
330 60.4833984375 45.0 0.7880859375 0.0 4.0
331 61.5390625 46.0 0.779296875 0.0 4.0
332 61.5390625 46.0 0.779296875 0.0 4.0
333 61.5390625 46.0 0.7763671875 0.0 4.0
334 61.5390625 46.0 0.7763671875 0.0 4.0
335 61.62109375 46.0 0.767578125 0.0 4.0
336 61.62109375 46.0 0.767578125 0.0 4.0
337 61.62109375 46.0 0.7646484375 0.0 4.0
338 61.62109375 46.0 0.7646484375 0.0 4.0
339 61.6474609375 46.0 0.7646484375 0.0 4.0
340 63.9033203125 46.0 0.76171875 0.0 4.0
341 63.9033203125 46.0 0.76171875 0.0 4.0
342 63.9033203125 46.0 0.7587890625 0.0 4.0
343 63.9033203125 46.0 0.7587890625 0.0 4.0
344 63.9033203125 46.0 0.7587890625 0.0 4.0
345 63.9033203125 46.0 0.755859375 0.0 4.0
346 63.9033203125 46.0 0.755859375 0.0 4.0
347 63.9033203125 46.0 0.75 0.0 5.0
348 63.9033203125 46.0 0.75 0.0 5.0
349 63.9033203125 46.0 0.75 0.0 5.0
350 63.9033203125 46.0 0.73828125 0.0 4.0
351 63.9033203125 46.0 0.73828125 0.0 4.0
352 63.9033203125 46.0 0.732421875 0.0 4.0
353 63.9033203125 46.0 0.732421875 0.0 4.0
354 63.9033203125 46.0 0.732421875 0.0 4.0
355 63.9033203125 46.0 0.732421875 0.0 4.0
356 63.9033203125 46.0 0.732421875 0.0 4.0
357 63.9033203125 46.0 0.732421875 0.0 4.0
358 63.9033203125 46.0 0.732421875 0.0 4.0
359 63.9033203125 46.0 0.732421875 0.0 4.0
360 63.9033203125 46.0 0.732421875 0.0 4.0
361 63.9033203125 46.0 0.732421875 0.0 4.0
362 63.9033203125 46.0 0.7265625 0.0 4.0
363 63.9033203125 46.0 0.7265625 0.0 4.0
364 63.9033203125 46.0 0.7236328125 0.0 4.0
365 63.9033203125 46.0 0.7236328125 0.0 4.0
366 63.9033203125 46.0 0.7236328125 0.0 4.0
367 63.9033203125 46.0 0.7236328125 0.0 4.0
368 63.9033203125 46.0 0.7177734375 0.0 4.0
369 63.9033203125 46.0 0.7177734375 0.0 4.0
370 63.9033203125 46.0 0.7177734375 0.0 4.0
371 63.9033203125 46.0 0.7177734375 0.0 4.0
372 63.9033203125 46.0 0.7177734375 0.0 4.0
373 63.9033203125 46.0 0.7177734375 0.0 4.0
374 63.9033203125 46.0 0.7177734375 0.0 4.0
375 63.9033203125 46.0 0.7177734375 0.0 4.0
376 63.9033203125 46.0 0.7177734375 0.0 4.0
377 63.9033203125 46.0 0.7177734375 0.0 4.0
378 63.9033203125 46.0 0.7177734375 0.0 4.0
379 63.9033203125 46.0 0.7177734375 0.0 4.0
380 63.9033203125 46.0 0.7177734375 0.0 4.0
381 63.9033203125 46.0 0.7177734375 0.0 4.0
382 63.9033203125 46.0 0.7177734375 0.0 4.0
383 63.9033203125 46.0 0.7177734375 0.0 4.0
384 63.9033203125 46.0 0.7177734375 0.0 4.0
385 63.9033203125 46.0 0.7119140625 0.0 4.0
