gen HV HVnoDiscount fitness_notKilledMutants notKilledNonEqMutants fitness_testSuiteSize
1 34.23046875 34.0 3.96484375 4.0 7.0
2 34.23046875 34.0 3.96484375 4.0 7.0
3 34.23046875 34.0 3.953125 4.0 7.0
4 34.23046875 34.0 3.953125 4.0 7.0
5 34.23046875 34.0 3.953125 4.0 7.0
6 34.23046875 34.0 3.953125 4.0 7.0
7 34.23046875 34.0 3.953125 4.0 7.0
8 34.23046875 34.0 3.0 3.0 7.0
9 34.23046875 34.0 3.0 3.0 7.0
10 34.23046875 34.0 3.0 3.0 7.0
11 34.23046875 34.0 2.0 2.0 7.0
12 34.23046875 34.0 2.0 2.0 7.0
13 35.0 35.0 2.0 2.0 7.0
14 35.0 35.0 2.0 2.0 7.0
15 35.0 35.0 2.0 2.0 7.0
16 35.0 35.0 2.0 2.0 6.0
17 35.0 35.0 2.0 2.0 6.0
18 35.0 35.0 2.0 2.0 6.0
19 42.0 42.0 2.0 2.0 6.0
20 42.0 42.0 2.0 2.0 6.0
21 42.0 42.0 2.0 2.0 6.0
22 42.0 42.0 2.0 2.0 6.0
23 42.0 42.0 2.0 2.0 6.0
24 42.0 42.0 2.0 2.0 6.0
25 42.0 42.0 2.0 2.0 6.0
26 42.0 42.0 1.0 1.0 6.0
27 42.0 42.0 1.0 1.0 6.0
28 42.0 42.0 1.0 1.0 6.0
29 42.0 42.0 1.0 1.0 6.0
30 46.0 46.0 1.0 1.0 6.0
31 46.0 46.0 1.0 1.0 6.0
32 46.0 46.0 1.0 1.0 6.0
33 46.0 46.0 1.0 1.0 6.0
34 46.0 46.0 1.0 1.0 6.0
35 46.0 46.0 1.0 1.0 6.0
36 46.0 46.0 1.0 1.0 6.0
37 46.0 46.0 1.0 1.0 6.0
38 46.0 46.0 1.0 1.0 6.0
39 46.0 46.0 1.0 1.0 6.0
40 46.0 46.0 0.0 0.0 7.0
41 46.0 46.0 0.0 0.0 7.0
42 46.0 46.0 0.0 0.0 7.0
43 46.0 46.0 0.0 0.0 7.0
44 46.0 46.0 0.0 0.0 7.0
45 46.0 46.0 0.0 0.0 7.0
46 46.0 46.0 0.0 0.0 7.0
47 46.0 46.0 0.0 0.0 7.0
48 48.0 48.0 0.0 0.0 7.0
49 48.0 48.0 0.0 0.0 7.0
50 48.0 48.0 0.0 0.0 7.0
51 48.0 48.0 0.0 0.0 7.0
52 48.0 48.0 0.0 0.0 7.0
53 48.0 48.0 0.0 0.0 7.0
54 48.0 48.0 0.0 0.0 7.0
55 48.0 48.0 0.0 0.0 7.0
56 48.0 48.0 0.0 0.0 7.0
57 48.0 48.0 0.0 0.0 7.0
58 48.0 48.0 0.0 0.0 7.0
59 48.0 48.0 0.0 0.0 7.0
60 48.0 48.0 0.0 0.0 7.0
61 48.0 48.0 0.0 0.0 7.0
62 48.0 48.0 0.0 0.0 7.0
63 48.0 48.0 0.0 0.0 7.0
64 48.0 48.0 0.0 0.0 7.0
65 48.0 48.0 0.0 0.0 7.0
66 48.0 48.0 0.0 0.0 7.0
67 48.0 48.0 0.0 0.0 7.0
68 48.0 48.0 0.0 0.0 7.0
69 48.0 48.0 0.0 0.0 7.0
70 48.0 48.0 0.0 0.0 7.0
71 48.0 48.0 0.0 0.0 7.0
72 48.0 48.0 0.0 0.0 7.0
73 48.0 48.0 0.0 0.0 7.0
74 48.0 48.0 0.0 0.0 7.0
75 48.0 48.0 0.0 0.0 7.0
76 48.0 48.0 0.0 0.0 7.0
77 48.0 48.0 0.0 0.0 7.0
78 48.0 48.0 0.0 0.0 7.0
79 48.0 48.0 0.0 0.0 7.0
80 48.0 48.0 0.0 0.0 7.0
81 48.0 48.0 0.0 0.0 7.0
82 48.0 48.0 0.0 0.0 7.0
83 48.0 48.0 0.0 0.0 6.0
84 48.0 48.0 0.0 0.0 6.0
85 48.0 48.0 0.0 0.0 6.0
86 55.0 55.0 0.0 0.0 6.0
87 55.0 55.0 0.0 0.0 6.0
88 55.0 55.0 0.0 0.0 6.0
89 55.0 55.0 0.0 0.0 6.0
90 55.0 55.0 0.0 0.0 6.0
91 55.0 55.0 0.0 0.0 6.0
92 55.0 55.0 0.0 0.0 6.0
93 55.0 55.0 0.0 0.0 6.0
94 55.0 55.0 0.0 0.0 6.0
95 55.0 55.0 0.0 0.0 6.0
96 55.0 55.0 0.0 0.0 6.0
97 55.0 55.0 0.0 0.0 6.0
98 55.0 55.0 0.0 0.0 6.0
99 55.0 55.0 0.0 0.0 6.0
100 55.0 55.0 0.0 0.0 6.0
101 55.0 55.0 0.0 0.0 6.0
102 55.0 55.0 0.0 0.0 6.0
103 55.0 55.0 0.0 0.0 6.0
104 55.0 55.0 0.0 0.0 6.0
105 55.0 55.0 0.0 0.0 6.0
106 55.0 55.0 0.0 0.0 6.0
107 55.0 55.0 0.0 0.0 6.0
108 55.0 55.0 0.0 0.0 6.0
109 55.0 55.0 0.0 0.0 6.0
110 55.0 55.0 0.0 0.0 6.0
111 55.0 55.0 0.0 0.0 6.0
112 55.0 55.0 0.0 0.0 6.0
113 55.0 55.0 0.0 0.0 6.0
114 55.0 55.0 0.0 0.0 6.0
115 55.0 55.0 0.0 0.0 6.0
116 55.0 55.0 0.0 0.0 6.0
117 55.0 55.0 0.0 0.0 6.0
118 55.0 55.0 0.0 0.0 6.0
119 55.0 55.0 0.0 0.0 6.0
120 55.0 55.0 0.0 0.0 6.0
121 55.0 55.0 0.0 0.0 6.0
122 55.0 55.0 0.0 0.0 6.0
123 55.0 55.0 0.0 0.0 6.0
124 55.0 55.0 0.0 0.0 6.0
125 55.0 55.0 0.0 0.0 6.0
126 55.0 55.0 0.0 0.0 6.0
127 55.0 55.0 0.0 0.0 6.0
128 55.0 55.0 0.0 0.0 6.0
129 55.0 55.0 0.0 0.0 6.0
130 55.0 55.0 0.0 0.0 6.0
131 55.0 55.0 0.0 0.0 6.0
132 55.0 55.0 0.0 0.0 6.0
133 55.0 55.0 0.0 0.0 6.0
134 55.0 55.0 0.0 0.0 6.0
135 55.0 55.0 0.0 0.0 6.0
