gen HV HVnoDiscount fitness_notKilledMutants notKilledNonEqMutants fitness_testSuiteSize
1 7.365234375 6.0 8.7333984375 8.0 7.0
2 8.4609375 6.0 8.58984375 8.0 4.0
3 8.4609375 6.0 8.58984375 8.0 4.0
4 8.7890625 6.0 8.53515625 8.0 4.0
5 8.7890625 6.0 8.53515625 8.0 4.0
6 8.912109375 6.0 8.5146484375 8.0 4.0
7 8.912109375 6.0 8.5146484375 8.0 4.0
8 9.03515625 6.0 8.494140625 8.0 4.0
9 9.03515625 6.0 8.494140625 8.0 4.0
10 10.96484375 7.0 8.4326171875 8.0 4.0
11 17.4453125 14.0 7.5078125 7.0 3.0
12 17.650390625 14.0 7.478515625 7.0 3.0
13 17.814453125 14.0 7.455078125 7.0 3.0
14 18.01953125 14.0 7.42578125 7.0 3.0
15 18.142578125 14.0 7.408203125 7.0 3.0
16 18.18359375 14.0 7.40234375 7.0 3.0
17 18.51171875 14.0 7.35546875 7.0 3.0
18 18.51171875 14.0 7.35546875 7.0 3.0
19 18.51171875 14.0 7.35546875 7.0 3.0
20 18.51171875 14.0 7.35546875 7.0 3.0
21 18.51171875 14.0 7.35546875 7.0 3.0
22 18.51171875 14.0 7.35546875 7.0 3.0
23 18.5263671875 14.0 7.3505859375 7.0 5.0
24 21.3369140625 16.0 7.3310546875 7.0 3.0
25 21.390625 16.0 7.326171875 7.0 2.0
26 21.546875 16.0 7.306640625 7.0 2.0
27 21.6640625 16.0 7.2919921875 7.0 2.0
28 21.6640625 16.0 7.2919921875 7.0 2.0
29 21.78125 16.0 7.27734375 7.0 2.0
30 21.8935546875 16.0 7.2626953125 7.0 3.0
31 21.9375 16.0 7.2578125 7.0 2.0
32 21.9375 16.0 7.2578125 7.0 2.0
33 36.8125 32.0 5.3984375 5.0 2.0
34 36.9375 32.0 5.3828125 5.0 2.0
35 37.0625 32.0 5.3671875 5.0 2.0
36 37.1875 32.0 5.3515625 5.0 2.0
37 37.28125 32.0 5.33984375 5.0 2.0
38 37.34375 32.0 5.33203125 5.0 2.0
39 37.46875 32.0 5.31640625 5.0 2.0
40 37.46875 32.0 5.31640625 5.0 2.0
41 37.46875 32.0 5.31640625 5.0 2.0
42 37.5625 32.0 5.3046875 5.0 2.0
43 37.5625 32.0 5.3046875 5.0 2.0
44 37.5625 32.0 5.3046875 5.0 2.0
