gen HV HVnoDiscount fitness_notKilledMutants notKilledNonEqMutants fitness_testSuiteSize
1 26.431640625 26.0 4.958984375 5.0 6.0
2 26.431640625 26.0 4.958984375 5.0 6.0
3 26.431640625 26.0 4.896484375 5.0 6.0
4 26.431640625 26.0 4.896484375 5.0 6.0
5 36.0 36.0 1.0 1.0 6.0
6 36.0 36.0 1.0 1.0 6.0
7 36.0 36.0 1.0 1.0 6.0
8 42.0 42.0 1.0 1.0 6.0
9 42.0 42.0 1.0 1.0 6.0
10 42.0 42.0 1.0 1.0 6.0
11 42.0 42.0 1.0 1.0 6.0
12 42.0 42.0 1.0 1.0 6.0
13 42.0 42.0 1.0 1.0 6.0
14 42.0 42.0 1.0 1.0 6.0
15 42.0 42.0 1.0 1.0 6.0
16 42.0 42.0 1.0 1.0 6.0
17 44.0 44.0 1.0 1.0 6.0
18 44.0 44.0 1.0 1.0 6.0
19 44.0 44.0 1.0 1.0 6.0
20 44.0 44.0 1.0 1.0 6.0
21 44.0 44.0 0.0 0.0 6.0
22 44.0 44.0 0.0 0.0 6.0
23 44.0 44.0 0.0 0.0 6.0
24 44.0 44.0 0.0 0.0 6.0
25 44.0 44.0 0.0 0.0 6.0
26 44.0 44.0 0.0 0.0 6.0
27 44.0 44.0 0.0 0.0 6.0
28 44.0 44.0 0.0 0.0 6.0
29 50.0 50.0 0.0 0.0 5.0
30 50.0 50.0 0.0 0.0 5.0
31 50.0 50.0 0.0 0.0 5.0
32 61.0 61.0 0.0 0.0 5.0
33 61.0 61.0 0.0 0.0 5.0
34 61.0 61.0 0.0 0.0 5.0
35 61.0 61.0 0.0 0.0 5.0
36 61.0 61.0 0.0 0.0 5.0
37 61.0 61.0 0.0 0.0 5.0
38 61.0 61.0 0.0 0.0 5.0
39 61.0 61.0 0.0 0.0 5.0
40 61.0 61.0 0.0 0.0 5.0
41 61.0 61.0 0.0 0.0 5.0
42 61.0 61.0 0.0 0.0 5.0
43 61.0 61.0 0.0 0.0 5.0
44 61.0 61.0 0.0 0.0 5.0
45 61.0 61.0 0.0 0.0 5.0
46 61.0 61.0 0.0 0.0 5.0
47 61.0 61.0 0.0 0.0 5.0
48 61.0 61.0 0.0 0.0 5.0
49 61.0 61.0 0.0 0.0 5.0
50 61.0 61.0 0.0 0.0 5.0
51 61.0 61.0 0.0 0.0 5.0
52 61.0 61.0 0.0 0.0 5.0
53 61.0 61.0 0.0 0.0 5.0
54 61.0 61.0 0.0 0.0 5.0
55 61.0 61.0 0.0 0.0 5.0
56 61.0 61.0 0.0 0.0 5.0
57 61.0 61.0 0.0 0.0 5.0
58 61.0 61.0 0.0 0.0 5.0
59 61.0 61.0 0.0 0.0 5.0
60 61.0 61.0 0.0 0.0 5.0
61 61.0 61.0 0.0 0.0 5.0
62 61.0 61.0 0.0 0.0 5.0
63 61.0 61.0 0.0 0.0 5.0
64 61.0 61.0 0.0 0.0 5.0
65 61.0 61.0 0.0 0.0 5.0
66 61.0 61.0 0.0 0.0 5.0
67 61.0 61.0 0.0 0.0 5.0
68 61.0 61.0 0.0 0.0 5.0
69 61.0 61.0 0.0 0.0 5.0
70 61.0 61.0 0.0 0.0 5.0
71 61.0 61.0 0.0 0.0 5.0
72 61.0 61.0 0.0 0.0 5.0
73 61.0 61.0 0.0 0.0 5.0
74 61.0 61.0 0.0 0.0 5.0
75 61.0 61.0 0.0 0.0 5.0
76 61.0 61.0 0.0 0.0 5.0
77 61.0 61.0 0.0 0.0 5.0
78 61.0 61.0 0.0 0.0 5.0
79 61.0 61.0 0.0 0.0 5.0
80 61.0 61.0 0.0 0.0 5.0
81 61.0 61.0 0.0 0.0 5.0
82 61.0 61.0 0.0 0.0 5.0
83 61.0 61.0 0.0 0.0 5.0
84 61.0 61.0 0.0 0.0 5.0
85 61.0 61.0 0.0 0.0 5.0
86 61.0 61.0 0.0 0.0 5.0
87 61.0 61.0 0.0 0.0 5.0
88 61.0 61.0 0.0 0.0 5.0
89 61.0 61.0 0.0 0.0 5.0
90 61.0 61.0 0.0 0.0 5.0
91 61.0 61.0 0.0 0.0 5.0
92 61.0 61.0 0.0 0.0 5.0
93 61.0 61.0 0.0 0.0 5.0
94 61.0 61.0 0.0 0.0 5.0
95 61.0 61.0 0.0 0.0 5.0
96 61.0 61.0 0.0 0.0 5.0
97 61.0 61.0 0.0 0.0 5.0
98 61.0 61.0 0.0 0.0 5.0
99 61.0 61.0 0.0 0.0 5.0
100 61.0 61.0 0.0 0.0 5.0
101 61.0 61.0 0.0 0.0 5.0
102 61.0 61.0 0.0 0.0 5.0
103 61.0 61.0 0.0 0.0 5.0
104 61.0 61.0 0.0 0.0 5.0
105 61.0 61.0 0.0 0.0 5.0
106 61.0 61.0 0.0 0.0 5.0
107 61.0 61.0 0.0 0.0 5.0
108 61.0 61.0 0.0 0.0 5.0
109 61.0 61.0 0.0 0.0 5.0
110 61.0 61.0 0.0 0.0 5.0
111 61.0 61.0 0.0 0.0 5.0
112 61.0 61.0 0.0 0.0 5.0
113 61.0 61.0 0.0 0.0 5.0
114 61.0 61.0 0.0 0.0 5.0
115 61.0 61.0 0.0 0.0 5.0
116 61.0 61.0 0.0 0.0 5.0
117 61.0 61.0 0.0 0.0 5.0
118 61.0 61.0 0.0 0.0 5.0
119 61.0 61.0 0.0 0.0 5.0
120 61.0 61.0 0.0 0.0 5.0
121 61.0 61.0 0.0 0.0 5.0
122 61.0 61.0 0.0 0.0 5.0
123 61.0 61.0 0.0 0.0 5.0
124 61.0 61.0 0.0 0.0 5.0
125 61.0 61.0 0.0 0.0 5.0
126 61.0 61.0 0.0 0.0 5.0
127 61.0 61.0 0.0 0.0 5.0
128 61.0 61.0 0.0 0.0 5.0
129 61.0 61.0 0.0 0.0 5.0
130 61.0 61.0 0.0 0.0 5.0
131 61.0 61.0 0.0 0.0 5.0
132 61.0 61.0 0.0 0.0 5.0
133 61.0 61.0 0.0 0.0 5.0
134 61.0 61.0 0.0 0.0 5.0
135 61.0 61.0 0.0 0.0 5.0
136 61.0 61.0 0.0 0.0 5.0
137 61.0 61.0 0.0 0.0 5.0
138 61.0 61.0 0.0 0.0 5.0
139 61.0 61.0 0.0 0.0 5.0
140 61.0 61.0 0.0 0.0 5.0
141 61.0 61.0 0.0 0.0 5.0
142 61.0 61.0 0.0 0.0 5.0
143 61.0 61.0 0.0 0.0 5.0
144 61.0 61.0 0.0 0.0 5.0
145 61.0 61.0 0.0 0.0 5.0
146 61.0 61.0 0.0 0.0 5.0
147 61.0 61.0 0.0 0.0 5.0
148 61.0 61.0 0.0 0.0 5.0
149 61.0 61.0 0.0 0.0 5.0
150 61.0 61.0 0.0 0.0 5.0
151 61.0 61.0 0.0 0.0 5.0
152 61.0 61.0 0.0 0.0 5.0
153 61.0 61.0 0.0 0.0 5.0
154 61.0 61.0 0.0 0.0 5.0
155 61.0 61.0 0.0 0.0 5.0
156 61.0 61.0 0.0 0.0 5.0
157 61.0 61.0 0.0 0.0 5.0
158 61.0 61.0 0.0 0.0 5.0
159 61.0 61.0 0.0 0.0 5.0
160 61.0 61.0 0.0 0.0 5.0
161 61.0 61.0 0.0 0.0 5.0
162 61.0 61.0 0.0 0.0 5.0
163 61.0 61.0 0.0 0.0 5.0
164 61.0 61.0 0.0 0.0 5.0
165 61.0 61.0 0.0 0.0 5.0
166 61.0 61.0 0.0 0.0 5.0
167 61.0 61.0 0.0 0.0 5.0
168 61.0 61.0 0.0 0.0 5.0
169 61.0 61.0 0.0 0.0 5.0
170 61.0 61.0 0.0 0.0 5.0
171 61.0 61.0 0.0 0.0 5.0
172 61.0 61.0 0.0 0.0 5.0
173 61.0 61.0 0.0 0.0 5.0
174 61.0 61.0 0.0 0.0 5.0
175 61.0 61.0 0.0 0.0 5.0
176 61.0 61.0 0.0 0.0 5.0
177 61.0 61.0 0.0 0.0 5.0
178 61.0 61.0 0.0 0.0 5.0
179 61.0 61.0 0.0 0.0 5.0
180 61.0 61.0 0.0 0.0 5.0
181 61.0 61.0 0.0 0.0 5.0
182 61.0 61.0 0.0 0.0 5.0
183 61.0 61.0 0.0 0.0 5.0
184 61.0 61.0 0.0 0.0 5.0
185 61.0 61.0 0.0 0.0 5.0
186 61.0 61.0 0.0 0.0 5.0
187 61.0 61.0 0.0 0.0 5.0
188 61.0 61.0 0.0 0.0 5.0
189 61.0 61.0 0.0 0.0 5.0
190 61.0 61.0 0.0 0.0 5.0
191 61.0 61.0 0.0 0.0 5.0
192 61.0 61.0 0.0 0.0 5.0
193 61.0 61.0 0.0 0.0 5.0
194 61.0 61.0 0.0 0.0 5.0
195 61.0 61.0 0.0 0.0 5.0
196 61.0 61.0 0.0 0.0 5.0
197 61.0 61.0 0.0 0.0 5.0
198 61.0 61.0 0.0 0.0 5.0
199 61.0 61.0 0.0 0.0 5.0
200 61.0 61.0 0.0 0.0 5.0
201 61.0 61.0 0.0 0.0 5.0
202 61.0 61.0 0.0 0.0 5.0
203 61.0 61.0 0.0 0.0 5.0
204 61.0 61.0 0.0 0.0 5.0
205 61.0 61.0 0.0 0.0 5.0
206 61.0 61.0 0.0 0.0 5.0
207 61.0 61.0 0.0 0.0 5.0
208 61.0 61.0 0.0 0.0 5.0
209 61.0 61.0 0.0 0.0 5.0
210 61.0 61.0 0.0 0.0 5.0
211 61.0 61.0 0.0 0.0 5.0
212 61.0 61.0 0.0 0.0 5.0
213 61.0 61.0 0.0 0.0 5.0
214 61.0 61.0 0.0 0.0 5.0
215 61.0 61.0 0.0 0.0 5.0
216 61.0 61.0 0.0 0.0 5.0
217 61.0 61.0 0.0 0.0 5.0
218 61.0 61.0 0.0 0.0 5.0
219 61.0 61.0 0.0 0.0 5.0
220 61.0 61.0 0.0 0.0 5.0
221 61.0 61.0 0.0 0.0 5.0
222 61.0 61.0 0.0 0.0 5.0
223 61.0 61.0 0.0 0.0 5.0
224 61.0 61.0 0.0 0.0 5.0
225 61.0 61.0 0.0 0.0 5.0
226 61.0 61.0 0.0 0.0 5.0
227 61.0 61.0 0.0 0.0 5.0
228 61.0 61.0 0.0 0.0 5.0
229 61.0 61.0 0.0 0.0 5.0
230 61.0 61.0 0.0 0.0 5.0
231 61.0 61.0 0.0 0.0 5.0
232 61.0 61.0 0.0 0.0 5.0
233 61.0 61.0 0.0 0.0 5.0
234 61.0 61.0 0.0 0.0 5.0
235 61.0 61.0 0.0 0.0 5.0
236 61.0 61.0 0.0 0.0 5.0
237 61.0 61.0 0.0 0.0 5.0
238 61.0 61.0 0.0 0.0 5.0
239 61.0 61.0 0.0 0.0 5.0
240 61.0 61.0 0.0 0.0 5.0
241 61.0 61.0 0.0 0.0 5.0
242 61.0 61.0 0.0 0.0 5.0
243 61.0 61.0 0.0 0.0 5.0
