gen HV HVnoDiscount fitness_notKilledMutants notKilledNonEqMutants fitness_testSuiteSize
1 6.3671875 0.0 9.2578125 9.0 5.0
2 6.6796875 0.0 9.2578125 9.0 1.0
3 6.85546875 0.0 9.23828125 9.0 1.0
4 7.20703125 0.0 9.19921875 9.0 1.0
5 7.20703125 0.0 9.19921875 9.0 1.0
6 15.64453125 9.0 8.26171875 8.0 1.0
7 15.64453125 9.0 8.26171875 8.0 1.0
8 15.64453125 9.0 8.26171875 8.0 1.0
9 15.802734375 9.0 8.244140625 8.0 1.0
10 16.27734375 9.0 8.19140625 8.0 1.0
11 16.435546875 9.0 8.173828125 8.0 1.0
12 16.91015625 9.0 8.12109375 8.0 1.0
13 16.91015625 9.0 8.12109375 8.0 1.0
14 41.37890625 36.0 5.40234375 5.0 1.0
15 41.37890625 36.0 5.40234375 5.0 1.0
16 41.37890625 36.0 5.40234375 5.0 1.0
17 42.09375 36.0 5.390625 5.0 1.0
18 42.09375 36.0 5.37890625 5.0 1.0
19 42.09375 36.0 5.37890625 5.0 1.0
20 42.09375 36.0 5.37890625 5.0 1.0
21 42.09375 36.0 5.37890625 5.0 1.0
22 42.09375 36.0 5.37890625 5.0 1.0
23 42.09375 36.0 5.37890625 5.0 1.0
24 42.09375 36.0 5.37890625 5.0 1.0
25 42.09375 36.0 5.3671875 5.0 1.0
26 42.09375 36.0 5.3671875 5.0 1.0
27 42.09375 36.0 5.3671875 5.0 1.0
28 42.09375 36.0 5.35546875 5.0 1.0
29 42.09375 36.0 5.35546875 5.0 1.0
30 42.55078125 36.0 5.34375 5.0 1.0
31 42.55078125 36.0 5.34375 5.0 1.0
32 42.55078125 36.0 5.34375 5.0 1.0
33 42.55078125 36.0 5.33203125 5.0 1.0
34 42.55078125 36.0 5.33203125 5.0 1.0
35 42.55078125 36.0 5.33203125 5.0 1.0
36 42.6796875 36.0 5.33203125 5.0 1.0
37 42.6796875 36.0 5.3203125 5.0 1.0
38 42.6796875 36.0 5.3203125 5.0 1.0
39 42.6796875 36.0 5.30859375 5.0 1.0
40 42.6796875 36.0 5.30859375 5.0 1.0
41 42.6796875 36.0 5.296875 5.0 1.0
42 42.6796875 36.0 5.296875 5.0 1.0
43 42.6796875 36.0 5.296875 5.0 1.0
44 42.6796875 36.0 5.296875 5.0 1.0
45 42.6796875 36.0 5.296875 5.0 1.0
46 42.6796875 36.0 5.296875 5.0 1.0
47 42.6796875 36.0 5.296875 5.0 1.0
48 42.6796875 36.0 5.296875 5.0 1.0
49 42.6796875 36.0 5.296875 5.0 1.0
50 42.6796875 36.0 5.296875 5.0 1.0
51 42.6796875 36.0 5.296875 5.0 1.0
52 42.6796875 36.0 5.296875 5.0 1.0
53 42.6796875 36.0 5.296875 5.0 1.0
54 42.6796875 36.0 5.296875 5.0 1.0
55 42.6796875 36.0 5.296875 5.0 1.0
56 42.6796875 36.0 5.296875 5.0 1.0
57 42.6796875 36.0 5.296875 5.0 1.0
58 42.6796875 36.0 5.296875 5.0 1.0
59 42.6796875 36.0 5.296875 5.0 1.0
60 42.6796875 36.0 5.296875 5.0 1.0
61 42.6796875 36.0 5.296875 5.0 1.0
62 42.6796875 36.0 5.296875 5.0 1.0
63 42.6796875 36.0 5.296875 5.0 1.0
64 42.6796875 36.0 5.296875 5.0 1.0
65 42.6796875 36.0 5.296875 5.0 1.0
66 42.6796875 36.0 5.296875 5.0 1.0
67 42.6796875 36.0 5.296875 5.0 1.0
68 42.6796875 36.0 5.296875 5.0 1.0
69 42.6796875 36.0 5.296875 5.0 1.0
70 42.6796875 36.0 5.296875 5.0 1.0
71 42.6796875 36.0 5.296875 5.0 1.0
72 42.6796875 36.0 5.296875 5.0 1.0
73 42.6796875 36.0 5.296875 5.0 1.0
74 42.6796875 36.0 5.296875 5.0 1.0
75 42.6796875 36.0 5.296875 5.0 1.0
76 42.6796875 36.0 5.296875 5.0 1.0
77 42.6796875 36.0 5.296875 5.0 1.0
78 42.6796875 36.0 5.296875 5.0 1.0
79 42.6796875 36.0 5.296875 5.0 1.0
80 42.6796875 36.0 5.296875 5.0 1.0
81 42.6796875 36.0 5.296875 5.0 1.0
82 42.6796875 36.0 5.296875 5.0 1.0
83 42.6796875 36.0 5.296875 5.0 1.0
84 42.6796875 36.0 5.296875 5.0 1.0
85 42.6796875 36.0 5.296875 5.0 1.0
86 42.6796875 36.0 5.296875 5.0 1.0
87 42.6796875 36.0 5.296875 5.0 1.0
88 42.6796875 36.0 5.296875 5.0 1.0
89 42.6796875 36.0 5.296875 5.0 1.0
90 42.6796875 36.0 5.296875 5.0 1.0
91 42.6796875 36.0 5.296875 5.0 1.0
92 42.6796875 36.0 5.296875 5.0 1.0
93 42.6796875 36.0 5.296875 5.0 1.0
94 42.6796875 36.0 5.296875 5.0 1.0
95 42.6796875 36.0 5.296875 5.0 1.0
96 42.6796875 36.0 5.296875 5.0 1.0
97 42.6796875 36.0 5.296875 5.0 1.0
98 42.6796875 36.0 5.296875 5.0 1.0
99 42.6796875 36.0 5.296875 5.0 1.0
100 42.6796875 36.0 5.296875 5.0 1.0
101 42.6796875 36.0 5.296875 5.0 1.0
102 42.6796875 36.0 5.296875 5.0 1.0
103 42.6796875 36.0 5.296875 5.0 1.0
104 42.6796875 36.0 5.296875 5.0 1.0
105 42.6796875 36.0 5.296875 5.0 1.0
106 42.6796875 36.0 5.296875 5.0 1.0
107 42.6796875 36.0 5.296875 5.0 1.0
108 42.6796875 36.0 5.296875 5.0 1.0
109 42.6796875 36.0 5.296875 5.0 1.0
110 42.6796875 36.0 5.296875 5.0 1.0
111 42.6796875 36.0 5.296875 5.0 1.0
112 42.6796875 36.0 5.296875 5.0 1.0
113 42.6796875 36.0 5.296875 5.0 1.0
114 42.6796875 36.0 5.296875 5.0 1.0
115 42.6796875 36.0 5.296875 5.0 1.0
116 42.6796875 36.0 5.296875 5.0 1.0
117 42.6796875 36.0 5.296875 5.0 1.0
118 42.6796875 36.0 5.296875 5.0 1.0
119 42.6796875 36.0 5.296875 5.0 1.0
120 42.6796875 36.0 5.296875 5.0 1.0
121 42.6796875 36.0 5.296875 5.0 1.0
122 42.6796875 36.0 5.296875 5.0 1.0
123 42.6796875 36.0 5.296875 5.0 1.0
124 42.6796875 36.0 5.296875 5.0 1.0
125 42.6796875 36.0 5.296875 5.0 1.0
126 42.6796875 36.0 5.296875 5.0 1.0
127 42.6796875 36.0 5.296875 5.0 1.0
128 42.6796875 36.0 5.296875 5.0 1.0
129 42.6796875 36.0 5.296875 5.0 1.0
130 42.6796875 36.0 5.296875 5.0 1.0
131 42.6796875 36.0 5.296875 5.0 1.0
132 42.6796875 36.0 5.296875 5.0 1.0
133 42.6796875 36.0 5.296875 5.0 1.0
134 42.6796875 36.0 5.296875 5.0 1.0
135 42.6796875 36.0 5.296875 5.0 1.0
136 42.6796875 36.0 5.296875 5.0 1.0
137 42.6796875 36.0 5.296875 5.0 1.0
138 42.6796875 36.0 5.296875 5.0 1.0
139 42.6796875 36.0 5.296875 5.0 1.0
140 42.6796875 36.0 5.296875 5.0 1.0
141 42.6796875 36.0 5.296875 5.0 1.0
142 42.6796875 36.0 5.296875 5.0 1.0
143 42.6796875 36.0 5.296875 5.0 1.0
144 42.6796875 36.0 5.296875 5.0 1.0
145 42.6796875 36.0 5.296875 5.0 1.0
146 42.6796875 36.0 5.296875 5.0 1.0
147 42.6796875 36.0 5.296875 5.0 1.0
148 42.6796875 36.0 5.296875 5.0 1.0
149 42.6796875 36.0 5.296875 5.0 1.0
150 42.6796875 36.0 5.296875 5.0 1.0
151 42.6796875 36.0 5.296875 5.0 1.0
152 42.6796875 36.0 5.296875 5.0 1.0
153 42.6796875 36.0 5.296875 5.0 1.0
154 42.6796875 36.0 5.296875 5.0 1.0
155 42.6796875 36.0 5.296875 5.0 1.0
156 42.6796875 36.0 5.296875 5.0 1.0
157 42.6796875 36.0 5.296875 5.0 1.0
158 42.6796875 36.0 5.296875 5.0 1.0
159 42.6796875 36.0 5.296875 5.0 1.0
160 42.6796875 36.0 5.296875 5.0 1.0
161 42.6796875 36.0 5.296875 5.0 1.0
162 42.6796875 36.0 5.296875 5.0 1.0
163 42.6796875 36.0 5.296875 5.0 1.0
164 42.6796875 36.0 5.296875 5.0 1.0
165 42.6796875 36.0 5.296875 5.0 1.0
166 42.6796875 36.0 5.296875 5.0 1.0
167 42.6796875 36.0 5.296875 5.0 1.0
168 42.6796875 36.0 5.296875 5.0 1.0
169 42.6796875 36.0 5.296875 5.0 1.0
170 42.6796875 36.0 5.296875 5.0 1.0
171 42.6796875 36.0 5.296875 5.0 1.0
172 42.6796875 36.0 5.296875 5.0 1.0
173 42.6796875 36.0 5.296875 5.0 1.0
174 42.6796875 36.0 5.296875 5.0 1.0
175 42.6796875 36.0 5.296875 5.0 1.0
176 42.6796875 36.0 5.296875 5.0 1.0
177 42.6796875 36.0 5.296875 5.0 1.0
178 42.6796875 36.0 5.296875 5.0 1.0
179 42.6796875 36.0 5.296875 5.0 1.0
180 42.6796875 36.0 5.296875 5.0 1.0
181 42.6796875 36.0 5.296875 5.0 1.0
182 42.6796875 36.0 5.296875 5.0 1.0
183 42.6796875 36.0 5.296875 5.0 1.0
184 42.6796875 36.0 5.296875 5.0 1.0
185 42.6796875 36.0 5.296875 5.0 1.0
186 42.6796875 36.0 5.296875 5.0 1.0
187 42.6796875 36.0 5.296875 5.0 1.0
188 42.6796875 36.0 5.296875 5.0 1.0
189 42.6796875 36.0 5.296875 5.0 1.0
190 42.6796875 36.0 5.296875 5.0 1.0
191 42.6796875 36.0 5.296875 5.0 1.0
192 42.6796875 36.0 5.296875 5.0 1.0
193 42.6796875 36.0 5.296875 5.0 1.0
194 42.6796875 36.0 5.296875 5.0 1.0
195 42.6796875 36.0 5.296875 5.0 1.0
196 42.6796875 36.0 5.296875 5.0 1.0
197 42.6796875 36.0 5.296875 5.0 1.0
198 42.6796875 36.0 5.296875 5.0 1.0
199 42.6796875 36.0 5.296875 5.0 1.0
200 42.6796875 36.0 5.296875 5.0 1.0
201 42.6796875 36.0 5.296875 5.0 1.0
202 42.6796875 36.0 5.296875 5.0 1.0
203 42.6796875 36.0 5.296875 5.0 1.0
204 42.6796875 36.0 5.296875 5.0 1.0
205 42.6796875 36.0 5.296875 5.0 1.0
206 42.6796875 36.0 5.296875 5.0 1.0
207 42.6796875 36.0 5.296875 5.0 1.0
208 42.6796875 36.0 5.296875 5.0 1.0
209 42.6796875 36.0 5.296875 5.0 1.0
210 42.6796875 36.0 5.296875 5.0 1.0
211 42.6796875 36.0 5.296875 5.0 1.0
212 42.6796875 36.0 5.296875 5.0 1.0
213 42.6796875 36.0 5.296875 5.0 1.0
214 42.6796875 36.0 5.296875 5.0 1.0
215 42.6796875 36.0 5.296875 5.0 1.0
216 42.6796875 36.0 5.296875 5.0 1.0
217 42.6796875 36.0 5.296875 5.0 1.0
218 42.6796875 36.0 5.296875 5.0 1.0
219 42.6796875 36.0 5.296875 5.0 1.0
220 42.6796875 36.0 5.296875 5.0 1.0
221 42.6796875 36.0 5.296875 5.0 1.0
222 42.6796875 36.0 5.296875 5.0 1.0
223 42.6796875 36.0 5.296875 5.0 1.0
224 42.6796875 36.0 5.296875 5.0 1.0
225 42.6796875 36.0 5.296875 5.0 1.0
226 42.6796875 36.0 5.296875 5.0 1.0
227 42.6796875 36.0 5.296875 5.0 1.0
228 42.6796875 36.0 5.296875 5.0 1.0
229 42.6796875 36.0 5.296875 5.0 1.0
230 42.6796875 36.0 5.296875 5.0 1.0
231 42.6796875 36.0 5.296875 5.0 1.0
232 42.6796875 36.0 5.296875 5.0 1.0
233 42.6796875 36.0 5.296875 5.0 1.0
234 42.6796875 36.0 5.296875 5.0 1.0
235 42.6796875 36.0 5.296875 5.0 1.0
236 42.6796875 36.0 5.296875 5.0 1.0
237 42.6796875 36.0 5.296875 5.0 1.0
238 42.6796875 36.0 5.296875 5.0 1.0
239 42.6796875 36.0 5.296875 5.0 1.0
240 42.6796875 36.0 5.296875 5.0 1.0
241 42.6796875 36.0 5.296875 5.0 1.0
242 42.6796875 36.0 5.296875 5.0 1.0
243 42.6796875 36.0 5.296875 5.0 1.0
244 42.6796875 36.0 5.296875 5.0 1.0
245 42.6796875 36.0 5.296875 5.0 1.0
246 42.6796875 36.0 5.296875 5.0 1.0
247 42.6796875 36.0 5.296875 5.0 1.0
248 42.6796875 36.0 5.296875 5.0 1.0
249 42.6796875 36.0 5.296875 5.0 1.0
250 42.6796875 36.0 5.296875 5.0 1.0
251 42.6796875 36.0 5.296875 5.0 1.0
252 42.6796875 36.0 5.296875 5.0 1.0
253 42.6796875 36.0 5.296875 5.0 1.0
254 42.6796875 36.0 5.296875 5.0 1.0
255 42.6796875 36.0 5.296875 5.0 1.0
256 42.6796875 36.0 5.296875 5.0 1.0
257 42.6796875 36.0 5.296875 5.0 1.0
258 42.6796875 36.0 5.296875 5.0 1.0
259 42.6796875 36.0 5.296875 5.0 1.0
260 42.6796875 36.0 5.296875 5.0 1.0
261 42.6796875 36.0 5.296875 5.0 1.0
262 42.6796875 36.0 5.296875 5.0 1.0
263 42.6796875 36.0 5.296875 5.0 1.0
264 42.6796875 36.0 5.296875 5.0 1.0
265 42.6796875 36.0 5.296875 5.0 1.0
266 42.6796875 36.0 5.296875 5.0 1.0
267 42.6796875 36.0 5.296875 5.0 1.0
268 42.6796875 36.0 5.296875 5.0 1.0
269 42.6796875 36.0 5.296875 5.0 1.0
270 42.6796875 36.0 5.296875 5.0 1.0
271 42.6796875 36.0 5.296875 5.0 1.0
272 42.6796875 36.0 5.296875 5.0 1.0
273 42.6796875 36.0 5.296875 5.0 1.0
274 42.6796875 36.0 5.296875 5.0 1.0
275 42.6796875 36.0 5.296875 5.0 1.0
276 42.6796875 36.0 5.296875 5.0 1.0
277 42.6796875 36.0 5.296875 5.0 1.0
278 42.6796875 36.0 5.296875 5.0 1.0
279 42.6796875 36.0 5.296875 5.0 1.0
280 42.6796875 36.0 5.296875 5.0 1.0
281 42.6796875 36.0 5.296875 5.0 1.0
282 42.6796875 36.0 5.296875 5.0 1.0
