gen HV HVnoDiscount fitness_notKilledMutants notKilledNonEqMutants fitness_testSuiteSize
1 72.03125 72.0 0.0 0.0 5.0
2 72.03125 72.0 0.0 0.0 5.0
3 72.03125 72.0 0.0 0.0 5.0
4 72.03125 72.0 0.0 0.0 5.0
5 72.03125 72.0 0.0 0.0 5.0
6 72.03125 72.0 0.0 0.0 5.0
7 72.03125 72.0 0.0 0.0 5.0
8 72.03125 72.0 0.0 0.0 5.0
9 72.03125 72.0 0.0 0.0 5.0
10 72.03125 72.0 0.0 0.0 5.0
11 72.03125 72.0 0.0 0.0 5.0
12 72.03125 72.0 0.0 0.0 5.0
13 72.03125 72.0 0.0 0.0 5.0
14 72.03125 72.0 0.0 0.0 5.0
15 72.03125 72.0 0.0 0.0 5.0
16 72.03125 72.0 0.0 0.0 5.0
17 72.03125 72.0 0.0 0.0 5.0
18 72.03125 72.0 0.0 0.0 5.0
19 72.03125 72.0 0.0 0.0 5.0
20 72.03125 72.0 0.0 0.0 5.0
21 72.03125 72.0 0.0 0.0 5.0
22 72.03125 72.0 0.0 0.0 5.0
23 72.03125 72.0 0.0 0.0 5.0
24 72.03125 72.0 0.0 0.0 5.0
25 72.03125 72.0 0.0 0.0 5.0
26 72.03125 72.0 0.0 0.0 5.0
27 72.03125 72.0 0.0 0.0 5.0
28 72.03125 72.0 0.0 0.0 5.0
29 72.03125 72.0 0.0 0.0 5.0
30 72.03125 72.0 0.0 0.0 5.0
31 72.03125 72.0 0.0 0.0 5.0
32 72.03125 72.0 0.0 0.0 5.0
33 72.03125 72.0 0.0 0.0 5.0
34 72.03125 72.0 0.0 0.0 5.0
35 72.03125 72.0 0.0 0.0 5.0
36 72.03125 72.0 0.0 0.0 5.0
37 72.03125 72.0 0.0 0.0 5.0
38 72.03125 72.0 0.0 0.0 5.0
39 72.03125 72.0 0.0 0.0 5.0
40 72.03125 72.0 0.0 0.0 5.0
41 72.03125 72.0 0.0 0.0 5.0
42 72.03125 72.0 0.0 0.0 5.0
43 72.03125 72.0 0.0 0.0 5.0
44 72.03125 72.0 0.0 0.0 5.0
45 72.03125 72.0 0.0 0.0 5.0
46 72.03125 72.0 0.0 0.0 5.0
47 72.03125 72.0 0.0 0.0 5.0
48 72.03125 72.0 0.0 0.0 5.0
