gen HV HVnoDiscount fitness_notKilledMutants notKilledNonEqMutants fitness_testSuiteSize
1 29.00390625 28.0 2.87109375 3.0 7.0
2 29.00390625 28.0 2.87109375 3.0 7.0
3 29.00390625 28.0 1.796875 2.0 7.0
4 29.00390625 28.0 1.796875 2.0 7.0
5 29.00390625 28.0 1.765625 2.0 7.0
6 29.00390625 28.0 1.765625 2.0 7.0
7 29.00390625 28.0 1.734375 2.0 7.0
8 29.99609375 28.0 1.734375 2.0 7.0
9 29.99609375 28.0 1.671875 2.0 7.0
10 30.32421875 28.0 1.671875 2.0 7.0
11 30.32421875 28.0 1.66796875 2.0 7.0
12 30.32421875 28.0 1.66796875 2.0 7.0
13 30.32421875 28.0 1.66796875 2.0 7.0
14 30.32421875 28.0 1.66796875 2.0 7.0
15 30.32421875 28.0 1.66796875 2.0 7.0
16 30.32421875 28.0 1.66796875 2.0 7.0
17 30.32421875 28.0 1.66796875 2.0 7.0
18 30.32421875 28.0 1.66796875 2.0 7.0
19 30.32421875 28.0 1.66796875 2.0 7.0
20 30.32421875 28.0 1.66796875 2.0 7.0
21 30.32421875 28.0 1.66796875 2.0 7.0
22 30.32421875 28.0 1.66796875 2.0 7.0
23 30.32421875 28.0 1.66796875 2.0 7.0
24 30.32421875 28.0 1.66796875 2.0 7.0
25 30.32421875 28.0 1.66796875 2.0 7.0
26 30.32421875 28.0 1.66796875 2.0 7.0
27 30.32421875 28.0 1.66796875 2.0 7.0
28 30.32421875 28.0 1.66796875 2.0 7.0
29 30.32421875 28.0 1.66796875 2.0 7.0
30 30.32421875 28.0 1.66796875 2.0 7.0
31 35.0 35.0 1.66796875 2.0 7.0
32 35.0 35.0 1.66796875 2.0 7.0
33 35.0 35.0 1.66796875 2.0 7.0
34 35.0 35.0 1.0 1.0 7.0
35 35.0 35.0 1.0 1.0 7.0
36 35.0 35.0 1.0 1.0 7.0
37 42.0 42.0 1.0 1.0 7.0
38 42.0 42.0 1.0 1.0 7.0
39 42.0 42.0 1.0 1.0 7.0
40 42.0 42.0 1.0 1.0 7.0
41 42.0 42.0 1.0 1.0 7.0
42 42.0 42.0 1.0 1.0 7.0
43 42.0 42.0 1.0 1.0 7.0
44 42.0 42.0 1.0 1.0 7.0
45 42.0 42.0 1.0 1.0 7.0
46 42.0 42.0 1.0 1.0 7.0
47 42.0 42.0 1.0 1.0 7.0
48 42.0 42.0 1.0 1.0 7.0
49 42.0 42.0 1.0 1.0 7.0
50 42.0 42.0 0.0 0.0 7.0
51 42.0 42.0 0.0 0.0 7.0
52 42.0 42.0 0.0 0.0 7.0
53 42.0 42.0 0.0 0.0 7.0
54 42.0 42.0 0.0 0.0 7.0
55 42.0 42.0 0.0 0.0 7.0
56 42.0 42.0 0.0 0.0 7.0
57 42.0 42.0 0.0 0.0 7.0
