gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
1 4 8.736328125 30 9 8 0.8888888888888888
1 3 9.68359375 36 10 9 1.0
2 4 8.595703125 46 9 8 0.8888888888888888
3 3 7.6787109375 47 8 7 0.7777777777777778
4 3 4.755859375 50 5 4 0.4444444444444444
4 2 9.755859375 50 10 9 1.0
5 3 4.755859375 50 5 4 0.4444444444444444
6 3 4.736328125 54 5 4 0.4444444444444444
7 2 9.7216796875 57 10 9 1.0
8 3 4.716796875 58 5 4 0.4444444444444444
9 2 9.70703125 60 10 9 1.0
10 3 4.6875 64 5 4 0.4444444444444444
11 2 9.658203125 70 10 9 1.0
12 3 4.658203125 70 5 4 0.4444444444444444
13 2 9.6435546875 73 10 9 1.0
14 3 4.6337890625 75 5 4 0.4444444444444444
15 2 9.62890625 76 10 9 1.0
16 3 4.619140625 78 5 4 0.4444444444444444
17 2 9.609375 80 10 9 1.0
18 2 6.6044921875 81 7 6 0.6666666666666666
18 3 4.58984375 84 5 4 0.4444444444444444
19 2 6.5849609375 85 7 6 0.6666666666666666
20 3 4.5703125 88 5 4 0.4444444444444444
21 2 6.5703125 88 7 6 0.6666666666666666
22 3 4.560546875 90 5 4 0.4444444444444444
23 2 6.5458984375 93 7 6 0.6666666666666666
24 3 4.5166015625 99 5 4 0.4444444444444444
25 2 6.5166015625 99 7 6 0.6666666666666666
26 3 4.501953125 102 5 4 0.4444444444444444
27 2 6.4921875 104 7 6 0.6666666666666666
28 3 4.4873046875 105 5 4 0.4444444444444444
28 2 6.4873046875 105 7 6 0.6666666666666666
28 4 4.482421875 106 5 4 0.4444444444444444
29 3 4.4677734375 109 5 4 0.4444444444444444
30 2 6.462890625 110 7 6 0.6666666666666666
31 3 4.453125 112 5 4 0.4444444444444444
32 2 6.443359375 114 7 6 0.6666666666666666
33 3 4.4287109375 117 5 4 0.4444444444444444
34 2 6.4140625 120 7 6 0.6666666666666666
35 3 4.404296875 122 5 4 0.4444444444444444
36 2 6.3994140625 123 7 6 0.6666666666666666
37 3 4.39453125 124 5 4 0.4444444444444444
38 2 6.39453125 124 7 6 0.6666666666666666
39 3 4.3896484375 125 5 4 0.4444444444444444
40 2 6.384765625 126 7 6 0.6666666666666666
41 3 4.3701171875 129 5 4 0.4444444444444444
42 2 6.3603515625 131 7 6 0.6666666666666666
43 3 4.3505859375 133 5 4 0.4444444444444444
44 2 6.3505859375 133 7 6 0.6666666666666666
45 3 4.3408203125 135 5 4 0.4444444444444444
46 2 6.3310546875 137 7 6 0.6666666666666666
47 3 4.3310546875 137 5 4 0.4444444444444444
47 2 6.3310546875 137 7 6 0.6666666666666666
48 2 6.3115234375 141 7 6 0.6666666666666666
49 3 4.3017578125 143 5 4 0.4444444444444444
50 2 6.296875 144 7 6 0.6666666666666666
51 3 4.2919921875 145 5 4 0.4444444444444444
52 2 6.2822265625 147 7 6 0.6666666666666666
53 3 4.248046875 154 5 4 0.4444444444444444
54 2 6.23828125 156 7 6 0.6666666666666666
55 3 4.228515625 158 5 4 0.4444444444444444
55 2 6.228515625 158 7 6 0.6666666666666666
56 3 4.21875 160 5 4 0.4444444444444444
57 2 6.208984375 162 7 6 0.6666666666666666
58 2 6.2041015625 163 7 6 0.6666666666666666
58 3 4.1845703125 167 5 4 0.4444444444444444
59 2 6.1845703125 167 7 6 0.6666666666666666
60 2 6.1845703125 167 7 6 0.6666666666666666
60 3 4.1796875 168 5 4 0.4444444444444444
61 3 4.328125 172 5 4 0.4444444444444444
61 2 6.31640625 175 7 6 0.6666666666666666
62 3 5.3125 176 6 5 0.5555555555555556
62 2 6.296875 180 7 6 0.6666666666666666
63 2 6.2890625 182 7 6 0.6666666666666666
64 2 6.265625 188 7 6 0.6666666666666666
65 2 6.26171875 189 7 6 0.6666666666666666
66 2 6.25390625 191 7 6 0.6666666666666666
66 3 6.25 192 7 6 0.6666666666666666
67 2 6.25 192 7 6 0.6666666666666666
68 2 6.23828125 195 7 6 0.6666666666666666
69 2 5.4228515625 197 6 5 0.5555555555555556
70 3 4.4228515625 197 5 4 0.4444444444444444
71 3 4.4228515625 197 5 4 0.4444444444444444
71 4 2.806640625 198 3 2 0.2222222222222222
72 3 4.802734375 202 5 4 0.4444444444444444
73 3 4.8017578125 203 5 4 0.4444444444444444
74 3 0.7998046875 205 1 0 0.0
75 2 5.7978515625 207 6 5 0.5555555555555556
75 3 3.796875 208 4 3 0.3333333333333333
76 2 5.796875 208 6 5 0.5555555555555556
76 1 6.796875 208 7 6 0.6666666666666666
77 2 5.7939453125 211 6 5 0.5555555555555556
78 2 5.7919921875 213 6 5 0.5555555555555556
79 2 5.791015625 214 6 5 0.5555555555555556
79 1 6.791015625 214 7 6 0.6666666666666666
80 2 5.7900390625 215 6 5 0.5555555555555556
81 1 6.787109375 218 7 6 0.6666666666666666
81 2 5.787109375 218 6 5 0.5555555555555556
82 2 5.78515625 220 6 5 0.5555555555555556
83 2 5.7841796875 221 6 5 0.5555555555555556
84 2 5.7841796875 221 6 5 0.5555555555555556
85 2 5.783203125 222 6 5 0.5555555555555556
86 2 5.7822265625 223 6 5 0.5555555555555556
86 1 6.7822265625 223 7 6 0.6666666666666666
87 2 5.7822265625 223 6 5 0.5555555555555556
87 1 6.78125 224 7 6 0.6666666666666666
88 2 5.7802734375 225 6 5 0.5555555555555556
88 1 6.779296875 226 7 6 0.6666666666666666
89 2 5.77734375 228 6 5 0.5555555555555556
90 2 5.775390625 230 6 5 0.5555555555555556
91 2 5.7734375 232 6 5 0.5555555555555556
91 3 5.7724609375 233 6 5 0.5555555555555556
92 2 5.7705078125 235 6 5 0.5555555555555556
93 2 5.767578125 238 6 5 0.5555555555555556
93 3 5.7666015625 239 6 5 0.5555555555555556
94 2 5.765625 240 6 5 0.5555555555555556
95 2 5.7646484375 241 6 5 0.5555555555555556
96 2 5.76171875 244 6 5 0.5555555555555556
97 2 5.759765625 246 6 5 0.5555555555555556
98 2 5.7578125 248 6 5 0.5555555555555556
99 2 5.7578125 248 6 5 0.5555555555555556
99 1 6.7578125 248 7 6 0.6666666666666666
100 2 5.7568359375 249 6 5 0.5555555555555556
101 3 4.7548828125 251 5 4 0.4444444444444444
101 2 5.7548828125 251 6 5 0.5555555555555556
102 1 6.75390625 252 7 6 0.6666666666666666
102 2 5.7529296875 253 6 5 0.5555555555555556
103 2 5.7529296875 253 6 5 0.5555555555555556
104 2 5.7509765625 255 6 5 0.5555555555555556
105 1 6.75 256 7 6 0.6666666666666666
105 2 5.75 256 6 5 0.5555555555555556
106 2 5.7470703125 259 6 5 0.5555555555555556
107 2 5.74609375 260 6 5 0.5555555555555556
108 2 5.74609375 260 6 5 0.5555555555555556
109 2 5.7421875 264 6 5 0.5555555555555556
110 2 5.7421875 264 6 5 0.5555555555555556
111 2 5.7421875 264 6 5 0.5555555555555556
111 1 6.7421875 264 7 6 0.6666666666666666
112 2 5.7412109375 265 6 5 0.5555555555555556
113 3 3.736328125 270 4 3 0.3333333333333333
113 2 5.7353515625 271 6 5 0.5555555555555556
114 2 5.734375 272 6 5 0.5555555555555556
115 2 5.732421875 274 6 5 0.5555555555555556
116 2 5.732421875 274 6 5 0.5555555555555556
116 1 6.732421875 274 7 6 0.6666666666666666
116 3 5.73046875 276 6 5 0.5555555555555556
117 2 5.7294921875 277 6 5 0.5555555555555556
118 2 5.7275390625 279 6 5 0.5555555555555556
118 3 5.7265625 280 6 5 0.5555555555555556
119 2 5.724609375 282 6 5 0.5555555555555556
120 2 5.7236328125 283 6 5 0.5555555555555556
121 3 3.72265625 284 4 3 0.3333333333333333
121 2 5.72265625 284 6 5 0.5555555555555556
122 1 6.72265625 284 7 6 0.6666666666666666
122 2 5.7216796875 285 6 5 0.5555555555555556
123 2 5.71875 288 6 5 0.5555555555555556
124 2 5.71875 288 6 5 0.5555555555555556
125 2 5.7177734375 289 6 5 0.5555555555555556
126 2 5.7177734375 289 6 5 0.5555555555555556
126 3 0.7177734375 289 1 0 0.0
127 2 5.716796875 290 6 5 0.5555555555555556
128 2 5.716796875 290 6 5 0.5555555555555556
129 2 5.7158203125 291 6 5 0.5555555555555556
129 1 6.7158203125 291 7 6 0.6666666666666666
130 2 5.71484375 292 6 5 0.5555555555555556
131 2 5.71484375 292 6 5 0.5555555555555556
131 1 6.71484375 292 7 6 0.6666666666666666
132 2 5.7138671875 293 6 5 0.5555555555555556
133 2 5.7099609375 297 6 5 0.5555555555555556
134 2 4.7080078125 299 5 4 0.4444444444444444
135 2 0.7080078125 299 1 0 0.0
135 3 0.7060546875 301 1 0 0.0
136 1 6.703125 304 7 6 0.6666666666666666
137 2 0.7021484375 305 1 0 0.0
138 1 6.7001953125 307 7 6 0.6666666666666666
139 2 0.69921875 308 1 0 0.0
140 1 6.69921875 308 7 6 0.6666666666666666
141 2 0.6982421875 309 1 0 0.0
141 1 9.6982421875 309 10 9 1.0
142 1 6.6982421875 309 7 6 0.6666666666666666
143 2 0.6962890625 311 1 0 0.0
144 1 6.6953125 312 7 6 0.6666666666666666
145 2 0.693359375 314 1 0 0.0
146 1 6.693359375 314 7 6 0.6666666666666666
147 2 0.6923828125 315 1 0 0.0
148 1 6.6904296875 317 7 6 0.6666666666666666
149 2 0.6875 320 1 0 0.0
150 1 6.6875 320 7 6 0.6666666666666666
151 2 0.6865234375 321 1 0 0.0
152 1 6.6865234375 321 7 6 0.6666666666666666
153 2 0.685546875 322 1 0 0.0
154 1 6.6845703125 323 7 6 0.6666666666666666
155 2 0.6826171875 325 1 0 0.0
156 1 6.6806640625 327 7 6 0.6666666666666666
157 2 0.6806640625 327 1 0 0.0
