gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
1 3 3.98828125 3 4 4 0.4
1 4 0 19 0 0 0.0
2 4 1 49 1 1 0.1
2 3 2 50 2 2 0.2
3 4 0 52 0 0 0.0
4 4 0 53 0 0 0.0
5 4 0 57 0 0 0.0
6 4 0 60 0 0 0.0
6 3 4 64 4 4 0.4
7 4 0 64 0 0 0.0
8 4 0 69 0 0 0.0
8 3 4 72 4 4 0.4
9 4 0 74 0 0 0.0
10 4 0 77 0 0 0.0
11 4 0 82 0 0 0.0
11 3 4 82 4 4 0.4
12 4 0 83 0 0 0.0
13 4 0 87 0 0 0.0
13 3 4 90 4 4 0.4
14 4 0 91 0 0 0.0
15 4 0 96 0 0 0.0
16 4 0 99 0 0 0.0
16 3 4 99 4 4 0.4
17 4 0 104 0 0 0.0
18 4 0 109 0 0 0.0
19 3 4 111 4 4 0.4
19 4 0 111 0 0 0.0
20 4 0 112 0 0 0.0
20 3 4 112 4 4 0.4
21 4 0 116 0 0 0.0
21 3 3 119 3 3 0.3
22 4 0 119 0 0 0.0
23 4 0 122 0 0 0.0
24 4 0 126 0 0 0.0
25 3 4 130 4 4 0.4
25 4 0 130 0 0 0.0
26 4 0 135 0 0 0.0
27 4 0 139 0 0 0.0
28 4 0 145 0 0 0.0
29 4 0 148 0 0 0.0
30 4 0 149 0 0 0.0
30 3 4 149 4 4 0.4
31 4 0 153 0 0 0.0
32 4 0 155 0 0 0.0
33 4 0 156 0 0 0.0
34 4 0 160 0 0 0.0
35 4 0 163 0 0 0.0
36 4 0 168 0 0 0.0
37 4 0 175 0 0 0.0
38 4 0 177 0 0 0.0
39 4 0 181 0 0 0.0
39 3 4 181 4 4 0.4
40 4 0 183 0 0 0.0
41 4 0 189 0 0 0.0
42 4 0 194 0 0 0.0
43 4 0 201 0 0 0.0
44 4 0 204 0 0 0.0
44 3 4 204 4 4 0.4
45 4 0 205 0 0 0.0
45 3 6 206 6 6 0.6
46 4 0 206 0 0 0.0
47 4 0 208 0 0 0.0
48 4 0 209 0 0 0.0
49 4 0 211 0 0 0.0
50 4 0 217 0 0 0.0
50 3 4 218 4 4 0.4
51 4 0 220 0 0 0.0
52 4 0 221 0 0 0.0
53 4 0 225 0 0 0.0
54 4 0 229 0 0 0.0
54 3 4 230 4 4 0.4
55 4 0 232 0 0 0.0
56 4 0 233 0 0 0.0
57 4 0 237 0 0 0.0
58 4 0 239 0 0 0.0
58 3 4 239 4 4 0.4
59 4 0 241 0 0 0.0
60 4 0 243 0 0 0.0
61 4 0 247 0 0 0.0
62 4 0 251 0 0 0.0
63 3 4 253 4 4 0.4
63 4 0 254 0 0 0.0
64 4 0 256 0 0 0.0
65 4 0 259 0 0 0.0
66 4 0 262 0 0 0.0
67 4 0 264 0 0 0.0
68 4 0 266 0 0 0.0
69 4 0 270 0 0 0.0
70 4 0 272 0 0 0.0
71 4 0 277 0 0 0.0
71 3 4 277 4 4 0.4
72 4 0 279 0 0 0.0
73 4 0 281 0 0 0.0
73 3 4 281 4 4 0.4
74 4 0 281 0 0 0.0
75 4 0 284 0 0 0.0
76 4 0 290 0 0 0.0
77 4 0 292 0 0 0.0
78 4 0 294 0 0 0.0
78 3 4 294 4 4 0.4
79 4 0 295 0 0 0.0
80 4 0 298 0 0 0.0
81 4 0 303 0 0 0.0
82 4 0 305 0 0 0.0
82 3 4 306 4 4 0.4
83 4 0 306 0 0 0.0
83 3 1 306 1 1 0.1
84 4 0 308 0 0 0.0
84 3 4 308 4 4 0.4
85 4 0 310 0 0 0.0
86 4 0 315 0 0 0.0
87 4 0 318 0 0 0.0
87 3 4 318 4 4 0.4
88 4 0 319 0 0 0.0
89 4 0 321 0 0 0.0
90 3 4 322 4 4 0.4
90 4 0 323 0 0 0.0
91 4 0 323 0 0 0.0
92 4 0 325 0 0 0.0
93 4 0 327 0 0 0.0
94 4 0 331 0 0 0.0
95 4 0 333 0 0 0.0
96 4 0 333 0 0 0.0
97 4 0 336 0 0 0.0
98 4 0 338 0 0 0.0
99 4 0 343 0 0 0.0
100 4 0 348 0 0 0.0
101 4 0 350 0 0 0.0
101 3 4 350 4 4 0.4
102 4 0 353 0 0 0.0
102 3 4 354 4 4 0.4
103 4 0 354 0 0 0.0
103 3 4 356 4 4 0.4
104 3 4 358 4 4 0.4
104 4 0 359 0 0 0.0
105 4 0 360 0 0 0.0
106 4 0 364 0 0 0.0
106 3 4 364 4 4 0.4
107 4 0 367 0 0 0.0
108 4 0 368 0 0 0.0
109 4 0 371 0 0 0.0
110 4 0 373 0 0 0.0
111 4 0 376 0 0 0.0
112 4 0 376 0 0 0.0
113 4 0 380 0 0 0.0
114 4 0 383 0 0 0.0
115 4 0 387 0 0 0.0
116 4 0 391 0 0 0.0
117 4 0 393 0 0 0.0
117 3 4 394 4 4 0.4
118 4 0 394 0 0 0.0
119 4 0 397 0 0 0.0
120 4 0 398 0 0 0.0
121 4 0 400 0 0 0.0
122 4 0 402 0 0 0.0
123 4 0 403 0 0 0.0
124 4 0 404 0 0 0.0
125 4 0 404 0 0 0.0
126 4 0 408 0 0 0.0
127 4 0 408 0 0 0.0
128 4 0 409 0 0 0.0
129 4 0 412 0 0 0.0
129 3 4 412 4 4 0.4
130 4 0 414 0 0 0.0
131 4 0 416 0 0 0.0
131 3 4 416 4 4 0.4
132 4 0 417 0 0 0.0
133 4 0 419 0 0 0.0
134 4 0 423 0 0 0.0
134 3 4 425 4 4 0.4
135 4 0 425 0 0 0.0
136 4 0 427 0 0 0.0
137 4 0 430 0 0 0.0
138 4 0 431 0 0 0.0
139 4 0 433 0 0 0.0
140 4 0 436 0 0 0.0
141 4 0 442 0 0 0.0
142 4 0 447 0 0 0.0
142 3 4 449 4 4 0.4
143 4 0 449 0 0 0.0
143 3 4 450 4 4 0.4
144 4 0 450 0 0 0.0
144 3 4 450 4 4 0.4
145 4 0 450 0 0 0.0
146 4 0 452 0 0 0.0
146 3 2 455 2 2 0.2
147 4 0 455 0 0 0.0
148 4 0 458 0 0 0.0
149 4 0 458 0 0 0.0
149 3 4 459 4 4 0.4
150 4 0 459 0 0 0.0
151 4 0 462 0 0 0.0
151 3 4 463 4 4 0.4
152 4 0 464 0 0 0.0
153 4 0 467 0 0 0.0
154 4 0 471 0 0 0.0
154 3 4 472 4 4 0.4
155 4 0 473 0 0 0.0
156 4 0 474 0 0 0.0
156 3 4 475 4 4 0.4
157 4 0 477 0 0 0.0
158 4 0 478 0 0 0.0
159 3 4 480 4 4 0.4
