gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
1 3 8.8388671875 33 9 9 0.9
1 5 5.8515625 38 6 6 0.6
1 4 5.8623046875 47 6 6 0.6
2 5 5.859375 48 6 6 0.6
3 3 5.9521484375 49 6 6 0.6
4 5 4.947265625 54 5 5 0.5
5 4 5.9443359375 57 6 6 0.6
6 4 5.9384765625 63 6 6 0.6
7 4 5.93359375 68 6 6 0.6
7 3 9.93359375 68 10 10 1.0
8 4 5.9326171875 69 6 6 0.6
8 3 9.9326171875 69 10 10 1.0
9 4 5.9306640625 71 6 6 0.6
10 4 5.9287109375 73 6 6 0.6
11 4 4.927734375 74 5 5 0.5
11 3 9.923828125 78 10 10 1.0
12 3 5.9228515625 79 6 6 0.6
13 4 4.9169921875 85 5 5 0.5
14 3 5.9130859375 89 6 6 0.6
15 4 4.912109375 90 5 5 0.5
16 4 1.91015625 92 2 2 0.2
16 3 5.9052734375 97 6 6 0.6
17 4 1.90234375 100 2 2 0.2
18 4 3.900390625 102 4 4 0.4
18 3 5.8984375 104 6 6 0.6
19 4 1 107 1 1 0.1
20 3 6 110 6 6 0.6
21 3 6 111 6 6 0.6
22 3 5 115 5 5 0.5
23 4 1 115 1 1 0.1
23 3 2 116 2 2 0.2
24 4 1 116 1 1 0.1
25 4 1 118 1 1 0.1
25 3 4 118 4 4 0.4
26 4 1 118 1 1 0.1
26 3 4 119 4 4 0.4
27 4 1 123 1 1 0.1
27 3 2 123 2 2 0.2
28 4 1 125 1 1 0.1
28 3 2 125 2 2 0.2
29 4 1 126 1 1 0.1
29 3 4 126 4 4 0.4
30 4 1 132 1 1 0.1
31 4 1 135 1 1 0.1
32 4 1 138 1 1 0.1
33 4 1 142 1 1 0.1
33 3 4 148 4 4 0.4
34 3 4 148 4 4 0.4
34 4 1 148 1 1 0.1
35 4 1 149 1 1 0.1
36 4 1 153 1 1 0.1
37 4 1 156 1 1 0.1
37 3 4 158 4 4 0.4
38 4 1 158 1 1 0.1
38 3 4 159 4 4 0.4
39 4 1 159 1 1 0.1
39 3 2 159 2 2 0.2
40 4 1 162 1 1 0.1
41 4 1 164 1 1 0.1
41 3 2 166 2 2 0.2
42 4 1 167 1 1 0.1
42 3 6 170 6 6 0.6
43 4 1 171 1 1 0.1
44 4 1 173 1 1 0.1
45 4 1 174 1 1 0.1
46 4 1 178 1 1 0.1
47 4 1 178 1 1 0.1
47 3 2 178 2 2 0.2
48 4 1 179 1 1 0.1
49 4 1 181 1 1 0.1
49 5 0 183 0 0 0.0
50 3 2 187 2 2 0.2
51 3 2 190 2 2 0.2
52 3 2 194 2 2 0.2
52 2 6 196 6 6 0.6
53 4 2 197 2 2 0.2
53 5 0 198 0 0 0.0
54 5 0 202 0 0 0.0
54 4 3 203 3 3 0.3
55 5 0 203 0 0 0.0
55 4 2 205 2 2 0.2
56 5 0 205 0 0 0.0
56 4 2 208 2 2 0.2
57 5 0 210 0 0 0.0
57 3 5 211 5 5 0.5
58 5 0 211 0 0 0.0
58 4 1 214 1 1 0.1
59 5 0 215 0 0 0.0
60 5 0 217 0 0 0.0
61 5 0 220 0 0 0.0
62 5 0 225 0 0 0.0
62 4 2 228 2 2 0.2
63 5 0 229 0 0 0.0
64 5 0 233 0 0 0.0
65 5 0 234 0 0 0.0
65 4 2 234 2 2 0.2
66 5 0 234 0 0 0.0
66 4 6 236 6 6 0.6
67 5 0 236 0 0 0.0
67 4 3 236 3 3 0.3
68 5 0 236 0 0 0.0
69 5 0 238 0 0 0.0
70 5 0 241 0 0 0.0
70 4 3 242 3 3 0.3
71 5 0 244 0 0 0.0
71 4 5 244 5 5 0.5
72 5 0 244 0 0 0.0
73 5 0 244 0 0 0.0
73 4 3 244 3 3 0.3
74 5 0 247 0 0 0.0
74 4 3 247 3 3 0.3
75 5 0 249 0 0 0.0
75 4 6 250 6 6 0.6
76 5 0 250 0 0 0.0
77 5 0 253 0 0 0.0
78 5 0 255 0 0 0.0
78 4 6 256 6 6 0.6
79 5 0 258 0 0 0.0
79 4 2 258 2 2 0.2
80 5 0 259 0 0 0.0
80 4 2 259 2 2 0.2
81 5 0 261 0 0 0.0
81 4 2 262 2 2 0.2
82 5 0 263 0 0 0.0
82 4 2 264 2 2 0.2
82 3 5 264 5 5 0.5
83 5 0 264 0 0 0.0
83 4 2 264 2 2 0.2
84 5 0 265 0 0 0.0
84 4 2 267 2 2 0.2
85 5 0 267 0 0 0.0
85 4 2 267 2 2 0.2
86 5 0 268 0 0 0.0
86 4 2 272 2 2 0.2
87 5 0 272 0 0 0.0
88 5 0 277 0 0 0.0
89 5 0 282 0 0 0.0
90 5 0 284 0 0 0.0
90 4 3 284 3 3 0.3
91 4 0 284 0 0 0.0
92 2 6 289 6 6 0.6
93 2 6 289 6 6 0.6
93 3 2 289 2 2 0.2
94 2 6 290 6 6 0.6
95 2 6 290 6 6 0.6
96 2 6 292 6 6 0.6
97 2 6 294 6 6 0.6
98 2 6 296 6 6 0.6
99 2 6 296 6 6 0.6
99 4 3 297 3 3 0.3
100 2 6 297 6 6 0.6
100 3 4 297 4 4 0.4
101 2 6 300 6 6 0.6
101 3 2 302 2 2 0.2
102 2 6 302 6 6 0.6
102 3 3 303 3 3 0.3
103 2 6 303 6 6 0.6
103 3 1 304 1 1 0.1
104 2 6 304 6 6 0.6
105 2 6 307 6 6 0.6
105 3 5 308 5 5 0.5
106 2 6 308 6 6 0.6
107 2 6 308 6 6 0.6
107 3 4 309 4 4 0.4
108 2 6 309 6 6 0.6
109 2 6 310 6 6 0.6
109 3 3 311 3 3 0.3
110 3 5 312 5 5 0.5
110 2 6 312 6 6 0.6
111 2 6 312 6 6 0.6
112 2 6 313 6 6 0.6
113 3 5 314 5 5 0.5
113 2 6 314 6 6 0.6
114 2 6 315 6 6 0.6
114 3 5 316 5 5 0.5
115 2 6 320 6 6 0.6
116 2 6 320 6 6 0.6
116 3 3 322 3 3 0.3
117 2 6 322 6 6 0.6
117 3 4 324 4 4 0.4
118 2 6 325 6 6 0.6
118 3 3 326 3 3 0.3
119 2 6 326 6 6 0.6
119 3 5 326 5 5 0.5
120 2 6 326 6 6 0.6
121 2 6 327 6 6 0.6
122 2 6 327 6 6 0.6
123 2 6 328 6 6 0.6
124 2 6 329 6 6 0.6
125 2 6 330 6 6 0.6
126 2 6 331 6 6 0.6
127 2 6 332 6 6 0.6
127 1 10 333 10 10 1.0
128 4 0 333 0 0 0.0
129 4 0 334 0 0 0.0
130 4 0 335 0 0 0.0
131 3 1 336 1 1 0.1
131 4 0 336 0 0 0.0
132 4 0 339 0 0 0.0
133 4 0 342 0 0 0.0
133 3 4 343 4 4 0.4
134 4 0 343 0 0 0.0
135 4 0 347 0 0 0.0
135 3 4 350 4 4 0.4
136 4 0 351 0 0 0.0
136 3 2 351 2 2 0.2
137 4 0 352 0 0 0.0
137 3 2 352 2 2 0.2
138 3 1 352 1 1 0.1
138 4 0 352 0 0 0.0
139 4 0 354 0 0 0.0
139 3 2 354 2 2 0.2
140 4 0 355 0 0 0.0
140 3 6 355 6 6 0.6
141 4 0 357 0 0 0.0
142 4 0 357 0 0 0.0
143 4 0 360 0 0 0.0
143 3 4 360 4 4 0.4
144 4 0 362 0 0 0.0
145 2 8 364 8 8 0.8
145 3 2 364 2 2 0.2
145 4 0 364 0 0 0.0
146 4 0 365 0 0 0.0
147 4 0 365 0 0 0.0
147 3 2 365 2 2 0.2
148 4 0 368 0 0 0.0
149 4 0 369 0 0 0.0
150 4 0 369 0 0 0.0
150 3 8 370 8 8 0.8
151 4 0 370 0 0 0.0
151 3 2 370 2 2 0.2
152 4 0 370 0 0 0.0
153 4 0 370 0 0 0.0
154 4 0 373 0 0 0.0
154 3 1 374 1 1 0.1
155 3 4 374 4 4 0.4
155 4 0 374 0 0 0.0
