gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
1 3 7.19921875 41 8 7 0.7777777777777778
2 3 6.140625 44 7 6 0.6666666666666666
3 3 6.12109375 45 7 6 0.6666666666666666
4 2 7.12109375 45 8 7 0.7777777777777778
4 3 6.12109375 45 7 6 0.6666666666666666
5 3 6.08203125 47 7 6 0.6666666666666666
6 2 7.08203125 47 8 7 0.7777777777777778
7 3 6.0625 48 7 6 0.6666666666666666
7 2 6.234375 49 7 6 0.6666666666666666
8 3 6.21875 50 7 6 0.6666666666666666
9 2 7.203125 51 8 7 0.7777777777777778
9 3 6.1875 52 7 6 0.6666666666666666
10 3 6.1875 52 7 6 0.6666666666666666
11 3 6.171875 53 7 6 0.6666666666666666
12 3 6.140625 55 7 6 0.6666666666666666
13 2 7.140625 55 8 7 0.7777777777777778
13 3 6.109375 57 7 6 0.6666666666666666
14 3 6.09375 58 7 6 0.6666666666666666
14 2 7.09375 58 8 7 0.7777777777777778
15 3 6.0625 60 7 6 0.6666666666666666
15 2 7.0625 60 8 7 0.7777777777777778
16 3 6.0625 60 7 6 0.6666666666666666
17 3 6.0625 60 7 6 0.6666666666666666
18 3 6.0625 60 7 6 0.6666666666666666
18 2 7.0625 60 8 7 0.7777777777777778
19 2 7.0625 60 8 7 0.7777777777777778
19 3 6.046875 61 7 6 0.6666666666666666
20 2 6.046875 61 7 6 0.6666666666666666
20 1 7.046875 61 8 7 0.7777777777777778
20 3 6.03125 62 7 6 0.6666666666666666
21 1 7.015625 63 8 7 0.7777777777777778
22 3 5.96875 66 7 6 0.6666666666666666
23 1 6.953125 67 8 7 0.7777777777777778
23 2 6.9375 68 8 7 0.7777777777777778
24 3 5.859375 73 7 6 0.6666666666666666
25 1 6.859375 73 8 7 0.7777777777777778
25 2 5.859375 73 7 6 0.6666666666666666
26 1 6.84375 74 8 7 0.7777777777777778
27 2 5.828125 75 7 6 0.6666666666666666
28 1 6.8125 76 8 7 0.7777777777777778
29 2 5.8125 76 7 6 0.6666666666666666
30 1 6.796875 77 8 7 0.7777777777777778
31 2 5.765625 79 7 6 0.6666666666666666
32 1 6.75 80 8 7 0.7777777777777778
33 2 5.734375 81 7 6 0.6666666666666666
34 1 6.734375 81 8 7 0.7777777777777778
35 2 5.734375 81 7 6 0.6666666666666666
36 2 5.71875 82 7 6 0.6666666666666666
37 1 6.6875 84 8 7 0.7777777777777778
38 2 5.671875 85 7 6 0.6666666666666666
39 1 6.65625 86 8 7 0.7777777777777778
40 2 5.640625 87 7 6 0.6666666666666666
41 1 6.640625 87 8 7 0.7777777777777778
42 1 6.640625 87 8 7 0.7777777777777778
42 2 5.625 88 7 6 0.6666666666666666
43 1 6.609375 89 8 7 0.7777777777777778
44 2 5.609375 89 7 6 0.6666666666666666
45 1 6.59375 90 8 7 0.7777777777777778
46 2 5.59375 90 7 6 0.6666666666666666
47 1 6.59375 90 8 7 0.7777777777777778
48 1 6.59375 90 8 7 0.7777777777777778
49 1 6.59375 90 8 7 0.7777777777777778
50 1 6.59375 90 8 7 0.7777777777777778
51 1 6.59375 90 8 7 0.7777777777777778
52 1 6.59375 90 8 7 0.7777777777777778
53 1 6.59375 90 8 7 0.7777777777777778
54 1 6.59375 90 8 7 0.7777777777777778
55 1 6.578125 91 8 7 0.7777777777777778
56 2 5.578125 91 7 6 0.6666666666666666
57 1 6.5625 92 8 7 0.7777777777777778
58 1 6.5625 92 8 7 0.7777777777777778
58 2 5.546875 93 7 6 0.6666666666666666
59 1 6.546875 93 8 7 0.7777777777777778
60 1 6.53125 94 8 7 0.7777777777777778
60 2 5.515625 95 7 6 0.6666666666666666
61 1 6.515625 95 8 7 0.7777777777777778
62 2 5.515625 95 7 6 0.6666666666666666
63 2 5.515625 95 7 6 0.6666666666666666
64 2 5.515625 95 7 6 0.6666666666666666
65 2 5.515625 95 7 6 0.6666666666666666
65 1 6.515625 95 8 7 0.7777777777777778
66 2 5.5 96 7 6 0.6666666666666666
67 1 6.5 96 8 7 0.7777777777777778
68 2 5.5 96 7 6 0.6666666666666666
68 1 6.5 96 8 7 0.7777777777777778
69 2 5.484375 97 7 6 0.6666666666666666
70 1 6.46875 98 8 7 0.7777777777777778
71 2 5.46875 98 7 6 0.6666666666666666
71 1 6.46875 98 8 7 0.7777777777777778
72 1 6.453125 99 8 7 0.7777777777777778
73 2 5.453125 99 7 6 0.6666666666666666
74 1 6.453125 99 8 7 0.7777777777777778
75 1 6.453125 99 8 7 0.7777777777777778
76 1 6.4375 100 8 7 0.7777777777777778
77 2 5.421875 101 7 6 0.6666666666666666
78 1 6.421875 101 8 7 0.7777777777777778
79 2 5.421875 101 7 6 0.6666666666666666
80 1 6.421875 101 8 7 0.7777777777777778
80 2 5.421875 101 7 6 0.6666666666666666
81 2 5.40625 102 7 6 0.6666666666666666
82 1 6.390625 103 8 7 0.7777777777777778
83 2 5.390625 103 7 6 0.6666666666666666
84 1 7.1875 104 8 7 0.7777777777777778
85 1 7.1875 104 8 7 0.7777777777777778
86 1 7.1875 104 8 7 0.7777777777777778
87 1 7.1875 104 8 7 0.7777777777777778
88 1 7.1875 104 8 7 0.7777777777777778
89 1 7.171875 106 8 7 0.7777777777777778
90 1 7.171875 106 8 7 0.7777777777777778
91 1 7.1640625 107 8 7 0.7777777777777778
92 1 7.1640625 107 8 7 0.7777777777777778
92 2 6.578125 108 7 6 0.6666666666666666
93 1 7.57421875 109 8 7 0.7777777777777778
94 1 7.57421875 109 8 7 0.7777777777777778
95 1 7.57421875 109 8 7 0.7777777777777778
96 1 7.57421875 109 8 7 0.7777777777777778
97 1 7.57421875 109 8 7 0.7777777777777778
98 1 7.57421875 109 8 7 0.7777777777777778
99 1 7.57421875 109 8 7 0.7777777777777778
100 1 7.57421875 109 8 7 0.7777777777777778
101 1 7.57421875 109 8 7 0.7777777777777778
102 1 7.57421875 109 8 7 0.7777777777777778
103 1 7.57421875 109 8 7 0.7777777777777778
104 1 7.57421875 109 8 7 0.7777777777777778
105 1 7.56640625 111 8 7 0.7777777777777778
106 1 7.56640625 111 8 7 0.7777777777777778
107 1 7.5625 112 8 7 0.7777777777777778
108 1 7.5625 112 8 7 0.7777777777777778
109 1 7.55859375 113 8 7 0.7777777777777778
110 1 7.5546875 114 8 7 0.7777777777777778
111 1 7.55078125 115 8 7 0.7777777777777778
111 2 6.55078125 115 7 6 0.6666666666666666
112 0 9.55078125 115 10 9 1.0
112 1 7.546875 116 8 7 0.7777777777777778
113 1 7.546875 116 8 7 0.7777777777777778
114 1 7.546875 116 8 7 0.7777777777777778
115 1 7.546875 116 8 7 0.7777777777777778
116 1 7.546875 116 8 7 0.7777777777777778
117 1 7.5390625 118 8 7 0.7777777777777778
118 1 7.5390625 118 8 7 0.7777777777777778
119 1 7.53515625 119 8 7 0.7777777777777778
120 1 7.53515625 119 8 7 0.7777777777777778
121 1 7.53515625 119 8 7 0.7777777777777778
122 1 7.53515625 119 8 7 0.7777777777777778
123 1 7.53515625 119 8 7 0.7777777777777778
124 1 7.53515625 119 8 7 0.7777777777777778
125 1 7.53125 120 8 7 0.7777777777777778
126 1 7.53125 120 8 7 0.7777777777777778
127 1 7.53125 120 8 7 0.7777777777777778
128 3 0.52734375 121 1 0 0.0
128 1 7.52734375 121 8 7 0.7777777777777778
129 1 7.52734375 121 8 7 0.7777777777777778
130 1 0.5234375 122 1 0 0.0
131 0 9.5234375 122 10 9 1.0
131 1 9.51953125 123 10 9 1.0
132 0 9.51953125 123 10 9 1.0
132 1 0.51953125 123 1 0 0.0
133 0 9.51953125 123 10 9 1.0
134 0 9.51953125 123 10 9 1.0
135 0 9.51953125 123 10 9 1.0
136 0 9.51953125 123 10 9 1.0
137 0 9.51953125 123 10 9 1.0
137 1 8.51953125 123 9 8 0.8888888888888888
138 0 9.51953125 123 10 9 1.0
139 0 9.51953125 123 10 9 1.0
139 1 8.51953125 123 9 8 0.8888888888888888
140 0 9.51953125 123 10 9 1.0
141 0 9.51953125 123 10 9 1.0
141 1 8.51953125 123 9 8 0.8888888888888888
142 0 9.51953125 123 10 9 1.0
143 0 9.51953125 123 10 9 1.0
144 0 9.51953125 123 10 9 1.0
145 0 9.51953125 123 10 9 1.0
145 1 7.51953125 123 8 7 0.7777777777777778
146 0 9.51953125 123 10 9 1.0
147 0 9.51953125 123 10 9 1.0
147 1 0.51953125 123 1 0 0.0
148 0 9.51953125 123 10 9 1.0
148 1 8.51953125 123 9 8 0.8888888888888888
149 0 9.51953125 123 10 9 1.0
150 0 9.51953125 123 10 9 1.0
151 0 9.51953125 123 10 9 1.0
152 0 9.51953125 123 10 9 1.0
153 0 9.51953125 123 10 9 1.0
154 0 9.51953125 123 10 9 1.0
154 1 8.51953125 123 9 8 0.8888888888888888
155 0 9.51953125 123 10 9 1.0
156 0 9.51953125 123 10 9 1.0
157 0 9.51953125 123 10 9 1.0
158 0 9.51953125 123 10 9 1.0
159 0 9.51953125 123 10 9 1.0
160 0 9.51953125 123 10 9 1.0
161 0 9.51953125 123 10 9 1.0
162 0 9.51953125 123 10 9 1.0
163 0 9.51953125 123 10 9 1.0
164 0 9.51953125 123 10 9 1.0
165 0 9.51953125 123 10 9 1.0
166 0 9.51953125 123 10 9 1.0
167 0 9.51953125 123 10 9 1.0
168 0 9.51953125 123 10 9 1.0
169 0 9.51953125 123 10 9 1.0
170 0 9.51953125 123 10 9 1.0
171 0 9.51953125 123 10 9 1.0
172 0 9.51953125 123 10 9 1.0
173 0 9.51953125 123 10 9 1.0
174 0 9.51953125 123 10 9 1.0
175 0 9.51953125 123 10 9 1.0
176 0 9.515625 124 10 9 1.0
177 1 0.515625 124 1 0 0.0
178 0 9.515625 124 10 9 1.0
179 1 7.515625 124 8 7 0.7777777777777778
179 0 9.515625 124 10 9 1.0
180 0 9.515625 124 10 9 1.0
181 0 9.515625 124 10 9 1.0
182 0 9.515625 124 10 9 1.0
183 0 9.515625 124 10 9 1.0
184 0 9.515625 124 10 9 1.0
185 0 9.515625 124 10 9 1.0
186 0 9.515625 124 10 9 1.0
187 0 9.515625 124 10 9 1.0
188 0 9.515625 124 10 9 1.0
189 0 9.515625 124 10 9 1.0
189 2 8.515625 124 9 8 0.8888888888888888
190 0 9.515625 124 10 9 1.0
191 0 9.515625 124 10 9 1.0
191 1 7.515625 124 8 7 0.7777777777777778
192 0 9.515625 124 10 9 1.0
193 0 9.515625 124 10 9 1.0
194 0 9.515625 124 10 9 1.0
195 0 9.515625 124 10 9 1.0
196 0 9.515625 124 10 9 1.0
197 0 9.515625 124 10 9 1.0
198 0 9.515625 124 10 9 1.0
199 0 9.515625 124 10 9 1.0
200 0 9.515625 124 10 9 1.0
200 1 8.515625 124 9 8 0.8888888888888888
201 0 9.515625 124 10 9 1.0
201 1 8.515625 124 9 8 0.8888888888888888
202 0 9.515625 124 10 9 1.0
203 0 9.515625 124 10 9 1.0
204 0 9.515625 124 10 9 1.0
205 0 9.515625 124 10 9 1.0
206 0 9.515625 124 10 9 1.0
207 0 9.515625 124 10 9 1.0
208 0 9.515625 124 10 9 1.0
209 0 9.515625 124 10 9 1.0
209 2 8.515625 124 9 8 0.8888888888888888
210 0 9.515625 124 10 9 1.0
210 1 8.515625 124 9 8 0.8888888888888888
211 0 9.515625 124 10 9 1.0
212 0 9.515625 124 10 9 1.0
213 0 9.515625 124 10 9 1.0
213 1 7.515625 124 8 7 0.7777777777777778
214 0 9.515625 124 10 9 1.0
215 0 9.515625 124 10 9 1.0
216 0 9.515625 124 10 9 1.0
217 0 9.515625 124 10 9 1.0
218 0 9.515625 124 10 9 1.0
219 0 9.515625 124 10 9 1.0
220 0 9.515625 124 10 9 1.0
221 0 9.515625 124 10 9 1.0
221 1 9.51171875 125 10 9 1.0
222 0 9.51171875 125 10 9 1.0
223 1 0.51171875 125 1 0 0.0
223 0 9.51171875 125 10 9 1.0
224 0 9.51171875 125 10 9 1.0
225 0 9.51171875 125 10 9 1.0
226 0 9.51171875 125 10 9 1.0
227 0 9.51171875 125 10 9 1.0
228 0 9.51171875 125 10 9 1.0
229 0 9.51171875 125 10 9 1.0
230 0 9.51171875 125 10 9 1.0
231 0 9.51171875 125 10 9 1.0
232 0 9.51171875 125 10 9 1.0
233 0 9.51171875 125 10 9 1.0
234 0 9.51171875 125 10 9 1.0
235 0 9.51171875 125 10 9 1.0
236 1 7.51171875 125 8 7 0.7777777777777778
236 0 9.51171875 125 10 9 1.0
237 0 9.51171875 125 10 9 1.0
237 1 0.51171875 125 1 0 0.0
238 0 9.51171875 125 10 9 1.0
239 0 9.51171875 125 10 9 1.0
240 0 9.51171875 125 10 9 1.0
241 0 9.51171875 125 10 9 1.0
242 0 9.51171875 125 10 9 1.0
242 1 8.51171875 125 9 8 0.8888888888888888
243 0 9.51171875 125 10 9 1.0
244 0 9.51171875 125 10 9 1.0
244 1 0.51171875 125 1 0 0.0
245 0 9.51171875 125 10 9 1.0
246 0 9.51171875 125 10 9 1.0
246 1 8.51171875 125 9 8 0.8888888888888888
247 0 9.51171875 125 10 9 1.0
247 1 8.51171875 125 9 8 0.8888888888888888
248 0 9.51171875 125 10 9 1.0
