gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
1 4 3.8359375 21 4 4 0.4
1 6 3 27 3 3 0.3
1 2 10 37 10 10 1.0
2 4 4 43 4 4 0.4
3 4 4 46 4 4 0.4
3 3 9 49 9 9 0.9
4 4 3 50 3 3 0.3
5 2 10 52 10 10 1.0
5 3 8 54 8 8 0.8
6 2 10 54 10 10 1.0
7 2 10 56 10 10 1.0
7 3 7 58 7 7 0.7
8 2 10 58 10 10 1.0
8 3 4 59 4 4 0.4
9 1 10 62 10 10 1.0
10 4 2 65 2 2 0.2
11 3 4 65 4 4 0.4
11 2 10 65 10 10 1.0
12 2 8 66 8 8 0.8
12 1 10 67 10 10 1.0
13 1 10 68 10 10 1.0
14 1 10 69 10 10 1.0
15 1 10 70 10 10 1.0
16 1 10 70 10 10 1.0
17 1 9 71 9 9 0.9
18 4 2 72 2 2 0.2
19 4 2 73 2 2 0.2
19 3 3 77 3 3 0.3
20 3 2 79 2 2 0.2
21 1 9 82 9 9 0.9
22 1 9 83 9 9 0.9
22 2 7 83 7 7 0.7
23 1 9 85 9 9 0.9
23 2 8 86 8 8 0.8
24 1 9 87 9 9 0.9
24 2 4 88 4 4 0.4
25 1 9 91 9 9 0.9
26 1 9 92 9 9 0.9
26 2 5 94 5 5 0.5
27 1 9 94 9 9 0.9
27 2 4 94 4 4 0.4
28 1 9 95 9 9 0.9
29 1 9 97 9 9 0.9
29 3 4 98 4 4 0.4
29 2 7 99 7 7 0.7
30 2 7 99 7 7 0.7
30 1 8 101 8 8 0.8
31 3 2 101 2 2 0.2
31 1 10 101 10 10 1.0
32 3 2 103 2 2 0.2
33 3 2 104 2 2 0.2
33 2 3 106 3 3 0.3
34 3 2 106 2 2 0.2
34 2 3 106 3 3 0.3
35 3 2 106 2 2 0.2
36 3 2 109 2 2 0.2
37 3 2 109 2 2 0.2
38 3 2 110 2 2 0.2
39 3 2 114 2 2 0.2
40 3 2 114 2 2 0.2
40 2 3 118 3 3 0.3
41 3 2 118 2 2 0.2
41 2 3 119 3 3 0.3
42 3 2 119 2 2 0.2
42 2 3 119 3 3 0.3
43 3 2 121 2 2 0.2
43 2 3 121 3 3 0.3
44 3 2 122 2 2 0.2
45 3 2 123 2 2 0.2
45 2 3 123 3 3 0.3
45 4 0 124 0 0 0.0
46 1 8 124 8 8 0.8
47 1 8 124 8 8 0.8
48 1 7 124 7 7 0.7
49 3 0 125 0 0 0.0
50 2 3 129 3 3 0.3
51 1 7 132 7 7 0.7
52 1 7 132 7 7 0.7
52 2 6 133 6 6 0.6
53 1 7 133 7 7 0.7
54 1 7 133 7 7 0.7
55 1 7 134 7 7 0.7
56 1 7 135 7 7 0.7
57 1 7 135 7 7 0.7
58 1 7 135 7 7 0.7
59 1 7 135 7 7 0.7
60 1 7 136 7 7 0.7
60 2 3 136 3 3 0.3
61 1 7 136 7 7 0.7
61 2 6 138 6 6 0.6
62 1 7 138 7 7 0.7
63 1 7 138 7 7 0.7
64 1 7 138 7 7 0.7
64 2 3 138 3 3 0.3
65 1 7 139 7 7 0.7
65 0 10 139 10 10 1.0
66 3 0 140 0 0 0.0
67 2 3 141 3 3 0.3
67 3 0 141 0 0 0.0
68 3 0 142 0 0 0.0
69 3 0 143 0 0 0.0
70 3 0 145 0 0 0.0
70 2 3 146 3 3 0.3
71 3 0 147 0 0 0.0
72 3 0 150 0 0 0.0
73 3 0 152 0 0 0.0
73 2 3 154 3 3 0.3
74 3 0 154 0 0 0.0
75 3 0 154 0 0 0.0
75 2 3 155 3 3 0.3
76 3 0 155 0 0 0.0
76 2 3 156 3 3 0.3
77 3 0 156 0 0 0.0
77 2 3 156 3 3 0.3
78 3 0 156 0 0 0.0
79 3 0 156 0 0 0.0
79 2 3 156 3 3 0.3
80 3 0 156 0 0 0.0
81 3 0 156 0 0 0.0
82 3 0 156 0 0 0.0
83 3 0 156 0 0 0.0
84 3 0 158 0 0 0.0
85 2 0 161 0 0 0.0
86 0 10 161 10 10 1.0
87 0 10 161 10 10 1.0
87 1 7 161 7 7 0.7
88 0 10 161 10 10 1.0
89 0 10 161 10 10 1.0
90 0 10 161 10 10 1.0
90 1 5 161 5 5 0.5
91 0 10 161 10 10 1.0
92 0 10 161 10 10 1.0
93 0 10 161 10 10 1.0
94 0 10 161 10 10 1.0
95 0 10 161 10 10 1.0
96 0 10 161 10 10 1.0
96 1 5 161 5 5 0.5
97 0 10 161 10 10 1.0
98 0 10 161 10 10 1.0
99 0 10 161 10 10 1.0
100 0 10 161 10 10 1.0
101 0 10 161 10 10 1.0
102 0 10 161 10 10 1.0
103 0 10 161 10 10 1.0
104 0 10 161 10 10 1.0
105 0 10 161 10 10 1.0
105 1 7 161 7 7 0.7
106 0 10 161 10 10 1.0
107 0 10 161 10 10 1.0
107 1 9 162 9 9 0.9
108 0 10 162 10 10 1.0
109 0 10 162 10 10 1.0
110 0 10 163 10 10 1.0
110 2 7 163 7 7 0.7
111 0 10 163 10 10 1.0
112 0 10 163 10 10 1.0
113 0 10 163 10 10 1.0
113 1 5 163 5 5 0.5
114 0 10 163 10 10 1.0
115 0 10 163 10 10 1.0
116 0 10 163 10 10 1.0
116 1 7 163 7 7 0.7
117 0 10 163 10 10 1.0
118 0 10 163 10 10 1.0
118 1 4 163 4 4 0.4
119 0 10 163 10 10 1.0
120 0 10 163 10 10 1.0
120 1 5 163 5 5 0.5
121 0 10 163 10 10 1.0
122 0 10 163 10 10 1.0
122 1 9 163 9 9 0.9
123 0 10 163 10 10 1.0
123 1 9 163 9 9 0.9
124 0 10 163 10 10 1.0
125 0 10 163 10 10 1.0
126 0 10 163 10 10 1.0
127 0 10 163 10 10 1.0
128 0 10 163 10 10 1.0
129 0 10 163 10 10 1.0
130 0 10 163 10 10 1.0
131 0 10 163 10 10 1.0
132 0 10 163 10 10 1.0
132 1 8 163 8 8 0.8
133 0 10 163 10 10 1.0
134 0 10 163 10 10 1.0
134 1 7 163 7 7 0.7
135 0 10 163 10 10 1.0
136 0 10 163 10 10 1.0
137 0 10 163 10 10 1.0
137 1 8 163 8 8 0.8
138 0 10 163 10 10 1.0
138 1 9 163 9 9 0.9
139 0 10 163 10 10 1.0
139 1 9 163 9 9 0.9
