gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
1 4 9.68359375 36 10 7 1.0
1 5 6.6376953125 53 7 4 0.5714285714285714
2 4 9.6240234375 55 10 7 1.0
3 6 5.671875 56 6 3 0.42857142857142855
3 5 6.642578125 61 7 4 0.5714285714285714
3 4 9.642578125 61 10 7 1.0
4 4 6.630859375 63 7 4 0.5714285714285714
5 6 5.619140625 65 6 3 0.42857142857142855
6 4 6.6015625 68 7 4 0.5714285714285714
7 6 5.572265625 73 6 3 0.42857142857142855
8 4 6.56640625 74 7 4 0.5714285714285714
8 3 9.56640625 74 10 7 1.0
9 5 6.560546875 75 7 4 0.5714285714285714
9 6 5.5546875 76 6 3 0.42857142857142855
10 4 6.53125 80 7 4 0.5714285714285714
10 3 9.53125 80 10 7 1.0
11 6 5.501953125 85 6 3 0.42857142857142855
12 4 6.484375 88 7 4 0.5714285714285714
12 3 9.484375 88 10 7 1.0
13 5 6.4609375 92 7 4 0.5714285714285714
13 6 5.443359375 95 6 3 0.42857142857142855
14 3 9.431640625 97 10 7 1.0
15 5 6.4140625 100 7 4 0.5714285714285714
15 6 5.396484375 103 6 3 0.42857142857142855
16 3 9.373046875 107 10 7 1.0
17 5 8.361328125 109 9 6 0.8571428571428571
17 4 9.35546875 110 10 7 1.0
17 6 5.349609375 111 6 3 0.42857142857142855
18 4 6.33203125 114 7 4 0.5714285714285714
19 3 9.326171875 115 10 7 1.0
20 6 5.2734375 124 6 3 0.42857142857142855
21 3 9.255859375 127 10 7 1.0
22 5 6.2265625 132 7 4 0.5714285714285714
22 6 5.220703125 133 6 3 0.42857142857142855
23 2 9.208984375 135 10 7 1.0
24 6 5.203125 136 6 3 0.42857142857142855
25 3 9.19140625 138 10 7 1.0
25 4 6.19140625 138 7 4 0.5714285714285714
26 2 9.173828125 141 10 7 1.0
27 5 6.15625 144 7 4 0.5714285714285714
27 6 5.138671875 147 6 3 0.42857142857142855
28 2 9.126953125 149 10 7 1.0
29 6 5.091796875 155 6 3 0.42857142857142855
29 5 8.091796875 155 9 6 0.8571428571428571
30 2 9.080078125 157 10 7 1.0
30 3 9.068359375 159 10 7 1.0
31 4 6.056640625 161 7 4 0.5714285714285714
32 5 6.033203125 165 7 4 0.5714285714285714
32 6 5.033203125 165 6 3 0.42857142857142855
