gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
1 3 0.9970703125 3 1 1 0.1
1 2 4 18 4 4 0.4
1 4 0 21 0 0 0.0
2 3 0 45 0 0 0.0
3 1 2 46 2 2 0.2
4 3 0 47 0 0 0.0
5 3 0 48 0 0 0.0
5 2 1 48 1 1 0.1
6 3 0 49 0 0 0.0
7 3 0 50 0 0 0.0
8 3 0 51 0 0 0.0
9 2 1 56 1 1 0.1
9 3 0 56 0 0 0.0
10 3 0 59 0 0 0.0
10 1 2 62 2 2 0.2
11 3 0 63 0 0 0.0
12 3 0 68 0 0 0.0
12 2 1 69 1 1 0.1
13 3 0 69 0 0 0.0
14 3 0 72 0 0 0.0
14 2 1 72 1 1 0.1
15 2 0 75 0 0 0.0
16 1 2 76 2 2 0.2
16 2 1 77 1 1 0.1
17 1 2 77 2 2 0.2
17 0 10 79 10 10 1.0
18 2 0 81 0 0 0.0
19 2 0 84 0 0 0.0
19 1 2 89 2 2 0.2
20 2 0 89 0 0 0.0
20 1 2 89 2 2 0.2
21 2 0 92 0 0 0.0
22 2 0 93 0 0 0.0
23 2 0 95 0 0 0.0
23 1 2 95 2 2 0.2
24 2 0 96 0 0 0.0
25 2 0 100 0 0 0.0
25 1 2 100 2 2 0.2
26 2 0 100 0 0 0.0
27 2 0 101 0 0 0.0
28 2 0 101 0 0 0.0
29 2 0 103 0 0 0.0
30 2 0 105 0 0 0.0
30 1 2 105 2 2 0.2
31 2 0 105 0 0 0.0
31 1 2 105 2 2 0.2
32 2 0 107 0 0 0.0
33 2 0 109 0 0 0.0
34 2 0 110 0 0 0.0
35 2 0 111 0 0 0.0
36 2 0 113 0 0 0.0
37 2 0 115 0 0 0.0
38 2 0 116 0 0 0.0
39 2 0 117 0 0 0.0
40 2 0 118 0 0 0.0
40 1 2 118 2 2 0.2
41 2 0 118 0 0 0.0
42 2 0 123 0 0 0.0
43 2 0 124 0 0 0.0
44 2 0 126 0 0 0.0
44 1 1 127 1 1 0.1
45 2 0 129 0 0 0.0
46 2 0 132 0 0 0.0
47 2 0 134 0 0 0.0
47 1 2 134 2 2 0.2
48 2 0 134 0 0 0.0
49 2 0 135 0 0 0.0
50 2 0 135 0 0 0.0
51 2 0 135 0 0 0.0
52 2 0 137 0 0 0.0
53 2 0 140 0 0 0.0
53 1 2 141 2 2 0.2
54 2 0 142 0 0 0.0
54 1 2 142 2 2 0.2
55 2 0 143 0 0 0.0
56 2 0 144 0 0 0.0
57 2 0 145 0 0 0.0
58 2 0 146 0 0 0.0
59 2 0 147 0 0 0.0
60 2 0 151 0 0 0.0
61 2 0 152 0 0 0.0
61 1 2 152 2 2 0.2
62 2 0 152 0 0 0.0
63 2 0 152 0 0 0.0
64 2 0 152 0 0 0.0
65 2 0 154 0 0 0.0
66 2 0 155 0 0 0.0
67 2 0 156 0 0 0.0
68 2 0 160 0 0 0.0
68 1 2 160 2 2 0.2
69 2 0 160 0 0 0.0
70 2 0 161 0 0 0.0
71 2 0 163 0 0 0.0
72 2 0 164 0 0 0.0
72 1 2 164 2 2 0.2
73 2 0 166 0 0 0.0
74 2 0 167 0 0 0.0
75 2 0 167 0 0 0.0
76 1 2 170 2 2 0.2
76 2 0 170 0 0 0.0
77 2 0 171 0 0 0.0
78 2 0 174 0 0 0.0
79 2 0 175 0 0 0.0
80 2 0 176 0 0 0.0
81 2 0 178 0 0 0.0
81 1 2 178 2 2 0.2
82 2 0 178 0 0 0.0
83 2 0 179 0 0 0.0
84 2 0 185 0 0 0.0
85 2 0 187 0 0 0.0
86 2 0 187 0 0 0.0
87 2 0 188 0 0 0.0
87 1 2 189 2 2 0.2
88 2 0 191 0 0 0.0
89 2 0 192 0 0 0.0
90 2 0 192 0 0 0.0
91 2 0 192 0 0 0.0
92 2 0 193 0 0 0.0
93 2 0 193 0 0 0.0
94 2 0 194 0 0 0.0
94 1 2 194 2 2 0.2
95 2 0 194 0 0 0.0
96 2 0 194 0 0 0.0
96 1 2 194 2 2 0.2
97 2 0 194 0 0 0.0
98 2 0 195 0 0 0.0
99 2 0 198 0 0 0.0
100 2 0 198 0 0 0.0
101 2 0 200 0 0 0.0
101 1 2 201 2 2 0.2
102 2 0 202 0 0 0.0
102 1 2 204 2 2 0.2
103 2 0 204 0 0 0.0
104 2 0 204 0 0 0.0
105 2 0 204 0 0 0.0
106 2 0 206 0 0 0.0
107 2 0 206 0 0 0.0
108 2 0 208 0 0 0.0
109 2 0 211 0 0 0.0
110 2 0 211 0 0 0.0
110 1 2 211 2 2 0.2
111 2 0 211 0 0 0.0
112 2 0 213 0 0 0.0
113 2 0 213 0 0 0.0
114 2 0 214 0 0 0.0
115 2 0 215 0 0 0.0
115 1 2 216 2 2 0.2
116 2 0 216 0 0 0.0
117 2 0 216 0 0 0.0
118 2 0 218 0 0 0.0
119 2 0 218 0 0 0.0
120 2 0 220 0 0 0.0
121 2 0 221 0 0 0.0
121 1 2 221 2 2 0.2
122 2 0 222 0 0 0.0
123 2 0 223 0 0 0.0
124 2 0 224 0 0 0.0
124 1 2 224 2 2 0.2
125 2 0 224 0 0 0.0
126 2 0 225 0 0 0.0
126 1 2 227 2 2 0.2
127 2 0 227 0 0 0.0
127 1 2 228 2 2 0.2
128 2 0 229 0 0 0.0
129 2 0 229 0 0 0.0
130 2 0 230 0 0 0.0
131 2 0 232 0 0 0.0
132 2 0 234 0 0 0.0
132 1 2 234 2 2 0.2
133 2 0 235 0 0 0.0
134 2 0 235 0 0 0.0
134 1 2 235 2 2 0.2
135 2 0 236 0 0 0.0
136 2 0 236 0 0 0.0
137 2 0 237 0 0 0.0
138 2 0 237 0 0 0.0
139 2 0 237 0 0 0.0
140 2 0 237 0 0 0.0
141 2 0 239 0 0 0.0
142 2 0 239 0 0 0.0
