gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
1 7 5.8828125 30 6 6 0.6
1 4 5.962890625 38 6 6 0.6
2 4 6 57 6 6 0.6
3 7 5 63 5 5 0.5
4 4 6 69 6 6 0.6
5 4 6 74 6 6 0.6
5 5 3 76 3 3 0.3
6 4 6 79 6 6 0.6
6 5 4 83 4 4 0.4
7 4 6 85 6 6 0.6
7 5 5 88 5 5 0.5
8 4 6 88 6 6 0.6
9 4 6 96 6 6 0.6
10 4 6 99 6 6 0.6
11 4 6 101 6 6 0.6
11 5 5 104 5 5 0.5
12 4 6 107 6 6 0.6
13 4 6 110 6 6 0.6
13 5 5 112 5 5 0.5
14 4 6 113 6 6 0.6
14 5 2 117 2 2 0.2
15 4 6 119 6 6 0.6
16 4 6 125 6 6 0.6
17 4 6 126 6 6 0.6
17 5 4 132 4 4 0.4
18 4 6 133 6 6 0.6
19 4 6 138 6 6 0.6
20 4 5 144 5 5 0.5
21 5 2 145 2 2 0.2
22 5 2 150 2 2 0.2
23 5 2 154 2 2 0.2
23 4 10 156 10 10 1.0
24 5 2 157 2 2 0.2
25 5 2 160 2 2 0.2
26 5 2 164 2 2 0.2
27 5 2 168 2 2 0.2
28 5 2 176 2 2 0.2
29 5 2 180 2 2 0.2
30 5 2 183 2 2 0.2
30 6 0 186 0 0 0.0
31 4 5 191 5 5 0.5
32 4 5 194 5 5 0.5
33 4 5 196 5 5 0.5
34 4 5 199 5 5 0.5
35 4 3 205 3 3 0.3
36 6 0 205 0 0 0.0
37 6 0 206 0 0 0.0
38 5 2 208 2 2 0.2
38 6 0 208 0 0 0.0
39 6 0 211 0 0 0.0
40 6 0 213 0 0 0.0
40 5 2 214 2 2 0.2
41 6 0 219 0 0 0.0
42 6 0 226 0 0 0.0
43 6 0 233 0 0 0.0
43 5 2 234 2 2 0.2
44 6 0 235 0 0 0.0
45 6 0 240 0 0 0.0
45 5 2 240 2 2 0.2
46 6 0 241 0 0 0.0
47 6 0 242 0 0 0.0
47 5 5 243 5 5 0.5
48 5 6 246 6 6 0.6
48 6 0 248 0 0 0.0
49 6 0 249 0 0 0.0
50 6 0 251 0 0 0.0
51 6 0 258 0 0 0.0
52 6 0 260 0 0 0.0
52 5 2 264 2 2 0.2
53 6 0 266 0 0 0.0
54 6 0 269 0 0 0.0
55 6 0 274 0 0 0.0
55 5 2 274 2 2 0.2
56 6 0 274 0 0 0.0
57 6 0 279 0 0 0.0
58 6 0 283 0 0 0.0
59 6 0 286 0 0 0.0
59 5 2 289 2 2 0.2
60 6 0 292 0 0 0.0
60 5 6 295 6 6 0.6
61 6 0 299 0 0 0.0
62 6 0 303 0 0 0.0
62 5 2 304 2 2 0.2
63 6 0 306 0 0 0.0
64 6 0 308 0 0 0.0
65 6 0 311 0 0 0.0
65 5 5 315 5 5 0.5
66 6 0 316 0 0 0.0
67 6 0 321 0 0 0.0
67 5 2 321 2 2 0.2
68 5 5 323 5 5 0.5
68 6 0 323 0 0 0.0
69 6 0 325 0 0 0.0
69 5 2 326 2 2 0.2
70 6 0 329 0 0 0.0
71 6 0 331 0 0 0.0
72 6 0 334 0 0 0.0
73 6 0 339 0 0 0.0
74 6 0 343 0 0 0.0
75 6 0 343 0 0 0.0
76 6 0 348 0 0 0.0
77 6 0 348 0 0 0.0
78 6 0 352 0 0 0.0
78 5 5 354 5 5 0.5
79 6 0 356 0 0 0.0
79 5 2 356 2 2 0.2
80 6 0 357 0 0 0.0
80 5 6 358 6 6 0.6
81 6 0 359 0 0 0.0
