gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
1 4 8.7626953125 27 9 6 0.8571428571428571
2 4 8.4814453125 59 9 6 0.8571428571428571
2 5 8.4638671875 61 9 6 0.8571428571428571
3 4 8.4375 64 9 6 0.8571428571428571
4 4 8.384765625 70 9 6 0.8571428571428571
5 3 8.384765625 70 9 6 0.8571428571428571
5 4 8.349609375 74 9 6 0.8571428571428571
6 3 8.3408203125 75 9 6 0.8571428571428571
7 2 8.3408203125 75 9 6 0.8571428571428571
7 3 8.3232421875 77 9 6 0.8571428571428571
8 2 8.3232421875 77 9 6 0.8571428571428571
9 2 8.2880859375 81 9 6 0.8571428571428571
10 2 8.2880859375 81 9 6 0.8571428571428571
10 3 4.599609375 82 5 2 0.2857142857142857
11 2 8.5947265625 83 9 6 0.8571428571428571
11 3 8.58984375 84 9 6 0.8571428571428571
12 2 8.580078125 86 9 6 0.8571428571428571
13 2 8.560546875 90 9 6 0.8571428571428571
14 2 8.560546875 90 9 6 0.8571428571428571
15 3 6.5556640625 91 7 4 0.5714285714285714
15 2 8.5458984375 93 9 6 0.8571428571428571
16 2 8.541015625 94 9 6 0.8571428571428571
17 2 8.53125 96 9 6 0.8571428571428571
18 1 8.53125 96 9 6 0.8571428571428571
18 2 8.521484375 98 9 6 0.8571428571428571
19 2 4.51171875 100 5 2 0.2857142857142857
19 3 4.501953125 102 5 2 0.2857142857142857
20 1 8.501953125 102 9 6 0.8571428571428571
20 2 6.6982421875 103 7 4 0.5714285714285714
21 2 4.6953125 104 5 2 0.2857142857142857
22 2 4.689453125 106 5 2 0.2857142857142857
23 2 4.68359375 108 5 2 0.2857142857142857
24 2 4.677734375 110 5 2 0.2857142857142857
25 2 4.671875 112 5 2 0.2857142857142857
25 1 9.671875 112 10 7 1.0
26 2 4.6630859375 115 5 2 0.2857142857142857
27 2 4.66015625 116 5 2 0.2857142857142857
28 2 4.654296875 118 5 2 0.2857142857142857
29 1 9.6484375 120 10 7 1.0
29 2 4.6396484375 123 5 2 0.2857142857142857
30 2 4.630859375 126 5 2 0.2857142857142857
31 1 9.6220703125 129 10 7 1.0
31 2 4.6220703125 129 5 2 0.2857142857142857
32 2 4.6162109375 131 5 2 0.2857142857142857
33 2 4.607421875 134 5 2 0.2857142857142857
33 1 9.607421875 134 10 7 1.0
34 2 4.5986328125 137 5 2 0.2857142857142857
35 3 2.5927734375 139 3 0 0.0
35 2 4.5927734375 139 5 2 0.2857142857142857
36 2 4.5869140625 141 5 2 0.2857142857142857
37 2 4.578125 144 5 2 0.2857142857142857
38 2 4.578125 144 5 2 0.2857142857142857
38 1 9.578125 144 10 7 1.0
39 1 9.578125 144 10 7 1.0
39 2 4.572265625 146 5 2 0.2857142857142857
40 2 4.5546875 152 5 2 0.2857142857142857
41 1 9.5517578125 153 10 7 1.0
41 2 4.548828125 154 5 2 0.2857142857142857
42 2 4.5458984375 155 5 2 0.2857142857142857
43 2 4.537109375 158 5 2 0.2857142857142857
44 2 4.537109375 158 5 2 0.2857142857142857
45 2 4.53125 160 5 2 0.2857142857142857
45 3 2.5283203125 161 3 0 0.0
46 2 4.51953125 164 5 2 0.2857142857142857
47 1 9.513671875 166 10 7 1.0
47 2 4.513671875 166 5 2 0.2857142857142857
48 1 9.513671875 166 10 7 1.0
48 2 4.5107421875 167 5 2 0.2857142857142857
49 1 8.5048828125 169 9 6 0.8571428571428571
50 1 8.501953125 170 9 6 0.8571428571428571
51 1 8.501953125 170 9 6 0.8571428571428571
52 3 4.4931640625 173 5 2 0.2857142857142857
52 1 8.490234375 174 9 6 0.8571428571428571
53 3 2.484375 176 3 0 0.0
54 1 8.478515625 178 9 6 0.8571428571428571
55 3 2.478515625 178 3 0 0.0
56 1 8.4755859375 179 9 6 0.8571428571428571
57 3 2.47265625 180 3 0 0.0
57 2 4.47265625 180 5 2 0.2857142857142857
58 1 8.4638671875 183 9 6 0.8571428571428571
59 2 4.4638671875 183 5 2 0.2857142857142857
59 3 2.4638671875 183 3 0 0.0
59 4 2.4609375 184 3 0 0.0
60 1 8.4521484375 187 9 6 0.8571428571428571
61 3 7.4521484375 187 8 5 0.7142857142857143
61 4 2.44921875 188 3 0 0.0
62 1 8.4462890625 189 9 6 0.8571428571428571
62 2 8.443359375 190 9 6 0.8571428571428571
63 3 4.4404296875 191 5 2 0.2857142857142857
63 4 2.4404296875 191 3 0 0.0
64 1 8.4375 192 9 6 0.8571428571428571
64 2 6.4375 192 7 4 0.5714285714285714
65 4 2.4287109375 195 3 0 0.0
66 1 8.42578125 196 9 6 0.8571428571428571
67 4 2.4228515625 197 3 0 0.0
68 1 8.419921875 198 9 6 0.8571428571428571
69 3 7.4140625 200 8 5 0.7142857142857143
69 4 2.4111328125 201 3 0 0.0
70 1 8.4052734375 203 9 6 0.8571428571428571
71 4 2.3994140625 205 3 0 0.0
72 1 8.3994140625 205 9 6 0.8571428571428571
72 2 8.396484375 206 9 6 0.8571428571428571
73 4 2.3876953125 209 3 0 0.0
73 3 7.3876953125 209 8 5 0.7142857142857143
74 2 2.3876953125 209 3 0 0.0
74 1 8.3876953125 209 9 6 0.8571428571428571
75 2 2.384765625 210 3 0 0.0
75 1 8.384765625 210 9 6 0.8571428571428571
76 2 2.3818359375 211 3 0 0.0
77 1 8.37890625 212 9 6 0.8571428571428571
78 1 8.37890625 212 9 6 0.8571428571428571
78 2 2.373046875 214 3 0 0.0
