gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
1 2 0 2 0 0 0.0
2 2 0 43 0 0 0.0
3 2 0 46 0 0 0.0
3 1 5 46 5 5 0.5
4 2 0 47 0 0 0.0
5 2 0 48 0 0 0.0
6 2 0 50 0 0 0.0
7 2 0 52 0 0 0.0
7 1 5 52 5 5 0.5
8 1 5 53 5 5 0.5
8 2 0 53 0 0 0.0
9 2 0 56 0 0 0.0
9 1 5 56 5 5 0.5
10 2 0 59 0 0 0.0
11 2 0 62 0 0 0.0
12 2 0 63 0 0 0.0
13 2 0 64 0 0 0.0
14 2 0 65 0 0 0.0
15 2 0 67 0 0 0.0
16 2 0 70 0 0 0.0
17 1 5 73 5 5 0.5
17 2 0 73 0 0 0.0
18 2 0 74 0 0 0.0
19 2 0 75 0 0 0.0
20 2 0 76 0 0 0.0
21 2 0 79 0 0 0.0
21 1 5 79 5 5 0.5
22 2 0 80 0 0 0.0
22 1 5 80 5 5 0.5
23 2 0 83 0 0 0.0
24 2 0 85 0 0 0.0
25 2 0 88 0 0 0.0
26 2 0 90 0 0 0.0
27 2 0 91 0 0 0.0
28 2 0 92 0 0 0.0
29 2 0 95 0 0 0.0
30 2 0 99 0 0 0.0
31 2 0 100 0 0 0.0
32 2 0 100 0 0 0.0
33 2 0 103 0 0 0.0
34 2 0 106 0 0 0.0
34 1 5 107 5 5 0.5
35 2 0 109 0 0 0.0
36 2 0 111 0 0 0.0
37 2 0 114 0 0 0.0
38 2 0 116 0 0 0.0
39 2 0 118 0 0 0.0
40 2 0 124 0 0 0.0
41 2 0 126 0 0 0.0
42 2 0 128 0 0 0.0
43 2 0 130 0 0 0.0
44 2 0 131 0 0 0.0
45 2 0 136 0 0 0.0
46 2 0 138 0 0 0.0
46 1 5 139 5 5 0.5
47 2 0 139 0 0 0.0
48 2 0 139 0 0 0.0
49 2 0 141 0 0 0.0
50 2 0 142 0 0 0.0
51 2 0 142 0 0 0.0
52 2 0 144 0 0 0.0
52 1 5 144 5 5 0.5
53 2 0 145 0 0 0.0
54 2 0 149 0 0 0.0
54 1 5 151 5 5 0.5
55 2 0 151 0 0 0.0
56 2 0 152 0 0 0.0
57 2 0 154 0 0 0.0
58 2 0 156 0 0 0.0
58 1 5 157 5 5 0.5
59 2 0 157 0 0 0.0
59 1 5 157 5 5 0.5
60 2 0 157 0 0 0.0
61 2 0 159 0 0 0.0
62 2 0 160 0 0 0.0
63 2 0 161 0 0 0.0
64 2 0 163 0 0 0.0
64 1 5 163 5 5 0.5
65 2 0 164 0 0 0.0
66 2 0 167 0 0 0.0
67 2 0 167 0 0 0.0
68 2 0 168 0 0 0.0
69 2 0 168 0 0 0.0
70 2 0 169 0 0 0.0
71 2 0 171 0 0 0.0
72 2 0 171 0 0 0.0
73 2 0 171 0 0 0.0
74 2 0 176 0 0 0.0
74 1 5 176 5 5 0.5
75 2 0 176 0 0 0.0
76 2 0 176 0 0 0.0
77 2 0 178 0 0 0.0
78 2 0 179 0 0 0.0
79 2 0 180 0 0 0.0
80 2 0 182 0 0 0.0
81 2 0 184 0 0 0.0
82 2 0 186 0 0 0.0
83 2 0 186 0 0 0.0
84 2 0 188 0 0 0.0
85 2 0 189 0 0 0.0
86 2 0 192 0 0 0.0
86 1 5 193 5 5 0.5
87 2 0 194 0 0 0.0
88 2 0 194 0 0 0.0
89 2 0 194 0 0 0.0
90 2 0 195 0 0 0.0
91 1 5 196 5 5 0.5
91 2 0 196 0 0 0.0
92 2 0 196 0 0 0.0
93 2 0 198 0 0 0.0
94 2 0 200 0 0 0.0
94 1 5 200 5 5 0.5
95 2 0 200 0 0 0.0
96 2 0 201 0 0 0.0
96 1 5 201 5 5 0.5
97 2 0 204 0 0 0.0
98 2 0 205 0 0 0.0
99 2 0 207 0 0 0.0
100 2 0 208 0 0 0.0
101 2 0 209 0 0 0.0
102 2 0 209 0 0 0.0
103 2 0 209 0 0 0.0
104 2 0 209 0 0 0.0
105 2 0 211 0 0 0.0
106 2 0 213 0 0 0.0
106 1 5 213 5 5 0.5
107 2 0 213 0 0 0.0
108 2 0 213 0 0 0.0
109 2 0 213 0 0 0.0
110 2 0 214 0 0 0.0
111 2 0 214 0 0 0.0
112 2 0 216 0 0 0.0
113 2 0 216 0 0 0.0
114 2 0 216 0 0 0.0
115 2 0 216 0 0 0.0
116 2 0 216 0 0 0.0
117 2 0 219 0 0 0.0
118 2 0 219 0 0 0.0
119 2 0 219 0 0 0.0
120 2 0 220 0 0 0.0
121 2 0 221 0 0 0.0
122 2 0 224 0 0 0.0
122 1 5 227 5 5 0.5
123 2 0 227 0 0 0.0
124 2 0 228 0 0 0.0
125 2 0 228 0 0 0.0
126 2 0 229 0 0 0.0
127 2 0 230 0 0 0.0
128 2 0 231 0 0 0.0
129 2 0 233 0 0 0.0
130 2 0 234 0 0 0.0
131 2 0 234 0 0 0.0
132 2 0 235 0 0 0.0
133 2 0 236 0 0 0.0
134 2 0 237 0 0 0.0
135 2 0 237 0 0 0.0
136 2 0 239 0 0 0.0
137 2 0 240 0 0 0.0
138 2 0 243 0 0 0.0
139 2 0 246 0 0 0.0
140 2 0 248 0 0 0.0
141 2 0 250 0 0 0.0
142 2 0 251 0 0 0.0
143 2 0 251 0 0 0.0
144 2 0 251 0 0 0.0
144 1 5 251 5 5 0.5
145 2 0 251 0 0 0.0
146 2 0 252 0 0 0.0
147 2 0 256 0 0 0.0
148 2 0 257 0 0 0.0
149 2 0 258 0 0 0.0
150 2 0 258 0 0 0.0
151 2 0 258 0 0 0.0
152 2 0 258 0 0 0.0
153 1 5 258 5 5 0.5
153 2 0 258 0 0 0.0
154 2 0 258 0 0 0.0
155 2 0 259 0 0 0.0
156 2 0 260 0 0 0.0
157 2 0 260 0 0 0.0
158 2 0 260 0 0 0.0
158 1 2 262 2 2 0.2
159 2 0 262 0 0 0.0
160 2 0 262 0 0 0.0
160 1 5 263 5 5 0.5
161 2 0 263 0 0 0.0
162 2 0 263 0 0 0.0
162 1 5 263 5 5 0.5
163 2 0 264 0 0 0.0
164 2 0 265 0 0 0.0
164 1 5 265 5 5 0.5
165 2 0 265 0 0 0.0
166 2 0 265 0 0 0.0
167 2 0 266 0 0 0.0
168 2 0 268 0 0 0.0
169 2 0 269 0 0 0.0
170 2 0 270 0 0 0.0
171 2 0 270 0 0 0.0
171 1 5 271 5 5 0.5
172 2 0 271 0 0 0.0
172 1 5 272 5 5 0.5
173 2 0 272 0 0 0.0
174 2 0 274 0 0 0.0
175 2 0 274 0 0 0.0
175 1 5 274 5 5 0.5
176 2 0 274 0 0 0.0
177 2 0 276 0 0 0.0
178 2 0 276 0 0 0.0
179 2 0 276 0 0 0.0
180 2 0 276 0 0 0.0
180 1 5 276 5 5 0.5
181 2 0 276 0 0 0.0
182 2 0 276 0 0 0.0
183 2 0 276 0 0 0.0
184 2 0 277 0 0 0.0
185 2 0 277 0 0 0.0
186 2 0 278 0 0 0.0
187 2 0 279 0 0 0.0
188 2 0 279 0 0 0.0
189 2 0 281 0 0 0.0
190 2 0 282 0 0 0.0
191 2 0 284 0 0 0.0
192 2 0 287 0 0 0.0
193 2 0 289 0 0 0.0
194 2 0 289 0 0 0.0
195 2 0 289 0 0 0.0
196 2 0 290 0 0 0.0
197 2 0 290 0 0 0.0
198 2 0 292 0 0 0.0
199 2 0 293 0 0 0.0
200 2 0 293 0 0 0.0
201 2 0 294 0 0 0.0
202 2 0 295 0 0 0.0
203 2 0 296 0 0 0.0
204 2 0 298 0 0 0.0
204 1 5 298 5 5 0.5
205 2 0 298 0 0 0.0
206 2 0 298 0 0 0.0
207 2 0 298 0 0 0.0
208 2 0 298 0 0 0.0
209 2 0 298 0 0 0.0
210 2 0 299 0 0 0.0
211 2 0 300 0 0 0.0
212 1 5 300 5 5 0.5
212 2 0 300 0 0 0.0
213 2 0 300 0 0 0.0
213 1 5 300 5 5 0.5
214 2 0 301 0 0 0.0
215 2 0 301 0 0 0.0
215 1 5 301 5 5 0.5
216 2 0 302 0 0 0.0
217 2 0 303 0 0 0.0
218 2 0 304 0 0 0.0
219 2 0 304 0 0 0.0
220 2 0 304 0 0 0.0
221 2 0 304 0 0 0.0
222 2 0 307 0 0 0.0
223 2 0 307 0 0 0.0
224 2 0 308 0 0 0.0
225 2 0 309 0 0 0.0
226 2 0 309 0 0 0.0
227 2 0 309 0 0 0.0
228 2 0 310 0 0 0.0
229 2 0 310 0 0 0.0
230 2 0 310 0 0 0.0
231 2 0 310 0 0 0.0
232 2 0 311 0 0 0.0
233 2 0 311 0 0 0.0
234 2 0 312 0 0 0.0
235 2 0 313 0 0 0.0
236 2 0 315 0 0 0.0
237 2 0 316 0 0 0.0
238 2 0 316 0 0 0.0
239 2 0 316 0 0 0.0
240 2 0 316 0 0 0.0
241 2 0 317 0 0 0.0
241 1 5 317 5 5 0.5
242 2 0 317 0 0 0.0
243 2 0 317 0 0 0.0
244 2 0 317 0 0 0.0
245 2 0 317 0 0 0.0
246 2 0 317 0 0 0.0
247 2 0 317 0 0 0.0
248 2 0 317 0 0 0.0
249 2 0 318 0 0 0.0
250 2 0 318 0 0 0.0
250 1 5 318 5 5 0.5
251 2 0 318 0 0 0.0
252 2 0 320 0 0 0.0
252 1 5 321 5 5 0.5
253 2 0 321 0 0 0.0
254 2 0 321 0 0 0.0
255 2 0 321 0 0 0.0
256 2 0 322 0 0 0.0
257 2 0 322 0 0 0.0
258 2 0 323 0 0 0.0
259 2 0 323 0 0 0.0
260 2 0 323 0 0 0.0
261 2 0 324 0 0 0.0
262 2 0 325 0 0 0.0
263 2 0 326 0 0 0.0
263 1 5 326 5 5 0.5
264 2 0 326 0 0 0.0
265 2 0 328 0 0 0.0
265 1 5 328 5 5 0.5
266 2 0 328 0 0 0.0
267 2 0 329 0 0 0.0
268 2 0 329 0 0 0.0
269 2 0 330 0 0 0.0
270 2 0 330 0 0 0.0
271 2 0 330 0 0 0.0
272 2 0 330 0 0 0.0
273 2 0 331 0 0 0.0
274 2 0 332 0 0 0.0
275 2 0 332 0 0 0.0
276 2 0 332 0 0 0.0
277 2 0 332 0 0 0.0
277 1 5 333 5 5 0.5
278 2 0 333 0 0 0.0
279 2 0 333 0 0 0.0
279 1 5 333 5 5 0.5
280 2 0 333 0 0 0.0
280 1 5 333 5 5 0.5
281 2 0 334 0 0 0.0
281 1 2 334 2 2 0.2
282 2 0 334 0 0 0.0
