gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
1 5 4.91015625 23 5 5 0.5
1 2 7.87109375 33 8 8 0.8
2 5 4.80859375 49 5 5 0.5
3 2 7.80078125 51 8 8 0.8
4 5 4.78125 56 5 5 0.5
5 2 7.7734375 58 8 8 0.8
6 5 4.75 64 5 5 0.5
7 2 7.74609375 65 8 8 0.8
7 1 9.74609375 65 10 10 1.0
8 5 3.73828125 67 4 4 0.4
8 4 4.734375 68 5 5 0.5
9 1 9.73046875 69 10 10 1.0
10 5 3.72265625 71 4 4 0.4
11 1 9.72265625 71 10 10 1.0
12 5 3.70703125 75 4 4 0.4
12 6 0 76 0 0 0.0
13 1 10 79 10 10 1.0
14 1 10 79 10 10 1.0
15 1 8 80 8 8 0.8
16 6 0 80 0 0 0.0
17 6 0 84 0 0 0.0
17 5 4 85 4 4 0.4
18 6 0 95 0 0 0.0
18 5 4 96 4 4 0.4
19 6 0 96 0 0 0.0
19 5 2 99 2 2 0.2
20 6 0 100 0 0 0.0
21 6 0 104 0 0 0.0
22 6 0 110 0 0 0.0
23 6 0 113 0 0 0.0
23 5 2 115 2 2 0.2
24 6 0 120 0 0 0.0
24 5 2 120 2 2 0.2
25 6 0 124 0 0 0.0
26 6 0 127 0 0 0.0
26 5 2 128 2 2 0.2
27 6 0 131 0 0 0.0
28 6 0 134 0 0 0.0
28 5 2 134 2 2 0.2
29 5 2 139 2 2 0.2
29 6 0 139 0 0 0.0
30 5 4 140 4 4 0.4
30 6 0 140 0 0 0.0
31 6 0 141 0 0 0.0
32 6 0 148 0 0 0.0
33 6 0 151 0 0 0.0
33 5 2 152 2 2 0.2
34 6 0 154 0 0 0.0
34 5 4 154 4 4 0.4
35 6 0 157 0 0 0.0
35 5 4 158 4 4 0.4
36 6 0 166 0 0 0.0
37 6 0 171 0 0 0.0
38 6 0 176 0 0 0.0
38 5 2 178 2 2 0.2
39 6 0 178 0 0 0.0
39 5 2 178 2 2 0.2
40 6 0 180 0 0 0.0
40 5 2 183 2 2 0.2
41 6 0 186 0 0 0.0
42 6 0 189 0 0 0.0
42 5 4 189 4 4 0.4
43 6 0 192 0 0 0.0
44 6 0 195 0 0 0.0
44 5 2 197 2 2 0.2
45 6 0 199 0 0 0.0
46 6 0 204 0 0 0.0
47 5 6 209 6 6 0.6
47 6 0 209 0 0 0.0
48 6 0 211 0 0 0.0
48 5 4 212 4 4 0.4
49 6 0 212 0 0 0.0
49 4 6 215 6 6 0.6
50 6 0 217 0 0 0.0
50 5 2 217 2 2 0.2
51 6 0 217 0 0 0.0
52 6 0 224 0 0 0.0
53 6 0 229 0 0 0.0
53 5 2 231 2 2 0.2
54 6 0 232 0 0 0.0
55 6 0 235 0 0 0.0
56 6 0 240 0 0 0.0
57 6 0 246 0 0 0.0
57 5 4 246 4 4 0.4
58 6 0 246 0 0 0.0
58 5 2 247 2 2 0.2
59 6 0 251 0 0 0.0
60 5 2 256 2 2 0.2
60 6 0 256 0 0 0.0
61 5 4 261 4 4 0.4
61 6 0 261 0 0 0.0
62 6 0 266 0 0 0.0
62 5 4 269 4 4 0.4
63 6 0 269 0 0 0.0
63 5 2 275 2 2 0.2
64 6 0 278 0 0 0.0
64 5 4 279 4 4 0.4
65 6 0 284 0 0 0.0
66 6 0 288 0 0 0.0
67 6 0 290 0 0 0.0
67 5 2 292 2 2 0.2
68 6 0 293 0 0 0.0
69 6 0 294 0 0 0.0
69 5 4 297 4 4 0.4
70 6 0 297 0 0 0.0
71 6 0 304 0 0 0.0
72 6 0 306 0 0 0.0
72 5 4 306 4 4 0.4
73 6 0 308 0 0 0.0
74 6 0 310 0 0 0.0
74 5 2 312 2 2 0.2
75 5 4 313 4 4 0.4
75 6 0 313 0 0 0.0
76 6 0 315 0 0 0.0
76 5 2 315 2 2 0.2
77 6 0 316 0 0 0.0
78 6 0 319 0 0 0.0
78 5 2 320 2 2 0.2
79 6 0 320 0 0 0.0
80 6 0 322 0 0 0.0
80 5 4 324 4 4 0.4
81 6 0 324 0 0 0.0
81 5 2 326 2 2 0.2
82 6 0 328 0 0 0.0
82 5 2 328 2 2 0.2
83 6 0 330 0 0 0.0
83 5 2 330 2 2 0.2
84 6 0 333 0 0 0.0
85 6 0 336 0 0 0.0
85 5 4 337 4 4 0.4
86 6 0 338 0 0 0.0
87 5 4 340 4 4 0.4
87 6 0 340 0 0 0.0
88 6 0 343 0 0 0.0
89 6 0 343 0 0 0.0
89 5 4 346 4 4 0.4
90 6 0 349 0 0 0.0
90 5 2 350 2 2 0.2
91 6 0 351 0 0 0.0
91 5 4 351 4 4 0.4
92 6 0 356 0 0 0.0
92 5 2 357 2 2 0.2
93 6 0 360 0 0 0.0
94 6 0 363 0 0 0.0
94 5 4 364 4 4 0.4
95 6 0 364 0 0 0.0
96 6 0 369 0 0 0.0
97 6 0 374 0 0 0.0
97 5 2 374 2 2 0.2
98 6 0 375 0 0 0.0
98 5 2 375 2 2 0.2
99 6 0 376 0 0 0.0
100 6 0 380 0 0 0.0
101 6 0 382 0 0 0.0
102 6 0 386 0 0 0.0
102 5 4 387 4 4 0.4
103 6 0 391 0 0 0.0
103 5 2 392 2 2 0.2
104 6 0 393 0 0 0.0
104 5 2 396 2 2 0.2
105 6 0 398 0 0 0.0
106 6 0 403 0 0 0.0
107 6 0 406 0 0 0.0
108 6 0 411 0 0 0.0
108 5 4 412 4 4 0.4
109 6 0 415 0 0 0.0
109 5 2 417 2 2 0.2
110 6 0 417 0 0 0.0
110 5 4 421 4 4 0.4
111 6 0 421 0 0 0.0
112 6 0 423 0 0 0.0
113 6 0 423 0 0 0.0
114 6 0 429 0 0 0.0
115 6 0 430 0 0 0.0
115 5 2 431 2 2 0.2
116 6 0 432 0 0 0.0
116 4 8 433 8 8 0.8
116 5 4 433 4 4 0.4
117 6 0 435 0 0 0.0
117 5 2 440 2 2 0.2
118 6 0 440 0 0 0.0
118 5 4 442 4 4 0.4
119 6 0 442 0 0 0.0
120 6 0 446 0 0 0.0
121 6 0 448 0 0 0.0
122 6 0 451 0 0 0.0
122 5 6 451 6 6 0.6
123 6 0 453 0 0 0.0
