gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
1 2 9.296875 36 10 9 1.0
1 4 9.16015625 43 10 9 1.0
1 5 9.0625 48 10 9 1.0
2 2 9.00390625 51 10 9 1.0
3 2 8.92578125 55 10 9 1.0
4 1 8.88671875 57 10 9 1.0
5 1 8.80859375 61 10 9 1.0
6 1 8.80859375 61 10 9 1.0
7 1 8.80859375 61 10 9 1.0
8 1 8.76953125 63 10 9 1.0
9 1 8.76953125 63 10 9 1.0
10 1 8.76953125 63 10 9 1.0
11 1 8.76953125 63 10 9 1.0
12 1 8.76953125 63 10 9 1.0
13 1 8.76953125 63 10 9 1.0
13 2 8.75 64 10 9 1.0
14 1 8.75 64 10 9 1.0
15 1 8.73046875 65 10 9 1.0
16 1 8.7109375 66 10 9 1.0
17 1 8.671875 68 10 9 1.0
18 1 8.65234375 69 10 9 1.0
18 2 7.76953125 70 9 8 0.8888888888888888
19 1 8.76953125 70 10 9 1.0
20 1 8.76953125 70 10 9 1.0
21 1 8.76953125 70 10 9 1.0
22 1 8.751953125 71 10 9 1.0
22 2 7.875 72 9 8 0.8888888888888888
23 2 7.828125 75 9 8 0.8888888888888888
23 1 8.828125 75 10 9 1.0
24 1 8.828125 75 10 9 1.0
25 1 8.828125 75 10 9 1.0
26 1 8.75 80 10 9 1.0
27 1 8.734375 81 10 9 1.0
28 1 8.71875 82 10 9 1.0
29 1 8.6875 84 10 9 1.0
30 1 8.609375 89 10 9 1.0
31 2 7.515625 95 9 8 0.8888888888888888
32 1 8.5 96 10 9 1.0
33 2 7.5 96 9 8 0.8888888888888888
33 1 8.5 96 10 9 1.0
34 1 8.5 96 10 9 1.0
35 1 8.46875 98 10 9 1.0
36 1 8.453125 99 10 9 1.0
36 2 7.453125 99 9 8 0.8888888888888888
37 1 8.421875 101 10 9 1.0
38 2 7.421875 101 9 8 0.8888888888888888
38 1 8.421875 101 10 9 1.0
39 1 8.40625 102 10 9 1.0
40 2 7.375 104 9 8 0.8888888888888888
41 1 8.34375 106 10 9 1.0
42 2 7.296875 109 9 8 0.8888888888888888
43 1 8.28125 110 10 9 1.0
44 2 7.265625 111 9 8 0.8888888888888888
45 1 8.265625 111 10 9 1.0
46 2 7.265625 111 9 8 0.8888888888888888
47 2 7.265625 111 9 8 0.8888888888888888
48 2 7.265625 111 9 8 0.8888888888888888
49 2 7.25 112 9 8 0.8888888888888888
50 1 8.25 112 10 9 1.0
50 2 7.25 112 9 8 0.8888888888888888
51 2 7.234375 113 9 8 0.8888888888888888
52 1 8.203125 115 10 9 1.0
53 1 8.203125 115 10 9 1.0
53 2 7.1875 116 9 8 0.8888888888888888
54 2 7.171875 117 9 8 0.8888888888888888
54 1 8.171875 117 10 9 1.0
55 3 6.109375 121 8 7 0.7777777777777778
55 2 7.109375 121 9 8 0.8888888888888888
56 1 8.109375 121 10 9 1.0
57 2 7.09375 122 9 8 0.8888888888888888
57 3 6.078125 123 8 7 0.7777777777777778
58 1 8.046875 125 10 9 1.0
59 3 6.015625 127 8 7 0.7777777777777778
60 1 8 128 10 9 1.0
60 2 7 128 9 8 0.8888888888888888
61 3 5.984375 129 8 7 0.7777777777777778
61 2 6.984375 129 9 8 0.8888888888888888
62 1 7.921875 133 10 9 1.0
63 2 6.90625 134 9 8 0.8888888888888888
