gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
1 5 0 10 0 0 0.0
1 4 2 22 2 2 0.2
1 2 3 38 3 3 0.3
2 5 0 45 0 0 0.0
3 5 0 51 0 0 0.0
4 5 0 56 0 0 0.0
5 5 0 56 0 0 0.0
6 5 0 59 0 0 0.0
7 5 0 63 0 0 0.0
8 5 0 68 0 0 0.0
9 5 0 69 0 0 0.0
10 5 0 73 0 0 0.0
11 5 0 76 0 0 0.0
12 5 0 78 0 0 0.0
13 5 0 82 0 0 0.0
14 5 0 86 0 0 0.0
15 5 0 91 0 0 0.0
16 5 0 93 0 0 0.0
17 5 0 100 0 0 0.0
18 5 0 106 0 0 0.0
19 5 0 107 0 0 0.0
20 5 0 108 0 0 0.0
21 5 0 115 0 0 0.0
22 5 0 117 0 0 0.0
23 5 0 122 0 0 0.0
24 5 0 125 0 0 0.0
25 5 0 127 0 0 0.0
26 5 0 130 0 0 0.0
27 5 0 134 0 0 0.0
28 5 0 138 0 0 0.0
29 5 0 144 0 0 0.0
30 5 0 145 0 0 0.0
31 5 0 145 0 0 0.0
32 5 0 148 0 0 0.0
33 5 0 149 0 0 0.0
33 4 1 149 1 1 0.1
34 5 0 151 0 0 0.0
35 5 0 153 0 0 0.0
36 5 0 157 0 0 0.0
37 5 0 161 0 0 0.0
38 5 0 164 0 0 0.0
39 5 0 171 0 0 0.0
40 5 0 173 0 0 0.0
41 5 0 178 0 0 0.0
42 5 0 180 0 0 0.0
43 5 0 182 0 0 0.0
44 5 0 184 0 0 0.0
45 5 0 184 0 0 0.0
46 5 0 186 0 0 0.0
47 5 0 187 0 0 0.0
48 5 0 189 0 0 0.0
49 5 0 192 0 0 0.0
50 5 0 197 0 0 0.0
51 5 0 199 0 0 0.0
52 5 0 203 0 0 0.0
53 5 0 205 0 0 0.0
54 5 0 208 0 0 0.0
55 5 0 209 0 0 0.0
56 5 0 212 0 0 0.0
57 5 0 217 0 0 0.0
58 5 0 220 0 0 0.0
59 5 0 224 0 0 0.0
60 5 0 227 0 0 0.0
61 5 0 228 0 0 0.0
62 5 0 230 0 0 0.0
63 5 0 234 0 0 0.0
64 5 0 235 0 0 0.0
65 5 0 240 0 0 0.0
66 5 0 242 0 0 0.0
67 5 0 244 0 0 0.0
68 5 0 245 0 0 0.0
69 5 0 246 0 0 0.0
70 5 0 246 0 0 0.0
71 5 0 247 0 0 0.0
72 5 0 249 0 0 0.0
73 5 0 249 0 0 0.0
74 5 0 252 0 0 0.0
75 5 0 252 0 0 0.0
76 5 0 255 0 0 0.0
77 5 0 255 0 0 0.0
78 5 0 257 0 0 0.0
79 5 0 258 0 0 0.0
80 5 0 259 0 0 0.0
81 5 0 259 0 0 0.0
82 5 0 261 0 0 0.0
83 5 0 261 0 0 0.0
84 5 0 262 0 0 0.0
85 5 0 265 0 0 0.0
86 5 0 270 0 0 0.0
87 5 0 272 0 0 0.0
88 5 0 275 0 0 0.0
89 5 0 277 0 0 0.0
90 5 0 278 0 0 0.0
91 5 0 278 0 0 0.0
92 5 0 279 0 0 0.0
93 5 0 284 0 0 0.0
94 5 0 285 0 0 0.0
95 5 0 285 0 0 0.0
96 5 0 286 0 0 0.0
97 5 0 287 0 0 0.0
98 5 0 288 0 0 0.0
99 5 0 289 0 0 0.0
100 5 0 291 0 0 0.0
101 5 0 291 0 0 0.0
102 5 0 291 0 0 0.0
103 5 0 291 0 0 0.0
