gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
1 5 1 11 1 1 0.1
1 3 9 19 9 9 0.9
1 4 4 33 4 4 0.4
2 5 1 45 1 1 0.1
2 4 2 47 2 2 0.2
3 5 1 49 1 1 0.1
4 5 1 58 1 1 0.1
4 4 2 61 2 2 0.2
5 4 1 66 1 1 0.1
6 2 10 67 10 10 1.0
6 3 8 69 8 8 0.8
7 4 1 76 1 1 0.1
7 3 5 78 5 5 0.5
8 4 1 79 1 1 0.1
8 3 5 81 5 5 0.5
9 4 1 81 1 1 0.1
9 3 4 82 4 4 0.4
10 3 5 85 5 5 0.5
10 4 1 85 1 1 0.1
11 4 1 85 1 1 0.1
12 4 1 87 1 1 0.1
12 5 0 89 0 0 0.0
13 1 10 89 10 10 1.0
14 5 0 95 0 0 0.0
14 4 2 95 2 2 0.2
15 5 0 97 0 0 0.0
15 4 2 99 2 2 0.2
16 5 0 101 0 0 0.0
16 4 2 103 2 2 0.2
17 5 0 105 0 0 0.0
17 4 5 106 5 5 0.5
18 5 0 107 0 0 0.0
19 5 0 110 0 0 0.0
19 4 2 111 2 2 0.2
20 5 0 113 0 0 0.0
21 5 0 114 0 0 0.0
21 4 2 115 2 2 0.2
22 5 0 117 0 0 0.0
23 4 1 123 1 1 0.1
23 5 0 123 0 0 0.0
24 5 0 125 0 0 0.0
24 4 1 125 1 1 0.1
25 5 0 126 0 0 0.0
25 3 10 128 10 10 1.0
26 5 0 128 0 0 0.0
26 4 2 129 2 2 0.2
27 5 0 130 0 0 0.0
28 5 0 131 0 0 0.0
28 4 1 131 1 1 0.1
29 5 0 132 0 0 0.0
29 4 1 134 1 1 0.1
30 4 1 136 1 1 0.1
30 5 0 136 0 0 0.0
31 4 1 139 1 1 0.1
31 5 0 139 0 0 0.0
32 5 0 143 0 0 0.0
32 4 1 147 1 1 0.1
33 5 0 147 0 0 0.0
33 4 2 150 2 2 0.2
34 5 0 150 0 0 0.0
34 4 2 152 2 2 0.2
35 5 0 153 0 0 0.0
35 4 1 153 1 1 0.1
36 5 0 155 0 0 0.0
37 5 0 162 0 0 0.0
37 4 1 163 1 1 0.1
38 5 0 165 0 0 0.0
39 5 0 166 0 0 0.0
40 5 0 168 0 0 0.0
41 4 1 173 1 1 0.1
41 5 0 173 0 0 0.0
42 5 0 175 0 0 0.0
43 5 0 179 0 0 0.0
43 4 1 181 1 1 0.1
44 5 0 181 0 0 0.0
44 4 1 181 1 1 0.1
45 5 0 183 0 0 0.0
46 5 0 185 0 0 0.0
47 5 0 187 0 0 0.0
