gen HV HVnoDiscount fitness_notKilledMutants notKilledNonEqMutants fitness_testSuiteSize
1 24.0 24.0 5.0 5.0 6.0
2 25.0 25.0 5.0 5.0 5.0
3 25.0 25.0 5.0 5.0 5.0
4 25.0 25.0 5.0 5.0 5.0
5 25.0 25.0 5.0 5.0 5.0
6 30.0 30.0 4.0 4.0 5.0
7 32.0 32.0 4.0 4.0 5.0
8 32.0 32.0 4.0 4.0 5.0
9 32.0 32.0 4.0 4.0 5.0
10 44.0 44.0 3.0 3.0 4.0
11 44.0 44.0 3.0 3.0 4.0
12 44.0 44.0 3.0 3.0 4.0
13 44.0 44.0 3.0 3.0 4.0
14 44.0 44.0 3.0 3.0 4.0
15 48.0 48.0 2.0 2.0 4.0
16 48.0 48.0 2.0 2.0 4.0
17 48.0 48.0 2.0 2.0 4.0
18 48.0 48.0 2.0 2.0 4.0
19 48.0 48.0 2.0 2.0 4.0
20 48.0 48.0 2.0 2.0 4.0
21 48.0 48.0 2.0 2.0 4.0
22 48.0 48.0 2.0 2.0 4.0
23 48.0 48.0 2.0 2.0 4.0
24 48.0 48.0 2.0 2.0 4.0
25 48.0 48.0 2.0 2.0 4.0
26 48.0 48.0 2.0 2.0 4.0
27 48.0 48.0 2.0 2.0 4.0
28 48.0 48.0 2.0 2.0 4.0
29 48.0 48.0 2.0 2.0 4.0
30 48.0 48.0 2.0 2.0 4.0
31 48.0 48.0 2.0 2.0 4.0
32 48.0 48.0 2.0 2.0 4.0
33 48.0 48.0 2.0 2.0 4.0
34 48.0 48.0 2.0 2.0 4.0
35 48.0 48.0 2.0 2.0 4.0
36 48.0 48.0 2.0 2.0 4.0
37 48.0 48.0 2.0 2.0 4.0
38 48.0 48.0 2.0 2.0 4.0
39 48.0 48.0 2.0 2.0 4.0
40 48.0 48.0 2.0 2.0 4.0
41 48.0 48.0 2.0 2.0 4.0
42 48.0 48.0 2.0 2.0 4.0
43 48.0 48.0 2.0 2.0 4.0
44 49.0 49.0 2.0 2.0 4.0
45 49.0 49.0 2.0 2.0 4.0
46 49.0 49.0 2.0 2.0 4.0
47 49.0 49.0 2.0 2.0 4.0
48 49.0 49.0 2.0 2.0 4.0
49 49.0 49.0 2.0 2.0 4.0
50 49.0 49.0 2.0 2.0 4.0
51 49.0 49.0 2.0 2.0 4.0
52 49.0 49.0 2.0 2.0 4.0
53 49.0 49.0 2.0 2.0 4.0
54 55.0 55.0 1.0 1.0 4.0
55 55.0 55.0 1.0 1.0 4.0
56 55.0 55.0 1.0 1.0 4.0
57 55.0 55.0 1.0 1.0 4.0
58 55.0 55.0 1.0 1.0 4.0
59 55.0 55.0 1.0 1.0 4.0
60 55.0 55.0 1.0 1.0 4.0
61 58.0 58.0 1.0 1.0 4.0
62 58.0 58.0 1.0 1.0 4.0
63 58.0 58.0 1.0 1.0 4.0
64 65.0 65.0 0.0 0.0 5.0
65 65.0 65.0 0.0 0.0 5.0
66 65.0 65.0 0.0 0.0 5.0
67 65.0 65.0 0.0 0.0 5.0
68 65.0 65.0 0.0 0.0 5.0
69 65.0 65.0 0.0 0.0 5.0
70 65.0 65.0 0.0 0.0 5.0
71 65.0 65.0 0.0 0.0 5.0
72 65.0 65.0 0.0 0.0 5.0
73 65.0 65.0 0.0 0.0 5.0
74 65.0 65.0 0.0 0.0 5.0
75 65.0 65.0 0.0 0.0 5.0
76 65.0 65.0 0.0 0.0 5.0
77 65.0 65.0 0.0 0.0 5.0
78 65.0 65.0 0.0 0.0 5.0
79 65.0 65.0 0.0 0.0 5.0
80 65.0 65.0 0.0 0.0 5.0
81 65.0 65.0 0.0 0.0 5.0
82 65.0 65.0 0.0 0.0 5.0
83 65.0 65.0 0.0 0.0 5.0
84 65.0 65.0 0.0 0.0 5.0
85 65.0 65.0 0.0 0.0 5.0
86 65.0 65.0 0.0 0.0 5.0
87 65.0 65.0 0.0 0.0 5.0
88 65.0 65.0 0.0 0.0 5.0
89 65.0 65.0 0.0 0.0 5.0
90 65.0 65.0 0.0 0.0 5.0
91 65.0 65.0 0.0 0.0 5.0
92 65.0 65.0 0.0 0.0 5.0
93 65.0 65.0 0.0 0.0 5.0
94 65.0 65.0 0.0 0.0 5.0
95 65.0 65.0 0.0 0.0 5.0
96 65.0 65.0 0.0 0.0 5.0
97 65.0 65.0 0.0 0.0 5.0
98 65.0 65.0 0.0 0.0 5.0
99 65.0 65.0 0.0 0.0 5.0
100 65.0 65.0 0.0 0.0 5.0
101 65.0 65.0 0.0 0.0 5.0
102 65.0 65.0 0.0 0.0 5.0
103 65.0 65.0 0.0 0.0 5.0
104 65.0 65.0 0.0 0.0 5.0
105 65.0 65.0 0.0 0.0 5.0
106 65.0 65.0 0.0 0.0 5.0
107 65.0 65.0 0.0 0.0 5.0
108 65.0 65.0 0.0 0.0 5.0
109 65.0 65.0 0.0 0.0 5.0
110 65.0 65.0 0.0 0.0 5.0
111 65.0 65.0 0.0 0.0 5.0
112 65.0 65.0 0.0 0.0 5.0
113 65.0 65.0 0.0 0.0 5.0
114 65.0 65.0 0.0 0.0 5.0
115 65.0 65.0 0.0 0.0 5.0
116 65.0 65.0 0.0 0.0 5.0
117 65.0 65.0 0.0 0.0 5.0
118 65.0 65.0 0.0 0.0 5.0
119 65.0 65.0 0.0 0.0 5.0
120 65.0 65.0 0.0 0.0 5.0
121 65.0 65.0 0.0 0.0 5.0
122 65.0 65.0 0.0 0.0 5.0
123 65.0 65.0 0.0 0.0 5.0
124 65.0 65.0 0.0 0.0 5.0
125 65.0 65.0 0.0 0.0 5.0
126 65.0 65.0 0.0 0.0 5.0
127 65.0 65.0 0.0 0.0 5.0
128 65.0 65.0 0.0 0.0 5.0
129 65.0 65.0 0.0 0.0 5.0
130 65.0 65.0 0.0 0.0 5.0
131 65.0 65.0 0.0 0.0 5.0
132 65.0 65.0 0.0 0.0 5.0
133 65.0 65.0 0.0 0.0 5.0
134 65.0 65.0 0.0 0.0 5.0
135 65.0 65.0 0.0 0.0 5.0
136 65.0 65.0 0.0 0.0 5.0
137 65.0 65.0 0.0 0.0 5.0
138 65.0 65.0 0.0 0.0 5.0
139 65.0 65.0 0.0 0.0 5.0
140 65.0 65.0 0.0 0.0 5.0
141 65.0 65.0 0.0 0.0 5.0
142 65.0 65.0 0.0 0.0 5.0
143 65.0 65.0 0.0 0.0 5.0
144 65.0 65.0 0.0 0.0 5.0
145 65.0 65.0 0.0 0.0 5.0
146 65.0 65.0 0.0 0.0 5.0
147 65.0 65.0 0.0 0.0 5.0
148 65.0 65.0 0.0 0.0 5.0
149 65.0 65.0 0.0 0.0 5.0
150 65.0 65.0 0.0 0.0 5.0
151 65.0 65.0 0.0 0.0 5.0
152 65.0 65.0 0.0 0.0 5.0
153 65.0 65.0 0.0 0.0 5.0
154 65.0 65.0 0.0 0.0 5.0
155 65.0 65.0 0.0 0.0 5.0
156 65.0 65.0 0.0 0.0 5.0
157 65.0 65.0 0.0 0.0 5.0
158 65.0 65.0 0.0 0.0 5.0
159 65.0 65.0 0.0 0.0 5.0
160 65.0 65.0 0.0 0.0 5.0
161 65.0 65.0 0.0 0.0 5.0
162 65.0 65.0 0.0 0.0 5.0
163 65.0 65.0 0.0 0.0 5.0
164 65.0 65.0 0.0 0.0 5.0
165 65.0 65.0 0.0 0.0 5.0
166 65.0 65.0 0.0 0.0 5.0
167 65.0 65.0 0.0 0.0 5.0
168 65.0 65.0 0.0 0.0 5.0
169 65.0 65.0 0.0 0.0 5.0
170 65.0 65.0 0.0 0.0 5.0
171 65.0 65.0 0.0 0.0 5.0
172 65.0 65.0 0.0 0.0 5.0
173 65.0 65.0 0.0 0.0 5.0
174 65.0 65.0 0.0 0.0 5.0
175 65.0 65.0 0.0 0.0 5.0
176 65.0 65.0 0.0 0.0 5.0
177 65.0 65.0 0.0 0.0 5.0
178 65.0 65.0 0.0 0.0 5.0
179 65.0 65.0 0.0 0.0 5.0
180 65.0 65.0 0.0 0.0 5.0
181 65.0 65.0 0.0 0.0 5.0
182 65.0 65.0 0.0 0.0 5.0
183 65.0 65.0 0.0 0.0 5.0
184 65.0 65.0 0.0 0.0 5.0
185 65.0 65.0 0.0 0.0 5.0
186 65.0 65.0 0.0 0.0 5.0
187 65.0 65.0 0.0 0.0 5.0
188 65.0 65.0 0.0 0.0 5.0
189 65.0 65.0 0.0 0.0 5.0
190 65.0 65.0 0.0 0.0 5.0
191 65.0 65.0 0.0 0.0 5.0
192 65.0 65.0 0.0 0.0 5.0
193 65.0 65.0 0.0 0.0 5.0
194 65.0 65.0 0.0 0.0 5.0
195 65.0 65.0 0.0 0.0 5.0
196 65.0 65.0 0.0 0.0 5.0
197 65.0 65.0 0.0 0.0 5.0
198 65.0 65.0 0.0 0.0 5.0
199 65.0 65.0 0.0 0.0 5.0
200 65.0 65.0 0.0 0.0 5.0
201 65.0 65.0 0.0 0.0 5.0
202 65.0 65.0 0.0 0.0 5.0
203 65.0 65.0 0.0 0.0 5.0
204 65.0 65.0 0.0 0.0 5.0
205 65.0 65.0 0.0 0.0 5.0
206 65.0 65.0 0.0 0.0 5.0
207 65.0 65.0 0.0 0.0 5.0
208 65.0 65.0 0.0 0.0 5.0
209 65.0 65.0 0.0 0.0 5.0
210 65.0 65.0 0.0 0.0 5.0
211 65.0 65.0 0.0 0.0 5.0
212 65.0 65.0 0.0 0.0 5.0
213 65.0 65.0 0.0 0.0 5.0
214 65.0 65.0 0.0 0.0 5.0
215 65.0 65.0 0.0 0.0 5.0
216 65.0 65.0 0.0 0.0 5.0
217 65.0 65.0 0.0 0.0 5.0
218 65.0 65.0 0.0 0.0 5.0
219 65.0 65.0 0.0 0.0 5.0
220 65.0 65.0 0.0 0.0 5.0
221 65.0 65.0 0.0 0.0 5.0
222 65.0 65.0 0.0 0.0 5.0
223 65.0 65.0 0.0 0.0 5.0
224 65.0 65.0 0.0 0.0 5.0
225 65.0 65.0 0.0 0.0 5.0
226 65.0 65.0 0.0 0.0 5.0
227 65.0 65.0 0.0 0.0 5.0
228 65.0 65.0 0.0 0.0 5.0
229 65.0 65.0 0.0 0.0 5.0
230 65.0 65.0 0.0 0.0 5.0
231 65.0 65.0 0.0 0.0 5.0
232 65.0 65.0 0.0 0.0 5.0
233 65.0 65.0 0.0 0.0 5.0
234 65.0 65.0 0.0 0.0 5.0
235 65.0 65.0 0.0 0.0 5.0
236 65.0 65.0 0.0 0.0 5.0
237 65.0 65.0 0.0 0.0 5.0
238 65.0 65.0 0.0 0.0 5.0
239 65.0 65.0 0.0 0.0 5.0
240 65.0 65.0 0.0 0.0 5.0
241 65.0 65.0 0.0 0.0 5.0
