gen HV HVnoDiscount fitness_notKilledMutants notKilledNonEqMutants fitness_testSuiteSize
1 6.0 6.0 9.0 8.0 4.0
2 55.0 55.0 1.0 0.0 4.0
3 55.0 55.0 1.0 0.0 4.0
4 55.0 55.0 1.0 0.0 4.0
5 55.0 55.0 1.0 0.0 4.0
6 55.0 55.0 1.0 0.0 4.0
7 55.0 55.0 1.0 0.0 4.0
8 55.0 55.0 1.0 0.0 4.0
9 55.0 55.0 1.0 0.0 4.0
10 55.0 55.0 1.0 0.0 4.0
11 55.0 55.0 1.0 0.0 4.0
12 55.0 55.0 1.0 0.0 4.0
13 55.0 55.0 1.0 0.0 4.0
14 55.0 55.0 1.0 0.0 4.0
15 55.0 55.0 1.0 0.0 4.0
16 55.0 55.0 1.0 0.0 4.0
17 55.0 55.0 1.0 0.0 4.0
18 55.0 55.0 1.0 0.0 4.0
19 55.0 55.0 1.0 0.0 4.0
20 55.0 55.0 1.0 0.0 4.0
21 55.0 55.0 1.0 0.0 4.0
22 55.0 55.0 1.0 0.0 4.0
23 55.0 55.0 1.0 0.0 4.0
24 55.0 55.0 1.0 0.0 4.0
25 63.0 63.0 1.0 0.0 3.0
26 63.0 63.0 1.0 0.0 3.0
27 63.0 63.0 1.0 0.0 3.0
28 63.0 63.0 1.0 0.0 3.0
29 63.0 63.0 1.0 0.0 3.0
30 63.0 63.0 1.0 0.0 3.0
31 63.0 63.0 1.0 0.0 3.0
32 63.0 63.0 1.0 0.0 3.0
33 63.0 63.0 1.0 0.0 3.0
34 63.0 63.0 1.0 0.0 3.0
35 63.0 63.0 1.0 0.0 3.0
36 63.0 63.0 1.0 0.0 3.0
37 63.0 63.0 1.0 0.0 3.0
38 63.0 63.0 1.0 0.0 3.0
39 63.0 63.0 1.0 0.0 3.0
40 63.0 63.0 1.0 0.0 3.0
41 63.0 63.0 1.0 0.0 3.0
42 63.0 63.0 1.0 0.0 3.0
43 63.0 63.0 1.0 0.0 3.0
44 63.0 63.0 1.0 0.0 3.0
45 63.0 63.0 1.0 0.0 3.0
46 63.0 63.0 1.0 0.0 3.0
47 63.0 63.0 1.0 0.0 3.0
48 63.0 63.0 1.0 0.0 3.0
49 63.0 63.0 1.0 0.0 3.0
50 63.0 63.0 1.0 0.0 3.0
51 63.0 63.0 1.0 0.0 3.0
52 63.0 63.0 1.0 0.0 3.0
53 63.0 63.0 1.0 0.0 3.0
54 63.0 63.0 1.0 0.0 3.0
55 63.0 63.0 1.0 0.0 3.0
56 63.0 63.0 1.0 0.0 3.0
57 63.0 63.0 1.0 0.0 3.0
58 63.0 63.0 1.0 0.0 3.0
59 63.0 63.0 1.0 0.0 3.0
60 63.0 63.0 1.0 0.0 3.0
61 63.0 63.0 1.0 0.0 3.0
62 63.0 63.0 1.0 0.0 3.0
63 63.0 63.0 1.0 0.0 3.0
64 63.0 63.0 1.0 0.0 3.0
65 63.0 63.0 1.0 0.0 3.0
66 63.0 63.0 1.0 0.0 3.0
67 63.0 63.0 1.0 0.0 3.0
68 63.0 63.0 1.0 0.0 3.0
69 63.0 63.0 1.0 0.0 3.0
70 63.0 63.0 1.0 0.0 3.0
71 63.0 63.0 1.0 0.0 3.0
72 63.0 63.0 1.0 0.0 3.0
73 63.0 63.0 1.0 0.0 3.0
74 63.0 63.0 1.0 0.0 3.0
75 63.0 63.0 1.0 0.0 3.0
76 63.0 63.0 1.0 0.0 3.0
77 63.0 63.0 1.0 0.0 3.0
78 63.0 63.0 1.0 0.0 3.0
79 63.0 63.0 1.0 0.0 3.0
80 63.0 63.0 1.0 0.0 3.0
81 63.0 63.0 1.0 0.0 3.0
82 63.0 63.0 1.0 0.0 3.0
83 63.0 63.0 1.0 0.0 3.0
84 63.0 63.0 1.0 0.0 3.0
85 63.0 63.0 1.0 0.0 3.0
86 63.0 63.0 1.0 0.0 3.0
87 63.0 63.0 1.0 0.0 3.0
88 63.0 63.0 1.0 0.0 3.0
89 63.0 63.0 1.0 0.0 3.0
90 63.0 63.0 1.0 0.0 3.0
91 63.0 63.0 1.0 0.0 3.0
92 63.0 63.0 1.0 0.0 3.0
93 63.0 63.0 1.0 0.0 3.0
94 63.0 63.0 1.0 0.0 3.0
95 63.0 63.0 1.0 0.0 3.0
96 63.0 63.0 1.0 0.0 3.0
97 63.0 63.0 1.0 0.0 3.0
98 63.0 63.0 1.0 0.0 3.0
99 63.0 63.0 1.0 0.0 3.0
100 63.0 63.0 1.0 0.0 3.0
101 63.0 63.0 1.0 0.0 3.0
102 63.0 63.0 1.0 0.0 3.0
103 63.0 63.0 1.0 0.0 3.0
104 63.0 63.0 1.0 0.0 3.0
105 63.0 63.0 1.0 0.0 3.0
