gen HV HVnoDiscount fitness_notKilledMutants notKilledNonEqMutants fitness_testSuiteSize
1 71.0 71.0 0.0 0.0 5.0
2 71.0 71.0 0.0 0.0 5.0
3 71.0 71.0 0.0 0.0 5.0
4 71.0 71.0 0.0 0.0 5.0
5 71.0 71.0 0.0 0.0 5.0
6 71.0 71.0 0.0 0.0 5.0
7 71.0 71.0 0.0 0.0 5.0
8 71.0 71.0 0.0 0.0 5.0
9 71.0 71.0 0.0 0.0 5.0
10 71.0 71.0 0.0 0.0 5.0
11 71.0 71.0 0.0 0.0 5.0
12 71.0 71.0 0.0 0.0 5.0
13 71.0 71.0 0.0 0.0 5.0
14 71.0 71.0 0.0 0.0 5.0
15 71.0 71.0 0.0 0.0 5.0
16 71.0 71.0 0.0 0.0 5.0
17 71.0 71.0 0.0 0.0 5.0
18 71.0 71.0 0.0 0.0 5.0
19 71.0 71.0 0.0 0.0 5.0
20 71.0 71.0 0.0 0.0 5.0
21 71.0 71.0 0.0 0.0 5.0
22 71.0 71.0 0.0 0.0 5.0
23 71.0 71.0 0.0 0.0 5.0
24 71.0 71.0 0.0 0.0 5.0
25 71.0 71.0 0.0 0.0 5.0
26 71.0 71.0 0.0 0.0 5.0
27 71.0 71.0 0.0 0.0 5.0
28 71.0 71.0 0.0 0.0 5.0
29 71.0 71.0 0.0 0.0 5.0
30 71.0 71.0 0.0 0.0 5.0
31 71.0 71.0 0.0 0.0 5.0
32 71.0 71.0 0.0 0.0 5.0
33 71.0 71.0 0.0 0.0 5.0
34 71.0 71.0 0.0 0.0 5.0
35 71.0 71.0 0.0 0.0 5.0
36 71.0 71.0 0.0 0.0 5.0
37 71.0 71.0 0.0 0.0 5.0
38 71.0 71.0 0.0 0.0 5.0
39 71.0 71.0 0.0 0.0 5.0
40 71.0 71.0 0.0 0.0 5.0
41 71.0 71.0 0.0 0.0 5.0
42 71.0 71.0 0.0 0.0 5.0
43 71.0 71.0 0.0 0.0 5.0
44 71.0 71.0 0.0 0.0 5.0
45 71.0 71.0 0.0 0.0 5.0
46 71.0 71.0 0.0 0.0 5.0
47 71.0 71.0 0.0 0.0 5.0
48 71.0 71.0 0.0 0.0 5.0
49 71.0 71.0 0.0 0.0 5.0
50 71.0 71.0 0.0 0.0 5.0
51 71.0 71.0 0.0 0.0 5.0
52 71.0 71.0 0.0 0.0 5.0
53 71.0 71.0 0.0 0.0 5.0
54 71.0 71.0 0.0 0.0 5.0
55 71.0 71.0 0.0 0.0 5.0
56 71.0 71.0 0.0 0.0 5.0
57 71.0 71.0 0.0 0.0 5.0
58 71.0 71.0 0.0 0.0 5.0
59 71.0 71.0 0.0 0.0 5.0
60 71.0 71.0 0.0 0.0 5.0
61 71.0 71.0 0.0 0.0 5.0
62 71.0 71.0 0.0 0.0 5.0
63 71.0 71.0 0.0 0.0 5.0
64 71.0 71.0 0.0 0.0 5.0
65 71.0 71.0 0.0 0.0 5.0
66 71.0 71.0 0.0 0.0 5.0
67 71.0 71.0 0.0 0.0 5.0
68 71.0 71.0 0.0 0.0 5.0
69 71.0 71.0 0.0 0.0 5.0
70 71.0 71.0 0.0 0.0 5.0
71 71.0 71.0 0.0 0.0 5.0
72 71.0 71.0 0.0 0.0 5.0
73 71.0 71.0 0.0 0.0 5.0
