gen HV HVnoDiscount fitness_notKilledMutants notKilledNonEqMutants fitness_testSuiteSize
1 34.0 34.0 4.0 4.0 5.0
2 34.0 34.0 4.0 4.0 5.0
3 50.0 50.0 0.0 0.0 5.0
4 50.0 50.0 0.0 0.0 5.0
5 51.0 51.0 0.0 0.0 5.0
6 60.0 60.0 0.0 0.0 4.0
7 60.0 60.0 0.0 0.0 4.0
8 60.0 60.0 0.0 0.0 4.0
9 70.0 70.0 0.0 0.0 3.0
10 70.0 70.0 0.0 0.0 3.0
11 72.0 72.0 0.0 0.0 3.0
12 72.0 72.0 0.0 0.0 3.0
13 72.0 72.0 0.0 0.0 3.0
14 72.0 72.0 0.0 0.0 3.0
15 72.0 72.0 0.0 0.0 3.0
16 72.0 72.0 0.0 0.0 3.0
17 72.0 72.0 0.0 0.0 3.0
18 72.0 72.0 0.0 0.0 3.0
19 72.0 72.0 0.0 0.0 3.0
20 72.0 72.0 0.0 0.0 3.0
21 72.0 72.0 0.0 0.0 3.0
22 72.0 72.0 0.0 0.0 3.0
23 72.0 72.0 0.0 0.0 3.0
24 72.0 72.0 0.0 0.0 3.0
25 72.0 72.0 0.0 0.0 3.0
26 72.0 72.0 0.0 0.0 3.0
27 72.0 72.0 0.0 0.0 3.0
28 72.0 72.0 0.0 0.0 3.0
29 72.0 72.0 0.0 0.0 3.0
30 72.0 72.0 0.0 0.0 3.0
31 72.0 72.0 0.0 0.0 3.0
32 72.0 72.0 0.0 0.0 3.0
33 72.0 72.0 0.0 0.0 3.0
34 72.0 72.0 0.0 0.0 3.0
35 72.0 72.0 0.0 0.0 3.0
36 72.0 72.0 0.0 0.0 3.0
37 72.0 72.0 0.0 0.0 3.0
38 72.0 72.0 0.0 0.0 3.0
39 72.0 72.0 0.0 0.0 3.0
40 72.0 72.0 0.0 0.0 3.0
41 72.0 72.0 0.0 0.0 3.0
42 72.0 72.0 0.0 0.0 3.0
43 72.0 72.0 0.0 0.0 3.0
44 72.0 72.0 0.0 0.0 3.0
45 72.0 72.0 0.0 0.0 3.0
