gen HV HVnoDiscount fitness_notKilledMutants notKilledNonEqMutants fitness_testSuiteSize
1 7.0 7.0 9.0 8.0 3.0
2 7.0 7.0 9.0 8.0 3.0
3 7.0 7.0 9.0 8.0 3.0
4 7.0 7.0 9.0 8.0 3.0
5 7.0 7.0 9.0 8.0 3.0
6 7.0 7.0 9.0 8.0 3.0
7 7.0 7.0 9.0 8.0 3.0
8 7.0 7.0 9.0 8.0 3.0
9 7.0 7.0 9.0 8.0 3.0
10 7.0 7.0 9.0 8.0 3.0
11 7.0 7.0 9.0 8.0 3.0
12 7.0 7.0 9.0 8.0 3.0
13 7.0 7.0 9.0 8.0 3.0
14 7.0 7.0 9.0 8.0 3.0
15 7.0 7.0 9.0 8.0 3.0
16 7.0 7.0 9.0 8.0 3.0
17 7.0 7.0 9.0 8.0 3.0
18 7.0 7.0 9.0 8.0 3.0
19 7.0 7.0 9.0 8.0 3.0
20 7.0 7.0 9.0 8.0 3.0
21 7.0 7.0 9.0 8.0 3.0
22 7.0 7.0 9.0 8.0 3.0
23 7.0 7.0 9.0 8.0 3.0
24 35.0 35.0 5.0 4.0 3.0
25 35.0 35.0 5.0 4.0 3.0
26 35.0 35.0 5.0 4.0 3.0
27 35.0 35.0 5.0 4.0 3.0
28 35.0 35.0 5.0 4.0 3.0
29 35.0 35.0 5.0 4.0 3.0
30 35.0 35.0 5.0 4.0 3.0
31 35.0 35.0 5.0 4.0 3.0
32 35.0 35.0 5.0 4.0 3.0
33 35.0 35.0 5.0 4.0 3.0
34 35.0 35.0 5.0 4.0 3.0
35 35.0 35.0 5.0 4.0 3.0
36 35.0 35.0 5.0 4.0 3.0
37 35.0 35.0 5.0 4.0 3.0
38 35.0 35.0 5.0 4.0 3.0
39 35.0 35.0 5.0 4.0 3.0
40 35.0 35.0 5.0 4.0 3.0
41 35.0 35.0 5.0 4.0 3.0
42 35.0 35.0 5.0 4.0 3.0
43 35.0 35.0 5.0 4.0 3.0
44 35.0 35.0 5.0 4.0 3.0
45 35.0 35.0 5.0 4.0 3.0
46 35.0 35.0 5.0 4.0 3.0
47 35.0 35.0 5.0 4.0 3.0
48 35.0 35.0 5.0 4.0 3.0
49 35.0 35.0 5.0 4.0 3.0
50 35.0 35.0 5.0 4.0 3.0
51 35.0 35.0 5.0 4.0 3.0
52 35.0 35.0 5.0 4.0 3.0
53 35.0 35.0 5.0 4.0 3.0
54 35.0 35.0 5.0 4.0 3.0
55 35.0 35.0 5.0 4.0 3.0
56 35.0 35.0 5.0 4.0 3.0
57 35.0 35.0 5.0 4.0 3.0
58 35.0 35.0 5.0 4.0 3.0
59 35.0 35.0 5.0 4.0 3.0
60 35.0 35.0 5.0 4.0 3.0
61 35.0 35.0 5.0 4.0 3.0
62 35.0 35.0 5.0 4.0 3.0
63 35.0 35.0 5.0 4.0 3.0
64 35.0 35.0 5.0 4.0 3.0
65 35.0 35.0 5.0 4.0 3.0
66 35.0 35.0 5.0 4.0 3.0
67 35.0 35.0 5.0 4.0 3.0
68 35.0 35.0 5.0 4.0 3.0
69 35.0 35.0 5.0 4.0 3.0
70 35.0 35.0 5.0 4.0 3.0
71 35.0 35.0 5.0 4.0 3.0
72 35.0 35.0 5.0 4.0 3.0
73 35.0 35.0 5.0 4.0 3.0
74 35.0 35.0 5.0 4.0 3.0
75 35.0 35.0 5.0 4.0 3.0
76 35.0 35.0 5.0 4.0 3.0
77 35.0 35.0 5.0 4.0 3.0
78 35.0 35.0 5.0 4.0 3.0
79 35.0 35.0 5.0 4.0 3.0
80 35.0 35.0 5.0 4.0 3.0
81 35.0 35.0 5.0 4.0 3.0
82 35.0 35.0 5.0 4.0 3.0
83 35.0 35.0 5.0 4.0 3.0
84 35.0 35.0 5.0 4.0 3.0
85 35.0 35.0 5.0 4.0 3.0
86 35.0 35.0 5.0 4.0 3.0
87 35.0 35.0 5.0 4.0 3.0
88 35.0 35.0 5.0 4.0 3.0
89 35.0 35.0 5.0 4.0 3.0
90 35.0 35.0 5.0 4.0 3.0
91 35.0 35.0 5.0 4.0 3.0
92 35.0 35.0 5.0 4.0 3.0
93 35.0 35.0 5.0 4.0 3.0
94 35.0 35.0 5.0 4.0 3.0
95 35.0 35.0 5.0 4.0 3.0
96 35.0 35.0 5.0 4.0 3.0
97 35.0 35.0 5.0 4.0 3.0
98 35.0 35.0 5.0 4.0 3.0
99 35.0 35.0 5.0 4.0 3.0
100 35.0 35.0 5.0 4.0 3.0
101 35.0 35.0 5.0 4.0 3.0
102 35.0 35.0 5.0 4.0 3.0
103 35.0 35.0 5.0 4.0 3.0
104 35.0 35.0 5.0 4.0 3.0
105 35.0 35.0 5.0 4.0 3.0
106 35.0 35.0 5.0 4.0 3.0
107 35.0 35.0 5.0 4.0 3.0
108 35.0 35.0 5.0 4.0 3.0
109 35.0 35.0 5.0 4.0 3.0
110 35.0 35.0 5.0 4.0 3.0
111 35.0 35.0 5.0 4.0 3.0
112 35.0 35.0 5.0 4.0 3.0
113 35.0 35.0 5.0 4.0 3.0
114 35.0 35.0 5.0 4.0 3.0
115 35.0 35.0 5.0 4.0 3.0
116 35.0 35.0 5.0 4.0 3.0
117 35.0 35.0 5.0 4.0 3.0
118 35.0 35.0 5.0 4.0 3.0
119 35.0 35.0 5.0 4.0 3.0
120 35.0 35.0 5.0 4.0 3.0
121 35.0 35.0 5.0 4.0 3.0
122 35.0 35.0 5.0 4.0 3.0
123 35.0 35.0 5.0 4.0 3.0
124 35.0 35.0 5.0 4.0 3.0
125 35.0 35.0 5.0 4.0 3.0
126 35.0 35.0 5.0 4.0 3.0
127 35.0 35.0 5.0 4.0 3.0
128 35.0 35.0 5.0 4.0 3.0
129 35.0 35.0 5.0 4.0 3.0
130 35.0 35.0 5.0 4.0 3.0
131 35.0 35.0 5.0 4.0 3.0
132 35.0 35.0 5.0 4.0 3.0
133 35.0 35.0 5.0 4.0 3.0
134 35.0 35.0 5.0 4.0 3.0
135 35.0 35.0 5.0 4.0 3.0
136 35.0 35.0 5.0 4.0 3.0
137 35.0 35.0 5.0 4.0 3.0
138 35.0 35.0 5.0 4.0 3.0
139 35.0 35.0 5.0 4.0 3.0
140 35.0 35.0 5.0 4.0 3.0
141 35.0 35.0 5.0 4.0 3.0
142 35.0 35.0 5.0 4.0 3.0
143 35.0 35.0 5.0 4.0 3.0
144 35.0 35.0 5.0 4.0 3.0
145 35.0 35.0 5.0 4.0 3.0
146 35.0 35.0 5.0 4.0 3.0
147 35.0 35.0 5.0 4.0 3.0
148 35.0 35.0 5.0 4.0 3.0
149 35.0 35.0 5.0 4.0 3.0
150 35.0 35.0 5.0 4.0 3.0
151 35.0 35.0 5.0 4.0 3.0
152 35.0 35.0 5.0 4.0 3.0
153 35.0 35.0 5.0 4.0 3.0
154 35.0 35.0 5.0 4.0 3.0
155 35.0 35.0 5.0 4.0 3.0
156 35.0 35.0 5.0 4.0 3.0
157 35.0 35.0 5.0 4.0 3.0
158 35.0 35.0 5.0 4.0 3.0
159 35.0 35.0 5.0 4.0 3.0
160 35.0 35.0 5.0 4.0 3.0
161 35.0 35.0 5.0 4.0 3.0
162 35.0 35.0 5.0 4.0 3.0
163 35.0 35.0 5.0 4.0 3.0
164 35.0 35.0 5.0 4.0 3.0
165 35.0 35.0 5.0 4.0 3.0
166 35.0 35.0 5.0 4.0 3.0
167 35.0 35.0 5.0 4.0 3.0
168 35.0 35.0 5.0 4.0 3.0
169 35.0 35.0 5.0 4.0 3.0
170 35.0 35.0 5.0 4.0 3.0
171 35.0 35.0 5.0 4.0 3.0
172 35.0 35.0 5.0 4.0 3.0
173 35.0 35.0 5.0 4.0 3.0
174 35.0 35.0 5.0 4.0 3.0
175 35.0 35.0 5.0 4.0 3.0
176 35.0 35.0 5.0 4.0 3.0
177 35.0 35.0 5.0 4.0 3.0
178 35.0 35.0 5.0 4.0 3.0
179 35.0 35.0 5.0 4.0 3.0
180 35.0 35.0 5.0 4.0 3.0
181 35.0 35.0 5.0 4.0 3.0
182 35.0 35.0 5.0 4.0 3.0
183 35.0 35.0 5.0 4.0 3.0
184 35.0 35.0 5.0 4.0 3.0
185 35.0 35.0 5.0 4.0 3.0
186 35.0 35.0 5.0 4.0 3.0
187 35.0 35.0 5.0 4.0 3.0
188 35.0 35.0 5.0 4.0 3.0
189 35.0 35.0 5.0 4.0 3.0
190 35.0 35.0 5.0 4.0 3.0
191 35.0 35.0 5.0 4.0 3.0
192 41.0 41.0 4.0 3.0 4.0
193 41.0 41.0 4.0 3.0 4.0
194 41.0 41.0 4.0 3.0 4.0
195 41.0 41.0 4.0 3.0 4.0
196 41.0 41.0 4.0 3.0 4.0
197 41.0 41.0 4.0 3.0 4.0
198 41.0 41.0 4.0 3.0 4.0
199 41.0 41.0 4.0 3.0 4.0
200 41.0 41.0 4.0 3.0 4.0
201 41.0 41.0 4.0 3.0 4.0
202 41.0 41.0 4.0 3.0 4.0
203 41.0 41.0 4.0 3.0 4.0
204 41.0 41.0 4.0 3.0 4.0
205 41.0 41.0 4.0 3.0 4.0
206 41.0 41.0 4.0 3.0 4.0
207 41.0 41.0 4.0 3.0 4.0
208 41.0 41.0 4.0 3.0 4.0
209 41.0 41.0 4.0 3.0 4.0
210 41.0 41.0 4.0 3.0 4.0
211 41.0 41.0 4.0 3.0 4.0
212 41.0 41.0 4.0 3.0 4.0
213 41.0 41.0 4.0 3.0 4.0
214 41.0 41.0 4.0 3.0 4.0
215 41.0 41.0 4.0 3.0 4.0
216 41.0 41.0 4.0 3.0 4.0
217 41.0 41.0 4.0 3.0 4.0
218 41.0 41.0 4.0 3.0 4.0
219 41.0 41.0 4.0 3.0 4.0
220 41.0 41.0 4.0 3.0 4.0
221 41.0 41.0 4.0 3.0 4.0
222 41.0 41.0 4.0 3.0 4.0
223 41.0 41.0 4.0 3.0 4.0
224 41.0 41.0 4.0 3.0 4.0
225 41.0 41.0 4.0 3.0 4.0
226 41.0 41.0 4.0 3.0 4.0
227 41.0 41.0 4.0 3.0 4.0
228 41.0 41.0 4.0 3.0 4.0
229 41.0 41.0 4.0 3.0 4.0
230 41.0 41.0 4.0 3.0 4.0
231 41.0 41.0 4.0 3.0 4.0
232 41.0 41.0 4.0 3.0 4.0
233 41.0 41.0 4.0 3.0 4.0
234 41.0 41.0 4.0 3.0 4.0
235 41.0 41.0 4.0 3.0 4.0
236 42.0 42.0 3.0 2.0 4.0
237 42.0 42.0 3.0 2.0 4.0
238 42.0 42.0 3.0 2.0 4.0
239 42.0 42.0 3.0 2.0 4.0
240 42.0 42.0 3.0 2.0 4.0
241 42.0 42.0 3.0 2.0 4.0
242 42.0 42.0 3.0 2.0 4.0
243 42.0 42.0 3.0 2.0 4.0
244 42.0 42.0 3.0 2.0 4.0
245 42.0 42.0 3.0 2.0 4.0
246 42.0 42.0 3.0 2.0 4.0
247 42.0 42.0 3.0 2.0 4.0
248 42.0 42.0 3.0 2.0 4.0
249 42.0 42.0 3.0 2.0 4.0
250 42.0 42.0 3.0 2.0 4.0
251 42.0 42.0 3.0 2.0 4.0
252 42.0 42.0 3.0 2.0 4.0
253 42.0 42.0 3.0 2.0 4.0
254 42.0 42.0 3.0 2.0 4.0
255 42.0 42.0 3.0 2.0 4.0
256 42.0 42.0 3.0 2.0 4.0
257 42.0 42.0 3.0 2.0 4.0
258 42.0 42.0 3.0 2.0 4.0
259 42.0 42.0 3.0 2.0 4.0
260 42.0 42.0 3.0 2.0 4.0
261 42.0 42.0 3.0 2.0 4.0
262 42.0 42.0 3.0 2.0 4.0
263 42.0 42.0 3.0 2.0 4.0
264 42.0 42.0 3.0 2.0 4.0
265 42.0 42.0 3.0 2.0 4.0
266 42.0 42.0 3.0 2.0 4.0
267 42.0 42.0 3.0 2.0 4.0
268 42.0 42.0 3.0 2.0 4.0
269 42.0 42.0 3.0 2.0 4.0
270 42.0 42.0 3.0 2.0 4.0
271 42.0 42.0 3.0 2.0 4.0
272 42.0 42.0 3.0 2.0 4.0
273 42.0 42.0 3.0 2.0 4.0
274 42.0 42.0 3.0 2.0 4.0
275 42.0 42.0 3.0 2.0 4.0
276 42.0 42.0 3.0 2.0 4.0
277 42.0 42.0 3.0 2.0 4.0
278 42.0 42.0 3.0 2.0 4.0
279 42.0 42.0 3.0 2.0 4.0
280 42.0 42.0 3.0 2.0 4.0
281 42.0 42.0 3.0 2.0 4.0
282 42.0 42.0 3.0 2.0 4.0
283 42.0 42.0 3.0 2.0 4.0
284 42.0 42.0 3.0 2.0 4.0
285 42.0 42.0 3.0 2.0 4.0
286 42.0 42.0 3.0 2.0 4.0
287 42.0 42.0 3.0 2.0 4.0
288 42.0 42.0 3.0 2.0 4.0
289 42.0 42.0 3.0 2.0 4.0
290 42.0 42.0 3.0 2.0 4.0
291 42.0 42.0 3.0 2.0 4.0
292 42.0 42.0 3.0 2.0 4.0
293 42.0 42.0 3.0 2.0 4.0
294 42.0 42.0 3.0 2.0 4.0
295 42.0 42.0 3.0 2.0 4.0
296 42.0 42.0 3.0 2.0 4.0
297 42.0 42.0 3.0 2.0 4.0
298 42.0 42.0 3.0 2.0 4.0
299 42.0 42.0 3.0 2.0 4.0
300 42.0 42.0 3.0 2.0 4.0
301 42.0 42.0 3.0 2.0 4.0
302 42.0 42.0 3.0 2.0 4.0
303 42.0 42.0 3.0 2.0 4.0
304 42.0 42.0 3.0 2.0 4.0
305 42.0 42.0 3.0 2.0 4.0
306 42.0 42.0 3.0 2.0 4.0
307 42.0 42.0 3.0 2.0 4.0
308 42.0 42.0 3.0 2.0 4.0
309 42.0 42.0 3.0 2.0 4.0
310 42.0 42.0 3.0 2.0 4.0
311 42.0 42.0 3.0 2.0 4.0
312 42.0 42.0 3.0 2.0 4.0
313 42.0 42.0 3.0 2.0 4.0
314 42.0 42.0 3.0 2.0 4.0
315 42.0 42.0 3.0 2.0 4.0
316 42.0 42.0 3.0 2.0 4.0
317 42.0 42.0 3.0 2.0 4.0
318 42.0 42.0 3.0 2.0 4.0
319 42.0 42.0 3.0 2.0 4.0
320 42.0 42.0 3.0 2.0 4.0
321 42.0 42.0 3.0 2.0 4.0
322 42.0 42.0 3.0 2.0 4.0
323 42.0 42.0 3.0 2.0 4.0
324 42.0 42.0 3.0 2.0 4.0
325 42.0 42.0 3.0 2.0 4.0
326 42.0 42.0 3.0 2.0 4.0
327 42.0 42.0 3.0 2.0 4.0
328 42.0 42.0 3.0 2.0 4.0
329 42.0 42.0 3.0 2.0 4.0
330 42.0 42.0 3.0 2.0 4.0
331 42.0 42.0 3.0 2.0 4.0
332 42.0 42.0 3.0 2.0 4.0
333 42.0 42.0 3.0 2.0 4.0
334 42.0 42.0 3.0 2.0 4.0
335 42.0 42.0 3.0 2.0 4.0
336 42.0 42.0 3.0 2.0 4.0
337 42.0 42.0 3.0 2.0 4.0
338 42.0 42.0 3.0 2.0 4.0
339 42.0 42.0 3.0 2.0 4.0
340 42.0 42.0 3.0 2.0 4.0
341 42.0 42.0 3.0 2.0 4.0
342 42.0 42.0 3.0 2.0 4.0
343 42.0 42.0 3.0 2.0 4.0
344 42.0 42.0 3.0 2.0 4.0
345 42.0 42.0 3.0 2.0 4.0
346 42.0 42.0 3.0 2.0 4.0
347 42.0 42.0 3.0 2.0 4.0
348 42.0 42.0 3.0 2.0 4.0
349 42.0 42.0 3.0 2.0 4.0
350 42.0 42.0 3.0 2.0 4.0
351 42.0 42.0 3.0 2.0 4.0
352 42.0 42.0 3.0 2.0 4.0
353 42.0 42.0 3.0 2.0 4.0
354 42.0 42.0 3.0 2.0 4.0
355 42.0 42.0 3.0 2.0 4.0
356 42.0 42.0 3.0 2.0 4.0
357 42.0 42.0 3.0 2.0 4.0
358 42.0 42.0 3.0 2.0 4.0
359 42.0 42.0 3.0 2.0 4.0
360 42.0 42.0 3.0 2.0 4.0
361 42.0 42.0 3.0 2.0 4.0
362 42.0 42.0 3.0 2.0 4.0
363 42.0 42.0 3.0 2.0 4.0
364 42.0 42.0 3.0 2.0 4.0
365 42.0 42.0 3.0 2.0 4.0
366 42.0 42.0 3.0 2.0 4.0
367 42.0 42.0 3.0 2.0 4.0
368 42.0 42.0 3.0 2.0 4.0
369 42.0 42.0 3.0 2.0 4.0
370 42.0 42.0 3.0 2.0 4.0
371 42.0 42.0 3.0 2.0 4.0
372 42.0 42.0 3.0 2.0 4.0
373 42.0 42.0 3.0 2.0 4.0
374 42.0 42.0 3.0 2.0 4.0
375 42.0 42.0 3.0 2.0 4.0
376 42.0 42.0 3.0 2.0 4.0
377 42.0 42.0 3.0 2.0 4.0
378 42.0 42.0 3.0 2.0 4.0
379 42.0 42.0 3.0 2.0 4.0
380 42.0 42.0 3.0 2.0 4.0
381 42.0 42.0 3.0 2.0 4.0
382 42.0 42.0 3.0 2.0 4.0
383 42.0 42.0 3.0 2.0 4.0
384 42.0 42.0 3.0 2.0 4.0
385 42.0 42.0 3.0 2.0 4.0
386 42.0 42.0 3.0 2.0 4.0
387 42.0 42.0 3.0 2.0 4.0
388 42.0 42.0 3.0 2.0 4.0
389 42.0 42.0 3.0 2.0 4.0
