gen HV HVnoDiscount fitness_notKilledMutants notKilledNonEqMutants fitness_testSuiteSize
1 46.0 46.0 3.0 3.0 4.0
2 46.0 46.0 3.0 3.0 4.0
3 46.0 46.0 3.0 3.0 4.0
4 46.0 46.0 3.0 3.0 4.0
5 48.0 48.0 2.0 2.0 4.0
6 48.0 48.0 2.0 2.0 4.0
7 51.0 51.0 2.0 2.0 4.0
8 51.0 51.0 2.0 2.0 4.0
9 51.0 51.0 2.0 2.0 4.0
10 55.0 55.0 2.0 2.0 4.0
11 55.0 55.0 2.0 2.0 4.0
12 55.0 55.0 2.0 2.0 4.0
13 55.0 55.0 2.0 2.0 4.0
14 55.0 55.0 2.0 2.0 4.0
15 55.0 55.0 2.0 2.0 4.0
16 55.0 55.0 2.0 2.0 4.0
17 55.0 55.0 2.0 2.0 4.0
18 55.0 55.0 2.0 2.0 4.0
19 55.0 55.0 2.0 2.0 4.0
20 55.0 55.0 2.0 2.0 4.0
21 55.0 55.0 2.0 2.0 4.0
22 55.0 55.0 2.0 2.0 4.0
23 55.0 55.0 2.0 2.0 4.0
24 55.0 55.0 2.0 2.0 4.0
25 55.0 55.0 2.0 2.0 4.0
26 55.0 55.0 2.0 2.0 4.0
27 55.0 55.0 2.0 2.0 4.0
28 55.0 55.0 2.0 2.0 4.0
29 55.0 55.0 2.0 2.0 4.0
30 55.0 55.0 2.0 2.0 4.0
31 55.0 55.0 2.0 2.0 4.0
32 55.0 55.0 2.0 2.0 4.0
33 55.0 55.0 2.0 2.0 4.0
34 55.0 55.0 2.0 2.0 4.0
35 55.0 55.0 2.0 2.0 4.0
36 55.0 55.0 2.0 2.0 4.0
37 55.0 55.0 2.0 2.0 4.0
38 55.0 55.0 2.0 2.0 4.0
39 60.0 60.0 0.0 0.0 4.0
40 60.0 60.0 0.0 0.0 4.0
41 67.0 67.0 0.0 0.0 4.0
42 69.0 69.0 0.0 0.0 4.0
43 69.0 69.0 0.0 0.0 4.0
44 69.0 69.0 0.0 0.0 4.0
45 69.0 69.0 0.0 0.0 4.0
46 69.0 69.0 0.0 0.0 4.0
47 69.0 69.0 0.0 0.0 4.0
48 69.0 69.0 0.0 0.0 4.0
49 69.0 69.0 0.0 0.0 4.0
50 69.0 69.0 0.0 0.0 4.0
51 69.0 69.0 0.0 0.0 4.0
52 69.0 69.0 0.0 0.0 4.0
53 69.0 69.0 0.0 0.0 4.0
54 69.0 69.0 0.0 0.0 4.0
55 69.0 69.0 0.0 0.0 4.0
56 69.0 69.0 0.0 0.0 4.0
57 69.0 69.0 0.0 0.0 4.0
58 69.0 69.0 0.0 0.0 4.0
59 69.0 69.0 0.0 0.0 4.0
60 69.0 69.0 0.0 0.0 4.0
61 69.0 69.0 0.0 0.0 4.0
