gen HV HVnoDiscount fitness_notKilledMutants notKilledNonEqMutants fitness_testSuiteSize
1 0.0 0.0 10.0 7.0 2.0
2 0.0 0.0 10.0 7.0 2.0
3 0.0 0.0 10.0 7.0 2.0
4 0.0 0.0 10.0 7.0 2.0
5 0.0 0.0 10.0 7.0 2.0
6 0.0 0.0 10.0 7.0 2.0
7 0.0 0.0 10.0 7.0 2.0
8 0.0 0.0 10.0 7.0 2.0
9 0.0 0.0 10.0 7.0 2.0
10 0.0 0.0 10.0 7.0 2.0
11 0.0 0.0 10.0 7.0 2.0
12 0.0 0.0 10.0 7.0 2.0
13 7.0 7.0 9.0 6.0 3.0
14 7.0 7.0 9.0 6.0 3.0
15 7.0 7.0 9.0 6.0 3.0
16 7.0 7.0 9.0 6.0 3.0
17 7.0 7.0 9.0 6.0 3.0
18 7.0 7.0 9.0 6.0 3.0
19 7.0 7.0 9.0 6.0 3.0
20 7.0 7.0 9.0 6.0 3.0
21 7.0 7.0 9.0 6.0 3.0
22 7.0 7.0 9.0 6.0 3.0
23 7.0 7.0 9.0 6.0 3.0
24 7.0 7.0 9.0 6.0 3.0
25 7.0 7.0 9.0 6.0 3.0
26 7.0 7.0 9.0 6.0 3.0
27 7.0 7.0 9.0 6.0 3.0
28 14.0 14.0 8.0 5.0 3.0
29 14.0 14.0 8.0 5.0 3.0
30 21.0 21.0 7.0 4.0 3.0
31 21.0 21.0 7.0 4.0 3.0
32 21.0 21.0 7.0 4.0 3.0
33 21.0 21.0 7.0 4.0 3.0
34 21.0 21.0 7.0 4.0 3.0
35 21.0 21.0 7.0 4.0 3.0
36 21.0 21.0 7.0 4.0 3.0
37 21.0 21.0 7.0 4.0 3.0
38 21.0 21.0 7.0 4.0 3.0
39 21.0 21.0 7.0 4.0 3.0
40 21.0 21.0 7.0 4.0 3.0
41 21.0 21.0 7.0 4.0 3.0
42 21.0 21.0 7.0 4.0 3.0
43 21.0 21.0 7.0 4.0 3.0
44 21.0 21.0 7.0 4.0 3.0
45 21.0 21.0 7.0 4.0 3.0
46 21.0 21.0 7.0 4.0 3.0
47 21.0 21.0 7.0 4.0 3.0
48 21.0 21.0 7.0 4.0 3.0
49 21.0 21.0 7.0 4.0 3.0
50 21.0 21.0 7.0 4.0 3.0
51 28.0 28.0 6.0 3.0 3.0
52 28.0 28.0 6.0 3.0 3.0
53 28.0 28.0 6.0 3.0 3.0
54 28.0 28.0 6.0 3.0 3.0
55 28.0 28.0 6.0 3.0 3.0
56 28.0 28.0 6.0 3.0 3.0
57 28.0 28.0 6.0 3.0 3.0
58 28.0 28.0 6.0 3.0 3.0
59 29.0 29.0 6.0 3.0 3.0
60 29.0 29.0 6.0 3.0 3.0
61 29.0 29.0 6.0 3.0 3.0
62 29.0 29.0 6.0 3.0 3.0
63 29.0 29.0 6.0 3.0 3.0
64 29.0 29.0 6.0 3.0 3.0
65 29.0 29.0 6.0 3.0 3.0
66 29.0 29.0 6.0 3.0 3.0
67 29.0 29.0 6.0 3.0 3.0
68 29.0 29.0 6.0 3.0 3.0
69 29.0 29.0 6.0 3.0 3.0
70 29.0 29.0 6.0 3.0 3.0
71 29.0 29.0 6.0 3.0 3.0
72 29.0 29.0 6.0 3.0 3.0
73 29.0 29.0 6.0 3.0 3.0
74 29.0 29.0 6.0 3.0 3.0
75 29.0 29.0 6.0 3.0 3.0
76 29.0 29.0 6.0 3.0 3.0
77 29.0 29.0 6.0 3.0 3.0
78 29.0 29.0 6.0 3.0 3.0
79 29.0 29.0 6.0 3.0 3.0
80 29.0 29.0 6.0 3.0 3.0
81 29.0 29.0 6.0 3.0 3.0
82 29.0 29.0 6.0 3.0 3.0
83 49.0 49.0 3.0 0.0 3.0
84 49.0 49.0 3.0 0.0 3.0
85 49.0 49.0 3.0 0.0 3.0
86 49.0 49.0 3.0 0.0 3.0
87 49.0 49.0 3.0 0.0 3.0
88 49.0 49.0 3.0 0.0 3.0
89 49.0 49.0 3.0 0.0 3.0
90 49.0 49.0 3.0 0.0 3.0
91 49.0 49.0 3.0 0.0 3.0
92 49.0 49.0 3.0 0.0 3.0
93 49.0 49.0 3.0 0.0 3.0
94 49.0 49.0 3.0 0.0 3.0
95 49.0 49.0 3.0 0.0 3.0
96 49.0 49.0 3.0 0.0 3.0
97 49.0 49.0 3.0 0.0 3.0
98 49.0 49.0 3.0 0.0 3.0
99 49.0 49.0 3.0 0.0 3.0
100 49.0 49.0 3.0 0.0 3.0
101 49.0 49.0 3.0 0.0 3.0
102 49.0 49.0 3.0 0.0 3.0
103 49.0 49.0 3.0 0.0 3.0
104 49.0 49.0 3.0 0.0 3.0
105 49.0 49.0 3.0 0.0 3.0
106 49.0 49.0 3.0 0.0 3.0
107 49.0 49.0 3.0 0.0 3.0
108 49.0 49.0 3.0 0.0 3.0
109 49.0 49.0 3.0 0.0 3.0
110 49.0 49.0 3.0 0.0 3.0
111 49.0 49.0 3.0 0.0 3.0
112 49.0 49.0 3.0 0.0 3.0
113 49.0 49.0 3.0 0.0 3.0
114 49.0 49.0 3.0 0.0 3.0
115 49.0 49.0 3.0 0.0 3.0
116 49.0 49.0 3.0 0.0 3.0
117 49.0 49.0 3.0 0.0 3.0
118 49.0 49.0 3.0 0.0 3.0
119 49.0 49.0 3.0 0.0 3.0
120 49.0 49.0 3.0 0.0 3.0
121 49.0 49.0 3.0 0.0 3.0
122 49.0 49.0 3.0 0.0 3.0
123 49.0 49.0 3.0 0.0 3.0
124 49.0 49.0 3.0 0.0 3.0
125 49.0 49.0 3.0 0.0 3.0
126 49.0 49.0 3.0 0.0 3.0
127 49.0 49.0 3.0 0.0 3.0
128 49.0 49.0 3.0 0.0 3.0
129 49.0 49.0 3.0 0.0 3.0
130 49.0 49.0 3.0 0.0 3.0
131 49.0 49.0 3.0 0.0 3.0
132 49.0 49.0 3.0 0.0 3.0
133 49.0 49.0 3.0 0.0 3.0
134 49.0 49.0 3.0 0.0 3.0
135 49.0 49.0 3.0 0.0 3.0
136 49.0 49.0 3.0 0.0 3.0
137 49.0 49.0 3.0 0.0 3.0
138 49.0 49.0 3.0 0.0 3.0
139 49.0 49.0 3.0 0.0 3.0
140 49.0 49.0 3.0 0.0 3.0
141 49.0 49.0 3.0 0.0 3.0
142 49.0 49.0 3.0 0.0 3.0
