gen HV HVnoDiscount fitness_notKilledMutants notKilledNonEqMutants fitness_testSuiteSize
1 35.0 35.0 4.0 4.0 5.0
2 35.0 35.0 4.0 4.0 5.0
3 35.0 35.0 4.0 4.0 5.0
4 35.0 35.0 4.0 4.0 5.0
5 35.0 35.0 4.0 4.0 5.0
6 35.0 35.0 4.0 4.0 5.0
7 35.0 35.0 3.0 3.0 5.0
8 35.0 35.0 3.0 3.0 5.0
9 35.0 35.0 3.0 3.0 5.0
10 35.0 35.0 3.0 3.0 5.0
11 35.0 35.0 3.0 3.0 5.0
12 35.0 35.0 3.0 3.0 5.0
13 35.0 35.0 3.0 3.0 5.0
14 35.0 35.0 3.0 3.0 5.0
15 35.0 35.0 3.0 3.0 5.0
16 35.0 35.0 3.0 3.0 5.0
17 35.0 35.0 3.0 3.0 5.0
18 35.0 35.0 3.0 3.0 5.0
19 35.0 35.0 3.0 3.0 5.0
20 35.0 35.0 3.0 3.0 5.0
21 35.0 35.0 3.0 3.0 5.0
22 35.0 35.0 3.0 3.0 5.0
23 35.0 35.0 3.0 3.0 5.0
24 35.0 35.0 3.0 3.0 5.0
25 35.0 35.0 3.0 3.0 5.0
26 35.0 35.0 3.0 3.0 5.0
27 35.0 35.0 3.0 3.0 5.0
28 35.0 35.0 3.0 3.0 5.0
29 35.0 35.0 3.0 3.0 5.0
30 35.0 35.0 3.0 3.0 5.0
31 35.0 35.0 3.0 3.0 5.0
32 35.0 35.0 3.0 3.0 5.0
33 35.0 35.0 3.0 3.0 5.0
34 35.0 35.0 3.0 3.0 5.0
35 35.0 35.0 3.0 3.0 5.0
36 35.0 35.0 3.0 3.0 5.0
37 35.0 35.0 3.0 3.0 5.0
38 35.0 35.0 3.0 3.0 5.0
39 35.0 35.0 3.0 3.0 5.0
40 35.0 35.0 3.0 3.0 5.0
41 35.0 35.0 3.0 3.0 5.0
42 35.0 35.0 3.0 3.0 5.0
43 35.0 35.0 3.0 3.0 5.0
44 35.0 35.0 3.0 3.0 5.0
45 35.0 35.0 3.0 3.0 5.0
46 35.0 35.0 3.0 3.0 5.0
47 35.0 35.0 3.0 3.0 5.0
48 35.0 35.0 3.0 3.0 5.0
49 39.0 39.0 2.0 2.0 6.0
50 39.0 39.0 2.0 2.0 6.0
51 39.0 39.0 2.0 2.0 6.0
52 39.0 39.0 2.0 2.0 6.0
53 40.0 40.0 2.0 2.0 6.0
54 40.0 40.0 2.0 2.0 6.0
55 44.0 44.0 0.0 0.0 6.0
56 44.0 44.0 0.0 0.0 6.0
57 44.0 44.0 0.0 0.0 6.0
58 44.0 44.0 0.0 0.0 6.0
59 44.0 44.0 0.0 0.0 6.0
60 44.0 44.0 0.0 0.0 6.0
61 44.0 44.0 0.0 0.0 6.0
62 80.0 80.0 0.0 0.0 2.0
63 80.0 80.0 0.0 0.0 2.0
64 80.0 80.0 0.0 0.0 2.0
65 80.0 80.0 0.0 0.0 2.0
66 80.0 80.0 0.0 0.0 2.0
67 80.0 80.0 0.0 0.0 2.0
68 80.0 80.0 0.0 0.0 2.0
69 80.0 80.0 0.0 0.0 2.0
70 80.0 80.0 0.0 0.0 2.0
71 80.0 80.0 0.0 0.0 2.0
72 80.0 80.0 0.0 0.0 2.0
73 80.0 80.0 0.0 0.0 2.0
74 80.0 80.0 0.0 0.0 2.0
75 80.0 80.0 0.0 0.0 2.0
76 80.0 80.0 0.0 0.0 2.0
77 80.0 80.0 0.0 0.0 2.0
78 80.0 80.0 0.0 0.0 2.0
79 80.0 80.0 0.0 0.0 2.0
80 80.0 80.0 0.0 0.0 2.0
81 80.0 80.0 0.0 0.0 2.0
82 80.0 80.0 0.0 0.0 2.0
83 80.0 80.0 0.0 0.0 2.0
84 80.0 80.0 0.0 0.0 2.0
85 80.0 80.0 0.0 0.0 2.0
86 80.0 80.0 0.0 0.0 2.0
87 80.0 80.0 0.0 0.0 2.0
88 80.0 80.0 0.0 0.0 2.0
89 80.0 80.0 0.0 0.0 2.0
90 80.0 80.0 0.0 0.0 2.0
91 80.0 80.0 0.0 0.0 2.0
92 80.0 80.0 0.0 0.0 2.0
93 80.0 80.0 0.0 0.0 2.0
94 80.0 80.0 0.0 0.0 2.0
95 80.0 80.0 0.0 0.0 2.0
96 80.0 80.0 0.0 0.0 2.0
97 80.0 80.0 0.0 0.0 2.0
98 80.0 80.0 0.0 0.0 2.0
99 80.0 80.0 0.0 0.0 2.0
100 80.0 80.0 0.0 0.0 2.0
101 80.0 80.0 0.0 0.0 2.0
102 80.0 80.0 0.0 0.0 2.0
103 80.0 80.0 0.0 0.0 2.0
104 80.0 80.0 0.0 0.0 2.0
105 80.0 80.0 0.0 0.0 2.0
106 80.0 80.0 0.0 0.0 2.0
107 80.0 80.0 0.0 0.0 2.0
108 80.0 80.0 0.0 0.0 2.0
109 80.0 80.0 0.0 0.0 2.0
110 80.0 80.0 0.0 0.0 2.0
111 80.0 80.0 0.0 0.0 2.0
112 80.0 80.0 0.0 0.0 2.0
113 80.0 80.0 0.0 0.0 2.0
114 80.0 80.0 0.0 0.0 2.0
115 80.0 80.0 0.0 0.0 2.0
116 80.0 80.0 0.0 0.0 2.0
117 80.0 80.0 0.0 0.0 2.0
118 80.0 80.0 0.0 0.0 2.0
119 80.0 80.0 0.0 0.0 2.0
120 80.0 80.0 0.0 0.0 2.0
121 80.0 80.0 0.0 0.0 2.0
122 80.0 80.0 0.0 0.0 2.0
123 80.0 80.0 0.0 0.0 2.0
124 80.0 80.0 0.0 0.0 2.0
125 80.0 80.0 0.0 0.0 2.0
126 80.0 80.0 0.0 0.0 2.0
127 80.0 80.0 0.0 0.0 2.0
128 80.0 80.0 0.0 0.0 2.0
129 80.0 80.0 0.0 0.0 2.0
130 80.0 80.0 0.0 0.0 2.0
131 80.0 80.0 0.0 0.0 2.0
132 80.0 80.0 0.0 0.0 2.0
133 80.0 80.0 0.0 0.0 2.0
134 80.0 80.0 0.0 0.0 2.0
135 80.0 80.0 0.0 0.0 2.0
136 80.0 80.0 0.0 0.0 2.0
137 80.0 80.0 0.0 0.0 2.0
138 80.0 80.0 0.0 0.0 2.0
139 80.0 80.0 0.0 0.0 2.0
140 80.0 80.0 0.0 0.0 2.0
141 80.0 80.0 0.0 0.0 2.0
142 80.0 80.0 0.0 0.0 2.0
143 80.0 80.0 0.0 0.0 2.0
144 80.0 80.0 0.0 0.0 2.0
145 80.0 80.0 0.0 0.0 2.0
146 80.0 80.0 0.0 0.0 2.0
147 80.0 80.0 0.0 0.0 2.0
148 80.0 80.0 0.0 0.0 2.0
149 80.0 80.0 0.0 0.0 2.0
150 80.0 80.0 0.0 0.0 2.0
151 80.0 80.0 0.0 0.0 2.0
152 80.0 80.0 0.0 0.0 2.0
153 80.0 80.0 0.0 0.0 2.0
154 80.0 80.0 0.0 0.0 2.0
155 80.0 80.0 0.0 0.0 2.0
156 80.0 80.0 0.0 0.0 2.0
157 80.0 80.0 0.0 0.0 2.0
158 80.0 80.0 0.0 0.0 2.0
159 80.0 80.0 0.0 0.0 2.0
160 80.0 80.0 0.0 0.0 2.0
161 80.0 80.0 0.0 0.0 2.0
162 80.0 80.0 0.0 0.0 2.0
163 80.0 80.0 0.0 0.0 2.0
164 80.0 80.0 0.0 0.0 2.0
165 80.0 80.0 0.0 0.0 2.0
166 80.0 80.0 0.0 0.0 2.0
167 80.0 80.0 0.0 0.0 2.0
168 80.0 80.0 0.0 0.0 2.0
169 80.0 80.0 0.0 0.0 2.0
170 80.0 80.0 0.0 0.0 2.0
171 80.0 80.0 0.0 0.0 2.0
172 80.0 80.0 0.0 0.0 2.0
173 80.0 80.0 0.0 0.0 2.0
174 80.0 80.0 0.0 0.0 2.0
175 80.0 80.0 0.0 0.0 2.0
176 80.0 80.0 0.0 0.0 2.0
177 80.0 80.0 0.0 0.0 2.0
178 80.0 80.0 0.0 0.0 2.0
179 80.0 80.0 0.0 0.0 2.0
180 80.0 80.0 0.0 0.0 2.0
181 80.0 80.0 0.0 0.0 2.0
182 80.0 80.0 0.0 0.0 2.0
183 80.0 80.0 0.0 0.0 2.0
184 80.0 80.0 0.0 0.0 2.0
185 80.0 80.0 0.0 0.0 2.0
186 80.0 80.0 0.0 0.0 2.0
187 80.0 80.0 0.0 0.0 2.0
188 80.0 80.0 0.0 0.0 2.0
189 80.0 80.0 0.0 0.0 2.0
190 80.0 80.0 0.0 0.0 2.0
191 80.0 80.0 0.0 0.0 2.0
192 80.0 80.0 0.0 0.0 2.0
193 80.0 80.0 0.0 0.0 2.0
194 80.0 80.0 0.0 0.0 2.0
195 80.0 80.0 0.0 0.0 2.0
196 80.0 80.0 0.0 0.0 2.0
197 80.0 80.0 0.0 0.0 2.0
198 80.0 80.0 0.0 0.0 2.0
199 80.0 80.0 0.0 0.0 2.0
200 80.0 80.0 0.0 0.0 2.0
201 80.0 80.0 0.0 0.0 2.0
202 80.0 80.0 0.0 0.0 2.0
203 80.0 80.0 0.0 0.0 2.0
204 80.0 80.0 0.0 0.0 2.0
205 80.0 80.0 0.0 0.0 2.0
206 80.0 80.0 0.0 0.0 2.0
207 80.0 80.0 0.0 0.0 2.0
208 80.0 80.0 0.0 0.0 2.0
209 80.0 80.0 0.0 0.0 2.0
210 80.0 80.0 0.0 0.0 2.0
211 80.0 80.0 0.0 0.0 2.0
212 80.0 80.0 0.0 0.0 2.0
213 80.0 80.0 0.0 0.0 2.0
214 80.0 80.0 0.0 0.0 2.0
215 80.0 80.0 0.0 0.0 2.0
216 80.0 80.0 0.0 0.0 2.0
217 80.0 80.0 0.0 0.0 2.0
218 80.0 80.0 0.0 0.0 2.0
219 80.0 80.0 0.0 0.0 2.0
220 80.0 80.0 0.0 0.0 2.0
221 80.0 80.0 0.0 0.0 2.0
222 80.0 80.0 0.0 0.0 2.0
223 80.0 80.0 0.0 0.0 2.0
224 80.0 80.0 0.0 0.0 2.0
225 80.0 80.0 0.0 0.0 2.0
226 80.0 80.0 0.0 0.0 2.0
227 80.0 80.0 0.0 0.0 2.0
228 80.0 80.0 0.0 0.0 2.0
229 80.0 80.0 0.0 0.0 2.0
230 80.0 80.0 0.0 0.0 2.0
231 80.0 80.0 0.0 0.0 2.0
232 80.0 80.0 0.0 0.0 2.0
233 80.0 80.0 0.0 0.0 2.0
234 80.0 80.0 0.0 0.0 2.0
235 80.0 80.0 0.0 0.0 2.0
236 80.0 80.0 0.0 0.0 2.0
237 80.0 80.0 0.0 0.0 2.0
238 80.0 80.0 0.0 0.0 2.0
239 80.0 80.0 0.0 0.0 2.0
240 80.0 80.0 0.0 0.0 2.0
241 80.0 80.0 0.0 0.0 2.0
242 80.0 80.0 0.0 0.0 2.0
243 80.0 80.0 0.0 0.0 2.0
244 80.0 80.0 0.0 0.0 2.0
245 80.0 80.0 0.0 0.0 2.0
246 80.0 80.0 0.0 0.0 2.0
247 80.0 80.0 0.0 0.0 2.0
248 80.0 80.0 0.0 0.0 2.0
249 80.0 80.0 0.0 0.0 2.0
250 80.0 80.0 0.0 0.0 2.0
251 80.0 80.0 0.0 0.0 2.0
252 80.0 80.0 0.0 0.0 2.0
253 80.0 80.0 0.0 0.0 2.0
254 80.0 80.0 0.0 0.0 2.0
255 80.0 80.0 0.0 0.0 2.0
256 80.0 80.0 0.0 0.0 2.0
257 80.0 80.0 0.0 0.0 2.0
258 80.0 80.0 0.0 0.0 2.0
259 80.0 80.0 0.0 0.0 2.0
260 80.0 80.0 0.0 0.0 2.0
261 80.0 80.0 0.0 0.0 2.0
262 80.0 80.0 0.0 0.0 2.0
263 80.0 80.0 0.0 0.0 2.0
264 80.0 80.0 0.0 0.0 2.0
265 80.0 80.0 0.0 0.0 2.0
266 80.0 80.0 0.0 0.0 2.0
267 80.0 80.0 0.0 0.0 2.0
268 80.0 80.0 0.0 0.0 2.0
269 80.0 80.0 0.0 0.0 2.0
270 80.0 80.0 0.0 0.0 2.0
271 80.0 80.0 0.0 0.0 2.0
272 80.0 80.0 0.0 0.0 2.0
273 80.0 80.0 0.0 0.0 2.0
274 80.0 80.0 0.0 0.0 2.0
275 80.0 80.0 0.0 0.0 2.0
276 80.0 80.0 0.0 0.0 2.0
277 80.0 80.0 0.0 0.0 2.0
278 80.0 80.0 0.0 0.0 2.0
279 80.0 80.0 0.0 0.0 2.0
280 80.0 80.0 0.0 0.0 2.0
281 80.0 80.0 0.0 0.0 2.0
282 80.0 80.0 0.0 0.0 2.0
283 80.0 80.0 0.0 0.0 2.0
284 80.0 80.0 0.0 0.0 2.0
285 80.0 80.0 0.0 0.0 2.0
286 80.0 80.0 0.0 0.0 2.0
287 80.0 80.0 0.0 0.0 2.0
288 80.0 80.0 0.0 0.0 2.0
289 80.0 80.0 0.0 0.0 2.0
290 80.0 80.0 0.0 0.0 2.0
291 80.0 80.0 0.0 0.0 2.0
292 80.0 80.0 0.0 0.0 2.0
293 80.0 80.0 0.0 0.0 2.0
294 80.0 80.0 0.0 0.0 2.0
295 80.0 80.0 0.0 0.0 2.0
296 80.0 80.0 0.0 0.0 2.0
297 80.0 80.0 0.0 0.0 2.0
298 80.0 80.0 0.0 0.0 2.0
299 80.0 80.0 0.0 0.0 2.0
300 80.0 80.0 0.0 0.0 2.0
301 80.0 80.0 0.0 0.0 2.0
302 80.0 80.0 0.0 0.0 2.0
303 80.0 80.0 0.0 0.0 2.0
304 80.0 80.0 0.0 0.0 2.0
305 80.0 80.0 0.0 0.0 2.0
306 80.0 80.0 0.0 0.0 2.0
307 80.0 80.0 0.0 0.0 2.0
308 80.0 80.0 0.0 0.0 2.0
309 80.0 80.0 0.0 0.0 2.0
310 80.0 80.0 0.0 0.0 2.0
311 80.0 80.0 0.0 0.0 2.0
312 80.0 80.0 0.0 0.0 2.0
313 80.0 80.0 0.0 0.0 2.0
314 80.0 80.0 0.0 0.0 2.0
315 80.0 80.0 0.0 0.0 2.0
316 80.0 80.0 0.0 0.0 2.0
317 80.0 80.0 0.0 0.0 2.0
318 80.0 80.0 0.0 0.0 2.0
319 80.0 80.0 0.0 0.0 2.0
320 80.0 80.0 0.0 0.0 2.0
321 80.0 80.0 0.0 0.0 2.0
322 80.0 80.0 0.0 0.0 2.0
323 80.0 80.0 0.0 0.0 2.0
324 80.0 80.0 0.0 0.0 2.0
325 80.0 80.0 0.0 0.0 2.0
326 80.0 80.0 0.0 0.0 2.0
327 80.0 80.0 0.0 0.0 2.0
328 80.0 80.0 0.0 0.0 2.0
329 80.0 80.0 0.0 0.0 2.0
330 80.0 80.0 0.0 0.0 2.0
331 80.0 80.0 0.0 0.0 2.0
332 80.0 80.0 0.0 0.0 2.0
333 80.0 80.0 0.0 0.0 2.0
334 80.0 80.0 0.0 0.0 2.0
335 80.0 80.0 0.0 0.0 2.0
336 80.0 80.0 0.0 0.0 2.0
337 80.0 80.0 0.0 0.0 2.0
338 80.0 80.0 0.0 0.0 2.0
339 80.0 80.0 0.0 0.0 2.0
340 80.0 80.0 0.0 0.0 2.0
341 80.0 80.0 0.0 0.0 2.0
342 80.0 80.0 0.0 0.0 2.0
343 80.0 80.0 0.0 0.0 2.0
344 80.0 80.0 0.0 0.0 2.0
345 80.0 80.0 0.0 0.0 2.0
346 80.0 80.0 0.0 0.0 2.0
347 80.0 80.0 0.0 0.0 2.0
348 80.0 80.0 0.0 0.0 2.0
349 80.0 80.0 0.0 0.0 2.0
350 80.0 80.0 0.0 0.0 2.0
351 80.0 80.0 0.0 0.0 2.0
352 80.0 80.0 0.0 0.0 2.0
353 80.0 80.0 0.0 0.0 2.0
354 80.0 80.0 0.0 0.0 2.0
355 80.0 80.0 0.0 0.0 2.0
356 80.0 80.0 0.0 0.0 2.0
357 80.0 80.0 0.0 0.0 2.0
358 80.0 80.0 0.0 0.0 2.0
359 80.0 80.0 0.0 0.0 2.0
360 80.0 80.0 0.0 0.0 2.0
361 80.0 80.0 0.0 0.0 2.0
362 80.0 80.0 0.0 0.0 2.0
363 80.0 80.0 0.0 0.0 2.0
364 80.0 80.0 0.0 0.0 2.0
365 80.0 80.0 0.0 0.0 2.0
366 80.0 80.0 0.0 0.0 2.0
367 80.0 80.0 0.0 0.0 2.0
368 80.0 80.0 0.0 0.0 2.0
369 80.0 80.0 0.0 0.0 2.0
370 80.0 80.0 0.0 0.0 2.0
371 80.0 80.0 0.0 0.0 2.0
372 80.0 80.0 0.0 0.0 2.0
373 80.0 80.0 0.0 0.0 2.0
374 80.0 80.0 0.0 0.0 2.0
375 80.0 80.0 0.0 0.0 2.0
376 80.0 80.0 0.0 0.0 2.0
