gen HV HVnoDiscount fitness_notKilledMutants notKilledNonEqMutants fitness_testSuiteSize
1 16.0 16.0 6.0 5.0 6.0
2 16.0 16.0 6.0 5.0 6.0
3 16.0 16.0 6.0 5.0 6.0
4 16.0 16.0 6.0 5.0 6.0
5 16.0 16.0 6.0 5.0 6.0
6 16.0 16.0 6.0 5.0 6.0
7 16.0 16.0 6.0 5.0 6.0
8 16.0 16.0 6.0 5.0 6.0
9 16.0 16.0 6.0 5.0 6.0
10 16.0 16.0 6.0 5.0 6.0
11 16.0 16.0 6.0 5.0 6.0
12 16.0 16.0 6.0 5.0 6.0
13 16.0 16.0 6.0 5.0 6.0
14 16.0 16.0 6.0 5.0 6.0
15 16.0 16.0 6.0 5.0 6.0
16 16.0 16.0 6.0 5.0 6.0
17 16.0 16.0 6.0 5.0 6.0
18 16.0 16.0 6.0 5.0 6.0
19 16.0 16.0 6.0 5.0 6.0
20 16.0 16.0 6.0 5.0 6.0
21 16.0 16.0 6.0 5.0 6.0
22 16.0 16.0 6.0 5.0 6.0
23 16.0 16.0 6.0 5.0 6.0
24 16.0 16.0 6.0 5.0 6.0
25 16.0 16.0 6.0 5.0 6.0
26 16.0 16.0 6.0 5.0 6.0
27 16.0 16.0 6.0 5.0 6.0
28 16.0 16.0 6.0 5.0 6.0
29 16.0 16.0 6.0 5.0 6.0
30 16.0 16.0 6.0 5.0 6.0
31 16.0 16.0 6.0 5.0 6.0
32 16.0 16.0 6.0 5.0 6.0
33 16.0 16.0 6.0 5.0 6.0
34 16.0 16.0 6.0 5.0 6.0
35 16.0 16.0 6.0 5.0 6.0
36 16.0 16.0 6.0 5.0 6.0
37 16.0 16.0 6.0 5.0 6.0
38 16.0 16.0 6.0 5.0 6.0
39 16.0 16.0 6.0 5.0 6.0
40 16.0 16.0 6.0 5.0 6.0
41 16.0 16.0 6.0 5.0 6.0
42 16.0 16.0 6.0 5.0 6.0
43 16.0 16.0 6.0 5.0 6.0
44 16.0 16.0 6.0 5.0 6.0
45 16.0 16.0 6.0 5.0 6.0
46 16.0 16.0 6.0 5.0 6.0
47 16.0 16.0 6.0 5.0 6.0
48 16.0 16.0 6.0 5.0 6.0
49 16.0 16.0 6.0 5.0 6.0
50 16.0 16.0 6.0 5.0 6.0
51 16.0 16.0 6.0 5.0 6.0
52 16.0 16.0 6.0 5.0 6.0
53 16.0 16.0 6.0 5.0 6.0
54 16.0 16.0 6.0 5.0 6.0
55 16.0 16.0 6.0 5.0 6.0
56 16.0 16.0 6.0 5.0 6.0
57 16.0 16.0 6.0 5.0 6.0
58 16.0 16.0 6.0 5.0 6.0
59 16.0 16.0 6.0 5.0 6.0
60 16.0 16.0 6.0 5.0 6.0
61 16.0 16.0 6.0 5.0 6.0
62 16.0 16.0 6.0 5.0 6.0
63 16.0 16.0 6.0 5.0 6.0
64 16.0 16.0 6.0 5.0 6.0
65 16.0 16.0 6.0 5.0 6.0
66 16.0 16.0 6.0 5.0 6.0
67 16.0 16.0 6.0 5.0 6.0
68 16.0 16.0 6.0 5.0 6.0
69 16.0 16.0 6.0 5.0 6.0
70 16.0 16.0 6.0 5.0 6.0
71 16.0 16.0 6.0 5.0 6.0
72 16.0 16.0 6.0 5.0 6.0
73 16.0 16.0 6.0 5.0 6.0
74 16.0 16.0 6.0 5.0 6.0
75 16.0 16.0 6.0 5.0 6.0
76 16.0 16.0 6.0 5.0 6.0
77 16.0 16.0 6.0 5.0 6.0
78 16.0 16.0 6.0 5.0 6.0
79 16.0 16.0 6.0 5.0 6.0
80 16.0 16.0 6.0 5.0 6.0
81 16.0 16.0 6.0 5.0 6.0
82 16.0 16.0 6.0 5.0 6.0
83 16.0 16.0 6.0 5.0 6.0
84 16.0 16.0 6.0 5.0 6.0
85 16.0 16.0 6.0 5.0 6.0
86 16.0 16.0 6.0 5.0 6.0
87 16.0 16.0 6.0 5.0 6.0
88 16.0 16.0 6.0 5.0 6.0
89 16.0 16.0 6.0 5.0 6.0
90 16.0 16.0 6.0 5.0 6.0
91 16.0 16.0 6.0 5.0 6.0
92 16.0 16.0 6.0 5.0 6.0
93 16.0 16.0 6.0 5.0 6.0
94 16.0 16.0 6.0 5.0 6.0
95 16.0 16.0 6.0 5.0 6.0
96 16.0 16.0 6.0 5.0 6.0
97 16.0 16.0 6.0 5.0 6.0
98 16.0 16.0 6.0 5.0 6.0
99 16.0 16.0 6.0 5.0 6.0
100 16.0 16.0 6.0 5.0 6.0
101 16.0 16.0 6.0 5.0 6.0
102 16.0 16.0 6.0 5.0 6.0
103 16.0 16.0 6.0 5.0 6.0
104 16.0 16.0 6.0 5.0 6.0
105 16.0 16.0 6.0 5.0 6.0
106 16.0 16.0 6.0 5.0 6.0
107 16.0 16.0 6.0 5.0 6.0
108 16.0 16.0 6.0 5.0 6.0
109 16.0 16.0 6.0 5.0 6.0
110 16.0 16.0 6.0 5.0 6.0
111 16.0 16.0 6.0 5.0 6.0
112 16.0 16.0 6.0 5.0 6.0
113 16.0 16.0 6.0 5.0 6.0
114 16.0 16.0 6.0 5.0 6.0
115 20.0 20.0 5.0 4.0 6.0
116 28.0 28.0 5.0 4.0 6.0
117 28.0 28.0 5.0 4.0 6.0
118 28.0 28.0 5.0 4.0 6.0
119 28.0 28.0 5.0 4.0 6.0
120 28.0 28.0 5.0 4.0 6.0
121 28.0 28.0 5.0 4.0 6.0
122 28.0 28.0 5.0 4.0 6.0
123 28.0 28.0 5.0 4.0 6.0
124 28.0 28.0 5.0 4.0 6.0
125 28.0 28.0 5.0 4.0 6.0
126 28.0 28.0 5.0 4.0 6.0
127 28.0 28.0 5.0 4.0 6.0
128 28.0 28.0 5.0 4.0 6.0
129 28.0 28.0 5.0 4.0 6.0
130 28.0 28.0 5.0 4.0 6.0
131 28.0 28.0 5.0 4.0 6.0
132 28.0 28.0 5.0 4.0 6.0
133 28.0 28.0 5.0 4.0 6.0
134 28.0 28.0 5.0 4.0 6.0
135 28.0 28.0 5.0 4.0 6.0
136 28.0 28.0 5.0 4.0 6.0
137 28.0 28.0 5.0 4.0 6.0
138 28.0 28.0 5.0 4.0 6.0
139 28.0 28.0 5.0 4.0 6.0
140 28.0 28.0 5.0 4.0 6.0
141 28.0 28.0 5.0 4.0 6.0
142 28.0 28.0 5.0 4.0 6.0
143 28.0 28.0 5.0 4.0 6.0
144 28.0 28.0 5.0 4.0 6.0
145 28.0 28.0 5.0 4.0 6.0
146 28.0 28.0 5.0 4.0 6.0
147 28.0 28.0 5.0 4.0 6.0
148 28.0 28.0 5.0 4.0 6.0
149 28.0 28.0 5.0 4.0 6.0
150 28.0 28.0 5.0 4.0 6.0
151 28.0 28.0 5.0 4.0 6.0
152 28.0 28.0 5.0 4.0 6.0
153 28.0 28.0 5.0 4.0 6.0
154 28.0 28.0 5.0 4.0 6.0
155 28.0 28.0 5.0 4.0 6.0
156 28.0 28.0 5.0 4.0 6.0
157 28.0 28.0 5.0 4.0 6.0
158 28.0 28.0 5.0 4.0 6.0
159 28.0 28.0 5.0 4.0 6.0
160 28.0 28.0 5.0 4.0 6.0
161 28.0 28.0 5.0 4.0 6.0
162 28.0 28.0 5.0 4.0 6.0
163 28.0 28.0 5.0 4.0 6.0
164 28.0 28.0 5.0 4.0 6.0
165 28.0 28.0 5.0 4.0 6.0
166 28.0 28.0 5.0 4.0 6.0
167 28.0 28.0 5.0 4.0 6.0
168 28.0 28.0 5.0 4.0 6.0
169 28.0 28.0 5.0 4.0 6.0
170 28.0 28.0 5.0 4.0 6.0
171 28.0 28.0 5.0 4.0 6.0
172 28.0 28.0 5.0 4.0 6.0
173 28.0 28.0 5.0 4.0 6.0
174 28.0 28.0 5.0 4.0 6.0
175 28.0 28.0 5.0 4.0 6.0
176 28.0 28.0 5.0 4.0 6.0
177 28.0 28.0 5.0 4.0 6.0
178 28.0 28.0 5.0 4.0 6.0
179 28.0 28.0 5.0 4.0 6.0
180 28.0 28.0 5.0 4.0 6.0
181 28.0 28.0 5.0 4.0 6.0
182 28.0 28.0 5.0 4.0 6.0
183 28.0 28.0 5.0 4.0 6.0
184 28.0 28.0 5.0 4.0 6.0
185 28.0 28.0 5.0 4.0 6.0
186 28.0 28.0 5.0 4.0 6.0
187 28.0 28.0 5.0 4.0 6.0
188 28.0 28.0 5.0 4.0 6.0
189 28.0 28.0 5.0 4.0 6.0
190 28.0 28.0 5.0 4.0 6.0
191 28.0 28.0 5.0 4.0 6.0
192 28.0 28.0 5.0 4.0 6.0
193 28.0 28.0 5.0 4.0 6.0
194 28.0 28.0 5.0 4.0 6.0
195 28.0 28.0 5.0 4.0 6.0
196 28.0 28.0 5.0 4.0 6.0
197 28.0 28.0 5.0 4.0 6.0
198 28.0 28.0 5.0 4.0 6.0
199 28.0 28.0 5.0 4.0 6.0
