gen HV HVnoDiscount fitness_notKilledMutants notKilledNonEqMutants fitness_testSuiteSize
1 68.0 68.0 0.0 0.0 5.0
2 68.0 68.0 0.0 0.0 5.0
3 68.0 68.0 0.0 0.0 5.0
4 68.0 68.0 0.0 0.0 5.0
5 68.0 68.0 0.0 0.0 5.0
6 68.0 68.0 0.0 0.0 5.0
7 68.0 68.0 0.0 0.0 5.0
8 68.0 68.0 0.0 0.0 5.0
9 68.0 68.0 0.0 0.0 5.0
10 68.0 68.0 0.0 0.0 5.0
11 68.0 68.0 0.0 0.0 5.0
12 68.0 68.0 0.0 0.0 5.0
13 68.0 68.0 0.0 0.0 5.0
14 68.0 68.0 0.0 0.0 5.0
15 68.0 68.0 0.0 0.0 5.0
16 68.0 68.0 0.0 0.0 5.0
17 68.0 68.0 0.0 0.0 5.0
18 68.0 68.0 0.0 0.0 5.0
19 68.0 68.0 0.0 0.0 5.0
20 68.0 68.0 0.0 0.0 5.0
21 68.0 68.0 0.0 0.0 5.0
22 68.0 68.0 0.0 0.0 5.0
23 68.0 68.0 0.0 0.0 5.0
24 68.0 68.0 0.0 0.0 5.0
25 68.0 68.0 0.0 0.0 5.0
26 68.0 68.0 0.0 0.0 5.0
27 68.0 68.0 0.0 0.0 5.0
28 68.0 68.0 0.0 0.0 5.0
29 68.0 68.0 0.0 0.0 5.0
30 68.0 68.0 0.0 0.0 5.0
31 68.0 68.0 0.0 0.0 5.0
32 68.0 68.0 0.0 0.0 5.0
33 68.0 68.0 0.0 0.0 5.0
34 68.0 68.0 0.0 0.0 5.0
35 68.0 68.0 0.0 0.0 5.0
36 68.0 68.0 0.0 0.0 5.0
37 68.0 68.0 0.0 0.0 5.0
38 68.0 68.0 0.0 0.0 5.0
39 68.0 68.0 0.0 0.0 5.0
40 68.0 68.0 0.0 0.0 5.0
41 68.0 68.0 0.0 0.0 5.0
42 68.0 68.0 0.0 0.0 5.0
43 68.0 68.0 0.0 0.0 5.0
44 68.0 68.0 0.0 0.0 5.0
45 68.0 68.0 0.0 0.0 5.0
46 68.0 68.0 0.0 0.0 5.0
47 68.0 68.0 0.0 0.0 5.0
48 68.0 68.0 0.0 0.0 5.0
49 68.0 68.0 0.0 0.0 5.0
50 68.0 68.0 0.0 0.0 5.0
51 68.0 68.0 0.0 0.0 5.0
52 68.0 68.0 0.0 0.0 5.0
53 68.0 68.0 0.0 0.0 5.0
54 68.0 68.0 0.0 0.0 5.0
55 68.0 68.0 0.0 0.0 5.0
56 68.0 68.0 0.0 0.0 5.0
57 68.0 68.0 0.0 0.0 5.0
58 68.0 68.0 0.0 0.0 5.0
59 68.0 68.0 0.0 0.0 5.0
60 68.0 68.0 0.0 0.0 5.0
61 68.0 68.0 0.0 0.0 5.0
62 68.0 68.0 0.0 0.0 5.0
63 68.0 68.0 0.0 0.0 5.0
64 68.0 68.0 0.0 0.0 5.0
65 68.0 68.0 0.0 0.0 5.0
66 68.0 68.0 0.0 0.0 5.0
67 68.0 68.0 0.0 0.0 5.0
68 68.0 68.0 0.0 0.0 5.0
69 68.0 68.0 0.0 0.0 5.0
70 68.0 68.0 0.0 0.0 5.0
