gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
1 4 1 4 1 1 0.1
1 2 4 15 4 4 0.4
1 5 0 20 0 0 0.0
1 3 2 27 2 2 0.2
2 4 0 50 0 0 0.0
3 2 1 50 1 1 0.1
3 1 5 50 5 5 0.5
4 4 0 50 0 0 0.0
5 4 0 53 0 0 0.0
6 4 0 56 0 0 0.0
7 4 0 57 0 0 0.0
8 4 0 65 0 0 0.0
9 4 0 68 0 0 0.0
10 4 0 74 0 0 0.0
11 4 0 76 0 0 0.0
12 4 0 79 0 0 0.0
13 4 0 80 0 0 0.0
14 4 0 83 0 0 0.0
15 4 0 91 0 0 0.0
16 4 0 94 0 0 0.0
17 4 0 99 0 0 0.0
18 4 0 103 0 0 0.0
19 4 0 106 0 0 0.0
20 4 0 109 0 0 0.0
21 4 0 111 0 0 0.0
22 4 0 116 0 0 0.0
23 4 0 116 0 0 0.0
24 4 0 118 0 0 0.0
25 4 0 121 0 0 0.0
26 4 0 124 0 0 0.0
27 4 0 127 0 0 0.0
28 4 0 129 0 0 0.0
29 4 0 134 0 0 0.0
30 4 0 140 0 0 0.0
31 4 0 145 0 0 0.0
32 4 0 148 0 0 0.0
33 4 0 153 0 0 0.0
34 4 0 160 0 0 0.0
35 4 0 162 0 0 0.0
36 4 0 164 0 0 0.0
37 4 0 166 0 0 0.0
38 4 0 168 0 0 0.0
39 4 0 174 0 0 0.0
40 4 0 178 0 0 0.0
41 4 0 182 0 0 0.0
42 4 0 183 0 0 0.0
43 4 0 185 0 0 0.0
44 4 0 188 0 0 0.0
45 4 0 191 0 0 0.0
46 4 0 193 0 0 0.0
47 4 0 196 0 0 0.0
48 4 0 202 0 0 0.0
49 4 0 204 0 0 0.0
50 4 0 207 0 0 0.0
51 4 0 210 0 0 0.0
52 4 0 212 0 0 0.0
53 4 0 219 0 0 0.0
54 4 0 221 0 0 0.0
55 4 0 224 0 0 0.0
