gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
1 3 8 24 8 8 0.8
1 4 6 31 6 6 0.6
2 3 5 51 5 5 0.5
3 2 5 53 5 5 0.5
4 2 3 56 3 3 0.3
5 2 3 57 3 3 0.3
6 2 3 59 3 3 0.3
6 1 8 61 8 8 0.8
7 1 6 61 6 6 0.6
7 2 3 61 3 3 0.3
8 2 3 61 3 3 0.3
9 2 3 64 3 3 0.3
10 2 3 67 3 3 0.3
10 1 6 70 6 6 0.6
11 2 3 71 3 3 0.3
11 1 6 72 6 6 0.6
12 2 3 74 3 3 0.3
13 2 3 74 3 3 0.3
13 1 6 74 6 6 0.6
14 2 3 74 3 3 0.3
14 1 6 77 6 6 0.6
15 2 3 77 3 3 0.3
16 2 3 79 3 3 0.3
16 3 2 79 2 2 0.2
17 1 6 79 6 6 0.6
18 1 6 80 6 6 0.6
19 1 6 80 6 6 0.6
20 1 6 81 6 6 0.6
20 2 5 83 5 5 0.5
21 1 6 83 6 6 0.6
22 1 6 83 6 6 0.6
23 1 6 83 6 6 0.6
24 1 6 86 6 6 0.6
25 1 6 86 6 6 0.6
25 2 3 87 3 3 0.3
26 1 6 87 6 6 0.6
27 1 6 88 6 6 0.6
27 2 1 89 1 1 0.1
28 1 6 89 6 6 0.6
29 1 6 89 6 6 0.6
29 2 4 90 4 4 0.4
30 1 6 92 6 6 0.6
31 1 6 92 6 6 0.6
32 1 6 92 6 6 0.6
33 1 6 93 6 6 0.6
34 1 6 93 6 6 0.6
35 1 5 96 5 5 0.5
36 2 1 96 1 1 0.1
37 2 1 98 1 1 0.1
37 1 6 98 6 6 0.6
38 2 1 98 1 1 0.1
38 1 3 98 3 3 0.3
39 2 1 99 1 1 0.1
40 2 1 99 1 1 0.1
40 1 6 99 6 6 0.6
41 2 1 102 1 1 0.1
42 2 1 102 1 1 0.1
43 2 1 104 1 1 0.1
44 2 1 106 1 1 0.1
44 1 6 106 6 6 0.6
45 2 1 106 1 1 0.1
46 2 1 107 1 1 0.1
47 2 1 110 1 1 0.1
47 1 6 110 6 6 0.6
48 2 1 112 1 1 0.1
49 2 1 113 1 1 0.1
49 1 6 114 6 6 0.6
50 2 1 114 1 1 0.1
50 1 10 115 10 10 1.0
51 2 1 116 1 1 0.1
51 1 6 118 6 6 0.6
52 1 6 119 6 6 0.6
52 2 1 120 1 1 0.1
53 2 1 121 1 1 0.1
53 1 6 123 6 6 0.6
54 2 1 123 1 1 0.1
55 2 1 123 1 1 0.1
56 2 1 125 1 1 0.1
56 1 3 125 3 3 0.3
57 2 1 125 1 1 0.1
57 1 6 126 6 6 0.6
58 2 1 129 1 1 0.1
59 2 1 129 1 1 0.1
60 2 1 132 1 1 0.1
60 1 6 132 6 6 0.6
61 2 1 132 1 1 0.1
61 1 6 132 6 6 0.6
62 2 1 132 1 1 0.1
62 1 6 132 6 6 0.6
63 2 1 132 1 1 0.1
63 1 6 132 6 6 0.6
64 2 1 135 1 1 0.1
65 2 1 137 1 1 0.1
66 2 1 137 1 1 0.1
67 2 1 137 1 1 0.1
67 1 9 138 9 9 0.9
68 2 1 138 1 1 0.1
68 1 6 138 6 6 0.6
69 2 1 138 1 1 0.1
69 1 6 138 6 6 0.6
70 2 1 138 1 1 0.1
70 1 6 138 6 6 0.6
71 2 1 139 1 1 0.1
72 2 1 139 1 1 0.1
73 2 1 141 1 1 0.1
73 1 6 142 6 6 0.6
74 2 1 142 1 1 0.1
74 1 6 142 6 6 0.6
75 2 1 143 1 1 0.1
75 1 6 143 6 6 0.6
76 2 1 144 1 1 0.1
77 2 1 144 1 1 0.1
77 1 6 145 6 6 0.6
78 2 1 145 1 1 0.1
79 2 1 148 1 1 0.1
79 1 6 148 6 6 0.6
80 2 1 148 1 1 0.1
81 2 1 148 1 1 0.1
82 2 1 148 1 1 0.1
83 2 1 149 1 1 0.1
84 2 1 149 1 1 0.1
85 2 1 150 1 1 0.1
86 2 1 153 1 1 0.1
86 1 3 153 3 3 0.3
87 2 1 154 1 1 0.1
87 1 6 154 6 6 0.6
88 2 1 155 1 1 0.1
89 2 1 155 1 1 0.1
89 1 6 155 6 6 0.6
90 2 1 158 1 1 0.1
90 1 6 158 6 6 0.6
91 2 1 159 1 1 0.1
92 2 1 160 1 1 0.1
93 1 6 160 6 6 0.6
93 2 1 160 1 1 0.1
94 2 1 161 1 1 0.1
95 2 1 163 1 1 0.1
96 2 1 164 1 1 0.1
97 2 1 164 1 1 0.1
98 2 1 165 1 1 0.1
98 1 6 165 6 6 0.6
99 2 1 166 1 1 0.1
100 2 1 166 1 1 0.1
101 2 1 167 1 1 0.1
102 2 1 169 1 1 0.1
102 1 6 170 6 6 0.6
103 2 1 170 1 1 0.1
104 2 1 173 1 1 0.1
104 1 10 176 10 10 1.0
105 2 1 176 1 1 0.1
106 2 1 176 1 1 0.1
106 1 6 176 6 6 0.6
107 2 1 178 1 1 0.1
108 2 1 179 1 1 0.1
109 2 1 180 1 1 0.1
110 2 1 180 1 1 0.1
111 2 1 181 1 1 0.1
112 2 1 182 1 1 0.1
112 1 6 182 6 6 0.6
113 2 1 182 1 1 0.1
113 1 6 182 6 6 0.6
114 2 1 182 1 1 0.1
115 2 1 184 1 1 0.1
116 2 1 184 1 1 0.1
117 2 1 186 1 1 0.1
117 3 0 187 0 0 0.0
118 1 3 187 3 3 0.3
118 0 10 187 10 10 1.0
119 3 0 187 0 0 0.0
119 2 1 187 1 1 0.1
120 3 0 188 0 0 0.0
121 3 0 191 0 0 0.0
122 3 0 192 0 0 0.0
123 1 8 194 8 8 0.8
123 3 0 194 0 0 0.0
123 2 4 194 4 4 0.4
124 3 0 195 0 0 0.0
125 3 0 198 0 0 0.0
125 2 1 198 1 1 0.1
126 3 0 198 0 0 0.0
126 2 1 199 1 1 0.1
127 3 0 199 0 0 0.0
128 3 0 202 0 0 0.0
128 2 1 202 1 1 0.1
129 3 0 202 0 0 0.0
130 3 0 203 0 0 0.0
130 1 6 203 6 6 0.6
131 3 0 205 0 0 0.0
132 3 0 206 0 0 0.0
132 2 3 207 3 3 0.3
133 3 0 207 0 0 0.0
134 3 0 208 0 0 0.0
134 2 1 208 1 1 0.1
135 2 1 209 1 1 0.1
135 3 0 209 0 0 0.0
136 3 0 212 0 0 0.0
136 2 4 213 4 4 0.4
137 3 0 213 0 0 0.0
138 3 0 214 0 0 0.0
138 2 1 214 1 1 0.1
139 3 0 214 0 0 0.0
140 3 0 214 0 0 0.0
140 2 4 216 4 4 0.4
141 3 0 216 0 0 0.0
142 3 0 217 0 0 0.0
142 2 4 217 4 4 0.4
143 3 0 218 0 0 0.0
143 2 1 218 1 1 0.1
144 3 0 218 0 0 0.0
145 3 0 219 0 0 0.0
146 3 0 219 0 0 0.0
146 2 1 220 1 1 0.1
147 2 4 221 4 4 0.4
147 3 0 221 0 0 0.0
148 2 1 221 1 1 0.1
148 3 0 221 0 0 0.0
149 3 0 221 0 0 0.0
150 3 0 222 0 0 0.0
150 2 4 222 4 4 0.4
151 3 0 222 0 0 0.0
152 3 0 223 0 0 0.0
152 2 4 223 4 4 0.4
