gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
1 7 9 37 9 6 0.8571428571428571
1 3 10 42 10 7 1.0
2 3 3 49 3 0 0.0
3 2 10 53 10 7 1.0
3 3 3 54 3 0 0.0
4 3 3 55 3 0 0.0
4 2 10 57 10 7 1.0
5 3 3 58 3 0 0.0
5 2 10 58 10 7 1.0
6 3 3 60 3 0 0.0
6 2 10 60 10 7 1.0
7 3 3 60 3 0 0.0
7 2 10 62 10 7 1.0
8 3 3 62 3 0 0.0
9 3 3 66 3 0 0.0
9 2 10 70 10 7 1.0
10 3 3 70 3 0 0.0
11 3 3 70 3 0 0.0
12 2 10 70 10 7 1.0
12 3 3 70 3 0 0.0
13 3 3 72 3 0 0.0
14 3 3 73 3 0 0.0
15 3 3 76 3 0 0.0
15 2 10 77 10 7 1.0
16 3 3 77 3 0 0.0
17 3 3 81 3 0 0.0
18 3 3 82 3 0 0.0
19 3 3 84 3 0 0.0
20 3 3 87 3 0 0.0
21 3 3 90 3 0 0.0
21 2 10 90 10 7 1.0
22 3 3 90 3 0 0.0
23 3 3 91 3 0 0.0
24 3 3 91 3 0 0.0
25 3 3 91 3 0 0.0
25 2 10 93 10 7 1.0
26 3 3 95 3 0 0.0
26 2 10 99 10 7 1.0
27 3 3 99 3 0 0.0
28 3 3 101 3 0 0.0
29 3 3 103 3 0 0.0
30 3 3 105 3 0 0.0
30 2 10 106 10 7 1.0
31 3 3 106 3 0 0.0
32 3 3 108 3 0 0.0
33 3 3 110 3 0 0.0
34 2 10 113 10 7 1.0
34 3 3 113 3 0 0.0
35 3 3 115 3 0 0.0
35 2 10 118 10 7 1.0
36 3 3 118 3 0 0.0
37 2 10 122 10 7 1.0
37 3 3 123 3 0 0.0
38 3 3 124 3 0 0.0
38 2 10 124 10 7 1.0
39 3 3 124 3 0 0.0
40 3 3 125 3 0 0.0
41 3 3 127 3 0 0.0
41 2 10 127 10 7 1.0
42 3 3 127 3 0 0.0
43 3 3 127 3 0 0.0
44 3 3 127 3 0 0.0
44 2 10 127 10 7 1.0
45 3 3 128 3 0 0.0
46 3 3 128 3 0 0.0
47 3 3 128 3 0 0.0
48 3 3 131 3 0 0.0
49 3 3 135 3 0 0.0
50 3 3 137 3 0 0.0
51 3 3 138 3 0 0.0
52 2 10 138 10 7 1.0
52 3 3 139 3 0 0.0
53 3 3 140 3 0 0.0
54 3 3 141 3 0 0.0
55 3 3 142 3 0 0.0
56 3 3 143 3 0 0.0
56 2 10 143 10 7 1.0
