gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
1 2 10 2 10 7 1.0
1 6 7 15 7 4 0.5714285714285714
1 4 9 41 9 6 0.8571428571428571
2 2 10 41 10 7 1.0
3 2 10 42 10 7 1.0
4 2 10 43 10 7 1.0
5 2 10 44 10 7 1.0
6 2 10 47 10 7 1.0
7 2 10 47 10 7 1.0
8 2 10 50 10 7 1.0
9 2 10 54 10 7 1.0
10 2 10 55 10 7 1.0
11 2 10 58 10 7 1.0
12 2 10 61 10 7 1.0
13 1 10 66 10 7 1.0
14 6 7 67 7 4 0.5714285714285714
15 6 7 73 7 4 0.5714285714285714
16 6 7 80 7 4 0.5714285714285714
16 5 10 88 10 7 1.0
17 5 8 89 8 5 0.7142857142857143
17 6 7 89 7 4 0.5714285714285714
18 6 7 96 7 4 0.5714285714285714
19 6 7 99 7 4 0.5714285714285714
20 6 7 103 7 4 0.5714285714285714
21 6 7 108 7 4 0.5714285714285714
22 6 7 112 7 4 0.5714285714285714
23 6 7 119 7 4 0.5714285714285714
23 5 8 120 8 5 0.7142857142857143
24 6 7 123 7 4 0.5714285714285714
25 5 7 128 7 4 0.5714285714285714
26 1 10 129 10 7 1.0
27 1 10 133 10 7 1.0
28 1 10 134 10 7 1.0
28 2 9 136 9 6 0.8571428571428571
29 1 10 137 10 7 1.0
30 1 10 137 10 7 1.0
31 1 9 138 9 6 0.8571428571428571
32 5 7 139 7 4 0.5714285714285714
33 5 7 142 7 4 0.5714285714285714
34 5 7 148 7 4 0.5714285714285714
35 5 7 152 7 4 0.5714285714285714
36 5 7 159 7 4 0.5714285714285714
36 4 9 160 9 6 0.8571428571428571
37 5 7 164 7 4 0.5714285714285714
38 5 7 169 7 4 0.5714285714285714
39 5 7 171 7 4 0.5714285714285714
40 5 7 173 7 4 0.5714285714285714
41 5 7 179 7 4 0.5714285714285714
42 5 7 182 7 4 0.5714285714285714
42 4 8 183 8 5 0.7142857142857143
43 5 7 186 7 4 0.5714285714285714
44 5 7 194 7 4 0.5714285714285714
44 4 8 199 8 5 0.7142857142857143
45 5 7 199 7 4 0.5714285714285714
46 5 7 202 7 4 0.5714285714285714
47 5 7 209 7 4 0.5714285714285714
48 5 7 215 7 4 0.5714285714285714
48 4 8 215 8 5 0.7142857142857143
49 5 7 219 7 4 0.5714285714285714
50 5 7 220 7 4 0.5714285714285714
50 4 8 223 8 5 0.7142857142857143
51 5 7 223 7 4 0.5714285714285714
52 5 7 224 7 4 0.5714285714285714
53 4 8 227 8 5 0.7142857142857143
53 5 7 228 7 4 0.5714285714285714
54 5 7 228 7 4 0.5714285714285714
55 5 7 231 7 4 0.5714285714285714
56 5 7 232 7 4 0.5714285714285714
57 5 7 235 7 4 0.5714285714285714
57 4 8 235 8 5 0.7142857142857143
58 5 7 236 7 4 0.5714285714285714
58 4 8 236 8 5 0.7142857142857143
59 5 7 239 7 4 0.5714285714285714
60 5 7 239 7 4 0.5714285714285714
61 5 7 244 7 4 0.5714285714285714
61 4 8 245 8 5 0.7142857142857143
62 5 7 245 7 4 0.5714285714285714
63 5 7 249 7 4 0.5714285714285714
64 5 7 252 7 4 0.5714285714285714
64 4 8 257 8 5 0.7142857142857143
65 5 7 258 7 4 0.5714285714285714
66 5 7 263 7 4 0.5714285714285714
67 5 7 266 7 4 0.5714285714285714
68 5 7 272 7 4 0.5714285714285714
68 4 8 274 8 5 0.7142857142857143
69 5 7 275 7 4 0.5714285714285714
70 5 7 278 7 4 0.5714285714285714
70 4 8 278 8 5 0.7142857142857143
71 5 7 280 7 4 0.5714285714285714
71 4 8 281 8 5 0.7142857142857143
72 5 7 281 7 4 0.5714285714285714
73 5 7 282 7 4 0.5714285714285714
73 4 9 290 9 6 0.8571428571428571
74 5 7 291 7 4 0.5714285714285714
74 4 8 295 8 5 0.7142857142857143
75 5 7 295 7 4 0.5714285714285714
76 5 7 296 7 4 0.5714285714285714
76 4 10 298 10 7 1.0
77 5 7 298 7 4 0.5714285714285714
78 5 7 304 7 4 0.5714285714285714
79 5 7 307 7 4 0.5714285714285714
80 5 7 310 7 4 0.5714285714285714
81 5 7 313 7 4 0.5714285714285714
81 6 6 314 6 3 0.42857142857142855
82 1 9 320 9 6 0.8571428571428571
83 1 9 321 9 6 0.8571428571428571
84 2 8 322 8 5 0.7142857142857143
84 1 9 322 9 6 0.8571428571428571
85 1 9 323 9 6 0.8571428571428571
86 1 9 325 9 6 0.8571428571428571
87 1 9 325 9 6 0.8571428571428571
87 2 7 326 7 4 0.5714285714285714
88 1 9 327 9 6 0.8571428571428571
89 1 9 329 9 6 0.8571428571428571
90 1 9 330 9 6 0.8571428571428571
91 1 9 330 9 6 0.8571428571428571
92 1 9 331 9 6 0.8571428571428571
93 1 9 335 9 6 0.8571428571428571
94 1 9 335 9 6 0.8571428571428571
95 1 9 335 9 6 0.8571428571428571
96 1 9 335 9 6 0.8571428571428571
97 1 9 336 9 6 0.8571428571428571
98 1 9 337 9 6 0.8571428571428571
99 1 9 338 9 6 0.8571428571428571
100 1 9 341 9 6 0.8571428571428571
101 1 9 342 9 6 0.8571428571428571
102 1 9 345 9 6 0.8571428571428571
103 1 9 347 9 6 0.8571428571428571
104 1 9 348 9 6 0.8571428571428571
105 1 9 348 9 6 0.8571428571428571
106 1 9 349 9 6 0.8571428571428571
107 1 9 349 9 6 0.8571428571428571
108 1 9 351 9 6 0.8571428571428571
109 1 9 352 9 6 0.8571428571428571
110 1 9 352 9 6 0.8571428571428571
111 1 9 353 9 6 0.8571428571428571
112 1 9 353 9 6 0.8571428571428571
113 1 9 354 9 6 0.8571428571428571
114 1 9 355 9 6 0.8571428571428571
115 1 9 356 9 6 0.8571428571428571
116 1 9 356 9 6 0.8571428571428571
117 1 9 356 9 6 0.8571428571428571
118 1 9 356 9 6 0.8571428571428571
119 1 9 357 9 6 0.8571428571428571
120 1 9 357 9 6 0.8571428571428571
121 1 9 357 9 6 0.8571428571428571
122 1 9 357 9 6 0.8571428571428571
122 2 8 358 8 5 0.7142857142857143
123 1 9 359 9 6 0.8571428571428571
124 1 9 361 9 6 0.8571428571428571
125 1 9 363 9 6 0.8571428571428571
126 1 9 363 9 6 0.8571428571428571
126 2 8 363 8 5 0.7142857142857143
127 1 9 363 9 6 0.8571428571428571
128 1 9 363 9 6 0.8571428571428571
129 1 9 365 9 6 0.8571428571428571
130 1 9 366 9 6 0.8571428571428571
131 1 9 367 9 6 0.8571428571428571
132 1 9 367 9 6 0.8571428571428571
133 1 9 367 9 6 0.8571428571428571
