gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
1 3 2 9 2 2 0.2
1 4 0 38 0 0 0.0
2 4 0 49 0 0 0.0
3 3 1 59 1 1 0.1
4 4 0 59 0 0 0.0
5 4 0 60 0 0 0.0
6 4 0 67 0 0 0.0
7 4 0 71 0 0 0.0
7 3 1 73 1 1 0.1
8 4 0 74 0 0 0.0
8 3 3 78 3 3 0.3
9 4 0 80 0 0 0.0
10 4 0 83 0 0 0.0
11 4 0 86 0 0 0.0
12 4 0 94 0 0 0.0
13 4 0 97 0 0 0.0
13 3 3 97 3 3 0.3
14 4 0 100 0 0 0.0
15 4 0 105 0 0 0.0
16 3 0 108 0 0 0.0
17 3 0 108 0 0 0.0
18 3 0 111 0 0 0.0
19 3 0 113 0 0 0.0
20 3 0 116 0 0 0.0
20 2 1 116 1 1 0.1
21 3 0 117 0 0 0.0
22 3 0 120 0 0 0.0
23 3 0 122 0 0 0.0
24 2 5 127 5 5 0.5
24 3 0 127 0 0 0.0
25 3 0 128 0 0 0.0
25 2 3 130 3 3 0.3
26 3 0 131 0 0 0.0
27 3 0 135 0 0 0.0
28 3 0 135 0 0 0.0
29 3 0 137 0 0 0.0
30 3 0 141 0 0 0.0
31 3 0 145 0 0 0.0
32 3 0 145 0 0 0.0
33 3 0 147 0 0 0.0
34 3 0 149 0 0 0.0
35 3 0 149 0 0 0.0
36 3 0 153 0 0 0.0
37 3 0 155 0 0 0.0
38 3 0 157 0 0 0.0
39 3 0 159 0 0 0.0
40 3 0 162 0 0 0.0
41 3 0 170 0 0 0.0
41 2 2 171 2 2 0.2
42 3 0 173 0 0 0.0
43 3 0 176 0 0 0.0
43 2 4 179 4 4 0.4
44 3 0 179 0 0 0.0
45 3 0 183 0 0 0.0
46 3 0 184 0 0 0.0
47 3 0 188 0 0 0.0
48 3 0 195 0 0 0.0
49 3 0 197 0 0 0.0
50 3 0 202 0 0 0.0
51 3 0 203 0 0 0.0
52 3 0 206 0 0 0.0
53 3 0 211 0 0 0.0
54 3 0 214 0 0 0.0
55 3 0 219 0 0 0.0
56 3 0 220 0 0 0.0
57 3 0 224 0 0 0.0
58 3 0 226 0 0 0.0
59 3 0 229 0 0 0.0
60 3 0 230 0 0 0.0
60 2 4 231 4 4 0.4
61 3 0 232 0 0 0.0
61 2 1 234 1 1 0.1
62 3 0 235 0 0 0.0
63 3 0 236 0 0 0.0
64 3 0 236 0 0 0.0
65 3 0 240 0 0 0.0
66 3 0 241 0 0 0.0
67 3 0 243 0 0 0.0
68 3 0 243 0 0 0.0
68 2 1 243 1 1 0.1
69 3 0 247 0 0 0.0
70 3 0 250 0 0 0.0
71 3 0 253 0 0 0.0
72 3 0 258 0 0 0.0
73 3 0 260 0 0 0.0
74 3 0 261 0 0 0.0
75 3 0 263 0 0 0.0
76 3 0 266 0 0 0.0
76 2 4 266 4 4 0.4
77 3 0 268 0 0 0.0
78 3 0 268 0 0 0.0
78 2 4 268 4 4 0.4
79 3 0 271 0 0 0.0
79 2 4 271 4 4 0.4
80 3 0 272 0 0 0.0
80 2 4 272 4 4 0.4
81 3 0 273 0 0 0.0
82 3 0 274 0 0 0.0
83 3 0 275 0 0 0.0
84 3 0 278 0 0 0.0
85 3 0 282 0 0 0.0
85 2 4 284 4 4 0.4
86 3 0 284 0 0 0.0
87 3 0 285 0 0 0.0
88 3 0 287 0 0 0.0
89 3 0 290 0 0 0.0
90 3 0 292 0 0 0.0
91 3 0 294 0 0 0.0
92 3 0 294 0 0 0.0
93 3 0 295 0 0 0.0
94 3 0 297 0 0 0.0
94 2 4 298 4 4 0.4
95 3 0 298 0 0 0.0
96 3 0 298 0 0 0.0
97 3 0 301 0 0 0.0
98 3 0 302 0 0 0.0
98 2 1 303 1 1 0.1
99 3 0 304 0 0 0.0
100 3 0 305 0 0 0.0
101 3 0 307 0 0 0.0
102 3 0 308 0 0 0.0
103 3 0 312 0 0 0.0
104 3 0 315 0 0 0.0
105 3 0 318 0 0 0.0
106 3 0 322 0 0 0.0
107 3 0 323 0 0 0.0
108 3 0 323 0 0 0.0
109 3 0 325 0 0 0.0
110 3 0 327 0 0 0.0
111 3 0 327 0 0 0.0
112 3 0 330 0 0 0.0
113 3 0 330 0 0 0.0
114 3 0 336 0 0 0.0
114 2 4 337 4 4 0.4
115 3 0 337 0 0 0.0
116 3 0 338 0 0 0.0
117 3 0 340 0 0 0.0
118 3 0 341 0 0 0.0
119 3 0 347 0 0 0.0
120 3 0 347 0 0 0.0
121 3 0 351 0 0 0.0
122 3 0 352 0 0 0.0
123 3 0 354 0 0 0.0
124 3 0 355 0 0 0.0
125 3 0 358 0 0 0.0
126 3 0 360 0 0 0.0
127 3 0 366 0 0 0.0
128 3 0 366 0 0 0.0
129 3 0 368 0 0 0.0
130 3 0 369 0 0 0.0
131 3 0 370 0 0 0.0
132 3 0 371 0 0 0.0
133 3 0 374 0 0 0.0
134 3 0 377 0 0 0.0
135 3 0 377 0 0 0.0
136 3 0 379 0 0 0.0
137 3 0 380 0 0 0.0
138 3 0 382 0 0 0.0
139 3 0 385 0 0 0.0
140 3 0 386 0 0 0.0
141 3 0 388 0 0 0.0
142 3 0 390 0 0 0.0
143 3 0 391 0 0 0.0
144 3 0 394 0 0 0.0
145 3 0 397 0 0 0.0
146 3 0 398 0 0 0.0
147 3 0 400 0 0 0.0
148 3 0 402 0 0 0.0
149 3 0 405 0 0 0.0
150 3 0 406 0 0 0.0
151 3 0 409 0 0 0.0
151 2 4 409 4 4 0.4
152 3 0 409 0 0 0.0
153 2 4 410 4 4 0.4
153 3 0 410 0 0 0.0
154 3 0 411 0 0 0.0
155 3 0 414 0 0 0.0
156 3 0 418 0 0 0.0
157 3 0 420 0 0 0.0
158 3 0 421 0 0 0.0
159 3 0 421 0 0 0.0
160 3 0 422 0 0 0.0
161 3 0 424 0 0 0.0
162 3 0 427 0 0 0.0
163 3 0 429 0 0 0.0
164 2 4 431 4 4 0.4
164 3 0 431 0 0 0.0
165 3 0 434 0 0 0.0
166 3 0 437 0 0 0.0
166 2 4 439 4 4 0.4
167 3 0 439 0 0 0.0
168 3 0 439 0 0 0.0
169 3 0 442 0 0 0.0
170 3 0 443 0 0 0.0
171 3 0 443 0 0 0.0
172 3 0 444 0 0 0.0
173 3 0 444 0 0 0.0
174 3 0 445 0 0 0.0
175 3 0 446 0 0 0.0
176 3 0 447 0 0 0.0
177 3 0 449 0 0 0.0
178 3 0 450 0 0 0.0
178 2 4 452 4 4 0.4
179 3 0 452 0 0 0.0
180 3 0 456 0 0 0.0
180 2 4 456 4 4 0.4
181 3 0 456 0 0 0.0
182 3 0 459 0 0 0.0
183 3 0 459 0 0 0.0
184 3 0 460 0 0 0.0
185 3 0 464 0 0 0.0
186 3 0 465 0 0 0.0
187 2 4 467 4 4 0.4
187 3 0 467 0 0 0.0
188 3 0 467 0 0 0.0
189 3 0 468 0 0 0.0
189 2 4 468 4 4 0.4
190 3 0 470 0 0 0.0
190 2 4 470 4 4 0.4
191 3 0 471 0 0 0.0
192 3 0 473 0 0 0.0
193 3 0 476 0 0 0.0
194 3 0 477 0 0 0.0
195 3 0 479 0 0 0.0
196 3 0 480 0 0 0.0
197 3 0 480 0 0 0.0
198 3 0 481 0 0 0.0
199 3 0 485 0 0 0.0
200 3 0 488 0 0 0.0
201 3 0 488 0 0 0.0
202 3 0 488 0 0 0.0
203 3 0 489 0 0 0.0
204 3 0 489 0 0 0.0
205 3 0 490 0 0 0.0
206 3 0 490 0 0 0.0
207 3 0 492 0 0 0.0
208 3 0 492 0 0 0.0
208 2 4 493 4 4 0.4
209 3 0 495 0 0 0.0
210 3 0 495 0 0 0.0
211 3 0 498 0 0 0.0
212 3 0 498 0 0 0.0
213 3 0 498 0 0 0.0
214 3 0 500 0 0 0.0
215 3 0 500 0 0 0.0
216 3 0 500 0 0 0.0
217 3 0 504 0 0 0.0
217 2 4 504 4 4 0.4
218 3 0 504 0 0 0.0
219 3 0 505 0 0 0.0
220 3 0 505 0 0 0.0
221 3 0 506 0 0 0.0
222 3 0 508 0 0 0.0
223 3 0 509 0 0 0.0
224 3 0 511 0 0 0.0
225 3 0 512 0 0 0.0
225 2 4 513 4 4 0.4
226 3 0 514 0 0 0.0
227 3 0 515 0 0 0.0
228 3 0 515 0 0 0.0
229 3 0 517 0 0 0.0
230 3 0 519 0 0 0.0
230 2 4 519 4 4 0.4
231 3 0 519 0 0 0.0
232 3 0 519 0 0 0.0
233 3 0 523 0 0 0.0
234 3 0 523 0 0 0.0
235 3 0 524 0 0 0.0
235 2 4 524 4 4 0.4
236 3 0 525 0 0 0.0
237 3 0 526 0 0 0.0
238 3 0 526 0 0 0.0
238 2 4 527 4 4 0.4
239 3 0 528 0 0 0.0
240 3 0 529 0 0 0.0
241 3 0 532 0 0 0.0
242 3 0 534 0 0 0.0
243 3 0 534 0 0 0.0
244 3 0 536 0 0 0.0
245 3 0 537 0 0 0.0
246 3 0 539 0 0 0.0
247 3 0 541 0 0 0.0
248 3 0 543 0 0 0.0
249 3 0 545 0 0 0.0
250 3 0 548 0 0 0.0
250 2 4 548 4 4 0.4
251 3 0 550 0 0 0.0
252 3 0 550 0 0 0.0
253 3 0 553 0 0 0.0
254 3 0 553 0 0 0.0
255 3 0 556 0 0 0.0
256 3 0 556 0 0 0.0
257 3 0 556 0 0 0.0
258 3 0 558 0 0 0.0
259 2 4 558 4 4 0.4
259 3 0 558 0 0 0.0
260 3 0 559 0 0 0.0
260 2 4 560 4 4 0.4
261 3 0 560 0 0 0.0
262 3 0 560 0 0 0.0
262 2 2 563 2 2 0.2
263 3 0 563 0 0 0.0
264 3 0 564 0 0 0.0
265 3 0 564 0 0 0.0
265 2 4 564 4 4 0.4
266 3 0 564 0 0 0.0
267 3 0 564 0 0 0.0
268 3 0 565 0 0 0.0
269 3 0 566 0 0 0.0
270 3 0 566 0 0 0.0
271 3 0 569 0 0 0.0
272 3 0 569 0 0 0.0
273 3 0 569 0 0 0.0
274 3 0 570 0 0 0.0
274 2 4 570 4 4 0.4
275 3 0 570 0 0 0.0
276 2 3 570 3 3 0.3
276 3 0 570 0 0 0.0
277 3 0 571 0 0 0.0
278 3 0 571 0 0 0.0
278 2 4 572 4 4 0.4
279 3 0 572 0 0 0.0
280 3 0 573 0 0 0.0
281 3 0 574 0 0 0.0
281 2 4 574 4 4 0.4
282 2 4 575 4 4 0.4
282 3 0 575 0 0 0.0
283 3 0 575 0 0 0.0
284 3 0 576 0 0 0.0
285 3 0 576 0 0 0.0
286 3 0 579 0 0 0.0
287 3 0 582 0 0 0.0
288 3 0 582 0 0 0.0
289 3 0 583 0 0 0.0
290 3 0 585 0 0 0.0
291 3 0 588 0 0 0.0
292 3 0 588 0 0 0.0
292 2 4 588 4 4 0.4
293 3 0 588 0 0 0.0
294 3 0 590 0 0 0.0
295 3 0 590 0 0 0.0
296 3 0 591 0 0 0.0
297 3 0 591 0 0 0.0
297 2 4 592 4 4 0.4
298 3 0 592 0 0 0.0
299 3 0 593 0 0 0.0
300 3 0 593 0 0 0.0
301 3 0 595 0 0 0.0
302 3 0 596 0 0 0.0
303 3 0 596 0 0 0.0
304 3 0 597 0 0 0.0
305 3 0 600 0 0 0.0
306 3 0 601 0 0 0.0
306 2 4 601 4 4 0.4
307 3 0 602 0 0 0.0
308 3 0 602 0 0 0.0
309 3 0 602 0 0 0.0
310 3 0 602 0 0 0.0
311 3 0 602 0 0 0.0
312 3 0 602 0 0 0.0
313 3 0 603 0 0 0.0
314 3 0 604 0 0 0.0
315 3 0 606 0 0 0.0
315 2 4 606 4 4 0.4
316 3 0 606 0 0 0.0
317 3 0 609 0 0 0.0
318 3 0 610 0 0 0.0
319 3 0 610 0 0 0.0
320 3 0 613 0 0 0.0
321 3 0 613 0 0 0.0
322 3 0 613 0 0 0.0
322 2 5 614 5 5 0.5
323 3 0 614 0 0 0.0
324 3 0 615 0 0 0.0
325 3 0 618 0 0 0.0
326 3 0 618 0 0 0.0
326 2 4 618 4 4 0.4
327 3 0 618 0 0 0.0
328 3 0 618 0 0 0.0
329 3 0 620 0 0 0.0
330 3 0 622 0 0 0.0
330 2 4 623 4 4 0.4
331 3 0 623 0 0 0.0
332 3 0 623 0 0 0.0
333 3 0 624 0 0 0.0
334 3 0 625 0 0 0.0
335 3 0 625 0 0 0.0
336 3 0 625 0 0 0.0
337 3 0 627 0 0 0.0
338 3 0 628 0 0 0.0
339 3 0 629 0 0 0.0
340 3 0 630 0 0 0.0
341 3 0 631 0 0 0.0
342 3 0 632 0 0 0.0
343 2 4 637 4 4 0.4
343 3 0 637 0 0 0.0
344 3 0 637 0 0 0.0
345 3 0 641 0 0 0.0
345 2 4 641 4 4 0.4
346 3 0 642 0 0 0.0
347 3 0 642 0 0 0.0
348 3 0 645 0 0 0.0
349 3 0 645 0 0 0.0
350 3 0 645 0 0 0.0
350 2 4 645 4 4 0.4
351 3 0 645 0 0 0.0
352 3 0 647 0 0 0.0
353 3 0 648 0 0 0.0
354 3 0 648 0 0 0.0
355 3 0 648 0 0 0.0
356 3 0 650 0 0 0.0
356 2 1 650 1 1 0.1
357 3 0 652 0 0 0.0
358 3 0 652 0 0 0.0
359 3 0 654 0 0 0.0
359 2 4 654 4 4 0.4
360 3 0 654 0 0 0.0
361 3 0 655 0 0 0.0
362 3 0 657 0 0 0.0
363 3 0 659 0 0 0.0
364 3 0 660 0 0 0.0
365 3 0 660 0 0 0.0
366 3 0 660 0 0 0.0
367 3 0 662 0 0 0.0
368 3 0 662 0 0 0.0
369 3 0 662 0 0 0.0
370 3 0 664 0 0 0.0
371 3 0 665 0 0 0.0
372 3 0 665 0 0 0.0
373 3 0 665 0 0 0.0
374 3 0 665 0 0 0.0
375 3 0 669 0 0 0.0
376 3 0 669 0 0 0.0
376 2 4 669 4 4 0.4
377 3 0 669 0 0 0.0
377 2 4 669 4 4 0.4
378 3 0 671 0 0 0.0
379 3 0 671 0 0 0.0
380 3 0 672 0 0 0.0
381 3 0 674 0 0 0.0
382 3 0 674 0 0 0.0
383 3 0 674 0 0 0.0
384 3 0 674 0 0 0.0
385 3 0 674 0 0 0.0
386 3 0 674 0 0 0.0
386 2 4 675 4 4 0.4
387 3 0 675 0 0 0.0
388 3 0 675 0 0 0.0
388 2 4 675 4 4 0.4
389 3 0 675 0 0 0.0
390 3 0 678 0 0 0.0
390 2 1 678 1 1 0.1
391 3 0 678 0 0 0.0
392 3 0 679 0 0 0.0
392 2 4 679 4 4 0.4
393 2 4 680 4 4 0.4
393 3 0 680 0 0 0.0
394 3 0 680 0 0 0.0
395 3 0 681 0 0 0.0
395 2 4 681 4 4 0.4
396 3 0 681 0 0 0.0
397 3 0 682 0 0 0.0
398 3 0 682 0 0 0.0
399 3 0 685 0 0 0.0
400 3 0 685 0 0 0.0
401 3 0 685 0 0 0.0
402 3 0 686 0 0 0.0
403 3 0 686 0 0 0.0
404 3 0 687 0 0 0.0
405 3 0 687 0 0 0.0
406 3 0 687 0 0 0.0
407 3 0 688 0 0 0.0
408 3 0 689 0 0 0.0
409 3 0 689 0 0 0.0
410 2 4 691 4 4 0.4
410 3 0 691 0 0 0.0
411 3 0 691 0 0 0.0
412 3 0 691 0 0 0.0
413 3 0 693 0 0 0.0
414 3 0 693 0 0 0.0
415 3 0 695 0 0 0.0
415 2 2 697 2 2 0.2
416 3 0 697 0 0 0.0
416 2 4 697 4 4 0.4
417 3 0 697 0 0 0.0
418 3 0 697 0 0 0.0
418 2 1 697 1 1 0.1
419 3 0 697 0 0 0.0
