gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
1 6 3 33 3 3 0.3
1 3 5 47 5 5 0.5
2 3 5 48 5 5 0.5
3 6 3 49 3 3 0.3
4 6 3 57 3 3 0.3
5 6 3 63 3 3 0.3
6 6 3 66 3 3 0.3
7 6 3 74 3 3 0.3
8 6 3 79 3 3 0.3
9 6 3 87 3 3 0.3
9 5 8 89 8 8 0.8
10 6 3 92 3 3 0.3
11 6 3 97 3 3 0.3
12 6 3 102 3 3 0.3
13 6 3 106 3 3 0.3
14 6 1 116 1 1 0.1
15 3 5 116 5 5 0.5
16 3 2 119 2 2 0.2
17 6 1 121 1 1 0.1
18 6 0 128 0 0 0.0
19 3 2 131 2 2 0.2
20 3 2 134 2 2 0.2
20 2 3 136 3 3 0.3
21 6 0 139 0 0 0.0
22 5 0 145 0 0 0.0
23 2 3 147 3 3 0.3
24 2 3 147 3 3 0.3
25 2 3 148 3 3 0.3
26 2 3 150 3 3 0.3
26 1 4 150 4 4 0.4
26 3 2 152 2 2 0.2
27 5 0 153 0 0 0.0
28 5 0 155 0 0 0.0
29 5 0 161 0 0 0.0
30 5 0 164 0 0 0.0
31 5 0 170 0 0 0.0
31 4 1 170 1 1 0.1
32 5 0 174 0 0 0.0
33 5 0 185 0 0 0.0
34 5 0 188 0 0 0.0
35 5 0 190 0 0 0.0
36 5 0 192 0 0 0.0
37 5 0 193 0 0 0.0
38 5 0 197 0 0 0.0
39 4 3 200 3 3 0.3
39 5 0 200 0 0 0.0
40 5 0 201 0 0 0.0
41 5 0 208 0 0 0.0
42 5 0 211 0 0 0.0
43 5 0 215 0 0 0.0
44 5 0 216 0 0 0.0
45 5 0 217 0 0 0.0
46 5 0 224 0 0 0.0
47 5 0 227 0 0 0.0
48 5 0 232 0 0 0.0
49 5 0 236 0 0 0.0
50 5 0 240 0 0 0.0
50 4 1 242 1 1 0.1
51 5 0 244 0 0 0.0
52 5 0 247 0 0 0.0
53 5 0 249 0 0 0.0
54 4 4 255 4 4 0.4
54 5 0 255 0 0 0.0
55 5 0 258 0 0 0.0
56 5 0 260 0 0 0.0
57 5 0 261 0 0 0.0
58 5 0 264 0 0 0.0
59 5 0 271 0 0 0.0
60 5 0 275 0 0 0.0
61 5 0 279 0 0 0.0
62 5 0 281 0 0 0.0
62 4 1 281 1 1 0.1
63 5 0 288 0 0 0.0
64 4 1 291 1 1 0.1
64 5 0 291 0 0 0.0
65 5 0 296 0 0 0.0
65 4 1 300 1 1 0.1
66 5 0 300 0 0 0.0
67 5 0 302 0 0 0.0
68 5 0 305 0 0 0.0
68 4 1 305 1 1 0.1
69 5 0 306 0 0 0.0
70 5 0 307 0 0 0.0
71 5 0 313 0 0 0.0
72 5 0 318 0 0 0.0
72 4 2 318 2 2 0.2
73 5 0 324 0 0 0.0
74 5 0 327 0 0 0.0
75 5 0 328 0 0 0.0
75 4 2 330 2 2 0.2
76 5 0 333 0 0 0.0
77 5 0 337 0 0 0.0
78 5 0 339 0 0 0.0
79 5 0 340 0 0 0.0
80 5 0 347 0 0 0.0
81 5 0 348 0 0 0.0
82 5 0 351 0 0 0.0
83 5 0 352 0 0 0.0
84 5 0 354 0 0 0.0
85 5 0 356 0 0 0.0
86 5 0 358 0 0 0.0
87 5 0 360 0 0 0.0
88 5 0 361 0 0 0.0
89 5 0 362 0 0 0.0
90 5 0 365 0 0 0.0
90 4 1 365 1 1 0.1
91 5 0 369 0 0 0.0
91 4 1 370 1 1 0.1
92 5 0 370 0 0 0.0
93 5 0 374 0 0 0.0
94 5 0 376 0 0 0.0
94 4 1 376 1 1 0.1
95 5 0 378 0 0 0.0
96 5 0 381 0 0 0.0
97 5 0 384 0 0 0.0
98 5 0 386 0 0 0.0
99 5 0 391 0 0 0.0
99 4 3 391 3 3 0.3
100 5 0 391 0 0 0.0
100 4 1 394 1 1 0.1
101 5 0 395 0 0 0.0
102 5 0 396 0 0 0.0
102 4 4 399 4 4 0.4
103 5 0 400 0 0 0.0
104 5 0 402 0 0 0.0
105 5 0 405 0 0 0.0
106 5 0 406 0 0 0.0
107 5 0 409 0 0 0.0
108 5 0 412 0 0 0.0
109 5 0 417 0 0 0.0
110 5 0 424 0 0 0.0
111 5 0 425 0 0 0.0
112 5 0 426 0 0 0.0
113 5 0 430 0 0 0.0
113 4 2 430 2 2 0.2
114 5 0 434 0 0 0.0
115 5 0 436 0 0 0.0
116 5 0 437 0 0 0.0
117 5 0 442 0 0 0.0
118 5 0 443 0 0 0.0
119 5 0 448 0 0 0.0
120 4 3 453 3 3 0.3
120 5 0 454 0 0 0.0
121 5 0 456 0 0 0.0
122 4 5 458 5 5 0.5
122 5 0 458 0 0 0.0
123 5 0 458 0 0 0.0
124 5 0 459 0 0 0.0
125 5 0 462 0 0 0.0
125 4 3 463 3 3 0.3
126 5 0 464 0 0 0.0
127 5 0 466 0 0 0.0
128 5 0 468 0 0 0.0
128 4 1 470 1 1 0.1
129 5 0 470 0 0 0.0
129 4 5 473 5 5 0.5
130 5 0 474 0 0 0.0
131 5 0 475 0 0 0.0
132 4 1 477 1 1 0.1
132 5 0 478 0 0 0.0
133 5 0 482 0 0 0.0
133 4 1 483 1 1 0.1
134 5 0 483 0 0 0.0
135 5 0 484 0 0 0.0
136 5 0 485 0 0 0.0
137 5 0 487 0 0 0.0
138 5 0 489 0 0 0.0
139 5 0 492 0 0 0.0
140 5 0 496 0 0 0.0
141 5 0 499 0 0 0.0
142 5 0 500 0 0 0.0
143 5 0 503 0 0 0.0
144 5 0 503 0 0 0.0
145 5 0 504 0 0 0.0
146 5 0 505 0 0 0.0
147 5 0 506 0 0 0.0
148 5 0 508 0 0 0.0
