gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
1 2 10 17 10 7 1.0
2 2 10 47 10 7 1.0
3 2 10 50 10 7 1.0
4 2 10 51 10 7 1.0
5 2 10 52 10 7 1.0
6 2 10 55 10 7 1.0
7 2 10 58 10 7 1.0
8 2 10 61 10 7 1.0
9 2 10 64 10 7 1.0
10 2 10 66 10 7 1.0
11 2 10 67 10 7 1.0
12 2 10 69 10 7 1.0
13 2 10 69 10 7 1.0
14 2 10 71 10 7 1.0
15 2 10 71 10 7 1.0
16 2 10 73 10 7 1.0
17 2 10 76 10 7 1.0
18 2 10 79 10 7 1.0
19 2 10 79 10 7 1.0
20 2 10 80 10 7 1.0
21 2 10 81 10 7 1.0
22 2 10 81 10 7 1.0
23 2 10 83 10 7 1.0
24 2 10 83 10 7 1.0
25 2 10 84 10 7 1.0
26 2 10 86 10 7 1.0
27 2 10 89 10 7 1.0
28 2 10 90 10 7 1.0
29 2 10 91 10 7 1.0
30 2 10 92 10 7 1.0
31 2 10 93 10 7 1.0
32 2 10 96 10 7 1.0
33 2 10 97 10 7 1.0
34 2 10 98 10 7 1.0
35 2 10 98 10 7 1.0
36 2 10 98 10 7 1.0
37 2 10 99 10 7 1.0
38 2 10 100 10 7 1.0
39 2 10 101 10 7 1.0
40 2 10 101 10 7 1.0
41 2 10 102 10 7 1.0
42 2 10 103 10 7 1.0
43 2 10 108 10 7 1.0
44 2 10 109 10 7 1.0
45 2 10 113 10 7 1.0
46 2 10 114 10 7 1.0
47 2 10 115 10 7 1.0
48 2 10 116 10 7 1.0
49 2 10 117 10 7 1.0
50 2 10 118 10 7 1.0
51 2 10 119 10 7 1.0
52 2 10 119 10 7 1.0
53 2 10 119 10 7 1.0
54 2 10 119 10 7 1.0
55 2 10 120 10 7 1.0
56 2 10 122 10 7 1.0
57 2 10 123 10 7 1.0
58 2 10 125 10 7 1.0
59 2 10 126 10 7 1.0
60 2 10 128 10 7 1.0
61 2 10 129 10 7 1.0
62 2 10 131 10 7 1.0
63 2 10 132 10 7 1.0
64 2 10 133 10 7 1.0
65 2 10 135 10 7 1.0
66 2 10 135 10 7 1.0
67 2 10 135 10 7 1.0
68 2 10 135 10 7 1.0
69 2 10 136 10 7 1.0
70 2 10 137 10 7 1.0
71 2 10 137 10 7 1.0
72 2 10 138 10 7 1.0
73 2 10 138 10 7 1.0
74 2 10 138 10 7 1.0
75 2 10 138 10 7 1.0
76 2 10 140 10 7 1.0
77 2 10 140 10 7 1.0
78 2 10 140 10 7 1.0
79 2 10 140 10 7 1.0
80 2 10 140 10 7 1.0
81 2 10 140 10 7 1.0
82 2 10 140 10 7 1.0
83 2 10 140 10 7 1.0
84 2 10 140 10 7 1.0
