gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
1 3 8 3 8 8 0.8
1 4 2 50 2 2 0.2
2 3 6 51 6 6 0.6
3 4 2 55 2 2 0.2
3 3 5 55 5 5 0.5
4 4 2 56 2 2 0.2
4 3 5 59 5 5 0.5
5 4 2 64 2 2 0.2
6 4 2 66 2 2 0.2
7 4 2 67 2 2 0.2
7 3 5 68 5 5 0.5
8 4 0 73 0 0 0.0
9 2 5 75 5 5 0.5
10 4 0 76 0 0 0.0
10 3 9 77 9 9 0.9
11 4 0 80 0 0 0.0
12 4 0 84 0 0 0.0
12 3 5 84 5 5 0.5
13 4 0 84 0 0 0.0
13 3 5 92 5 5 0.5
14 4 0 93 0 0 0.0
15 4 0 95 0 0 0.0
15 3 5 96 5 5 0.5
16 4 0 96 0 0 0.0
17 3 0 99 0 0 0.0
18 2 5 103 5 5 0.5
19 2 5 106 5 5 0.5
19 3 0 107 0 0 0.0
20 2 5 111 5 5 0.5
20 3 4 112 4 4 0.4
21 2 5 112 5 5 0.5
21 3 4 115 4 4 0.4
22 2 5 116 5 5 0.5
22 1 10 117 10 10 1.0
23 3 0 118 0 0 0.0
24 3 0 118 0 0 0.0
25 3 0 122 0 0 0.0
25 2 5 124 5 5 0.5
26 3 0 127 0 0 0.0
26 2 5 130 5 5 0.5
27 3 0 132 0 0 0.0
27 2 5 134 5 5 0.5
28 3 0 134 0 0 0.0
28 2 5 135 5 5 0.5
29 3 0 136 0 0 0.0
29 2 10 138 10 10 1.0
30 3 0 138 0 0 0.0
30 2 4 138 4 4 0.4
31 3 0 140 0 0 0.0
31 2 5 143 5 5 0.5
32 3 0 145 0 0 0.0
33 3 0 147 0 0 0.0
34 3 0 150 0 0 0.0
35 2 5 152 5 5 0.5
35 3 0 153 0 0 0.0
36 3 0 154 0 0 0.0
37 3 0 156 0 0 0.0
38 3 0 156 0 0 0.0
38 2 5 156 5 5 0.5
39 3 0 158 0 0 0.0
40 3 0 158 0 0 0.0
