gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
1 4 9 4 9 6 0.8571428571428571
1 3 10 27 10 7 1.0
2 4 9 43 9 6 0.8571428571428571
2 3 10 46 10 7 1.0
3 4 9 47 9 6 0.8571428571428571
3 3 10 51 10 7 1.0
4 4 9 52 9 6 0.8571428571428571
4 3 10 53 10 7 1.0
5 4 9 54 9 6 0.8571428571428571
5 3 10 56 10 7 1.0
6 3 9 58 9 6 0.8571428571428571
7 3 9 60 9 6 0.8571428571428571
8 3 9 61 9 6 0.8571428571428571
8 2 10 63 10 7 1.0
9 3 9 63 9 6 0.8571428571428571
9 2 10 64 10 7 1.0
10 3 9 65 9 6 0.8571428571428571
11 3 9 67 9 6 0.8571428571428571
12 3 9 69 9 6 0.8571428571428571
12 2 10 71 10 7 1.0
13 3 9 71 9 6 0.8571428571428571
13 2 10 71 10 7 1.0
14 3 9 71 9 6 0.8571428571428571
15 2 10 76 10 7 1.0
15 3 9 76 9 6 0.8571428571428571
16 3 9 79 9 6 0.8571428571428571
17 3 9 82 9 6 0.8571428571428571
18 3 9 85 9 6 0.8571428571428571
18 2 10 86 10 7 1.0
19 3 9 90 9 6 0.8571428571428571
20 3 9 91 9 6 0.8571428571428571
20 2 10 91 10 7 1.0
21 3 9 92 9 6 0.8571428571428571
21 2 10 92 10 7 1.0
22 3 9 93 9 6 0.8571428571428571
23 3 9 98 9 6 0.8571428571428571
24 3 9 98 9 6 0.8571428571428571
25 3 9 99 9 6 0.8571428571428571
26 3 9 101 9 6 0.8571428571428571
26 2 10 101 10 7 1.0
27 3 9 102 9 6 0.8571428571428571
27 2 10 102 10 7 1.0
28 3 9 103 9 6 0.8571428571428571
28 2 10 103 10 7 1.0
29 3 9 104 9 6 0.8571428571428571
29 2 10 104 10 7 1.0
30 2 10 104 10 7 1.0
30 3 9 104 9 6 0.8571428571428571
31 3 9 107 9 6 0.8571428571428571
32 3 9 109 9 6 0.8571428571428571
32 2 10 111 10 7 1.0
33 3 9 117 9 6 0.8571428571428571
33 2 10 117 10 7 1.0
34 3 9 119 9 6 0.8571428571428571
34 4 6 123 6 3 0.42857142857142855
35 2 10 124 10 7 1.0
36 2 10 126 10 7 1.0
37 2 10 129 10 7 1.0
38 2 10 132 10 7 1.0
39 2 10 133 10 7 1.0
40 2 10 136 10 7 1.0
41 2 10 137 10 7 1.0
42 2 10 140 10 7 1.0
43 2 10 141 10 7 1.0
44 2 10 142 10 7 1.0
45 2 10 144 10 7 1.0
45 3 7 147 7 4 0.5714285714285714
46 2 10 148 10 7 1.0
47 2 10 149 10 7 1.0
48 2 10 151 10 7 1.0
48 3 7 152 7 4 0.5714285714285714
49 2 10 152 10 7 1.0
50 2 10 155 10 7 1.0
50 4 7 156 7 4 0.5714285714285714
51 2 10 156 10 7 1.0
52 2 10 156 10 7 1.0
52 3 7 157 7 4 0.5714285714285714
53 2 10 157 10 7 1.0
54 2 10 158 10 7 1.0
55 2 10 159 10 7 1.0
56 2 10 160 10 7 1.0
57 2 10 161 10 7 1.0
58 2 10 163 10 7 1.0
59 2 10 163 10 7 1.0
60 2 10 163 10 7 1.0
60 3 7 165 7 4 0.5714285714285714
61 2 10 165 10 7 1.0
62 2 10 168 10 7 1.0
63 2 10 168 10 7 1.0
64 2 10 170 10 7 1.0
65 2 10 171 10 7 1.0
65 4 7 175 7 4 0.5714285714285714
66 2 10 175 10 7 1.0
67 2 10 177 10 7 1.0
68 2 10 178 10 7 1.0
68 3 7 178 7 4 0.5714285714285714
69 2 10 178 10 7 1.0
70 2 10 179 10 7 1.0
71 2 10 181 10 7 1.0
72 2 10 186 10 7 1.0
72 3 7 187 7 4 0.5714285714285714
73 2 10 187 10 7 1.0
74 2 10 189 10 7 1.0
75 2 10 192 10 7 1.0
76 2 10 194 10 7 1.0
77 2 10 196 10 7 1.0
78 2 10 198 10 7 1.0
79 2 10 199 10 7 1.0
80 2 10 201 10 7 1.0
81 2 10 202 10 7 1.0
82 2 10 203 10 7 1.0
83 2 10 207 10 7 1.0
84 2 10 209 10 7 1.0
85 2 10 211 10 7 1.0
85 3 7 211 7 4 0.5714285714285714
86 2 10 211 10 7 1.0
87 2 10 216 10 7 1.0
88 2 10 216 10 7 1.0
89 2 10 217 10 7 1.0
90 2 10 219 10 7 1.0
91 2 10 220 10 7 1.0
92 2 10 222 10 7 1.0
92 3 9 223 9 6 0.8571428571428571
93 2 10 223 10 7 1.0
94 2 10 227 10 7 1.0
95 2 10 227 10 7 1.0
96 2 10 227 10 7 1.0
97 2 10 229 10 7 1.0
98 2 10 229 10 7 1.0
99 2 8 232 8 5 0.7142857142857143
100 4 6 232 6 3 0.42857142857142855
101 4 6 232 6 3 0.42857142857142855
102 4 6 234 6 3 0.42857142857142855
102 2 10 234 10 7 1.0
102 3 9 234 9 6 0.8571428571428571
103 4 6 234 6 3 0.42857142857142855
103 3 9 234 9 6 0.8571428571428571
104 4 6 235 6 3 0.42857142857142855
104 3 9 235 9 6 0.8571428571428571
105 4 6 235 6 3 0.42857142857142855
106 4 6 238 6 3 0.42857142857142855
107 4 6 239 6 3 0.42857142857142855
108 4 6 240 6 3 0.42857142857142855
109 4 6 243 6 3 0.42857142857142855
109 3 7 243 7 4 0.5714285714285714
110 4 6 243 6 3 0.42857142857142855
111 4 6 244 6 3 0.42857142857142855
112 4 6 245 6 3 0.42857142857142855
113 4 6 246 6 3 0.42857142857142855
113 3 7 247 7 4 0.5714285714285714
114 4 6 248 6 3 0.42857142857142855
114 3 7 248 7 4 0.5714285714285714
115 4 6 249 6 3 0.42857142857142855
116 4 6 249 6 3 0.42857142857142855
117 4 6 251 6 3 0.42857142857142855
117 3 7 252 7 4 0.5714285714285714
118 4 6 254 6 3 0.42857142857142855
119 4 6 255 6 3 0.42857142857142855
120 4 6 255 6 3 0.42857142857142855
120 3 7 256 7 4 0.5714285714285714
121 4 6 258 6 3 0.42857142857142855
121 3 9 258 9 6 0.8571428571428571
122 4 6 258 6 3 0.42857142857142855
122 3 7 258 7 4 0.5714285714285714
123 4 6 260 6 3 0.42857142857142855
123 3 7 260 7 4 0.5714285714285714
124 3 7 261 7 4 0.5714285714285714
124 4 5 261 5 2 0.2857142857142857
125 2 8 261 8 5 0.7142857142857143
