gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
1 5 4 21 4 4 0.4
1 4 5 51 5 5 0.5
2 5 4 55 4 4 0.4
2 4 5 59 5 5 0.5
3 5 4 62 4 4 0.4
3 4 5 62 5 5 0.5
4 4 5 64 5 5 0.5
4 5 3 68 3 3 0.3
5 4 5 72 5 5 0.5
6 4 5 78 5 5 0.5
7 4 5 84 5 5 0.5
8 4 5 87 5 5 0.5
9 4 5 90 5 5 0.5
10 4 4 91 4 4 0.4
11 5 3 91 3 3 0.3
12 5 1 94 1 1 0.1
13 4 4 95 4 4 0.4
13 3 9 95 9 9 0.9
14 5 1 95 1 1 0.1
15 5 1 99 1 1 0.1
15 4 2 100 2 2 0.2
16 5 1 103 1 1 0.1
17 5 1 107 1 1 0.1
18 5 1 109 1 1 0.1
19 5 1 112 1 1 0.1
19 4 2 113 2 2 0.2
20 5 1 118 1 1 0.1
21 5 1 123 1 1 0.1
21 4 2 125 2 2 0.2
22 5 1 128 1 1 0.1
23 5 1 133 1 1 0.1
24 5 1 135 1 1 0.1
25 5 1 138 1 1 0.1
26 5 1 143 1 1 0.1
27 5 1 147 1 1 0.1
28 5 1 151 1 1 0.1
29 4 2 157 2 2 0.2
29 5 1 157 1 1 0.1
30 5 1 158 1 1 0.1
31 5 1 159 1 1 0.1
31 4 2 159 2 2 0.2
32 5 1 161 1 1 0.1
33 5 1 162 1 1 0.1
34 5 1 165 1 1 0.1
34 6 0 166 0 0 0.0
34 4 2 166 2 2 0.2
35 3 4 172 4 4 0.4
36 6 0 172 0 0 0.0
37 6 0 175 0 0 0.0
38 5 0 180 0 0 0.0
39 3 4 182 4 4 0.4
40 3 4 184 4 4 0.4
41 3 4 184 4 4 0.4
42 3 3 188 3 3 0.3
43 5 0 189 0 0 0.0
44 5 0 189 0 0 0.0
45 5 0 193 0 0 0.0
46 5 0 196 0 0 0.0
47 4 2 199 2 2 0.2
47 5 0 199 0 0 0.0
48 5 0 202 0 0 0.0
