gen HV HVnoDiscount fitness_notKilledMutants notKilledNonEqMutants fitness_testSuiteSize
1 8.44140625 7.0 8.841796875 6.0 3.0
2 8.44140625 7.0 8.841796875 6.0 3.0
3 14.23828125 7.0 8.078125 6.0 4.0
4 14.23828125 7.0 6.0859375 4.0 9.0
5 19.15234375 10.0 6.0859375 4.0 9.0
6 19.15234375 10.0 6.0859375 4.0 9.0
7 22.765625 16.0 5.78125 4.0 9.0
8 22.765625 16.0 2.02734375 0.0 8.0
9 22.765625 16.0 2.02734375 0.0 8.0
10 22.765625 16.0 2.02734375 0.0 8.0
11 22.765625 16.0 2.02734375 0.0 8.0
12 22.765625 16.0 2.02734375 0.0 8.0
13 22.765625 16.0 2.02734375 0.0 8.0
14 22.765625 16.0 2.02734375 0.0 8.0
15 22.765625 16.0 2.02734375 0.0 8.0
16 22.765625 16.0 2.02734375 0.0 8.0
17 22.765625 16.0 2.02734375 0.0 8.0
18 22.765625 16.0 2.02734375 0.0 8.0
19 22.765625 16.0 2.02734375 0.0 8.0
20 22.765625 16.0 2.02734375 0.0 8.0
21 22.765625 16.0 2.02734375 0.0 8.0
22 22.765625 16.0 2.02734375 0.0 8.0
23 32.73046875 18.0 2.02734375 0.0 8.0
24 32.73046875 18.0 2.02734375 0.0 8.0
25 32.73046875 18.0 2.02734375 0.0 8.0
26 32.73046875 18.0 2.02734375 0.0 8.0
27 32.73046875 18.0 2.02734375 0.0 8.0
28 32.73046875 18.0 2.02734375 0.0 8.0
29 32.73046875 18.0 2.02734375 0.0 8.0
30 32.73046875 18.0 2.02734375 0.0 8.0
31 32.73046875 18.0 2.02734375 0.0 8.0
32 32.73046875 18.0 2.02734375 0.0 8.0
33 45.3349609375 28.0 0.52734375 0.0 6.0
34 45.3349609375 28.0 0.52734375 0.0 6.0
35 45.3349609375 28.0 0.52734375 0.0 6.0
36 45.3349609375 28.0 0.52734375 0.0 6.0
37 45.3349609375 28.0 0.52734375 0.0 6.0
38 45.3349609375 28.0 0.52734375 0.0 6.0
39 45.3349609375 28.0 0.52734375 0.0 6.0
40 45.3349609375 28.0 0.52734375 0.0 6.0
