gen HV HVnoDiscount fitness_notKilledMutants notKilledNonEqMutants fitness_testSuiteSize
1 26.201171875 26.0 3.96875 4.0 8.0
2 36.07421875 36.0 3.0 3.0 6.0
3 36.07421875 36.0 3.0 3.0 6.0
4 36.07421875 36.0 3.0 3.0 6.0
5 36.07421875 36.0 3.0 3.0 6.0
6 36.07421875 36.0 3.0 3.0 6.0
7 36.07421875 36.0 3.0 3.0 6.0
8 36.07421875 36.0 3.0 3.0 6.0
9 46.0 46.0 3.0 3.0 6.0
10 46.0 46.0 3.0 3.0 6.0
11 46.0 46.0 3.0 3.0 6.0
12 46.0 46.0 3.0 3.0 5.0
13 46.0 46.0 3.0 3.0 5.0
14 46.0 46.0 3.0 3.0 4.0
15 46.0 46.0 3.0 3.0 4.0
16 46.0 46.0 3.0 3.0 4.0
17 46.0 46.0 3.0 3.0 4.0
18 46.0 46.0 3.0 3.0 4.0
19 46.0 46.0 3.0 3.0 4.0
20 46.0 46.0 3.0 3.0 4.0
21 46.0 46.0 3.0 3.0 4.0
22 46.0 46.0 3.0 3.0 4.0
23 46.0 46.0 3.0 3.0 4.0
24 46.0 46.0 3.0 3.0 4.0
25 46.0 46.0 3.0 3.0 4.0
26 46.0 46.0 3.0 3.0 4.0
27 46.0 46.0 3.0 3.0 4.0
28 46.0 46.0 3.0 3.0 4.0
29 46.0 46.0 3.0 3.0 4.0
30 46.0 46.0 3.0 3.0 4.0
31 52.0 52.0 3.0 3.0 3.0
32 52.0 52.0 3.0 3.0 3.0
33 52.0 52.0 3.0 3.0 3.0
34 52.0 52.0 3.0 3.0 3.0
35 52.0 52.0 3.0 3.0 3.0
36 52.0 52.0 3.0 3.0 3.0
37 52.0 52.0 3.0 3.0 3.0
38 52.0 52.0 3.0 3.0 3.0
39 52.0 52.0 3.0 3.0 3.0
40 52.0 52.0 3.0 3.0 3.0
41 52.0 52.0 3.0 3.0 3.0
42 52.0 52.0 3.0 3.0 3.0
43 52.0 52.0 3.0 3.0 3.0
44 52.0 52.0 2.0 2.0 6.0
45 52.0 52.0 2.0 2.0 6.0
46 52.0 52.0 2.0 2.0 6.0
47 52.0 52.0 0.0 0.0 6.0
48 52.0 52.0 0.0 0.0 6.0
49 52.0 52.0 0.0 0.0 6.0
50 52.0 52.0 0.0 0.0 6.0
51 52.0 52.0 0.0 0.0 6.0
52 52.0 52.0 0.0 0.0 6.0
53 52.0 52.0 0.0 0.0 6.0
54 63.0 63.0 0.0 0.0 6.0
55 63.0 63.0 0.0 0.0 6.0
56 63.0 63.0 0.0 0.0 6.0
57 63.0 63.0 0.0 0.0 6.0
58 63.0 63.0 0.0 0.0 6.0
59 63.0 63.0 0.0 0.0 6.0
60 63.0 63.0 0.0 0.0 6.0
61 63.0 63.0 0.0 0.0 6.0
62 63.0 63.0 0.0 0.0 6.0
63 63.0 63.0 0.0 0.0 6.0
