gen HV HVnoDiscount fitness_notKilledMutants notKilledNonEqMutants fitness_testSuiteSize
1 11.15625 5.0 7.9375 8.0 6.0
2 46.453125 36.0 0.66796875 0.0 6.0
3 46.453125 36.0 0.66796875 0.0 6.0
4 46.453125 36.0 0.66796875 0.0 6.0
5 46.453125 36.0 0.66796875 0.0 6.0
6 46.453125 36.0 0.66796875 0.0 6.0
7 46.453125 36.0 0.66796875 0.0 6.0
8 46.453125 36.0 0.66796875 0.0 6.0
9 46.453125 36.0 0.66796875 0.0 6.0
10 46.453125 36.0 0.66796875 0.0 6.0
11 48.26953125 42.0 0.1015625 0.0 6.0
12 48.26953125 42.0 0.1015625 0.0 6.0
13 48.26953125 42.0 0.1015625 0.0 6.0
14 48.26953125 42.0 0.1015625 0.0 6.0
15 48.26953125 42.0 0.1015625 0.0 6.0
16 48.26953125 42.0 0.1015625 0.0 6.0
17 48.26953125 42.0 0.1015625 0.0 6.0
18 48.26953125 42.0 0.1015625 0.0 6.0
19 52.73828125 45.0 0.03125 0.0 8.0
20 52.73828125 45.0 0.03125 0.0 8.0
21 52.73828125 45.0 0.03125 0.0 8.0
22 52.73828125 45.0 0.03125 0.0 8.0
23 52.73828125 45.0 0.03125 0.0 8.0
24 52.73828125 45.0 0.03125 0.0 8.0
25 52.73828125 45.0 0.03125 0.0 8.0
26 52.73828125 45.0 0.03125 0.0 8.0
27 52.73828125 45.0 0.03125 0.0 8.0
28 52.73828125 45.0 0.03125 0.0 8.0
29 52.73828125 45.0 0.03125 0.0 8.0
30 52.73828125 45.0 0.03125 0.0 8.0
31 52.73828125 45.0 0.03125 0.0 8.0
32 52.73828125 45.0 0.03125 0.0 8.0
33 52.73828125 45.0 0.03125 0.0 8.0
34 52.73828125 45.0 0.03125 0.0 8.0
35 52.73828125 45.0 0.03125 0.0 8.0
36 52.73828125 45.0 0.03125 0.0 8.0
37 52.73828125 45.0 0.03125 0.0 8.0
38 52.73828125 45.0 0.03125 0.0 8.0
39 60.0 54.0 0.0 0.0 4.0
40 60.0 54.0 0.0 0.0 4.0
41 60.0 54.0 0.0 0.0 4.0
42 60.0 54.0 0.0 0.0 4.0
43 60.0 54.0 0.0 0.0 4.0
44 60.0 54.0 0.0 0.0 4.0
45 60.0 54.0 0.0 0.0 4.0
46 60.0 54.0 0.0 0.0 4.0
47 60.0 54.0 0.0 0.0 4.0
48 62.0 54.0 0.0 0.0 4.0
49 62.0 54.0 0.0 0.0 4.0
50 62.0 54.0 0.0 0.0 4.0
51 62.0 54.0 0.0 0.0 4.0
52 62.0 54.0 0.0 0.0 4.0
53 62.0 54.0 0.0 0.0 4.0
54 71.0 63.0 0.0 0.0 3.0
55 71.0 63.0 0.0 0.0 3.0
56 71.0 63.0 0.0 0.0 3.0
57 71.0 63.0 0.0 0.0 3.0
58 71.0 63.0 0.0 0.0 3.0
59 71.0 63.0 0.0 0.0 3.0
60 71.0 63.0 0.0 0.0 3.0
61 71.0 63.0 0.0 0.0 3.0
62 71.0 63.0 0.0 0.0 3.0
63 71.0 63.0 0.0 0.0 3.0
64 71.0 63.0 0.0 0.0 3.0
65 71.0 63.0 0.0 0.0 3.0
66 71.0 63.0 0.0 0.0 3.0
67 71.0 63.0 0.0 0.0 3.0
68 71.0 63.0 0.0 0.0 3.0
69 71.0 63.0 0.0 0.0 3.0
70 71.0 63.0 0.0 0.0 3.0
71 71.0 63.0 0.0 0.0 3.0
72 71.0 63.0 0.0 0.0 3.0
73 71.0 63.0 0.0 0.0 3.0
74 71.0 63.0 0.0 0.0 3.0
75 71.0 63.0 0.0 0.0 3.0
76 71.0 63.0 0.0 0.0 3.0
77 71.0 63.0 0.0 0.0 3.0
78 71.0 63.0 0.0 0.0 3.0
79 71.0 63.0 0.0 0.0 3.0
80 71.0 63.0 0.0 0.0 3.0
81 71.0 63.0 0.0 0.0 3.0
82 71.0 63.0 0.0 0.0 3.0
83 71.0 63.0 0.0 0.0 3.0
