gen HV HVnoDiscount fitness_notKilledMutants notKilledNonEqMutants fitness_testSuiteSize
1 60.0 60.0 0.0 0.0 4.0
2 68.0 68.0 0.0 0.0 4.0
3 68.0 68.0 0.0 0.0 4.0
4 68.0 68.0 0.0 0.0 4.0
5 75.0 75.0 0.0 0.0 4.0
6 75.0 75.0 0.0 0.0 4.0
7 75.0 75.0 0.0 0.0 4.0
8 75.0 75.0 0.0 0.0 4.0
9 75.0 75.0 0.0 0.0 3.0
10 75.0 75.0 0.0 0.0 3.0
11 75.0 75.0 0.0 0.0 3.0
12 75.0 75.0 0.0 0.0 3.0
13 75.0 75.0 0.0 0.0 3.0
14 75.0 75.0 0.0 0.0 3.0
15 75.0 75.0 0.0 0.0 3.0
16 75.0 75.0 0.0 0.0 3.0
17 78.0 78.0 0.0 0.0 3.0
18 78.0 78.0 0.0 0.0 3.0
19 78.0 78.0 0.0 0.0 3.0
20 78.0 78.0 0.0 0.0 3.0
21 78.0 78.0 0.0 0.0 3.0
22 78.0 78.0 0.0 0.0 3.0
23 78.0 78.0 0.0 0.0 3.0
24 78.0 78.0 0.0 0.0 3.0
25 78.0 78.0 0.0 0.0 3.0
26 79.0 79.0 0.0 0.0 3.0
27 79.0 79.0 0.0 0.0 3.0
28 79.0 79.0 0.0 0.0 3.0
29 79.0 79.0 0.0 0.0 3.0
30 79.0 79.0 0.0 0.0 3.0
31 79.0 79.0 0.0 0.0 3.0
32 79.0 79.0 0.0 0.0 3.0
33 79.0 79.0 0.0 0.0 3.0
34 79.0 79.0 0.0 0.0 3.0
35 79.0 79.0 0.0 0.0 3.0
36 79.0 79.0 0.0 0.0 3.0
37 79.0 79.0 0.0 0.0 3.0
38 79.0 79.0 0.0 0.0 3.0
39 79.0 79.0 0.0 0.0 3.0
40 79.0 79.0 0.0 0.0 3.0
41 79.0 79.0 0.0 0.0 3.0
42 79.0 79.0 0.0 0.0 3.0
43 79.0 79.0 0.0 0.0 3.0
44 79.0 79.0 0.0 0.0 3.0
45 79.0 79.0 0.0 0.0 3.0
46 79.0 79.0 0.0 0.0 3.0
47 79.0 79.0 0.0 0.0 3.0
48 79.0 79.0 0.0 0.0 3.0
49 79.0 79.0 0.0 0.0 3.0
50 79.0 79.0 0.0 0.0 3.0
51 79.0 79.0 0.0 0.0 3.0
52 80.0 80.0 0.0 0.0 2.0
53 80.0 80.0 0.0 0.0 2.0
54 80.0 80.0 0.0 0.0 2.0
55 80.0 80.0 0.0 0.0 2.0
56 80.0 80.0 0.0 0.0 2.0
57 80.0 80.0 0.0 0.0 2.0
58 80.0 80.0 0.0 0.0 2.0
59 80.0 80.0 0.0 0.0 2.0
60 80.0 80.0 0.0 0.0 2.0
61 80.0 80.0 0.0 0.0 2.0
62 80.0 80.0 0.0 0.0 2.0
63 80.0 80.0 0.0 0.0 2.0
64 80.0 80.0 0.0 0.0 2.0
65 80.0 80.0 0.0 0.0 2.0
66 80.0 80.0 0.0 0.0 2.0
67 80.0 80.0 0.0 0.0 2.0
68 80.0 80.0 0.0 0.0 2.0
69 80.0 80.0 0.0 0.0 2.0
70 80.0 80.0 0.0 0.0 2.0
71 80.0 80.0 0.0 0.0 2.0
72 80.0 80.0 0.0 0.0 2.0
73 80.0 80.0 0.0 0.0 2.0
74 80.0 80.0 0.0 0.0 2.0
75 80.0 80.0 0.0 0.0 2.0
