gen HV HVnoDiscount fitness_notKilledMutants notKilledNonEqMutants fitness_testSuiteSize
1 4.9091796875 2.0 8.806640625 6.0 8.0
2 13.501953125 8.0 8.12109375 6.0 8.0
3 27.625 22.0 6.3359375 4.0 4.0
4 27.625 22.0 5.4638671875 3.0 7.0
5 27.625 22.0 5.4638671875 3.0 7.0
6 27.625 22.0 5.4638671875 3.0 7.0
7 27.625 22.0 5.4638671875 3.0 7.0
8 27.625 22.0 5.4638671875 3.0 7.0
9 27.625 22.0 5.4638671875 3.0 7.0
10 27.625 22.0 5.4638671875 3.0 7.0
11 27.625 22.0 5.4638671875 3.0 7.0
12 27.625 22.0 5.4638671875 3.0 7.0
13 27.625 22.0 5.4638671875 3.0 7.0
14 28.01171875 22.0 5.4638671875 3.0 7.0
15 28.01171875 22.0 5.4638671875 3.0 7.0
16 30.255859375 22.0 5.3916015625 4.0 4.0
17 30.255859375 22.0 5.3916015625 4.0 4.0
18 30.255859375 22.0 5.3916015625 4.0 4.0
19 30.255859375 22.0 5.3916015625 4.0 4.0
20 30.255859375 22.0 5.3916015625 4.0 4.0
21 30.255859375 22.0 5.3916015625 4.0 4.0
22 30.255859375 22.0 5.3916015625 4.0 4.0
23 30.255859375 22.0 5.3916015625 4.0 4.0
24 30.255859375 22.0 5.3916015625 4.0 4.0
25 30.255859375 22.0 5.3916015625 4.0 4.0
26 30.255859375 22.0 5.3916015625 4.0 4.0
27 30.255859375 22.0 5.3916015625 4.0 4.0
28 30.255859375 22.0 5.3916015625 4.0 4.0
29 30.255859375 22.0 5.3916015625 4.0 4.0
30 30.255859375 22.0 5.3916015625 4.0 4.0
31 37.32421875 22.0 4.66796875 4.0 3.0
32 37.32421875 22.0 4.66796875 4.0 3.0
33 37.32421875 22.0 4.66796875 4.0 3.0
34 37.32421875 22.0 4.66796875 4.0 3.0
35 37.32421875 22.0 4.66796875 4.0 3.0
36 37.32421875 22.0 4.66796875 4.0 3.0
37 37.32421875 22.0 4.66796875 4.0 3.0
38 37.32421875 22.0 4.66796875 4.0 3.0
39 41.15625 22.0 4.4248046875 4.0 4.0
40 41.15625 22.0 4.4248046875 4.0 4.0
41 41.15625 22.0 4.4248046875 4.0 4.0
42 41.15625 22.0 4.4248046875 4.0 4.0
43 41.15625 22.0 4.4248046875 4.0 4.0
44 41.15625 22.0 4.4248046875 4.0 4.0
45 41.15625 22.0 4.3310546875 4.0 6.0
46 41.15625 22.0 4.3310546875 4.0 6.0
47 41.15625 22.0 4.3310546875 4.0 6.0
48 41.15625 22.0 4.3310546875 4.0 6.0
49 41.15625 22.0 4.3310546875 4.0 6.0
50 41.15625 22.0 4.3310546875 4.0 6.0
51 41.15625 22.0 4.3310546875 4.0 6.0
52 41.15625 22.0 4.22265625 4.0 6.0
53 41.15625 22.0 4.22265625 4.0 6.0
54 41.15625 22.0 4.22265625 4.0 6.0
55 41.15625 22.0 4.22265625 4.0 6.0
56 41.15625 22.0 4.22265625 4.0 6.0
57 41.15625 22.0 4.22265625 4.0 6.0
58 41.15625 22.0 4.22265625 4.0 6.0
59 41.15625 22.0 4.22265625 4.0 6.0
60 41.15625 22.0 4.22265625 4.0 6.0
61 41.15625 22.0 4.22265625 4.0 6.0
62 41.15625 22.0 4.123046875 4.0 5.0
63 41.15625 22.0 4.123046875 4.0 5.0
64 41.15625 22.0 4.123046875 4.0 5.0
65 41.15625 22.0 4.123046875 4.0 5.0
66 41.15625 22.0 4.123046875 4.0 5.0
67 41.15625 22.0 4.123046875 4.0 5.0
68 41.15625 22.0 3.0908203125 3.0 5.0
69 41.15625 22.0 3.0908203125 3.0 5.0
70 41.15625 22.0 3.0908203125 3.0 5.0
71 41.15625 22.0 3.0908203125 3.0 5.0
72 41.15625 22.0 3.0908203125 3.0 5.0
73 41.15625 22.0 3.0908203125 3.0 5.0
74 41.15625 22.0 3.0908203125 3.0 5.0
75 41.15625 22.0 3.0908203125 3.0 5.0
76 41.15625 22.0 3.0908203125 3.0 5.0
77 41.15625 22.0 3.0908203125 3.0 5.0
78 41.15625 22.0 3.0908203125 3.0 5.0
79 41.15625 22.0 3.0908203125 3.0 5.0
80 41.15625 22.0 3.0908203125 3.0 5.0
81 41.15625 22.0 3.0908203125 3.0 5.0
82 41.15625 22.0 3.0908203125 3.0 5.0
83 41.15625 22.0 3.0908203125 3.0 5.0
84 41.15625 22.0 3.0908203125 3.0 5.0
85 41.15625 22.0 3.0908203125 3.0 5.0
86 41.15625 22.0 3.0908203125 3.0 5.0
87 41.15625 22.0 3.0908203125 3.0 5.0
88 41.15625 22.0 3.0908203125 3.0 5.0
89 41.15625 22.0 2.0263671875 2.0 7.0
90 41.15625 22.0 2.0263671875 2.0 7.0
91 41.15625 22.0 2.0263671875 2.0 7.0
92 41.15625 22.0 2.0263671875 2.0 7.0
93 41.15625 22.0 2.0263671875 2.0 7.0
94 41.15625 22.0 2.0263671875 2.0 7.0
95 41.15625 22.0 2.0263671875 2.0 7.0
96 41.15625 22.0 2.0263671875 2.0 7.0
97 41.15625 22.0 2.0263671875 2.0 7.0
98 41.15625 22.0 2.0263671875 2.0 7.0
99 41.15625 22.0 2.0263671875 2.0 7.0
100 41.15625 22.0 2.0263671875 2.0 7.0
101 50.8681640625 24.0 2.0263671875 2.0 7.0
102 50.8681640625 24.0 2.0263671875 2.0 7.0
103 50.8681640625 24.0 2.0263671875 2.0 7.0
104 50.8681640625 24.0 2.0263671875 2.0 7.0
105 50.8681640625 24.0 2.0263671875 2.0 7.0
106 50.8681640625 24.0 2.0263671875 2.0 7.0
107 50.8681640625 24.0 2.0263671875 2.0 7.0
108 50.8681640625 24.0 2.0263671875 2.0 7.0
109 50.8681640625 24.0 2.0263671875 2.0 7.0
110 50.8681640625 24.0 2.0263671875 2.0 7.0
111 50.8681640625 24.0 2.0263671875 2.0 7.0
112 50.8681640625 24.0 2.0263671875 2.0 7.0
113 50.8681640625 24.0 2.0263671875 2.0 7.0
114 50.8681640625 24.0 2.0263671875 2.0 7.0
115 50.8681640625 24.0 2.0263671875 2.0 7.0
116 50.8681640625 24.0 2.0263671875 2.0 7.0
117 50.8681640625 24.0 2.0263671875 2.0 7.0
118 50.8681640625 24.0 2.0263671875 2.0 7.0
119 50.8681640625 24.0 2.0263671875 2.0 7.0
120 50.8681640625 24.0 2.0263671875 2.0 7.0
121 50.8681640625 24.0 2.0263671875 2.0 7.0
122 50.8681640625 24.0 2.0263671875 2.0 7.0
123 50.8681640625 24.0 2.0263671875 2.0 7.0
124 50.8681640625 24.0 2.0263671875 2.0 7.0
125 50.8681640625 24.0 2.0263671875 2.0 7.0
126 50.8681640625 24.0 2.0263671875 2.0 7.0
127 50.8681640625 24.0 2.0263671875 2.0 7.0
128 50.8681640625 24.0 2.0263671875 2.0 7.0
129 50.8681640625 24.0 2.0263671875 2.0 7.0
130 50.8681640625 24.0 2.0263671875 2.0 7.0
131 50.8681640625 24.0 2.0263671875 2.0 7.0
132 50.8681640625 24.0 2.0263671875 2.0 7.0
133 50.8681640625 24.0 2.0263671875 2.0 7.0
134 50.8681640625 24.0 2.0263671875 2.0 7.0
135 50.8681640625 24.0 2.0263671875 2.0 7.0
136 50.8681640625 24.0 2.0263671875 2.0 7.0
137 50.8681640625 24.0 2.0263671875 2.0 7.0
138 50.8681640625 24.0 2.0263671875 2.0 7.0
139 50.8681640625 24.0 2.0263671875 2.0 7.0
140 50.8681640625 24.0 2.0263671875 2.0 7.0
141 50.8681640625 24.0 2.0263671875 2.0 7.0
142 50.8681640625 24.0 2.0263671875 2.0 7.0
143 50.8681640625 24.0 2.0263671875 2.0 7.0
144 50.8681640625 24.0 2.0263671875 2.0 7.0
145 50.8681640625 24.0 2.0263671875 2.0 7.0
146 50.8681640625 24.0 2.0263671875 2.0 7.0
147 50.8681640625 24.0 2.0263671875 2.0 7.0
148 50.8681640625 24.0 2.0263671875 2.0 7.0
149 50.8681640625 24.0 2.0263671875 2.0 7.0
150 50.8681640625 24.0 2.0263671875 2.0 7.0
151 50.8681640625 24.0 2.0263671875 2.0 7.0
152 50.8681640625 24.0 2.0263671875 2.0 7.0
153 50.8681640625 24.0 2.0263671875 2.0 7.0
154 50.8681640625 24.0 2.0263671875 2.0 7.0
155 50.8681640625 24.0 2.0263671875 2.0 7.0
156 50.8681640625 24.0 2.0263671875 2.0 7.0
157 50.8681640625 24.0 2.0263671875 2.0 7.0
158 50.8681640625 24.0 2.0263671875 2.0 7.0
159 50.8681640625 24.0 2.0263671875 2.0 7.0
160 50.8681640625 24.0 2.0263671875 2.0 7.0
161 50.8681640625 24.0 2.0263671875 2.0 7.0
162 50.8681640625 24.0 2.0263671875 2.0 7.0
163 50.8681640625 24.0 2.0263671875 2.0 7.0
164 50.8681640625 24.0 2.0263671875 2.0 7.0
165 50.8681640625 28.0 2.0263671875 2.0 7.0
166 50.8681640625 28.0 2.0263671875 2.0 7.0
167 50.8681640625 28.0 2.0263671875 2.0 7.0
168 50.8681640625 28.0 2.0263671875 2.0 7.0
169 50.8681640625 28.0 2.0263671875 2.0 7.0
170 50.8681640625 28.0 2.0263671875 2.0 7.0
171 50.8681640625 28.0 2.0263671875 2.0 7.0
172 50.8681640625 28.0 2.0263671875 2.0 7.0
173 50.8681640625 28.0 2.0263671875 2.0 7.0
174 50.8681640625 28.0 2.0263671875 2.0 7.0
175 50.8681640625 28.0 2.0263671875 2.0 7.0
176 50.8681640625 28.0 2.0263671875 2.0 7.0
177 50.8681640625 28.0 2.0263671875 2.0 7.0
178 50.8681640625 28.0 2.0263671875 2.0 7.0
179 50.8681640625 28.0 2.0263671875 2.0 7.0
180 50.8681640625 28.0 2.0263671875 2.0 7.0
181 50.8681640625 28.0 2.0263671875 2.0 7.0
182 50.8681640625 28.0 2.0263671875 2.0 7.0
183 50.8681640625 28.0 2.0263671875 2.0 7.0
184 50.8681640625 28.0 2.0263671875 2.0 7.0
185 50.8681640625 28.0 2.0263671875 2.0 7.0
186 50.8681640625 28.0 2.0263671875 2.0 7.0
187 50.8681640625 28.0 2.0263671875 2.0 7.0
188 50.8681640625 28.0 2.0263671875 2.0 7.0
189 50.8681640625 28.0 2.0 2.0 6.0
190 50.8681640625 28.0 2.0 2.0 6.0
191 50.8681640625 28.0 2.0 2.0 6.0
192 50.8681640625 28.0 2.0 2.0 6.0
193 50.8681640625 28.0 2.0 2.0 6.0
194 50.8681640625 28.0 2.0 2.0 6.0
195 50.8681640625 28.0 2.0 2.0 6.0
196 50.8681640625 28.0 2.0 2.0 6.0
197 50.8681640625 28.0 2.0 2.0 6.0
198 50.8681640625 28.0 2.0 2.0 6.0
199 50.8681640625 28.0 2.0 2.0 6.0
200 50.8681640625 28.0 2.0 2.0 6.0
201 50.8681640625 28.0 2.0 2.0 6.0
202 50.8681640625 28.0 2.0 2.0 6.0
203 50.8681640625 28.0 2.0 2.0 6.0
204 50.8681640625 28.0 2.0 2.0 6.0
205 50.8681640625 28.0 2.0 2.0 6.0
206 50.8681640625 28.0 2.0 2.0 6.0
207 50.8681640625 28.0 2.0 2.0 6.0
208 50.8681640625 28.0 2.0 2.0 6.0
209 50.8681640625 28.0 2.0 2.0 6.0
210 50.8681640625 28.0 2.0 2.0 6.0
211 50.8681640625 28.0 2.0 2.0 6.0
212 50.8681640625 28.0 2.0 2.0 6.0
213 50.8681640625 28.0 2.0 2.0 6.0
214 50.8681640625 28.0 2.0 2.0 6.0
