gen HV HVnoDiscount fitness_notKilledMutants notKilledNonEqMutants fitness_testSuiteSize
1 28.388671875 28.0 3.9765625 4.0 6.0
2 29.11328125 28.0 1.8203125 2.0 7.0
3 36.3447265625 35.0 1.8203125 2.0 7.0
4 36.3447265625 35.0 1.8203125 2.0 7.0
5 38.6005859375 37.0 1.8203125 2.0 7.0
6 38.6005859375 37.0 1.8203125 2.0 7.0
7 38.6005859375 37.0 1.8203125 2.0 7.0
8 41.0 41.0 1.8203125 2.0 7.0
9 41.0 41.0 1.8203125 2.0 7.0
10 47.0 47.0 1.8203125 2.0 7.0
11 47.0 47.0 1.8203125 2.0 7.0
12 47.0 47.0 1.8203125 2.0 7.0
13 47.0 47.0 1.8203125 2.0 7.0
14 47.0 47.0 1.8203125 2.0 7.0
15 47.0 47.0 1.8203125 2.0 7.0
16 47.0 47.0 1.8203125 2.0 7.0
17 47.0 47.0 1.8203125 2.0 7.0
18 47.0 47.0 1.8203125 2.0 7.0
19 47.0 47.0 1.8203125 2.0 7.0
20 47.0 47.0 1.8203125 2.0 7.0
21 47.0 47.0 1.8203125 2.0 7.0
22 47.0 47.0 1.8203125 2.0 7.0
23 47.0 47.0 1.8203125 2.0 7.0
24 47.0 47.0 1.8203125 2.0 7.0
25 47.0 47.0 1.8203125 2.0 7.0
26 47.0 47.0 1.8203125 2.0 7.0
27 47.0 47.0 1.8203125 2.0 7.0
28 47.0 47.0 1.8203125 2.0 7.0
29 47.0 47.0 1.8203125 2.0 7.0
30 48.0 48.0 1.8203125 2.0 7.0
31 48.0 48.0 1.8203125 2.0 7.0
32 48.0 48.0 1.8203125 2.0 7.0
33 48.0 48.0 1.8203125 2.0 7.0
34 48.0 48.0 1.8203125 2.0 7.0
35 48.0 48.0 1.8203125 2.0 7.0
36 48.0 48.0 1.8203125 2.0 7.0
37 48.0 48.0 1.8203125 2.0 7.0
38 48.0 48.0 1.8203125 2.0 7.0
39 48.0 48.0 1.8203125 2.0 7.0
40 48.0 48.0 1.8203125 2.0 7.0
41 48.0 48.0 1.8203125 2.0 7.0
42 48.0 48.0 1.8203125 2.0 7.0
43 48.0 48.0 1.8203125 2.0 7.0
44 48.0 48.0 1.8203125 2.0 7.0
45 48.0 48.0 1.8203125 2.0 7.0
46 48.0 48.0 1.8203125 2.0 7.0
47 48.0 48.0 1.8203125 2.0 7.0
48 48.0 48.0 1.8203125 2.0 7.0
49 48.0 48.0 1.8203125 2.0 7.0
50 56.0 56.0 1.8203125 2.0 7.0
51 56.0 56.0 1.8203125 2.0 7.0
52 56.0 56.0 1.8203125 2.0 7.0
53 56.0 56.0 1.8203125 2.0 7.0
54 56.0 56.0 1.8203125 2.0 7.0
55 56.0 56.0 1.8203125 2.0 7.0
