gen HV HVnoDiscount fitness_notKilledMutants notKilledNonEqMutants fitness_testSuiteSize
1 8.63671875 6.0 8.671875 6.0 4.0
2 8.6806640625 6.0 8.47265625 6.0 5.0
3 22.4609375 18.0 4.5078125 2.0 7.0
4 22.4609375 18.0 4.5078125 2.0 7.0
5 22.4609375 18.0 4.5078125 2.0 7.0
6 22.4609375 18.0 4.5078125 2.0 7.0
7 22.4609375 18.0 4.5078125 2.0 7.0
8 22.4609375 18.0 4.5078125 2.0 7.0
9 22.4609375 18.0 4.5078125 2.0 7.0
10 22.4609375 18.0 4.5078125 2.0 7.0
11 22.4609375 18.0 4.5078125 2.0 7.0
12 22.77734375 18.0 4.5078125 2.0 7.0
13 22.77734375 18.0 4.5078125 2.0 7.0
14 29.884765625 20.0 3.58203125 2.0 6.0
15 29.884765625 20.0 3.58203125 2.0 6.0
16 29.884765625 20.0 3.58203125 2.0 6.0
17 29.884765625 20.0 3.58203125 2.0 6.0
18 29.884765625 20.0 3.58203125 2.0 6.0
19 29.884765625 20.0 3.58203125 2.0 6.0
20 29.884765625 20.0 3.58203125 2.0 6.0
21 29.884765625 20.0 3.58203125 2.0 6.0
22 29.884765625 20.0 3.58203125 2.0 6.0
23 29.884765625 20.0 3.58203125 2.0 6.0
24 29.884765625 20.0 3.58203125 2.0 6.0
25 29.884765625 20.0 3.58203125 2.0 6.0
26 46.7021484375 30.0 0.908203125 0.0 7.0
27 46.7021484375 30.0 0.908203125 0.0 7.0
28 46.7021484375 30.0 0.908203125 0.0 7.0
29 46.7021484375 30.0 0.908203125 0.0 7.0
30 46.7021484375 30.0 0.908203125 0.0 7.0
31 46.7021484375 30.0 0.908203125 0.0 7.0
32 51.3857421875 35.0 0.908203125 0.0 7.0
33 51.3857421875 35.0 0.6474609375 0.0 6.0
34 51.3857421875 35.0 0.6474609375 0.0 6.0
35 51.3857421875 35.0 0.6474609375 0.0 6.0
36 51.3857421875 35.0 0.6474609375 0.0 6.0
37 51.3857421875 35.0 0.6474609375 0.0 6.0
38 51.3857421875 35.0 0.6474609375 0.0 6.0
39 51.3857421875 35.0 0.6474609375 0.0 6.0
40 51.3857421875 35.0 0.6474609375 0.0 6.0
41 51.3857421875 35.0 0.6474609375 0.0 6.0
42 51.3857421875 35.0 0.6474609375 0.0 6.0
43 51.3857421875 35.0 0.6474609375 0.0 6.0
44 51.3857421875 35.0 0.6474609375 0.0 6.0
45 51.3857421875 35.0 0.6474609375 0.0 6.0
46 51.3857421875 35.0 0.6474609375 0.0 6.0
47 51.3857421875 35.0 0.6474609375 0.0 6.0
48 51.3857421875 35.0 0.6474609375 0.0 6.0
49 51.3857421875 35.0 0.6474609375 0.0 6.0
50 51.3857421875 35.0 0.6474609375 0.0 6.0
51 51.3857421875 35.0 0.6474609375 0.0 6.0
52 51.3857421875 35.0 0.6474609375 0.0 6.0
53 51.51171875 35.0 0.2490234375 0.0 5.0
