gen HV HVnoDiscount fitness_notKilledMutants notKilledNonEqMutants fitness_testSuiteSize
1 70.0 70.0 0.0 0.0 3.0
2 80.0 80.0 0.0 0.0 2.0
3 80.0 80.0 0.0 0.0 2.0
4 80.0 80.0 0.0 0.0 2.0
5 87.0 87.0 0.0 0.0 2.0
6 87.0 87.0 0.0 0.0 2.0
7 87.0 87.0 0.0 0.0 2.0
8 87.0 87.0 0.0 0.0 2.0
9 87.0 87.0 0.0 0.0 2.0
10 87.0 87.0 0.0 0.0 2.0
11 87.0 87.0 0.0 0.0 2.0
12 87.0 87.0 0.0 0.0 2.0
13 87.0 87.0 0.0 0.0 2.0
14 87.0 87.0 0.0 0.0 2.0
15 87.0 87.0 0.0 0.0 2.0
16 87.0 87.0 0.0 0.0 2.0
17 87.0 87.0 0.0 0.0 2.0
18 87.0 87.0 0.0 0.0 2.0
19 87.0 87.0 0.0 0.0 2.0
20 87.0 87.0 0.0 0.0 2.0
21 87.0 87.0 0.0 0.0 2.0
22 87.0 87.0 0.0 0.0 2.0
23 87.0 87.0 0.0 0.0 2.0
24 87.0 87.0 0.0 0.0 2.0
25 87.0 87.0 0.0 0.0 2.0
26 87.0 87.0 0.0 0.0 2.0
27 87.0 87.0 0.0 0.0 2.0
28 87.0 87.0 0.0 0.0 2.0
29 87.0 87.0 0.0 0.0 2.0
30 87.0 87.0 0.0 0.0 2.0
31 87.0 87.0 0.0 0.0 2.0
32 87.0 87.0 0.0 0.0 2.0
33 87.0 87.0 0.0 0.0 2.0
34 87.0 87.0 0.0 0.0 2.0
35 87.0 87.0 0.0 0.0 2.0
36 87.0 87.0 0.0 0.0 2.0
37 87.0 87.0 0.0 0.0 2.0
38 87.0 87.0 0.0 0.0 2.0
39 87.0 87.0 0.0 0.0 2.0
40 87.0 87.0 0.0 0.0 2.0
41 87.0 87.0 0.0 0.0 2.0
42 87.0 87.0 0.0 0.0 2.0
43 87.0 87.0 0.0 0.0 2.0
44 87.0 87.0 0.0 0.0 2.0
45 87.0 87.0 0.0 0.0 2.0
46 87.0 87.0 0.0 0.0 2.0
47 87.0 87.0 0.0 0.0 2.0
48 87.0 87.0 0.0 0.0 2.0
49 87.0 87.0 0.0 0.0 2.0
50 87.0 87.0 0.0 0.0 2.0
51 87.0 87.0 0.0 0.0 2.0
52 87.0 87.0 0.0 0.0 2.0
53 87.0 87.0 0.0 0.0 2.0
54 87.0 87.0 0.0 0.0 2.0
55 87.0 87.0 0.0 0.0 2.0
56 87.0 87.0 0.0 0.0 2.0
57 87.0 87.0 0.0 0.0 2.0
58 87.0 87.0 0.0 0.0 2.0
59 87.0 87.0 0.0 0.0 2.0
60 87.0 87.0 0.0 0.0 2.0
61 87.0 87.0 0.0 0.0 2.0
62 87.0 87.0 0.0 0.0 2.0
63 87.0 87.0 0.0 0.0 2.0
64 87.0 87.0 0.0 0.0 2.0
65 87.0 87.0 0.0 0.0 2.0
66 87.0 87.0 0.0 0.0 2.0
67 87.0 87.0 0.0 0.0 2.0
68 87.0 87.0 0.0 0.0 2.0
69 87.0 87.0 0.0 0.0 2.0
70 87.0 87.0 0.0 0.0 2.0
71 87.0 87.0 0.0 0.0 2.0
72 87.0 87.0 0.0 0.0 2.0
73 87.0 87.0 0.0 0.0 2.0
74 87.0 87.0 0.0 0.0 2.0
75 87.0 87.0 0.0 0.0 2.0
76 87.0 87.0 0.0 0.0 2.0
77 87.0 87.0 0.0 0.0 2.0
78 87.0 87.0 0.0 0.0 2.0
79 87.0 87.0 0.0 0.0 2.0
80 87.0 87.0 0.0 0.0 2.0
81 87.0 87.0 0.0 0.0 2.0
82 87.0 87.0 0.0 0.0 2.0
83 87.0 87.0 0.0 0.0 2.0
84 87.0 87.0 0.0 0.0 2.0
85 87.0 87.0 0.0 0.0 2.0
86 87.0 87.0 0.0 0.0 2.0
87 87.0 87.0 0.0 0.0 2.0
88 87.0 87.0 0.0 0.0 2.0
89 87.0 87.0 0.0 0.0 2.0
90 87.0 87.0 0.0 0.0 2.0
91 87.0 87.0 0.0 0.0 2.0
92 87.0 87.0 0.0 0.0 2.0
93 87.0 87.0 0.0 0.0 2.0
94 87.0 87.0 0.0 0.0 2.0
95 87.0 87.0 0.0 0.0 2.0
96 87.0 87.0 0.0 0.0 2.0
97 87.0 87.0 0.0 0.0 2.0
98 87.0 87.0 0.0 0.0 2.0
99 87.0 87.0 0.0 0.0 2.0
100 87.0 87.0 0.0 0.0 2.0
101 87.0 87.0 0.0 0.0 2.0
102 87.0 87.0 0.0 0.0 2.0
103 87.0 87.0 0.0 0.0 2.0
104 87.0 87.0 0.0 0.0 2.0
105 87.0 87.0 0.0 0.0 2.0
106 87.0 87.0 0.0 0.0 2.0
107 87.0 87.0 0.0 0.0 2.0
108 87.0 87.0 0.0 0.0 2.0
109 87.0 87.0 0.0 0.0 2.0
110 87.0 87.0 0.0 0.0 2.0
111 87.0 87.0 0.0 0.0 2.0
112 87.0 87.0 0.0 0.0 2.0
113 87.0 87.0 0.0 0.0 2.0
114 87.0 87.0 0.0 0.0 2.0
115 87.0 87.0 0.0 0.0 2.0
116 87.0 87.0 0.0 0.0 2.0
117 87.0 87.0 0.0 0.0 2.0
118 87.0 87.0 0.0 0.0 2.0
119 87.0 87.0 0.0 0.0 2.0
120 87.0 87.0 0.0 0.0 2.0
121 87.0 87.0 0.0 0.0 2.0
122 87.0 87.0 0.0 0.0 2.0
123 87.0 87.0 0.0 0.0 2.0
124 87.0 87.0 0.0 0.0 2.0
125 87.0 87.0 0.0 0.0 2.0
126 87.0 87.0 0.0 0.0 2.0
127 88.0 88.0 0.0 0.0 2.0
128 88.0 88.0 0.0 0.0 2.0
129 88.0 88.0 0.0 0.0 2.0
130 88.0 88.0 0.0 0.0 2.0
131 88.0 88.0 0.0 0.0 2.0
132 88.0 88.0 0.0 0.0 2.0
133 88.0 88.0 0.0 0.0 2.0
134 88.0 88.0 0.0 0.0 2.0
135 88.0 88.0 0.0 0.0 2.0
136 88.0 88.0 0.0 0.0 2.0
137 88.0 88.0 0.0 0.0 2.0
138 88.0 88.0 0.0 0.0 2.0
139 88.0 88.0 0.0 0.0 2.0
140 88.0 88.0 0.0 0.0 2.0
141 88.0 88.0 0.0 0.0 2.0
142 88.0 88.0 0.0 0.0 2.0
143 88.0 88.0 0.0 0.0 2.0
144 88.0 88.0 0.0 0.0 2.0
145 88.0 88.0 0.0 0.0 2.0
146 88.0 88.0 0.0 0.0 2.0
147 88.0 88.0 0.0 0.0 2.0
148 88.0 88.0 0.0 0.0 2.0
149 88.0 88.0 0.0 0.0 2.0
150 88.0 88.0 0.0 0.0 2.0
151 88.0 88.0 0.0 0.0 2.0
152 88.0 88.0 0.0 0.0 2.0
153 88.0 88.0 0.0 0.0 2.0
154 88.0 88.0 0.0 0.0 2.0
155 88.0 88.0 0.0 0.0 2.0
156 88.0 88.0 0.0 0.0 2.0
157 88.0 88.0 0.0 0.0 2.0
158 88.0 88.0 0.0 0.0 2.0
159 88.0 88.0 0.0 0.0 2.0
160 88.0 88.0 0.0 0.0 2.0
161 88.0 88.0 0.0 0.0 2.0
162 88.0 88.0 0.0 0.0 2.0
163 88.0 88.0 0.0 0.0 2.0
164 88.0 88.0 0.0 0.0 2.0
165 88.0 88.0 0.0 0.0 2.0
166 88.0 88.0 0.0 0.0 2.0
167 88.0 88.0 0.0 0.0 2.0
168 88.0 88.0 0.0 0.0 2.0
169 88.0 88.0 0.0 0.0 2.0
170 88.0 88.0 0.0 0.0 2.0
171 88.0 88.0 0.0 0.0 2.0
172 88.0 88.0 0.0 0.0 2.0
173 88.0 88.0 0.0 0.0 2.0
174 88.0 88.0 0.0 0.0 2.0
175 88.0 88.0 0.0 0.0 2.0
176 88.0 88.0 0.0 0.0 2.0
177 88.0 88.0 0.0 0.0 2.0
178 88.0 88.0 0.0 0.0 2.0
179 88.0 88.0 0.0 0.0 2.0
180 88.0 88.0 0.0 0.0 2.0
181 88.0 88.0 0.0 0.0 2.0
182 88.0 88.0 0.0 0.0 2.0
183 88.0 88.0 0.0 0.0 2.0
184 88.0 88.0 0.0 0.0 2.0
185 88.0 88.0 0.0 0.0 2.0
186 88.0 88.0 0.0 0.0 2.0
187 88.0 88.0 0.0 0.0 2.0
188 88.0 88.0 0.0 0.0 2.0
189 88.0 88.0 0.0 0.0 2.0
190 88.0 88.0 0.0 0.0 2.0
191 88.0 88.0 0.0 0.0 2.0
192 88.0 88.0 0.0 0.0 2.0
193 88.0 88.0 0.0 0.0 2.0
194 88.0 88.0 0.0 0.0 2.0
195 88.0 88.0 0.0 0.0 2.0
196 88.0 88.0 0.0 0.0 2.0
197 88.0 88.0 0.0 0.0 2.0
198 88.0 88.0 0.0 0.0 2.0
199 88.0 88.0 0.0 0.0 2.0
200 88.0 88.0 0.0 0.0 2.0
201 88.0 88.0 0.0 0.0 2.0
202 88.0 88.0 0.0 0.0 2.0
203 88.0 88.0 0.0 0.0 2.0
204 88.0 88.0 0.0 0.0 2.0
205 88.0 88.0 0.0 0.0 2.0
206 88.0 88.0 0.0 0.0 2.0
207 88.0 88.0 0.0 0.0 2.0
208 88.0 88.0 0.0 0.0 2.0
209 88.0 88.0 0.0 0.0 2.0
210 88.0 88.0 0.0 0.0 2.0
211 88.0 88.0 0.0 0.0 2.0
212 88.0 88.0 0.0 0.0 2.0
213 88.0 88.0 0.0 0.0 2.0
214 88.0 88.0 0.0 0.0 2.0
215 88.0 88.0 0.0 0.0 2.0
216 88.0 88.0 0.0 0.0 2.0
217 88.0 88.0 0.0 0.0 2.0
218 88.0 88.0 0.0 0.0 2.0
219 88.0 88.0 0.0 0.0 2.0
220 88.0 88.0 0.0 0.0 2.0
221 88.0 88.0 0.0 0.0 2.0
222 88.0 88.0 0.0 0.0 2.0
223 88.0 88.0 0.0 0.0 2.0
224 88.0 88.0 0.0 0.0 2.0
225 88.0 88.0 0.0 0.0 2.0
226 88.0 88.0 0.0 0.0 2.0
227 88.0 88.0 0.0 0.0 2.0
228 88.0 88.0 0.0 0.0 2.0
229 88.0 88.0 0.0 0.0 2.0
230 88.0 88.0 0.0 0.0 2.0
231 88.0 88.0 0.0 0.0 2.0
232 88.0 88.0 0.0 0.0 2.0
233 88.0 88.0 0.0 0.0 2.0
234 88.0 88.0 0.0 0.0 2.0
235 88.0 88.0 0.0 0.0 2.0
236 88.0 88.0 0.0 0.0 2.0
237 88.0 88.0 0.0 0.0 2.0
238 88.0 88.0 0.0 0.0 2.0
239 88.0 88.0 0.0 0.0 2.0
240 88.0 88.0 0.0 0.0 2.0
241 88.0 88.0 0.0 0.0 2.0
242 88.0 88.0 0.0 0.0 2.0
243 88.0 88.0 0.0 0.0 2.0
244 88.0 88.0 0.0 0.0 2.0
245 88.0 88.0 0.0 0.0 2.0
246 88.0 88.0 0.0 0.0 2.0
247 88.0 88.0 0.0 0.0 2.0
248 88.0 88.0 0.0 0.0 2.0
249 88.0 88.0 0.0 0.0 2.0
250 88.0 88.0 0.0 0.0 2.0
251 88.0 88.0 0.0 0.0 2.0
252 88.0 88.0 0.0 0.0 2.0
253 88.0 88.0 0.0 0.0 2.0
254 88.0 88.0 0.0 0.0 2.0
255 88.0 88.0 0.0 0.0 2.0
256 88.0 88.0 0.0 0.0 2.0
257 88.0 88.0 0.0 0.0 2.0
258 88.0 88.0 0.0 0.0 2.0
259 88.0 88.0 0.0 0.0 2.0
260 88.0 88.0 0.0 0.0 2.0
261 88.0 88.0 0.0 0.0 2.0
262 88.0 88.0 0.0 0.0 2.0
263 88.0 88.0 0.0 0.0 2.0
264 88.0 88.0 0.0 0.0 2.0
265 88.0 88.0 0.0 0.0 2.0
266 88.0 88.0 0.0 0.0 2.0
267 88.0 88.0 0.0 0.0 2.0
268 88.0 88.0 0.0 0.0 2.0
269 88.0 88.0 0.0 0.0 2.0
270 88.0 88.0 0.0 0.0 2.0
271 88.0 88.0 0.0 0.0 2.0
272 88.0 88.0 0.0 0.0 2.0
273 88.0 88.0 0.0 0.0 2.0
274 88.0 88.0 0.0 0.0 2.0
275 88.0 88.0 0.0 0.0 2.0
276 88.0 88.0 0.0 0.0 2.0
277 88.0 88.0 0.0 0.0 2.0
278 88.0 88.0 0.0 0.0 2.0
279 88.0 88.0 0.0 0.0 2.0
280 88.0 88.0 0.0 0.0 2.0
281 88.0 88.0 0.0 0.0 2.0
282 88.0 88.0 0.0 0.0 2.0
283 88.0 88.0 0.0 0.0 2.0
284 88.0 88.0 0.0 0.0 2.0
285 88.0 88.0 0.0 0.0 2.0
286 88.0 88.0 0.0 0.0 2.0
287 88.0 88.0 0.0 0.0 2.0
288 88.0 88.0 0.0 0.0 2.0
289 88.0 88.0 0.0 0.0 2.0
290 88.0 88.0 0.0 0.0 2.0
291 88.0 88.0 0.0 0.0 2.0
292 88.0 88.0 0.0 0.0 2.0
293 88.0 88.0 0.0 0.0 2.0
294 88.0 88.0 0.0 0.0 2.0
295 88.0 88.0 0.0 0.0 2.0
296 88.0 88.0 0.0 0.0 2.0
297 88.0 88.0 0.0 0.0 2.0
298 88.0 88.0 0.0 0.0 2.0
299 88.0 88.0 0.0 0.0 2.0
300 88.0 88.0 0.0 0.0 2.0
301 88.0 88.0 0.0 0.0 2.0
302 88.0 88.0 0.0 0.0 2.0
303 88.0 88.0 0.0 0.0 2.0
304 88.0 88.0 0.0 0.0 2.0
305 88.0 88.0 0.0 0.0 2.0
306 88.0 88.0 0.0 0.0 2.0
307 88.0 88.0 0.0 0.0 2.0
308 88.0 88.0 0.0 0.0 2.0
309 88.0 88.0 0.0 0.0 2.0
310 88.0 88.0 0.0 0.0 2.0
311 88.0 88.0 0.0 0.0 2.0
312 88.0 88.0 0.0 0.0 2.0
313 88.0 88.0 0.0 0.0 2.0
314 88.0 88.0 0.0 0.0 2.0
315 90.0 90.0 0.0 0.0 1.0
316 90.0 90.0 0.0 0.0 1.0
317 90.0 90.0 0.0 0.0 1.0
318 90.0 90.0 0.0 0.0 1.0
319 90.0 90.0 0.0 0.0 1.0
320 90.0 90.0 0.0 0.0 1.0
321 90.0 90.0 0.0 0.0 1.0
322 90.0 90.0 0.0 0.0 1.0
323 90.0 90.0 0.0 0.0 1.0
324 90.0 90.0 0.0 0.0 1.0
325 90.0 90.0 0.0 0.0 1.0
326 90.0 90.0 0.0 0.0 1.0
327 90.0 90.0 0.0 0.0 1.0
328 90.0 90.0 0.0 0.0 1.0
329 90.0 90.0 0.0 0.0 1.0
330 90.0 90.0 0.0 0.0 1.0
331 90.0 90.0 0.0 0.0 1.0
332 90.0 90.0 0.0 0.0 1.0
333 90.0 90.0 0.0 0.0 1.0
334 90.0 90.0 0.0 0.0 1.0
335 90.0 90.0 0.0 0.0 1.0
336 90.0 90.0 0.0 0.0 1.0
337 90.0 90.0 0.0 0.0 1.0
338 90.0 90.0 0.0 0.0 1.0
339 90.0 90.0 0.0 0.0 1.0
340 90.0 90.0 0.0 0.0 1.0
341 90.0 90.0 0.0 0.0 1.0
342 90.0 90.0 0.0 0.0 1.0
343 90.0 90.0 0.0 0.0 1.0
344 90.0 90.0 0.0 0.0 1.0
345 90.0 90.0 0.0 0.0 1.0
346 90.0 90.0 0.0 0.0 1.0
347 90.0 90.0 0.0 0.0 1.0
348 90.0 90.0 0.0 0.0 1.0
349 90.0 90.0 0.0 0.0 1.0
350 90.0 90.0 0.0 0.0 1.0
351 90.0 90.0 0.0 0.0 1.0
352 90.0 90.0 0.0 0.0 1.0
353 90.0 90.0 0.0 0.0 1.0
354 90.0 90.0 0.0 0.0 1.0
355 90.0 90.0 0.0 0.0 1.0
356 90.0 90.0 0.0 0.0 1.0
357 90.0 90.0 0.0 0.0 1.0
358 90.0 90.0 0.0 0.0 1.0
359 90.0 90.0 0.0 0.0 1.0
360 90.0 90.0 0.0 0.0 1.0
361 90.0 90.0 0.0 0.0 1.0
362 90.0 90.0 0.0 0.0 1.0
363 90.0 90.0 0.0 0.0 1.0
364 90.0 90.0 0.0 0.0 1.0
365 90.0 90.0 0.0 0.0 1.0
366 90.0 90.0 0.0 0.0 1.0
367 90.0 90.0 0.0 0.0 1.0
368 90.0 90.0 0.0 0.0 1.0
369 90.0 90.0 0.0 0.0 1.0
370 90.0 90.0 0.0 0.0 1.0
371 90.0 90.0 0.0 0.0 1.0
372 90.0 90.0 0.0 0.0 1.0
373 90.0 90.0 0.0 0.0 1.0
374 90.0 90.0 0.0 0.0 1.0
375 90.0 90.0 0.0 0.0 1.0
376 90.0 90.0 0.0 0.0 1.0
377 90.0 90.0 0.0 0.0 1.0
378 90.0 90.0 0.0 0.0 1.0
379 90.0 90.0 0.0 0.0 1.0
380 90.0 90.0 0.0 0.0 1.0
381 90.0 90.0 0.0 0.0 1.0
382 90.0 90.0 0.0 0.0 1.0
383 90.0 90.0 0.0 0.0 1.0
384 90.0 90.0 0.0 0.0 1.0
385 90.0 90.0 0.0 0.0 1.0
386 90.0 90.0 0.0 0.0 1.0
387 90.0 90.0 0.0 0.0 1.0
388 90.0 90.0 0.0 0.0 1.0
389 90.0 90.0 0.0 0.0 1.0
390 90.0 90.0 0.0 0.0 1.0
391 90.0 90.0 0.0 0.0 1.0
392 90.0 90.0 0.0 0.0 1.0
393 90.0 90.0 0.0 0.0 1.0
394 90.0 90.0 0.0 0.0 1.0
395 90.0 90.0 0.0 0.0 1.0
396 90.0 90.0 0.0 0.0 1.0
397 90.0 90.0 0.0 0.0 1.0
398 90.0 90.0 0.0 0.0 1.0
