gen HV HVnoDiscount fitness_notKilledMutants notKilledNonEqMutants fitness_testSuiteSize
1 33.3515625 33.0 3.97265625 4.0 7.0
2 33.3515625 33.0 3.97265625 4.0 7.0
3 48.0 48.0 0.0 0.0 7.0
4 48.0 48.0 0.0 0.0 7.0
5 48.0 48.0 0.0 0.0 7.0
6 48.0 48.0 0.0 0.0 7.0
7 48.0 48.0 0.0 0.0 7.0
8 74.0 74.0 0.0 0.0 3.0
9 74.0 74.0 0.0 0.0 3.0
10 74.0 74.0 0.0 0.0 3.0
11 74.0 74.0 0.0 0.0 3.0
12 74.0 74.0 0.0 0.0 3.0
13 74.0 74.0 0.0 0.0 3.0
14 74.0 74.0 0.0 0.0 3.0
15 74.0 74.0 0.0 0.0 3.0
16 74.0 74.0 0.0 0.0 3.0
17 74.0 74.0 0.0 0.0 3.0
18 74.0 74.0 0.0 0.0 3.0
19 74.0 74.0 0.0 0.0 3.0
20 74.0 74.0 0.0 0.0 3.0
21 74.0 74.0 0.0 0.0 3.0
22 74.0 74.0 0.0 0.0 3.0
23 74.0 74.0 0.0 0.0 3.0
24 74.0 74.0 0.0 0.0 3.0
25 74.0 74.0 0.0 0.0 3.0
26 74.0 74.0 0.0 0.0 3.0
27 74.0 74.0 0.0 0.0 3.0
28 74.0 74.0 0.0 0.0 3.0
29 74.0 74.0 0.0 0.0 3.0
30 74.0 74.0 0.0 0.0 3.0
31 74.0 74.0 0.0 0.0 3.0
32 74.0 74.0 0.0 0.0 3.0
33 74.0 74.0 0.0 0.0 3.0
34 74.0 74.0 0.0 0.0 3.0
35 74.0 74.0 0.0 0.0 3.0
36 74.0 74.0 0.0 0.0 3.0
37 74.0 74.0 0.0 0.0 3.0
38 74.0 74.0 0.0 0.0 3.0
39 74.0 74.0 0.0 0.0 3.0
40 74.0 74.0 0.0 0.0 3.0
41 74.0 74.0 0.0 0.0 3.0
42 74.0 74.0 0.0 0.0 3.0
43 74.0 74.0 0.0 0.0 3.0
44 74.0 74.0 0.0 0.0 3.0
45 74.0 74.0 0.0 0.0 3.0
46 74.0 74.0 0.0 0.0 3.0
47 74.0 74.0 0.0 0.0 3.0
48 74.0 74.0 0.0 0.0 3.0
49 74.0 74.0 0.0 0.0 3.0
50 74.0 74.0 0.0 0.0 3.0
51 74.0 74.0 0.0 0.0 3.0
52 74.0 74.0 0.0 0.0 3.0
53 74.0 74.0 0.0 0.0 3.0
54 74.0 74.0 0.0 0.0 3.0
55 74.0 74.0 0.0 0.0 3.0
56 74.0 74.0 0.0 0.0 3.0
57 74.0 74.0 0.0 0.0 3.0
58 74.0 74.0 0.0 0.0 3.0
59 74.0 74.0 0.0 0.0 3.0
60 74.0 74.0 0.0 0.0 3.0
61 74.0 74.0 0.0 0.0 3.0
62 74.0 74.0 0.0 0.0 3.0
63 74.0 74.0 0.0 0.0 3.0
64 74.0 74.0 0.0 0.0 3.0
65 74.0 74.0 0.0 0.0 3.0
66 74.0 74.0 0.0 0.0 3.0
67 74.0 74.0 0.0 0.0 3.0
68 74.0 74.0 0.0 0.0 3.0
69 74.0 74.0 0.0 0.0 3.0
70 74.0 74.0 0.0 0.0 3.0
71 74.0 74.0 0.0 0.0 3.0
72 74.0 74.0 0.0 0.0 3.0
73 74.0 74.0 0.0 0.0 3.0
74 74.0 74.0 0.0 0.0 3.0
75 74.0 74.0 0.0 0.0 3.0
76 74.0 74.0 0.0 0.0 3.0
77 74.0 74.0 0.0 0.0 3.0
78 74.0 74.0 0.0 0.0 3.0
79 74.0 74.0 0.0 0.0 3.0
80 74.0 74.0 0.0 0.0 3.0
81 74.0 74.0 0.0 0.0 3.0
82 74.0 74.0 0.0 0.0 3.0
83 74.0 74.0 0.0 0.0 3.0
84 74.0 74.0 0.0 0.0 3.0
85 74.0 74.0 0.0 0.0 3.0
86 74.0 74.0 0.0 0.0 3.0
87 74.0 74.0 0.0 0.0 3.0
88 74.0 74.0 0.0 0.0 3.0
89 74.0 74.0 0.0 0.0 3.0
90 74.0 74.0 0.0 0.0 3.0
91 74.0 74.0 0.0 0.0 3.0
92 74.0 74.0 0.0 0.0 3.0
93 74.0 74.0 0.0 0.0 3.0
94 74.0 74.0 0.0 0.0 3.0
95 74.0 74.0 0.0 0.0 3.0
96 74.0 74.0 0.0 0.0 3.0
97 74.0 74.0 0.0 0.0 3.0
98 74.0 74.0 0.0 0.0 3.0
99 74.0 74.0 0.0 0.0 3.0
100 74.0 74.0 0.0 0.0 3.0
101 74.0 74.0 0.0 0.0 3.0
102 74.0 74.0 0.0 0.0 3.0
103 74.0 74.0 0.0 0.0 3.0
104 74.0 74.0 0.0 0.0 3.0
105 74.0 74.0 0.0 0.0 3.0
106 74.0 74.0 0.0 0.0 3.0
107 74.0 74.0 0.0 0.0 3.0
108 74.0 74.0 0.0 0.0 3.0
109 74.0 74.0 0.0 0.0 3.0
110 74.0 74.0 0.0 0.0 3.0
111 74.0 74.0 0.0 0.0 3.0
112 74.0 74.0 0.0 0.0 3.0
113 74.0 74.0 0.0 0.0 3.0
114 74.0 74.0 0.0 0.0 3.0
115 74.0 74.0 0.0 0.0 3.0
116 74.0 74.0 0.0 0.0 3.0
117 74.0 74.0 0.0 0.0 3.0
