gen HV HVnoDiscount fitness_notKilledMutants notKilledNonEqMutants fitness_testSuiteSize
1 8.33984375 3.0 8.33203125 8.0 7.0
2 19.640625 12.0 6.16796875 6.0 6.0
3 19.640625 12.0 6.16796875 6.0 6.0
4 19.640625 12.0 6.16796875 6.0 6.0
5 19.640625 12.0 6.16796875 6.0 6.0
6 19.640625 12.0 6.16796875 6.0 6.0
7 19.640625 12.0 6.16796875 6.0 6.0
8 19.640625 12.0 6.16796875 6.0 6.0
9 23.828125 12.0 6.16796875 6.0 6.0
10 31.29296875 20.0 4.73828125 5.0 5.0
11 31.29296875 20.0 4.703125 5.0 6.0
12 31.29296875 20.0 4.703125 5.0 6.0
13 31.29296875 20.0 4.703125 5.0 6.0
14 31.29296875 20.0 4.703125 5.0 6.0
15 31.29296875 20.0 4.703125 5.0 6.0
16 31.29296875 20.0 4.703125 5.0 6.0
17 31.29296875 20.0 4.703125 5.0 6.0
18 31.29296875 20.0 4.703125 5.0 6.0
19 31.29296875 20.0 4.703125 5.0 6.0
20 31.29296875 20.0 4.703125 5.0 6.0
21 31.29296875 22.0 4.703125 5.0 6.0
22 31.29296875 22.0 4.703125 5.0 6.0
23 31.29296875 22.0 4.703125 5.0 6.0
24 31.29296875 22.0 4.703125 5.0 6.0
25 31.29296875 22.0 4.703125 5.0 6.0
26 31.29296875 22.0 4.703125 5.0 6.0
27 31.29296875 22.0 4.703125 5.0 6.0
28 31.29296875 22.0 4.703125 5.0 6.0
29 31.29296875 22.0 4.703125 5.0 6.0
30 35.71875 30.0 4.046875 4.0 4.0
31 35.71875 30.0 4.046875 4.0 4.0
32 35.71875 30.0 4.046875 4.0 4.0
33 35.71875 30.0 4.046875 4.0 4.0
34 35.71875 30.0 4.046875 4.0 4.0
35 35.71875 30.0 4.046875 4.0 4.0
36 35.71875 30.0 4.046875 4.0 4.0
37 35.71875 30.0 4.046875 4.0 4.0
38 35.71875 30.0 4.046875 4.0 4.0
39 35.71875 30.0 4.046875 4.0 4.0
40 35.71875 30.0 4.046875 4.0 4.0
41 35.71875 30.0 4.046875 4.0 4.0
42 35.71875 30.0 4.046875 4.0 4.0
43 35.71875 30.0 4.046875 4.0 4.0
44 35.71875 30.0 4.046875 4.0 4.0
45 35.71875 30.0 4.046875 4.0 4.0
46 35.71875 30.0 4.046875 4.0 4.0
47 35.71875 30.0 4.046875 4.0 4.0
48 35.71875 30.0 4.046875 4.0 4.0
49 35.71875 30.0 4.046875 4.0 4.0
50 35.71875 30.0 4.046875 4.0 4.0
51 35.96875 30.0 4.046875 4.0 4.0
52 35.96875 30.0 4.046875 4.0 4.0
53 35.96875 30.0 4.046875 4.0 4.0
54 35.96875 30.0 4.046875 4.0 4.0
55 35.96875 30.0 4.046875 4.0 4.0
56 35.96875 30.0 4.046875 4.0 4.0
57 35.96875 30.0 4.046875 4.0 4.0
58 35.96875 30.0 4.046875 4.0 4.0
59 35.96875 30.0 4.046875 4.0 4.0
60 35.96875 30.0 4.046875 4.0 4.0
61 35.96875 30.0 4.046875 4.0 4.0
62 35.96875 30.0 4.046875 4.0 4.0
63 35.96875 30.0 4.046875 4.0 4.0
64 35.96875 30.0 4.046875 4.0 4.0
65 35.96875 30.0 4.046875 4.0 4.0
66 35.96875 30.0 4.0 4.0 7.0
67 35.96875 30.0 4.0 4.0 7.0
68 35.96875 30.0 4.0 4.0 7.0
69 35.96875 30.0 4.0 4.0 7.0
70 35.96875 30.0 4.0 4.0 7.0
71 35.96875 30.0 4.0 4.0 7.0
72 35.96875 30.0 4.0 4.0 7.0
73 35.96875 30.0 4.0 4.0 7.0
74 35.96875 30.0 4.0 4.0 7.0
75 35.96875 30.0 4.0 4.0 7.0
76 35.96875 30.0 4.0 4.0 7.0
77 35.96875 30.0 4.0 4.0 7.0
78 35.96875 30.0 4.0 4.0 7.0
79 35.96875 30.0 4.0 4.0 7.0
80 35.96875 30.0 4.0 4.0 7.0
81 35.96875 30.0 4.0 4.0 7.0
82 42.0 35.0 4.0 4.0 3.0
83 42.0 35.0 4.0 4.0 3.0
84 42.0 35.0 4.0 4.0 3.0
85 42.0 35.0 4.0 4.0 3.0
86 42.0 35.0 4.0 4.0 3.0
87 42.0 35.0 4.0 4.0 3.0
88 42.0 35.0 4.0 4.0 3.0
89 42.0 35.0 4.0 4.0 3.0
90 42.0 35.0 4.0 4.0 3.0
91 42.0 35.0 4.0 4.0 3.0
92 42.0 35.0 4.0 4.0 3.0
93 42.0 35.0 4.0 4.0 3.0
94 42.0 35.0 4.0 4.0 3.0
95 42.0 35.0 4.0 4.0 3.0
96 42.0 35.0 4.0 4.0 3.0
97 42.0 35.0 4.0 4.0 3.0
98 42.0 35.0 4.0 4.0 3.0
99 42.0 35.0 4.0 4.0 3.0
100 42.0 35.0 4.0 4.0 3.0
101 42.0 35.0 4.0 4.0 3.0
102 42.0 35.0 4.0 4.0 3.0
103 42.0 35.0 4.0 4.0 3.0
104 42.0 35.0 4.0 4.0 3.0
105 42.0 35.0 4.0 4.0 3.0
106 42.0 35.0 4.0 4.0 3.0
107 42.0 35.0 4.0 4.0 3.0
108 42.0 35.0 4.0 4.0 3.0
109 42.0 35.0 4.0 4.0 3.0
110 42.0 35.0 4.0 4.0 3.0
111 42.0 35.0 4.0 4.0 3.0
112 42.0 35.0 4.0 4.0 3.0
113 42.0 35.0 4.0 4.0 3.0
114 42.0 35.0 4.0 4.0 3.0
115 42.0 35.0 4.0 4.0 3.0
116 42.0 35.0 4.0 4.0 3.0
117 42.0 35.0 4.0 4.0 3.0
118 42.0 35.0 4.0 4.0 3.0
119 42.0 35.0 4.0 4.0 3.0
120 42.0 35.0 4.0 4.0 3.0
121 42.0 35.0 4.0 4.0 3.0
122 42.0 35.0 4.0 4.0 3.0
123 42.0 35.0 4.0 4.0 3.0
124 42.0 35.0 4.0 4.0 3.0
125 42.0 35.0 4.0 4.0 3.0
126 42.0 35.0 4.0 4.0 3.0
127 42.0 35.0 4.0 4.0 3.0
128 42.0 35.0 4.0 4.0 3.0
129 42.0 35.0 4.0 4.0 3.0
130 42.0 35.0 4.0 4.0 3.0
131 42.0 35.0 4.0 4.0 3.0
132 42.0 35.0 4.0 4.0 3.0
133 42.0 35.0 4.0 4.0 3.0
134 42.0 35.0 4.0 4.0 3.0
135 42.0 35.0 4.0 4.0 3.0
136 42.0 35.0 4.0 4.0 3.0
137 42.0 35.0 4.0 4.0 3.0
138 42.0 35.0 4.0 4.0 3.0
139 42.0 35.0 4.0 4.0 3.0
140 42.0 35.0 4.0 4.0 3.0
141 42.0 35.0 4.0 4.0 3.0
142 42.0 35.0 4.0 4.0 3.0
143 42.0 35.0 4.0 4.0 3.0
144 42.0 35.0 4.0 4.0 3.0
145 42.0 35.0 4.0 4.0 3.0
146 42.0 35.0 4.0 4.0 3.0
147 42.0 35.0 4.0 4.0 3.0
148 42.0 35.0 4.0 4.0 3.0
149 42.0 35.0 4.0 4.0 3.0
150 42.0 35.0 4.0 4.0 3.0
151 42.0 35.0 4.0 4.0 3.0
152 42.0 35.0 4.0 4.0 3.0
153 42.0 35.0 4.0 4.0 3.0
154 42.0 35.0 4.0 4.0 3.0
155 42.0 35.0 4.0 4.0 3.0
156 42.0 35.0 4.0 4.0 3.0
157 42.0 35.0 4.0 4.0 3.0
158 42.0 35.0 4.0 4.0 3.0
159 42.0 35.0 4.0 4.0 3.0
160 42.0 35.0 4.0 4.0 3.0
161 42.0 35.0 4.0 4.0 3.0
162 42.0 35.0 4.0 4.0 3.0
163 42.0 35.0 4.0 4.0 3.0
164 42.0 35.0 4.0 4.0 3.0
165 42.0 35.0 4.0 4.0 3.0
166 42.0 35.0 4.0 4.0 3.0
167 42.0 35.0 4.0 4.0 3.0
168 42.0 35.0 4.0 4.0 3.0
169 42.0 35.0 4.0 4.0 3.0
170 42.0 35.0 4.0 4.0 3.0
171 42.0 35.0 4.0 4.0 3.0
172 42.0 35.0 4.0 4.0 3.0
173 42.0 35.0 4.0 4.0 3.0
174 42.0 35.0 4.0 4.0 3.0
175 42.0 35.0 4.0 4.0 3.0
176 42.0 35.0 4.0 4.0 3.0
