gen HV HVnoDiscount fitness_notKilledMutants notKilledNonEqMutants fitness_testSuiteSize
1 76.0 76.0 0.0 0.0 4.0
2 77.0 77.0 0.0 0.0 4.0
3 77.0 77.0 0.0 0.0 4.0
4 78.0 78.0 0.0 0.0 3.0
5 78.0 78.0 0.0 0.0 3.0
6 78.0 78.0 0.0 0.0 3.0
7 78.0 78.0 0.0 0.0 3.0
8 78.0 78.0 0.0 0.0 3.0
9 78.0 78.0 0.0 0.0 3.0
10 78.0 78.0 0.0 0.0 3.0
11 78.0 78.0 0.0 0.0 3.0
12 78.0 78.0 0.0 0.0 3.0
13 78.0 78.0 0.0 0.0 3.0
14 78.0 78.0 0.0 0.0 3.0
15 79.0 79.0 0.0 0.0 3.0
16 79.0 79.0 0.0 0.0 3.0
17 79.0 79.0 0.0 0.0 3.0
18 79.0 79.0 0.0 0.0 3.0
19 79.0 79.0 0.0 0.0 3.0
20 79.0 79.0 0.0 0.0 3.0
21 79.0 79.0 0.0 0.0 3.0
22 79.0 79.0 0.0 0.0 3.0
23 79.0 79.0 0.0 0.0 3.0
24 79.0 79.0 0.0 0.0 3.0
25 79.0 79.0 0.0 0.0 3.0
26 79.0 79.0 0.0 0.0 3.0
27 79.0 79.0 0.0 0.0 3.0
28 79.0 79.0 0.0 0.0 3.0
29 79.0 79.0 0.0 0.0 3.0
30 79.0 79.0 0.0 0.0 3.0
31 79.0 79.0 0.0 0.0 3.0
32 79.0 79.0 0.0 0.0 3.0
33 79.0 79.0 0.0 0.0 3.0
34 79.0 79.0 0.0 0.0 3.0
35 84.0 84.0 0.0 0.0 3.0
36 84.0 84.0 0.0 0.0 3.0
37 84.0 84.0 0.0 0.0 3.0
38 84.0 84.0 0.0 0.0 3.0
39 84.0 84.0 0.0 0.0 3.0
40 84.0 84.0 0.0 0.0 3.0
41 84.0 84.0 0.0 0.0 3.0
42 84.0 84.0 0.0 0.0 3.0
43 84.0 84.0 0.0 0.0 3.0
44 84.0 84.0 0.0 0.0 3.0
45 84.0 84.0 0.0 0.0 3.0
46 84.0 84.0 0.0 0.0 3.0
47 84.0 84.0 0.0 0.0 3.0
48 84.0 84.0 0.0 0.0 3.0
49 86.0 86.0 0.0 0.0 3.0
50 86.0 86.0 0.0 0.0 3.0
51 86.0 86.0 0.0 0.0 3.0
52 86.0 86.0 0.0 0.0 3.0
53 86.0 86.0 0.0 0.0 3.0
54 86.0 86.0 0.0 0.0 3.0
55 86.0 86.0 0.0 0.0 3.0
56 86.0 86.0 0.0 0.0 3.0
57 86.0 86.0 0.0 0.0 3.0
58 86.0 86.0 0.0 0.0 3.0
59 86.0 86.0 0.0 0.0 3.0
60 86.0 86.0 0.0 0.0 3.0
