gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
1 2 9.833984375 17 10 7 1.0
1 5 6.794921875 30 7 4 0.5714285714285714
1 7 6.759765625 41 7 4 0.5714285714285714
1 3 9.748046875 43 10 7 1.0
2 3 9.6953125 52 10 7 1.0
2 4 6.572265625 73 7 4 0.5714285714285714
3 6 8.384765625 105 9 6 0.8571428571428571
3 8 6.349609375 111 7 4 0.5714285714285714
3 3 9.30859375 118 10 7 1.0
3 4 9.28515625 122 10 7 1.0
3 7 8.345703125 134 9 6 0.8571428571428571
4 2 9.2626953125 151 10 7 1.0
4 5 9.189453125 166 10 7 1.0
4 6 6.29296875 181 7 4 0.5714285714285714
5 5 8.203125 204 9 6 0.8571428571428571
5 3 9.17578125 211 10 7 1.0
5 4 9.12890625 223 10 7 1.0
6 2 9.0859375 234 10 7 1.0
6 3 9.03125 248 10 7 1.0
6 4 8.98828125 259 10 7 1.0
7 4 8.95703125 267 10 7 1.0
7 7 2.173828125 282 3 0 0.0
8 4 8.09765625 308 9 6 0.8571428571428571
8 3 9.033203125 330 10 7 1.0
9 5 6.986328125 346 8 5 0.7142857142857143
9 3 8.9599609375 355 10 7 1.0
10 8 5.939453125 362 7 4 0.5714285714285714
10 4 8.857421875 390 10 7 1.0
11 5 5.798828125 410 7 4 0.5714285714285714
11 4 6.7900390625 413 8 5 0.7142857142857143
12 5 6.7578125 424 8 5 0.7142857142857143
12 3 8.7548828125 425 10 7 1.0
12 4 8.728515625 434 10 7 1.0
13 2 8.640625 464 10 7 1.0
13 5 8.634765625 466 10 7 1.0
14 3 8.6318359375 467 10 7 1.0
14 6 1.611328125 474 3 0 0.0
14 4 8.5673828125 489 10 7 1.0
15 2 8.5380859375 499 10 7 1.0
15 4 8.482421875 518 10 7 1.0
16 7 5.46484375 524 7 4 0.5714285714285714
16 3 8.4560546875 527 10 7 1.0
16 4 8.4501953125 529 10 7 1.0
16 5 8.423828125 538 10 7 1.0
16 6 8.41796875 540 10 7 1.0
17 2 8.40625 544 10 7 1.0
17 4 7.34765625 564 9 6 0.8571428571428571
17 3 8.34765625 564 10 7 1.0
18 2 8.27734375 588 10 7 1.0
19 4 8.2509765625 597 10 7 1.0
19 5 8.1982421875 615 10 7 1.0
20 7 7.1630859375 627 9 6 0.8571428571428571
20 2 8.1630859375 627 10 7 1.0
20 5 8.1572265625 629 10 7 1.0
20 6 8.154296875 630 10 7 1.0
21 2 8.1455078125 633 10 7 1.0
21 5 8.1044921875 647 10 7 1.0
21 6 8.0986328125 649 10 7 1.0
22 3 8.0517578125 665 10 7 1.0
22 5 7.0400390625 669 9 6 0.8571428571428571
23 5 5.03125 672 7 4 0.5714285714285714
23 4 7.9638671875 695 10 7 1.0
24 2 7.943359375 702 10 7 1.0
24 5 7.9345703125 705 10 7 1.0
25 2 7.9111328125 713 10 7 1.0
25 4 6.8759765625 725 9 6 0.8571428571428571
26 3 7.8408203125 737 10 7 1.0
26 4 7.83203125 740 10 7 1.0
26 8 4.826171875 742 7 4 0.5714285714285714
26 5 7.814453125 746 10 7 1.0
27 5 5.80859375 748 8 5 0.7142857142857143
27 3 6.7939453125 753 9 6 0.8571428571428571
28 3 7.7353515625 773 10 7 1.0
28 4 7.732421875 774 10 7 1.0
29 5 6.720703125 778 9 6 0.8571428571428571
29 4 7.697265625 786 10 7 1.0
30 4 7.6591796875 799 10 7 1.0
31 3 7.6328125 808 10 7 1.0
31 7 7.626953125 810 10 7 1.0
31 8 7.62109375 812 10 7 1.0
32 1 7.5859375 824 10 7 1.0
33 3 7.5537109375 835 10 7 1.0
33 8 7.5478515625 837 10 7 1.0
34 3 6.5390625 840 9 6 0.8571428571428571
34 2 7.533203125 842 10 7 1.0
35 3 7.5244140625 845 10 7 1.0
35 4 7.5126953125 849 10 7 1.0
35 5 7.509765625 850 10 7 1.0
36 4 5.486328125 858 8 5 0.7142857142857143
37 1 7.4599609375 867 10 7 1.0
37 6 6.4541015625 869 9 6 0.8571428571428571
37 2 7.451171875 870 10 7 1.0
38 2 7.4306640625 877 10 7 1.0
38 5 7.4189453125 881 10 7 1.0
39 3 7.4189453125 881 10 7 1.0
39 4 7.41015625 884 10 7 1.0
39 5 7.3984375 888 10 7 1.0
39 9 7.3955078125 889 10 7 1.0
40 3 7.392578125 890 10 7 1.0
40 4 7.380859375 894 10 7 1.0
40 6 7.3779296875 895 10 7 1.0
41 6 5.3662109375 899 8 5 0.7142857142857143
41 3 7.357421875 902 10 7 1.0
41 4 7.3544921875 903 10 7 1.0
42 2 7.345703125 906 10 7 1.0
42 4 7.33984375 908 10 7 1.0
43 3 7.328125 912 10 7 1.0
43 4 7.3076171875 919 10 7 1.0
44 4 7.3046875 920 10 7 1.0
44 6 7.2958984375 923 10 7 1.0
45 2 7.28125 928 10 7 1.0
45 6 6.275390625 930 9 6 0.8571428571428571
45 4 7.26953125 932 10 7 1.0
46 2 7.2607421875 935 10 7 1.0
46 5 6.2548828125 937 9 6 0.8571428571428571
46 3 7.2490234375 939 10 7 1.0
47 3 7.2373046875 943 10 7 1.0
47 7 5.234375 944 8 5 0.7142857142857143
47 4 7.228515625 946 10 7 1.0
47 5 6.228515625 946 9 6 0.8571428571428571
48 4 6.228515625 946 9 6 0.8571428571428571
48 2 7.2197265625 949 10 7 1.0
49 3 6.2197265625 949 9 6 0.8571428571428571
49 7 5.216796875 950 8 5 0.7142857142857143
50 3 4.205078125 954 7 4 0.5714285714285714
50 2 7.2021484375 955 10 7 1.0
51 3 7.19921875 956 10 7 1.0
51 4 7.193359375 958 10 7 1.0
52 3 7.1875 960 10 7 1.0
53 5 5.181640625 962 8 5 0.7142857142857143
54 4 6.169921875 966 9 6 0.8571428571428571
54 5 6.1611328125 969 9 6 0.8571428571428571
55 3 7.158203125 970 10 7 1.0
55 5 6.158203125 970 9 6 0.8571428571428571
56 5 4.15234375 972 7 4 0.5714285714285714
56 2 7.15234375 972 10 7 1.0
57 6 6.1494140625 973 9 6 0.8571428571428571
57 3 7.1494140625 973 10 7 1.0
57 5 7.146484375 974 10 7 1.0
58 5 6.146484375 974 9 6 0.8571428571428571
58 2 7.146484375 974 10 7 1.0
59 3 7.1376953125 977 10 7 1.0
59 6 7.134765625 978 10 7 1.0
60 1 7.134765625 978 10 7 1.0
60 5 6.1259765625 981 9 6 0.8571428571428571
61 1 7.1259765625 981 10 7 1.0
61 4 7.123046875 982 10 7 1.0
61 7 6.123046875 982 9 6 0.8571428571428571
62 1 7.123046875 982 10 7 1.0
62 7 5.1201171875 983 8 5 0.7142857142857143
62 3 7.1142578125 985 10 7 1.0
63 1 7.1142578125 985 10 7 1.0
63 5 4.1142578125 985 7 4 0.5714285714285714
64 4 6.1083984375 987 9 6 0.8571428571428571
64 3 7.1083984375 987 10 7 1.0
65 3 5.099609375 990 8 5 0.7142857142857143
66 3 7.0966796875 991 10 7 1.0
67 2 7.0908203125 993 10 7 1.0
67 7 7.08203125 996 10 7 1.0
67 8 7.0791015625 997 10 7 1.0
68 2 7.0791015625 997 10 7 1.0
69 2 7.0703125 1000 10 7 1.0
70 2 7.0703125 1000 10 7 1.0
70 4 7.0673828125 1001 10 7 1.0
71 5 6.064453125 1002 9 6 0.8571428571428571
71 2 7.064453125 1002 10 7 1.0
72 6 6.064453125 1002 9 6 0.8571428571428571
72 1 7.064453125 1002 10 7 1.0
73 3 7.0615234375 1003 10 7 1.0
74 2 7.05859375 1004 10 7 1.0
75 4 6.0556640625 1005 9 6 0.8571428571428571
75 1 7.0556640625 1005 10 7 1.0
76 3 7.0556640625 1005 10 7 1.0
77 3 6.0498046875 1007 9 6 0.8571428571428571
78 3 7.0498046875 1007 10 7 1.0
78 5 5.0498046875 1007 8 5 0.7142857142857143
79 2 7.0498046875 1007 10 7 1.0
80 1 7.0498046875 1007 10 7 1.0
80 4 0.0498046875 1007 3 0 0.0
81 4 7.046875 1008 10 7 1.0
81 7 4.046875 1008 7 4 0.5714285714285714
81 5 5.046875 1008 8 5 0.7142857142857143
82 4 5.046875 1008 8 5 0.7142857142857143
82 3 7.046875 1008 10 7 1.0
83 7 6.046875 1008 9 6 0.8571428571428571
83 2 7.0439453125 1009 10 7 1.0
84 3 7.0439453125 1009 10 7 1.0
84 8 5.0439453125 1009 8 5 0.7142857142857143
85 4 7.0439453125 1009 10 7 1.0
85 6 7.0380859375 1011 10 7 1.0
86 5 6.03515625 1012 9 6 0.8571428571428571
86 4 7.03515625 1012 10 7 1.0
86 7 4.03515625 1012 7 4 0.5714285714285714
87 4 7.0322265625 1013 10 7 1.0
87 6 6.0322265625 1013 9 6 0.8571428571428571
87 7 5.0322265625 1013 8 5 0.7142857142857143
88 3 6.0322265625 1013 9 6 0.8571428571428571
89 3 6.029296875 1014 9 6 0.8571428571428571
90 6 6.029296875 1014 9 6 0.8571428571428571
90 3 7.029296875 1014 10 7 1.0
91 2 7.029296875 1014 10 7 1.0
91 8 6.029296875 1014 9 6 0.8571428571428571
92 5 4.0263671875 1015 7 4 0.5714285714285714
92 2 7.0234375 1016 10 7 1.0
93 2 7.0234375 1016 10 7 1.0
94 4 6.0234375 1016 9 6 0.8571428571428571
94 1 7.0234375 1016 10 7 1.0
95 3 7.0234375 1016 10 7 1.0
95 4 6.0205078125 1017 9 6 0.8571428571428571
96 10 5.017578125 1018 8 5 0.7142857142857143
96 3 7.017578125 1018 10 7 1.0
