gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
1 3 2.9912109375 3 3 3 0.3
1 4 0 19 0 0 0.0
2 4 0 57 0 0 0.0
2 3 3 66 3 3 0.3
3 2 0 134 0 0 0.0
4 3 0 171 0 0 0.0
5 2 1 207 1 1 0.1
5 4 0 215 0 0 0.0
6 2 0 244 0 0 0.0
7 4 0 266 0 0 0.0
8 3 0 324 0 0 0.0
9 3 0 340 0 0 0.0
10 4 0 376 0 0 0.0
10 2 2 394 2 2 0.2
11 2 3 405 3 3 0.3
11 5 0 408 0 0 0.0
11 3 2 413 2 2 0.2
12 1 5 419 5 5 0.5
12 4 0 423 0 0 0.0
12 2 1 426 1 1 0.1
13 4 0 462 0 0 0.0
14 4 2 482 2 2 0.2
14 5 0 484 0 0 0.0
15 3 0 504 0 0 0.0
16 3 0 533 0 0 0.0
17 5 0 559 0 0 0.0
17 4 1 573 1 1 0.1
18 1 2 577 2 2 0.2
18 4 1 591 1 1 0.1
18 5 0 594 0 0 0.0
19 4 0 611 0 0 0.0
20 5 1 618 1 1 0.1
20 6 0 620 0 0 0.0
20 2 3 628 3 3 0.3
21 5 0 642 0 0 0.0
21 4 2 647 2 2 0.2
22 4 0 660 0 0 0.0
22 2 3 661 3 3 0.3
23 5 0 676 0 0 0.0
23 1 1 677 1 1 0.1
24 3 2 700 2 2 0.2
24 2 6 703 6 6 0.6
24 4 1 703 1 1 0.1
24 5 0 703 0 0 0.0
25 3 0 709 0 0 0.0
25 1 5 713 5 5 0.5
26 2 1 723 1 1 0.1
26 4 0 729 0 0 0.0
27 5 0 746 0 0 0.0
27 2 1 747 1 1 0.1
28 1 6 748 6 6 0.6
28 4 1 749 1 1 0.1
28 5 0 749 0 0 0.0
28 2 4 761 4 4 0.4
29 3 0 768 0 0 0.0
29 2 1 769 1 1 0.1
30 7 0 778 0 0 0.0
30 4 1 779 1 1 0.1
31 4 1 787 1 1 0.1
31 5 0 791 0 0 0.0
32 5 0 799 0 0 0.0
32 2 1 808 1 1 0.1
33 3 1 812 1 1 0.1
33 6 0 813 0 0 0.0
34 4 0 819 0 0 0.0
35 5 0 825 0 0 0.0
35 1 3 825 3 3 0.3
35 3 1 827 1 1 0.1
36 5 0 828 0 0 0.0
36 4 1 829 1 1 0.1
36 1 7 831 7 7 0.7
37 3 1 836 1 1 0.1
37 5 0 839 0 0 0.0
38 4 0 849 0 0 0.0
38 2 2 854 2 2 0.2
39 3 1 862 1 1 0.1
39 5 0 866 0 0 0.0
40 5 0 869 0 0 0.0
40 2 4 869 4 4 0.4
40 4 3 871 3 3 0.3
41 2 5 876 5 5 0.5
41 3 0 880 0 0 0.0
42 2 4 881 4 4 0.4
42 4 0 883 0 0 0.0
43 4 0 885 0 0 0.0
43 3 1 886 1 1 0.1
44 3 1 893 1 1 0.1
44 2 3 894 3 3 0.3
44 4 0 894 0 0 0.0
45 6 0 901 0 0 0.0
45 3 1 903 1 1 0.1
46 3 0 904 0 0 0.0
47 3 0 911 0 0 0.0
48 4 0 915 0 0 0.0
49 3 1 920 1 1 0.1
49 4 0 920 0 0 0.0
50 6 0 923 0 0 0.0
50 3 1 925 1 1 0.1
51 7 0 929 0 0 0.0
51 4 1 929 1 1 0.1
52 4 0 931 0 0 0.0
