gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
1 2 8.982421875 2 9 9 0.9
1 3 8.9560546875 5 9 9 0.9
1 9 0 14 0 0 0.0
1 5 8 31 8 8 0.8
1 6 5 42 5 5 0.5
2 2 10 57 10 10 1.0
2 3 8 63 8 8 0.8
2 4 5 91 5 5 0.5
3 4 5 95 5 5 0.5
3 3 8 105 8 8 0.8
3 6 2 134 2 2 0.2
4 4 8 138 8 8 0.8
4 5 7 156 7 7 0.7
4 7 5 178 5 5 0.5
5 3 8 193 8 8 0.8
5 4 6 227 6 6 0.6
6 3 10 245 10 10 1.0
6 6 3 258 3 3 0.3
6 4 7 270 7 7 0.7
7 3 3 277 3 3 0.3
7 5 0 291 0 0 0.0
8 6 0 305 0 0 0.0
8 5 5 309 5 5 0.5
8 4 8 319 8 8 0.8
9 3 10 342 10 10 1.0
9 4 7 354 7 7 0.7
9 5 4 365 4 4 0.4
10 5 7 373 7 7 0.7
10 3 8 398 8 8 0.8
11 3 6 416 6 6 0.6
12 3 6 436 6 6 0.6
12 2 8 447 8 8 0.8
13 5 7 462 7 7 0.7
13 6 6 478 6 6 0.6
13 2 9 483 9 9 0.9
14 7 7 492 7 7 0.7
14 2 8 509 8 8 0.8
15 4 4 518 4 4 0.4
15 3 10 522 10 10 1.0
16 2 7 532 7 7 0.7
16 5 2 548 2 2 0.2
17 4 4 555 4 4 0.4
17 2 8 571 8 8 0.8
17 6 2 576 2 2 0.2
18 3 9 578 9 9 0.9
18 4 7 586 7 7 0.7
19 2 9 618 9 9 0.9
19 5 6 620 6 6 0.6
20 4 7 623 7 7 0.7
20 3 8 628 8 8 0.8
20 5 4 632 4 4 0.4
21 3 8 637 8 8 0.8
21 5 3 647 3 3 0.3
21 1 10 655 10 10 1.0
21 4 7 657 7 7 0.7
22 3 9 657 9 9 0.9
22 4 3 670 3 3 0.3
23 3 9 676 9 9 0.9
23 4 3 685 3 3 0.3
24 6 5 687 5 5 0.5
24 3 7 694 7 7 0.7
24 4 6 696 6 6 0.6
25 8 2 697 2 2 0.2
25 4 8 700 8 8 0.8
25 6 5 707 5 5 0.5
26 4 7 710 7 7 0.7
26 5 6 715 6 6 0.6
26 6 4 723 4 4 0.4
27 3 9 729 9 9 0.9
27 4 3 735 3 3 0.3
28 3 5 746 5 5 0.5
28 7 3 759 3 3 0.3
29 5 6 761 6 6 0.6
29 1 10 761 10 10 1.0
29 6 3 764 3 3 0.3
30 3 8 779 8 8 0.8
30 2 9 780 9 9 0.9
30 7 3 783 3 3 0.3
31 6 4 793 4 4 0.4
31 1 10 793 10 10 1.0
31 3 5 796 5 5 0.5
32 3 9 808 9 9 0.9
32 5 3 810 3 3 0.3
32 4 8 813 8 8 0.8
33 4 3 813 3 3 0.3
33 2 10 824 10 10 1.0
34 6 3 826 3 3 0.3
34 2 9 826 9 9 0.9
34 5 7 833 7 7 0.7
35 2 10 834 10 10 1.0
35 5 3 837 3 3 0.3
36 4 8 846 8 8 0.8
36 6 4 851 4 4 0.4
36 5 5 854 5 5 0.5
37 3 9 858 9 9 0.9
37 5 5 859 5 5 0.5
38 5 5 861 5 5 0.5
38 3 9 866 9 9 0.9
39 4 8 872 8 8 0.8
39 3 9 875 9 9 0.9
39 6 5 875 5 5 0.5
39 5 6 877 6 6 0.6
40 3 9 877 9 9 0.9
40 5 7 878 7 7 0.7
40 6 6 883 6 6 0.6
41 3 4 887 4 4 0.4
42 2 9 889 9 9 0.9
42 5 5 890 5 5 0.5
42 6 1 890 1 1 0.1
42 4 8 892 8 8 0.8
43 3 10 895 10 10 1.0
43 4 4 896 4 4 0.4
44 3 9 896 9 9 0.9
44 4 6 896 6 6 0.6
44 9 5 897 5 5 0.5
45 7 3 900 3 3 0.3
45 5 7 903 7 7 0.7
45 2 10 905 10 10 1.0
45 4 8 905 8 8 0.8
46 1 10 907 10 10 1.0
46 6 5 908 5 5 0.5
46 3 9 909 9 9 0.9
47 7 5 910 5 5 0.5
47 3 8 915 8 8 0.8
47 5 7 916 7 7 0.7
47 8 1 916 1 1 0.1
48 8 6 917 6 6 0.6
48 5 7 918 7 7 0.7
48 3 8 918 8 8 0.8
49 2 10 919 10 10 1.0
49 4 6 921 6 6 0.6
50 2 6 925 6 6 0.6
51 5 7 929 7 7 0.7
51 3 10 932 10 10 1.0
51 8 3 932 3 3 0.3
52 6 7 937 7 7 0.7
52 7 5 938 5 5 0.5
52 3 8 938 8 8 0.8
53 5 4 938 4 4 0.4
53 3 9 939 9 9 0.9
53 2 10 939 10 10 1.0
53 6 3 941 3 3 0.3
54 4 4 946 4 4 0.4
54 3 6 948 6 6 0.6
55 3 10 949 10 10 1.0
55 4 8 951 8 8 0.8
55 6 6 952 6 6 0.6
55 5 7 954 7 7 0.7
56 4 7 954 7 7 0.7
56 1 9 954 9 9 0.9
56 5 0 954 0 0 0.0
57 4 7 956 7 7 0.7
57 3 8 960 8 8 0.8
57 2 10 960 10 10 1.0
57 6 5 960 5 5 0.5
58 2 9 962 9 9 0.9
58 5 5 962 5 5 0.5
58 4 7 962 7 7 0.7
59 2 8 962 8 8 0.8
59 3 6 966 6 6 0.6
60 5 3 967 3 3 0.3
60 3 8 969 8 8 0.8
61 7 3 969 3 3 0.3
61 3 6 970 6 6 0.6
62 4 8 970 8 8 0.8
62 8 4 971 4 4 0.4
62 5 7 971 7 7 0.7
62 6 5 971 5 5 0.5
63 1 10 972 10 10 1.0
63 5 6 972 6 6 0.6
64 6 1 975 1 1 0.1
64 3 10 975 10 10 1.0
64 5 8 978 8 8 0.8
65 6 3 979 3 3 0.3
65 1 8 979 8 8 0.8
65 5 6 980 6 6 0.6
66 3 8 981 8 8 0.8
66 7 7 982 7 7 0.7
67 3 8 983 8 8 0.8
