gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
1 3 8.734375 36 10 7 1.0
1 9 8.453125 44 10 7 1.0
2 3 7.328125 76 10 7 1.0
2 5 6.4375 82 9 6 0.8571428571428571
3 3 6.5625 110 10 7 1.0
3 6 6.40625 115 10 7 1.0
4 3 6.15625 123 10 7 1.0
4 6 1.5234375 126 3 0 0.0
4 2 8.37109375 139 10 7 1.0
5 3 8.25390625 149 10 7 1.0
5 4 8.21875 152 10 7 1.0
5 5 8.18359375 155 10 7 1.0
5 6 8.06640625 165 10 7 1.0
5 7 7.97265625 173 10 7 1.0
6 3 7.8203125 186 10 7 1.0
6 4 7.76171875 191 10 7 1.0
6 6 7.75 192 10 7 1.0
7 3 0.703125 196 3 0 0.0
7 2 6.64453125 201 9 6 0.8571428571428571
8 9 6.62109375 203 9 6 0.8571428571428571
8 1 7.5625 208 10 7 1.0
9 3 7.55078125 209 10 7 1.0
9 4 7.50390625 213 10 7 1.0
10 1 7.50390625 213 10 7 1.0
10 3 7.46875 216 10 7 1.0
10 5 0.43359375 219 3 0 0.0
11 5 6.43359375 219 9 6 0.8571428571428571
11 3 7.421875 220 10 7 1.0
11 4 7.36328125 225 10 7 1.0
11 7 6.3515625 226 9 6 0.8571428571428571
12 2 7.33984375 227 10 7 1.0
12 3 7.328125 228 10 7 1.0
13 4 5.328125 228 8 5 0.7142857142857143
13 2 7.328125 228 10 7 1.0
14 7 0.2578125 234 3 0 0.0
14 4 7.2578125 234 10 7 1.0
15 1 7.234375 236 10 7 1.0
16 3 7.234375 236 10 7 1.0
16 9 5.1875 240 8 5 0.7142857142857143
16 4 7.17578125 241 10 7 1.0
17 7 6.140625 244 9 6 0.8571428571428571
17 3 7.12890625 245 10 7 1.0
18 4 7.08203125 249 10 7 1.0
18 6 6.08203125 249 9 6 0.8571428571428571
19 5 6.08203125 249 9 6 0.8571428571428571
19 2 7.0703125 250 10 7 1.0
20 4 7.05859375 251 10 7 1.0
20 5 0.05859375 251 3 0 0.0
21 0 7.046875 252 10 7 1.0
22 2 6.046875 252 9 6 0.8571428571428571
23 4 6.046875 252 9 6 0.8571428571428571
23 2 7.046875 252 10 7 1.0
23 3 7.03515625 253 10 7 1.0
24 3 7.03515625 253 10 7 1.0
24 4 7.0234375 254 10 7 1.0
25 3 7.0234375 254 10 7 1.0
25 6 6.0234375 254 9 6 0.8571428571428571
26 3 7.0234375 254 10 7 1.0
27 5 6.0234375 254 9 6 0.8571428571428571
27 3 7.0234375 254 10 7 1.0
28 3 7.0234375 254 10 7 1.0
28 4 5.0234375 254 8 5 0.7142857142857143
29 2 7.0234375 254 10 7 1.0
29 5 6.01171875 255 9 6 0.8571428571428571
29 3 7.01171875 255 10 7 1.0
30 2 7.01171875 255 10 7 1.0
