gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
1 5 0 5 0 0 0.0
1 4 1 17 1 1 0.1
1 3 2 22 2 2 0.2
2 4 0 51 0 0 0.0
3 2 5 104 5 5 0.5
3 4 0 106 0 0 0.0
4 2 2 116 2 2 0.2
4 3 1 122 1 1 0.1
4 4 0 123 0 0 0.0
5 3 0 161 0 0 0.0
6 5 0 170 0 0 0.0
6 4 1 173 1 1 0.1
6 3 5 175 5 5 0.5
7 3 0 194 0 0 0.0
8 5 0 197 0 0 0.0
8 2 3 199 3 3 0.3
8 4 2 205 2 2 0.2
9 3 0 214 0 0 0.0
10 5 0 217 0 0 0.0
10 4 1 217 1 1 0.1
10 2 2 218 2 2 0.2
11 3 1 224 1 1 0.1
11 4 0 225 0 0 0.0
11 2 4 228 4 4 0.4
12 3 0 230 0 0 0.0
13 5 0 233 0 0 0.0
13 3 1 233 1 1 0.1
13 2 3 236 3 3 0.3
14 5 0 237 0 0 0.0
14 2 4 238 4 4 0.4
14 3 1 239 1 1 0.1
15 3 1 240 1 1 0.1
15 6 0 242 0 0 0.0
16 4 1 242 1 1 0.1
16 3 3 242 3 3 0.3
16 7 0 243 0 0 0.0
17 3 0 244 0 0 0.0
18 3 3 244 3 3 0.3
18 4 0 245 0 0 0.0
19 5 0 246 0 0 0.0
19 4 1 246 1 1 0.1
19 1 3 247 3 3 0.3
20 4 1 248 1 1 0.1
20 6 0 250 0 0 0.0
21 2 0 252 0 0 0.0
22 5 0 252 0 0 0.0
22 3 1 252 1 1 0.1
22 2 3 252 3 3 0.3
23 5 0 252 0 0 0.0
23 2 3 252 3 3 0.3
24 3 2 252 2 2 0.2
24 4 0 252 0 0 0.0
25 3 1 252 1 1 0.1
25 4 0 253 0 0 0.0
26 2 2 254 2 2 0.2
26 1 6 254 6 6 0.6
26 3 0 255 0 0 0.0
27 5 0 255 0 0 0.0
27 3 1 255 1 1 0.1
28 4 0 256 0 0 0.0
28 2 5 256 5 5 0.5
29 2 1 256 1 1 0.1
29 4 0 256 0 0 0.0
30 2 1 256 1 1 0.1
30 5 0 256 0 0 0.0
31 4 0 256 0 0 0.0
31 2 4 256 4 4 0.4
31 3 2 256 2 2 0.2
32 4 0 256 0 0 0.0
32 3 1 256 1 1 0.1
33 2 3 256 3 3 0.3
33 3 0 256 0 0 0.0
34 4 0 256 0 0 0.0
34 3 2 256 2 2 0.2
35 2 4 256 4 4 0.4
35 4 0 256 0 0 0.0
36 3 2 256 2 2 0.2
36 4 0 256 0 0 0.0
37 5 0 256 0 0 0.0
37 2 3 256 3 3 0.3
38 3 2 256 2 2 0.2
38 5 0 256 0 0 0.0
39 4 0 256 0 0 0.0
39 2 3 256 3 3 0.3
40 3 0 256 0 0 0.0
41 2 4 256 4 4 0.4
41 4 0 256 0 0 0.0
42 3 1 256 1 1 0.1
42 5 0 256 0 0 0.0
43 4 0 256 0 0 0.0
44 3 1 256 1 1 0.1
44 4 0 256 0 0 0.0
45 4 0 256 0 0 0.0
45 3 1 256 1 1 0.1
46 3 2 256 2 2 0.2
46 5 0 256 0 0 0.0
47 1 7 256 7 7 0.7
47 3 0 256 0 0 0.0
48 4 2 256 2 2 0.2
48 5 0 256 0 0 0.0
49 4 0 256 0 0 0.0
49 2 1 256 1 1 0.1
50 3 1 256 1 1 0.1
50 4 0 256 0 0 0.0
51 3 2 256 2 2 0.2
51 4 0 256 0 0 0.0
52 4 0 256 0 0 0.0
53 4 0 256 0 0 0.0
53 1 6 256 6 6 0.6
53 3 2 256 2 2 0.2
54 3 4 256 4 4 0.4
54 4 0 256 0 0 0.0
55 4 0 256 0 0 0.0
56 4 0 256 0 0 0.0
57 2 0 256 0 0 0.0
58 4 0 256 0 0 0.0
58 3 2 256 2 2 0.2
59 3 1 256 1 1 0.1
59 2 6 256 6 6 0.6
59 5 0 256 0 0 0.0
60 3 0 256 0 0 0.0
61 4 0 256 0 0 0.0
61 3 2 256 2 2 0.2
62 5 0 256 0 0 0.0
62 3 4 256 4 4 0.4
63 4 0 256 0 0 0.0
63 3 3 256 3 3 0.3
64 5 0 256 0 0 0.0
64 2 2 256 2 2 0.2
65 5 0 256 0 0 0.0
65 4 1 256 1 1 0.1
66 4 0 256 0 0 0.0
66 3 1 256 1 1 0.1
67 2 5 256 5 5 0.5
67 3 0 256 0 0 0.0
68 3 1 256 1 1 0.1
68 4 0 256 0 0 0.0
69 5 0 256 0 0 0.0
69 2 7 256 7 7 0.7
69 4 1 256 1 1 0.1
70 4 0 256 0 0 0.0
70 3 2 256 2 2 0.2
71 4 1 256 1 1 0.1
71 5 0 256 0 0 0.0
71 3 3 256 3 3 0.3
72 4 1 256 1 1 0.1
72 1 5 256 5 5 0.5
72 6 0 256 0 0 0.0
73 3 5 256 5 5 0.5
73 5 0 256 0 0 0.0
73 4 1 256 1 1 0.1
74 2 4 256 4 4 0.4
74 4 1 256 1 1 0.1
74 5 0 256 0 0 0.0
75 4 0 256 0 0 0.0
76 5 0 256 0 0 0.0
76 3 1 256 1 1 0.1
77 4 0 256 0 0 0.0
77 3 1 256 1 1 0.1
78 3 5 256 5 5 0.5
78 2 6 256 6 6 0.6
78 5 0 256 0 0 0.0
78 4 2 256 2 2 0.2
79 4 0 256 0 0 0.0
79 1 2 256 2 2 0.2
80 4 0 256 0 0 0.0
80 2 4 256 4 4 0.4
81 2 2 256 2 2 0.2
81 4 0 256 0 0 0.0
82 5 0 256 0 0 0.0
82 3 1 256 1 1 0.1
82 1 4 256 4 4 0.4
83 2 3 256 3 3 0.3
83 3 1 256 1 1 0.1
83 5 0 256 0 0 0.0
84 5 0 256 0 0 0.0
84 4 3 256 3 3 0.3
85 6 0 256 0 0 0.0
85 3 1 256 1 1 0.1
86 3 0 256 0 0 0.0
87 3 2 256 2 2 0.2
87 4 1 256 1 1 0.1
87 0 10 256 10 10 1.0
87 7 0 256 0 0 0.0
88 5 0 256 0 0 0.0
88 3 2 256 2 2 0.2
88 4 1 256 1 1 0.1
89 4 1 256 1 1 0.1
89 6 0 256 0 0 0.0
90 5 0 256 0 0 0.0
90 2 3 256 3 3 0.3
90 3 1 256 1 1 0.1
91 5 0 256 0 0 0.0
92 4 1 256 1 1 0.1
92 6 0 256 0 0 0.0
93 3 1 256 1 1 0.1
93 4 0 256 0 0 0.0
94 3 1 256 1 1 0.1
94 5 0 256 0 0 0.0
95 5 0 256 0 0 0.0
