gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
1 3 8.5078125 21 9 9 0.9
1 4 6.296875 36 7 7 0.7
1 8 2.49609375 43 3 3 0.3
2 6 5.37890625 53 6 6 0.6
2 5 6.2265625 66 7 7 0.7
2 4 9.19140625 69 10 10 1.0
2 8 1.375 80 2 2 0.2
2 2 9.375 80 10 10 1.0
3 2 9.625 96 10 10 1.0
3 4 2.59375 104 3 3 0.3
3 3 9.57421875 109 10 10 1.0
4 4 5.5390625 118 6 6 0.6
4 3 8.50390625 127 9 9 0.9
4 2 10 134 10 10 1.0
4 6 5 137 5 5 0.5
5 3 7 145 7 7 0.7
6 4 5 166 5 5 0.5
6 3 7 173 7 7 0.7
7 2 8 183 8 8 0.8
7 6 0 187 0 0 0.0
7 5 6 197 6 6 0.6
8 2 10 199 10 10 1.0
8 6 7 204 7 7 0.7
8 9 0 205 0 0 0.0
8 5 8 206 8 8 0.8
9 3 10 213 10 10 1.0
9 5 7 217 7 7 0.7
9 7 5 218 5 5 0.5
10 5 7 219 7 7 0.7
10 3 8 223 8 8 0.8
11 4 8 226 8 8 0.8
11 6 2 230 2 2 0.2
12 4 7 232 7 7 0.7
12 7 4 237 4 4 0.4
12 6 6 239 6 6 0.6
13 3 10 241 10 10 1.0
13 4 2 241 2 2 0.2
14 4 9 241 9 9 0.9
14 6 4 242 4 4 0.4
15 4 8 243 8 8 0.8
15 3 10 244 10 10 1.0
15 5 0 244 0 0 0.0
16 4 8 246 8 8 0.8
16 6 6 246 6 6 0.6
16 5 7 246 7 7 0.7
17 4 3 249 3 3 0.3
17 3 9 250 9 9 0.9
18 4 0 250 0 0 0.0
19 8 0 250 0 0 0.0
19 3 3 250 3 3 0.3
19 2 4 250 4 4 0.4
20 2 9 250 9 9 0.9
20 5 5 251 5 5 0.5
20 3 7 251 7 7 0.7
21 3 9 251 9 9 0.9
21 4 5 252 5 5 0.5
22 6 5 254 5 5 0.5
22 4 7 254 7 7 0.7
23 3 8 254 8 8 0.8
23 5 7 255 7 7 0.7
23 2 9 255 9 9 0.9
23 6 5 255 5 5 0.5
24 8 4 255 4 4 0.4
24 1 9 255 9 9 0.9
24 2 6 255 6 6 0.6
25 3 10 255 10 10 1.0
25 4 3 255 3 3 0.3
26 3 0 255 0 0 0.0
26 2 10 255 10 10 1.0
