gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
1 2 9.7265625 28 10 9 1.0
1 5 9.6875 32 10 9 1.0
1 6 9.5703125 44 10 9 1.0
2 2 9.4140625 60 10 9 1.0
2 3 5.560546875 90 6 5 0.5555555555555556
3 5 8.384765625 126 9 8 0.8888888888888888
3 0 9.3505859375 133 10 9 1.0
4 5 8.2578125 152 9 8 0.8888888888888888
4 4 8.3671875 162 9 8 0.8888888888888888
5 3 8.4287109375 195 9 8 0.8888888888888888
5 6 8.3818359375 211 9 8 0.8888888888888888
6 1 9.2763671875 247 10 9 1.0
6 5 4.7548828125 251 5 4 0.4444444444444444
7 3 9.734375 272 10 9 1.0
7 4 9.728515625 278 10 9 1.0
7 6 7.7138671875 293 8 7 0.7777777777777778
7 5 9.7109375 296 10 9 1.0
8 3 9.68359375 324 10 9 1.0
8 4 9.6806640625 327 10 9 1.0
8 5 9.67578125 332 10 9 1.0
9 4 8.6591796875 349 9 8 0.8888888888888888
9 6 8.65234375 356 9 8 0.8888888888888888
9 3 9.64453125 364 10 9 1.0
10 4 8.62109375 388 9 8 0.8888888888888888
10 3 9.60546875 404 10 9 1.0
11 2 9.5947265625 415 10 9 1.0
11 3 9.587890625 422 10 9 1.0
11 4 8.5869140625 423 9 8 0.8888888888888888
12 6 7.5732421875 437 8 7 0.7777777777777778
12 2 9.5625 448 10 9 1.0
13 3 9.53515625 476 10 9 1.0
13 5 9.5224609375 489 10 9 1.0
14 6 6.51953125 492 7 6 0.6666666666666666
14 5 8.505859375 506 9 8 0.8888888888888888
14 3 9.5029296875 509 10 9 1.0
14 4 9.501953125 510 10 9 1.0
15 4 8.4794921875 533 9 8 0.8888888888888888
15 2 9.478515625 534 10 9 1.0
16 6 6.46875 544 7 6 0.6666666666666666
16 5 8.466796875 546 9 8 0.8888888888888888
16 3 9.458984375 554 10 9 1.0
17 5 8.4501953125 563 9 8 0.8888888888888888
17 1 9.44921875 564 10 9 1.0
17 2 9.443359375 570 10 9 1.0
17 3 9.4384765625 575 10 9 1.0
18 6 8.4296875 584 9 8 0.8888888888888888
18 4 9.41796875 596 10 9 1.0
19 2 9.416015625 598 10 9 1.0
19 5 8.4091796875 605 9 8 0.8888888888888888
19 3 9.3984375 616 10 9 1.0
20 6 8.392578125 622 9 8 0.8888888888888888
20 3 9.380859375 634 10 9 1.0
21 3 8.369140625 646 9 8 0.8888888888888888
21 4 8.365234375 650 9 8 0.8888888888888888
22 2 9.359375 656 10 9 1.0
22 4 9.3466796875 669 10 9 1.0
22 5 4.3447265625 671 5 4 0.4444444444444444
23 3 9.34375 672 10 9 1.0
23 4 8.3330078125 683 9 8 0.8888888888888888
24 2 9.3271484375 689 10 9 1.0
24 3 9.3251953125 691 10 9 1.0
24 5 9.314453125 702 10 9 1.0
25 4 8.30859375 708 9 8 0.8888888888888888
25 2 9.306640625 710 10 9 1.0
25 6 6.3046875 712 7 6 0.6666666666666666
26 6 7.2900390625 727 8 7 0.7777777777777778
26 4 8.2880859375 729 9 8 0.8888888888888888
27 1 9.283203125 734 10 9 1.0
27 4 8.2763671875 741 9 8 0.8888888888888888
28 5 8.2734375 744 9 8 0.8888888888888888
28 2 9.2666015625 751 10 9 1.0
29 2 9.265625 752 10 9 1.0
29 6 8.2626953125 755 9 8 0.8888888888888888
29 3 9.2578125 760 10 9 1.0
29 7 8.25390625 764 9 8 0.8888888888888888
29 4 9.25390625 764 10 9 1.0
30 5 6.2431640625 775 7 6 0.6666666666666666
30 3 9.2412109375 777 10 9 1.0
30 4 9.2392578125 779 10 9 1.0
31 7 5.2373046875 781 6 5 0.5555555555555556
31 4 8.234375 784 9 8 0.8888888888888888
31 2 9.232421875 786 10 9 1.0
31 5 8.2275390625 791 9 8 0.8888888888888888
31 3 9.2265625 792 10 9 1.0
32 4 8.22265625 796 9 8 0.8888888888888888
32 3 9.22265625 796 10 9 1.0
32 5 8.2158203125 803 9 8 0.8888888888888888
33 2 8.2109375 808 9 8 0.8888888888888888
34 3 9.1923828125 827 10 9 1.0
35 3 9.189453125 830 10 9 1.0
35 6 6.1884765625 831 7 6 0.6666666666666666
35 4 9.1865234375 833 10 9 1.0
36 3 9.1787109375 841 10 9 1.0
37 5 7.1748046875 845 8 7 0.7777777777777778
37 1 9.171875 848 10 9 1.0
38 4 9.166015625 854 10 9 1.0
38 6 9.16015625 860 10 9 1.0
39 6 5.158203125 862 6 5 0.5555555555555556
39 3 9.1533203125 867 10 9 1.0
40 6 8.1513671875 869 9 8 0.8888888888888888
40 3 9.150390625 870 10 9 1.0
40 4 9.1474609375 873 10 9 1.0
40 7 8.1474609375 873 9 8 0.8888888888888888
41 4 7.1416015625 879 8 7 0.7777777777777778
42 3 8.1396484375 881 9 8 0.8888888888888888
42 5 8.1328125 888 9 8 0.8888888888888888
43 4 5.130859375 890 6 5 0.5555555555555556
43 3 9.126953125 894 10 9 1.0
44 5 8.1162109375 905 9 8 0.8888888888888888
44 4 9.1162109375 905 10 9 1.0
45 5 8.11328125 908 9 8 0.8888888888888888
45 2 9.1083984375 913 10 9 1.0
46 4 8.103515625 918 9 8 0.8888888888888888
46 3 9.103515625 918 10 9 1.0
47 5 7.1015625 920 8 7 0.7777777777777778
47 3 9.1015625 920 10 9 1.0
48 5 8.1015625 920 9 8 0.8888888888888888
48 2 9.0986328125 923 10 9 1.0
49 3 9.095703125 926 10 9 1.0
49 4 7.0947265625 927 8 7 0.7777777777777778
50 3 9.0908203125 931 10 9 1.0
50 4 8.0888671875 933 9 8 0.8888888888888888
51 3 7.0859375 936 8 7 0.7777777777777778
51 7 6.0849609375 937 7 6 0.6666666666666666
52 5 4.0810546875 941 5 4 0.4444444444444444
52 3 9.080078125 942 10 9 1.0
52 4 9.078125 944 10 9 1.0
53 5 8.0751953125 947 9 8 0.8888888888888888
53 3 9.0751953125 947 10 9 1.0
54 6 7.072265625 950 8 7 0.7777777777777778
54 3 9.0712890625 951 10 9 1.0
55 4 8.068359375 954 9 8 0.8888888888888888
56 3 9.06640625 956 10 9 1.0
56 5 8.0615234375 961 9 8 0.8888888888888888
